STOCK,SECTOR
OFSS.NS,Computers - Software
ABIRLANUVO.NS,Textiles
ACC.NS,Cement
ADANIENT.NS,TRADING
AJANTPHARM.NS,Pharmaceuticals
ALBK.NS,BANKS - PUBLIC SECTOR
AMARAJABAT.NS,AUTO ANCILLARIES
ANDHRABANK.NS,BANKS - PUBLIC SECTOR
APOLLOHOSP.NS,Hospitals & Medical Services
ARVIND.NS,Textiles
AUROPHARMA.NS,Pharmaceuticals
AXISBANK.NS,BANKS - PRIVATE SECTOR
BAJFINANCE.NS,FINANCE - LEASING & HIRE PURCHASE
BANKBARODA.NS,BANKS - PUBLIC SECTOR
BANKINDIA.NS,BANKS - PUBLIC SECTOR
BEML.NS,INFRASTRUCTURE - GENERAL
BHARATFIN.NS,FINANCE - GENERAL
BHARATFORG.NS,CASTINGS & FORGINGS
BHARTIARTL.NS,TELECOM
BOSCHLTD.NS,AUTO ANCILLARIES
BPCL.NS,REFINERIES
CADILAHC.NS,Pharmaceuticals
CESC.NS,POWER - GENERATION & DISTRIBUTION
CIPLA.NS,Pharmaceuticals
COLPAL.NS,PERSONAL CARE
CONCOR.NS,TRANSPORT & LOGISTICS
CGPOWER.NS,ELECTRIC EQUIPMENT
CUMMINSIND.NS,INFRASTRUCTURE - GENERAL
DABUR.NS,PERSONAL CARE
DCBBANK.NS,BANKS - PRIVATE SECTOR
DISHTV.NS,MEDIA & ENTERTAINMENT 
DIVISLAB.NS,Pharmaceuticals
DLF.NS,CONSTRUCTION & CONTRACTING - REAL ESTATE
DRREDDY.NS,Pharmaceuticals
EICHERMOT.NS,AUTO - LCVS & HCVS
ASHOKLEY.NS,AUTO - LCVS & HCVS
APOLLOTYRE.NS,TYRES
ENGINERSIN.NS,INFRASTRUCTURE - GENERAL
EXIDEIND.NS,AUTO ANCILLARIES
FEDERALBNK.NS,BANKS - PRIVATE SECTOR
GRANULES.NS,Pharmaceuticals
HAVELLS.NS,ELECTRIC EQUIPMENT
HEXAWARE.NS,Computers - Software
HINDPETRO.NS,REFINERIES
HINDUNILVR.NS,PERSONAL CARE
HINDZINC.NS,METALS
ICIL.NS,Textiles
IDBI.NS,BANKS - PUBLIC SECTOR
BRITANNIA.NS,Food Processing
IDEA.NS,TELECOM
INDUSINDBK.NS,BANKS - PRIVATE SECTOR
INFRATEL.NS,TELECOMMUNICATIONS - EQUIPMENT
INFY.NS,Computers - Software
BHEL.NS,INFRASTRUCTURE - GENERAL
JETAIRWAYS.NS,TRANSPORT & LOGISTICS
CAPF.NS,BANKS - PUBLIC SECTOR
JINDALSTEL.NS,STEEL
CENTURYTEX.NS,Textiles
