"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2005-12-07,714.05,744.9,714.05,730,729.35,20180,147.95
2005-12-08,730,740,717,722,724.05,50999,370.68
2005-12-09,725.55,734.9,718.1,719,725.9,17282,125.51
2005-12-12,731.8,738,715,715,719.35,19664,142.76
2005-12-13,722.5,731,716.1,731,722.2,22141,159.59
2005-12-14,731,748.8,721.5,727,723.1,20104,146.46
2005-12-15,730,730,701,720,705.55,32380,231.71
2005-12-16,705.05,709,689.9,700,696,14625,102.09
2005-12-19,696,712,691.25,699,694.1,34925,243.04
2005-12-20,703,703,675.1,683.4,688.5,19314,133.35
2005-12-21,690,695,668,677,676.2,29386,198.65
2005-12-22,680,685,675,675.5,678.45,9840,67
2005-12-23,715,715,662,668,666.2,7832,52.59
2005-12-26,665,667,640.2,644,649.25,25217,164.37
2005-12-27,649,668.75,642.1,662,665.5,22568,148.57
2005-12-28,665,677.5,650.65,652.25,658.3,9722,64.45
2005-12-29,667,678.45,661,670,669.95,41524,277.73
2005-12-30,670,676.9,650.1,670,664.85,22876,152.12
2006-01-02,676.95,694,671,680,679.6,29722,201.69
2006-01-03,689,713.95,682,713,711.15,49457,345.75
2006-01-04,714.5,760,714.5,717,719.8,33768,244.08
2006-01-05,723,728,719,720,721.8,25991,187.66
2006-01-06,728,730,714,728,725.7,28165,203.15
2006-01-09,724.9,724.9,704,710,712.15,19001,135.52
2006-01-10,713,717,701.4,708.1,710.1,6856,48.71
2006-01-12,700,709,695,705,700.5,14394,101.03
2006-01-13,695,710,695,701,701.15,20259,142.51
2006-01-16,700,700.5,690,693.9,692.65,11648,80.84
2006-01-17,697.5,697.5,690,694,692.4,8741,60.61
2006-01-18,695,695,680,694,692.25,15991,110.27
2006-01-19,694,694.1,688.3,692,693.05,10367,71.88
2006-01-20,694,694,678,689,687.45,12560,86.67
2006-01-23,698.4,698.4,685,694,692.4,5864,40.47
2006-01-24,687.5,703,687,687,694,10845,75.29
2006-01-25,700.3,723,695,702,702.7,22165,155.95
2006-01-27,715,719.95,704.1,705,705.2,22240,157.03
2006-01-30,710,710,698,704,700.6,20250,142.33
2006-01-31,715,721,697,710.25,709.75,50277,355.94
2006-02-01,709.35,729,709.35,720,717.15,46794,335.81
2006-02-02,721,722,712.1,722,720.65,29753,213.65
2006-02-03,721,757,708,736,737.2,48825,355.8
2006-02-06,701,760,701,755,759.15,37012,277.68
2006-02-07,759.25,776.7,747,767,760.8,17759,134.84
2006-02-08,750.1,760,736.55,740,740.7,6970,51.85
2006-02-10,742.5,750,722,722,736,8294,61.5
2006-02-13,739.7,739.7,716.1,728,721.1,10292,74.3
2006-02-14,720,762,717.1,750,748.45,21094,154.95
2006-02-15,750,755,732,740,740.05,12102,89.6
2006-02-16,745,745.95,734.6,740,741.8,6472,47.94
2006-02-17,750,755,728,735,735.1,21804,160.08
2006-02-20,726,732,715,730,726.75,8691,62.94
2006-02-21,722.35,737,722.35,731.4,729.95,12379,90.55
2006-02-22,732,737.95,730,735,734.95,10539,77.3
2006-02-23,736,743.4,730,742,739.85,15571,114.48
2006-02-24,732,738,715.2,737.2,733.85,12373,89.59
2006-02-27,732,740,727.25,730.35,737.2,50966,374.7
2006-02-28,735,750.15,725.1,750,744.4,15639,115.76
2006-03-01,748,748,726,740,736.95,64840,477
2006-03-02,725,732,710,710,719.45,46225,332.31
2006-03-03,719.9,719.9,708,708,711.55,14455,103.51
2006-03-06,715,715,705,710,710,26316,187.01
2006-03-07,712,713,701.1,701.1,702.15,7768,54.93
2006-03-08,705,710,686.1,688,689.25,82052,574.15
2006-03-09,699.95,699.95,667,692.3,692.8,27415,187.78
2006-03-10,719.9,729,675,725,699.75,27825,192.93
2006-03-13,700.5,700.5,680.1,690,689.6,32537,224.6
2006-03-14,687,687,676,681.9,679.85,183571,1246.22
2006-03-16,683,695,681,684.5,689.4,89051,610.62
2006-03-17,698,708,689.4,700.05,701.9,10940,76.65
2006-03-20,708,718.5,700,716,716.4,17932,127.21
2006-03-21,722,728,717,724.7,720.7,11834,85.64
2006-03-22,721,730,710,725,723.75,26080,188.97
2006-03-23,726.75,747,720.3,738,739.45,24486,179.94
2006-03-24,745,746.9,730,745,743.2,16656,123.13
2006-03-27,743.2,752,740,750,744.45,13740,102.02
2006-03-28,746,746,741.5,742,742.15,7431,55.16
2006-03-29,741.25,744,733,740,738.2,17205,127.31
2006-03-30,735,750,734,740,747.15,14535,107.68
2006-03-31,740,749.5,725,749.5,748,4910,36.65
2006-04-03,744.5,755,730,751.05,749.35,9948,73.94
2006-04-04,750,762,743,756,754.05,11780,88.66
2006-04-05,755,765.1,750.1,760.1,761.85,6257,47.65
2006-04-07,770,855,760.05,818,820,59615,487.55
2006-04-10,830,897,816.15,818,822.7,144071,1222.7
2006-04-12,840,864.45,820,822,829.55,62540,526.79
2006-04-13,829.55,840,821.15,830,830.85,11559,96.25
2006-04-17,831.1,845,831.05,835,837,11096,92.8
2006-04-18,844,848,822,848,842.2,10719,89.61
2006-04-19,847,855,827.1,855,847.55,19736,166.76
2006-04-20,801,869.55,801,865.1,856.95,11535,97.96
2006-04-21,866,872,850,860,860.2,23014,197.98
2006-04-24,862,870,850,860,858.3,12987,111.35
2006-04-25,858.3,859,810,845,844.85,63391,539.08
2006-04-26,827.55,858.9,827.55,858.9,856.45,7360,62.48
2006-04-27,873,873,850,853,852.55,3767,32.11
2006-04-28,825,870,800,845,854.6,17911,152.56
2006-04-29,863.9,895,860,880,880.45,12108,106.84
2006-05-02,899.9,900,865,865,873.45,99253,868.48
2006-05-03,869,889,830.1,882,879.05,10422,90.72
2006-05-04,888,973,888,939,943.9,49542,466.85
2006-05-05,900,980,900,959.95,958.15,22720,218.32
2006-05-08,958.2,958.2,910,914,933.8,15777,148.58
2006-05-09,918,940,894.1,940,915.1,21025,191.56
2006-05-10,924,925,905,910,909.9,8020,73.1
2006-05-11,908,908.45,880,882,883.75,7581,67.53
2006-05-12,885,896,868,890,889.35,23976,211.88
2006-05-15,841.1,880,841.1,853,863.15,13468,116.07
2006-05-16,864,874,780.1,872.8,860.1,12466,102.35
2006-05-17,874,874,825,850,849.95,31108,259.17
