"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,1428.25,1441.5,1415,NA,NA,NA,NA
1998-03-23,1434,1466.6,1434,1455,1455,142455,2069.92
1998-03-24,1490,1494,1436,1440,1444.6,398380,5832.55
1998-03-25,1477,1498.75,1455,1480,1481.25,300740,4450.27
1998-03-26,1485,1539,1470.75,1475,1475.6,712505,10705.85
1998-03-27,1472.05,1487,1458.05,1482.9,1483.05,303210,4465.3
1998-03-30,1488,1507,1445.1,1447.05,1452.1,300265,4418.08
1998-03-31,1452,1459,1424,1440,1438,431670,6225.09
1998-04-01,1457,1505,1457,1497,1498.6,400200,5953.6
1998-04-02,1502,1514,1480,1482,1485.1,339005,5078.76
1998-04-03,1485,1612,1483,1608,1602.6,1197385,18504.68
1998-04-06,1622,1630,1580,1598,1599.65,520345,8352.37
1998-04-07,1592.1,1621.6,1577,1580,1587.2,552655,8842.56
1998-04-09,1560,1585,1532.25,1546,1545.35,498380,7743.07
1998-04-10,1549.9,1579,1527,1541.05,1539.95,525430,8144.75
1998-04-13,1530,1530,1495,1510,1501.6,450810,6799.37
1998-04-15,1550,1585,1526.55,1542,1542.25,543060,8435.97
1998-04-16,1549,1559,1520,1526,1526.35,282835,4350.35
1998-04-17,1520,1540,1515,1535,1532.6,303825,4645.48
1998-04-20,1530,1558,1525,1526.9,1528.6,270240,4176.07
1998-04-21,1531,1542,1516,1532,1532.3,312850,4789.69
1998-04-22,1559,1647,1542,1552,1551.5,658710,10450.94
1998-04-23,1548,1582,1538,1553,1551.7,287775,4489.84
1998-04-24,1545,1569,1521.05,1558.8,1554.05,373345,5778.69
1998-04-27,1558,1581,1545.25,1575,1566.7,310285,4855.99
1998-04-28,1561,1588.1,1552,1561,1567.2,782745,12295.42
1998-04-29,1600,1612,1551,1553.7,1558.35,374315,5927.17
1998-04-30,1552,1589.7,1540.5,1573,1575.15,232605,3637.72
1998-05-04,1580,1634.9,1580,1634.9,1626.55,606350,9757.67
1998-05-05,1635,1724.95,1626.9,1711.2,1703.15,549170,9140.93
1998-05-06,1690.1,1721.9,1558,1681,1674.25,442295,7465.07
1998-05-08,1671,1694,1657,1672,1676.5,346180,5798.92
1998-05-11,1669.4,1691.9,1661,1676,1674.5,232860,3907.63
1998-05-12,1675.75,1675.75,1540.2,1615,1607.55,476880,7717.73
1998-05-13,1598,1608,1500,1515,1523.35,393405,6171.73
1998-05-14,1510.2,1639,1510,1625,1626,834720,13320.96
1998-05-15,1635,1720,1630,1707,1708.65,989775,16717.86
1998-05-18,1716,1782,1716,1762.5,1762.5,630380,11090.06
1998-05-19,1769.7,1809,1751.15,1807,1797.5,887500,15878.79
1998-05-20,1787.1,1827,1787.1,1812,1818.75,564160,10229.45
1998-05-21,1815,1839,1770,1785,1789.95,580615,10486.07
1998-05-22,1787.1,1806,1766,1789,1796.5,406630,7265.55
1998-05-25,1781,1814,1765.5,1794,1799.4,335345,6024.51
1998-05-26,1807,1830,1795,1809.5,1808.8,546180,9928.87
1998-05-27,1805,1820,1738,1743,1743.25,574605,10205.52
1998-05-28,1736,1736,1675,1685,1688.3,588880,10003.12
1998-05-29,1670,1728,1615,1693,1689.15,700595,11675.98
1998-06-01,1701.2,1769,1675,1686,1691.95,599360,10345.72
1998-06-02,1682,1692,1594,1621,1613.6,394175,6497.68
1998-06-03,1621.1,1660,1571.4,1625.05,1621.6,273530,4391.22
1998-06-04,1625,1637.35,1577.05,1580,1584,207290,3328.87
1998-06-05,1575,1580,1516,1525,1525.7,235605,3650.16
1998-06-08,1521,1545,1377.55,1462,1440.2,439040,6323.56
1998-06-09,1450,1491,1426,1455.15,1451.55,278930,4074.35
1998-06-10,1430,1455,1306.7,1306.75,1315.5,439090,5986.12
1998-06-11,1276.6,1300,1185,1201,1205.75,522690,6423.08
1998-06-12,1210,1287,1210,1233,1234.5,354080,4421.58
1998-06-15,1249,1249,1116.4,1116.4,1116.75,286860,3293.62
1998-06-16,1100,1119,1090.3,1107,1097.15,149840,1638.5
1998-06-17,1175,1206.65,1175,1206.65,1206.65,11685,140.7
1998-06-18,1281.5,1327.1,1255,1280,1278.55,128330,1673.53
1998-06-19,1260,1260,1151.5,1170,1169.2,113925,1343.35
1998-06-22,1155.7,1179,1054.1,1170,1137.3,113475,1244.51
1998-06-23,1095.1,1146,1080.05,1123,1128.1,133650,1490.04
1998-06-24,1135,1182,1120,1181.05,1175,148125,1718.23
1998-06-25,1190,1253.9,1190,1230,1238.8,243285,2986.23
1998-06-26,1225.25,1233,1193.65,1215,1218.8,153145,1858.94
1998-06-29,1199,1279.9,1191,1277,1272.25,204265,2550.74
1998-06-30,1283,1283,1206,1216,1219.15,173410,2156.09
1998-07-01,1324,1324,1225,1248,1254.1,220860,2747.39
1998-07-02,1246.25,1257,1226,1235,1234.9,101660,1261.57
1998-07-03,1230,1233,1184.65,1195,1190.4,182480,2196.08
1998-07-06,1199,1248,1199,1240,1240.75,170240,2086.03
1998-07-07,1245,1280,1242,1265,1265.1,266580,3371.72
1998-07-08,1275.85,1286,1252,1256.7,1260.15,127155,1609.1
1998-07-09,1264,1329.9,1255.95,1323,1306.2,333650,4305.21
1998-07-10,1339,1369,1325.35,1360,1359.9,354300,4790.7
1998-07-13,1369.95,1374.8,1320,1320.25,1331.85,229085,3098.72
1998-07-14,1316,1344.9,1310,1344,1340.25,173005,2302.29
1998-07-15,1350,1375,1343.5,1366,1360.5,326720,4444.58
1998-07-16,1375,1425,1360.05,1424.9,1421.9,439670,6136.53
