"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2000-06-05,230,230,170,171.15,176.2,15019,28.5
2000-06-06,180,190,167.2,190,185.1,8433,15.12
2000-06-07,189.75,189.9,172,176,175.1,5637,9.94
2000-06-08,178,180,175,178,177.5,1820,3.22
2000-06-09,180,180,175,178,177.4,1540,2.73
2000-06-12,182,182,169,173.9,173,2460,4.25
2000-06-13,171.1,174,164,164.4,165.6,2834,4.84
2000-06-14,171.5,173.75,170,172,170.75,621,1.06
2000-06-15,173.75,180,173.75,179.8,178.5,2559,4.53
2000-06-16,189,191,185.1,188,187.4,2251,4.22
2000-06-19,195,195,188.25,192.4,190.85,2292,4.4
2000-06-20,194,200,191,193.1,198.65,3276,6.43
2000-06-21,201,202.25,185.25,187,188.25,1675,3.23
2000-06-22,190,190,187,187,187,360,0.68
2000-06-23,185,188,183,183,183.15,825,1.52
2000-06-26,183.5,183.5,178.1,183,183.1,1552,2.81
2000-06-27,181,181,172.6,178.85,175.2,1540,2.73
2000-06-28,172,175,169,174.95,172.15,1706,2.93
2000-06-29,175,182,175,179.4,179.4,2531,4.52
2000-06-30,177.8,178,175,175,175.1,1200,2.11
2000-07-03,177.9,180,175.5,180,179.6,976,1.74
2000-07-04,179,180,177.1,177.25,178.7,1063,1.9
2000-07-05,179.9,180,165,174,174.4,1071,1.88
2000-07-06,168,175,168,173.65,173.65,445,0.76
2000-07-07,173.5,180,173.1,180,176.05,1674,2.93
2000-07-10,179.9,183.9,174.25,178,177.35,920,1.64
2000-07-11,174,180,174,177.45,176.55,1554,2.75
2000-07-12,180.25,180.25,176.05,177.1,178,485,0.87
2000-07-13,170,177,170,175,175,1208,2.12
2000-07-14,176,176,172.5,172.5,172.5,460,0.8
2000-07-17,172.5,173.5,170,172.9,172.9,1751,3.02
2000-07-18,166.1,169.8,163,163,164.25,1126,1.86
2000-07-19,169,174,164.25,164.3,164.3,451,0.75
2000-07-20,165.4,165.5,164,165,165,1425,2.35
2000-07-21,164,164,162.5,162.6,162.6,350,0.57
2000-07-24,162,162,152.5,152.5,152.5,1284,2.01
2000-07-25,142.1,164,142.1,163.95,163.7,1607,2.47
2000-07-26,157,161.9,157,161.9,161.9,451,0.72
2000-07-27,170,170,162,166,166,949,1.56
2000-07-28,173,174,165,165,165,849,1.42
2000-07-31,161,165,160,161,161,1035,1.68
2000-08-01,159,161,151,151,151.45,1100,1.72
2000-08-02,156,160,155,157.8,155.45,385,0.6
2000-08-03,162.5,162.8,154.25,154.25,154.55,1269,2
2000-08-04,156.5,157.8,153.1,157,155.55,495,0.77
2000-08-07,157,157,150.3,153,151.5,646,0.99
2000-08-08,156.95,156.95,146.5,151.5,150.45,800,1.2
2000-08-09,153.5,154,147.5,152.25,152.25,400,0.61
2000-08-10,152,152,142,145.8,142.8,1826,2.68
2000-08-11,149.2,150,132.8,140,138.2,1415,1.97
2000-08-14,132.75,140,130,140,138.35,843,1.13
2000-08-16,133,138.95,130,130,130.65,559,0.74
2000-08-17,134,134,122.75,125,123.9,1562,1.99
2000-08-18,125,125,123,124,124,1688,2.11
2000-08-21,124.9,124.9,116,116,116.15,738,0.87
2000-08-22,116,116,111.55,114.5,113.35,2596,2.95
2000-08-23,114.1,122.45,114,122.05,122.35,1531,1.85
2000-08-24,121.1,132.1,121,129,129.2,3310,4.18
2000-08-25,130,135,125,125,128.05,1417,1.82
2000-08-28,125,127.75,121,121,122.5,1670,2.07
2000-08-29,122,127,120,120,120.75,3380,4.18
2000-08-30,128,128,120,122,122,604,0.73
2000-08-31,121.3,123,120,120,120.9,625,0.76
2000-09-04,119,119.5,115,117,117,770,0.89
2000-09-05,115,117,109,116,116.1,637,0.73
2000-09-06,117,123.45,115,121.9,121.85,2027,2.4
