"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2002-11-29",11,11,9,10.2,10.15,2061021,205.21
"2002-12-02",10.3,11,10.3,10.95,10.95,1110112,120.72
"2002-12-03",11,11.15,10.8,10.8,10.8,527001,57.65
"2002-12-04",10.8,11,10.6,11,10.95,233538,25.41
"2002-12-05",11,11,10.85,11,11,291235,31.85
"2002-12-06",11.1,11.3,10.9,11.2,11.2,487483,54.29
"2002-12-09",11.45,11.75,11.35,11.55,11.45,535091,61.97
"2002-12-10",11.4,11.6,11.4,11.5,11.5,301710,34.67
"2002-12-11",11.6,11.75,11.55,11.65,11.7,382233,44.62
"2002-12-12",12,12.25,11.85,12.05,12,546771,65.7
"2002-12-13",12.25,12.4,12.05,12.4,12.3,635411,77.68
"2002-12-16",12.55,13.1,12.5,12.6,12.65,1052304,135.23
"2002-12-17",12.8,12.9,12.2,12.5,12.4,541386,67.04
"2002-12-18",12.85,13.1,12.7,12.9,12.85,657078,84.72
"2002-12-19",12.9,13.2,12.6,12.8,12.75,991612,128.31
"2002-12-20",12.5,13.1,12.3,12.8,12.85,334779,43.17
"2002-12-23",13.05,13.05,12.65,12.75,12.75,272436,34.86
"2002-12-24",12.9,12.9,12.6,12.65,12.75,418778,53.67
"2002-12-26",12.9,13,12.75,12.8,12.8,265161,34.03
"2002-12-27",12.95,13,12.75,12.85,12.8,471806,60.88
"2002-12-30",12.5,12.95,12.5,12.75,12.7,235345,30.09
"2002-12-31",12.7,12.75,12.55,12.6,12.6,225659,28.5
"2003-01-01",12.8,12.8,12.45,12.5,12.5,183911,23.12
"2003-01-02",12.75,12.75,12.5,12.6,12.55,159530,20.09
"2003-01-03",12.55,12.6,12.4,12.5,12.4,205046,25.58
"2003-01-06",12.4,12.5,12.05,12.1,12.05,219686,26.84
"2003-01-07",12.15,12.2,11.95,12,12.05,245272,29.6
"2003-01-08",12.2,12.2,12.05,12.05,12.05,137643,16.65
"2003-01-09",12.05,12.45,12,12.45,12.35,355513,43.69
"2003-01-10",12.45,12.8,12.3,12.5,12.45,518463,65.22
"2003-01-13",12.5,12.65,12.3,12.6,12.55,438717,54.82
"2003-01-14",12.7,13,12.5,13,12.9,640894,82.39
"2003-01-15",13.1,13.45,13.1,13.3,13.3,891600,118.8
"2003-01-16",13.75,14.55,13.5,14.4,14.35,2389324,337.68
"2003-01-17",14.55,14.7,13.9,14.55,14.45,1201673,173.06
"2003-01-20",14.35,15.4,14.15,15.4,15.2,1702784,255.52
"2003-01-21",15.85,16.9,15.75,16.9,16.7,2945419,482.45
"2003-01-22",17.8,18.75,16.85,16.95,17,3027735,527.31
"2003-01-23",17.3,17.5,16.25,16.6,16.7,1522166,256.91
"2003-01-24",16.85,16.9,15.25,15.6,15.45,1152480,183.6
"2003-01-27",14.5,15.25,13.8,14.2,14.15,1141510,163.32
"2003-01-28",14.5,15.35,14.2,15.3,15.2,1015690,150.3
"2003-01-29",15.5,15.9,15.05,15.2,15.3,728462,112.32
"2003-01-30",15.5,17.4,15.5,15.85,15.85,1275263,205.87
"2003-01-31",15.6,16,15.45,15.6,15.55,644738,100.98
"2003-02-03",15.85,16.05,15.6,15.9,15.85,564762,89.78
"2003-02-04",16,16.25,15.75,15.8,15.85,627720,100.8
"2003-02-05",15.7,15.8,15.15,15.3,15.2,437548,67.29
"2003-02-06",15.7,15.7,14.95,15.5,15.55,511260,78.29
"2003-02-07",15.6,15.6,15.1,15.15,15.15,285910,43.72
"2003-02-10",15.5,15.5,14.5,14.5,14.55,319362,47.27
"2003-02-11",14.6,14.85,14.25,14.25,14.3,258013,37.43
"2003-02-12",14.25,14.65,14.1,14.2,14.2,245695,35.13
"2003-02-14",14.5,14.5,13.4,13.45,13.5,372186,50.84
"2003-02-17",14.6,14.9,14.15,14.9,14.75,442688,64.41
"2003-02-18",15,15.45,14.9,15,15,543314,82.24
"2003-02-19",15.35,15.7,15.05,15.4,15.35,757668,116.8
"2003-02-20",15.6,16.25,15.25,15.4,15.35,682342,106.26
"2003-02-21",15.35,15.55,15.15,15.35,15.25,312702,47.91
"2003-02-24",15.5,15.65,15.2,15.2,15.3,415615,64.16
"2003-02-25",15.2,15.3,14.65,14.65,14.75,297885,44.29
"2003-02-26",14.4,14.85,14.15,14.4,14.3,375413,54.1
"2003-02-27",14.3,14.9,14.2,14.85,14.7,244397,35.57
"2003-02-28",14.9,15.15,14,14.1,14.1,617605,90.01
"2003-03-03",14.5,14.8,14.25,14.35,14.4,274290,39.95
"2003-03-04",14.35,14.35,14.05,14.1,14.05,153662,21.76
"2003-03-05",14,14.15,13.5,13.85,13.95,253417,34.85
"2003-03-06",13.85,14.1,13.65,13.75,13.8,208045,28.94
"2003-03-07",13.8,13.8,13.4,13.55,13.5,226421,30.61
"2003-03-10",13.1,13.7,13,13.15,13.05,187456,24.72
"2003-03-11",13,13.25,12.7,13.2,13.2,304934,39.48
"2003-03-12",13.8,13.8,13.1,13.1,13.25,286853,38.56
"2003-03-13",13.2,13.4,13.05,13.35,13.2,163873,21.58
"2003-03-17",13.3,13.3,12.8,12.95,12.95,201642,26.02
"2003-03-19",13.3,13.3,12.85,12.9,12.9,164744,21.48
"2003-03-20",12.8,13.4,12.8,13.3,13.3,369144,48.66
"2003-03-21",13.3,13.55,13.25,13.4,13.3,203294,27.21
"2003-03-22",13.6,13.8,13.5,13.65,13.65,109510,14.92
"2003-03-24",13.5,13.6,13.15,13.25,13.2,146260,19.44
"2003-03-25",12.85,13.15,12.85,13.15,13.05,171396,22.36
"2003-03-26",13.2,13.4,13,13,13,185043,24.28
"2003-03-27",13,13.25,13,13.15,13.1,145809,19.16
"2003-03-28",13.05,13.7,13.05,13.6,13.55,324546,43.81
"2003-03-31",13.4,13.6,13.05,13.15,13.1,244968,32.39
"2003-04-01",13.35,13.45,13.15,13.25,13.25,168067,22.34
"2003-04-02",13.55,13.85,13.45,13.8,13.75,312570,42.75
"2003-04-03",13.85,14.35,13.85,14.35,14.25,434615,61.77
"2003-04-04",14.2,15.1,14.2,14.9,14.95,776461,115.71
"2003-04-07",15.5,15.7,15.1,15.35,15.4,894498,138.51
"2003-04-08",15.5,15.75,14.85,15.5,15.5,1014195,156.21
"2003-04-09",15.5,16.2,15.4,15.45,15.45,1129365,178.59
"2003-04-10",14.9,15.55,14.85,15.2,14.95,676618,102.56
"2003-04-11",15.5,15.55,14.9,15,14.95,396066,59.88
"2003-04-15",15.3,15.35,14.8,15.15,15.05,316022,47.51
"2003-04-16",15,15.25,14.9,15.1,15.1,231107,34.95
"2003-04-17",15,15.35,14.85,14.9,14.9,357207,53.76
"2003-04-21",15,15.1,14.7,14.75,14.8,152971,22.83
"2003-04-22",14.9,14.9,14.25,14.6,14.55,219892,31.9
"2003-04-23",14.7,14.9,14.2,14.45,14.4,261824,37.78
"2003-04-24",14.45,14.95,14.3,14.6,14.6,203651,29.9
"2003-04-25",14.8,14.85,14.4,14.45,14.45,141182,20.53
"2003-04-28",14.4,15,14.4,14.75,14.85,391209,57.98
"2003-04-29",14.8,15.05,14.55,14.7,14.6,334119,49.37
"2003-04-30",14.45,15.1,14.45,15.05,15,468813,69.73
"2003-05-02",15,15.85,15,15.75,15.7,907545,141.21
"2003-05-05",15.8,16.8,15.8,16.3,16.3,1468443,240.41
"2003-05-06",16.6,17.25,16.35,16.55,16.45,1427556,239.21
"2003-05-07",16.75,16.8,16,16.05,16.05,510425,82.91
"2003-05-08",16.3,16.3,15.85,15.9,15.95,394571,63.28
"2003-05-09",16,16.4,15.7,16.15,16.05,428383,68.95
"2003-05-12",16.3,16.85,16,16.7,16.65,1048561,173.55
"2003-05-13",16.75,17.3,16.75,16.9,16.9,1773263,302.29
"2003-05-14",17,17.75,17,17.6,17.65,1686458,295.07
"2003-05-15",17.8,18.4,17.65,18.15,18.1,1736373,314.19
"2003-05-16",18.3,18.5,17.15,17.7,17.65,1592888,283.5
"2003-05-19",17.7,17.9,16.65,16.8,16.8,1518975,261.57
"2003-05-20",16.5,16.95,16.25,16.7,16.6,888396,148.35
"2003-05-21",17,17.2,16.6,16.9,16.8,792861,134.83
"2003-05-22",16.9,17.2,16.6,16.75,16.7,509155,85.59
"2003-05-23",17,17.5,16.8,17.1,17.2,952509,163.66
"2003-05-26",17.25,18,17,17.9,17.9,1380240,244.55
"2003-05-27",18.25,18.4,17.75,17.8,17.9,1566281,283.15
"2003-05-28",18,18.6,17.95,18.6,18.5,2078458,381.13
"2003-05-29",19,22.2,18.75,21.2,21.25,7664710,1595.85
"2003-05-30",21.7,22.4,20.4,20.6,20.65,3734174,797.66
"2003-06-02",20,20,17.6,18.45,18.35,2489540,465.22
"2003-06-03",17.55,19.6,17.55,19.3,19.3,1785889,342.27
"2003-06-04",19.85,20.3,19.7,19.8,19.85,1801975,360.18
"2003-06-05",20,21,19,19.1,19.2,1652606,327.24
"2003-06-06",18.5,19.25,18.5,18.95,18.85,810395,153.03
"2003-06-09",18.95,19.45,18.3,18.3,18.5,568393,106.73
"2003-06-10",17.9,18.2,17.1,17.55,17.25,895513,158.15
"2003-06-11",17.05,18.3,17.05,18.3,18.1,900404,160.09
"2003-06-12",18.7,18.7,18.05,18.15,18.1,736850,135.58
"2003-06-13",18.45,18.5,17.8,17.95,17.9,630990,113.36
"2003-06-16",17.9,17.9,17.3,17.45,17.45,567623,99.58
"2003-06-17",17.6,17.9,17.4,17.8,17.75,792953,140.08
