"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,79.55,80.5,79.25,NA,NA,NA,NA
1998-03-23,80.45,80.8,80.45,80.8,80.8,500,0.4
1998-03-24,82,82.8,81,82.25,81.95,14200,11.61
1998-03-25,83.5,89.9,83,89.9,89.25,27300,23.5
1998-03-26,89,93,85.25,85.9,86.3,26600,23.45
1998-03-27,85.05,88.65,84.2,88,88.4,9300,8.11
1998-03-30,86.55,89,86.55,86.6,86.95,20200,17.8
1998-03-31,86.9,88.25,84.25,86,85.05,24800,21.3
1998-04-01,88.5,93,88.05,92.25,91.6,27400,24.65
1998-04-02,92.05,94,91.05,91.8,91.8,16000,14.82
1998-04-03,92,92.5,90.5,92.5,92.35,12900,11.85
1998-04-06,92,96,92,93.1,93.35,23300,21.92
1998-04-07,93.5,94,92,93.75,93.05,23000,21.38
1998-04-09,97.95,102.4,97.95,102.4,102.4,39100,39.42
1998-04-10,108,112.65,106.6,112.65,112.65,45200,49.64
1998-04-13,110,116.25,105,116.25,116.25,46400,52.39
1998-04-15,123.45,127.9,122,127.9,127.9,13300,16.84
1998-04-16,136.9,139.5,122,123,123.65,77000,100.52
1998-04-17,124,129,116,127.25,127.05,49000,59.94
1998-04-20,118,135,118,128,129.7,97600,126.46
1998-04-21,133.45,142.7,131,142.7,142.7,86200,117.26
1998-04-22,151,157,145,145,147.45,154700,238.06
1998-04-23,144,147.5,137,143,140.6,72900,103.85
1998-04-24,144.1,146.4,127.75,138.5,137.5,71600,98.2
1998-04-27,141.4,144.9,132.15,134.9,134.45,58300,80.81
1998-04-28,132.1,132.75,125.5,128.9,126.6,86100,110.8
1998-04-29,133,135,123.5,125.05,125.75,49400,64.03
1998-04-30,123.5,130,118.55,129.5,128,55100,68.79
1998-05-04,128.05,132.85,127.25,132.5,131.6,54800,71.61
1998-05-05,133,142.75,130,141.9,141.15,69100,94.36
1998-05-06,146,146,137.1,139.8,138.4,74000,105.11
1998-05-08,135.05,140,135,138,137.9,24000,32.96
1998-05-11,137,141,135.75,140.9,140.85,26300,36.36
1998-05-12,134,136.5,127,131.3,132.2,69700,91.76
1998-05-13,126,136.5,125,125.15,126.55,59100,77.21
1998-05-14,120,134.95,120,130.55,130.35,45900,58.93
1998-05-15,131,133.05,129.05,130.3,130.2,23900,31.35
1998-05-18,133,136.5,132.05,135.25,134.9,36400,49.19
1998-05-19,134,148.4,134,148.4,148.4,58300,83.86
1998-05-20,157,163.25,155.8,163.25,163.25,84500,136.8
1998-05-21,170,170,154,156,158.3,82400,131.35
1998-05-22,158.85,160,156,159.95,159.1,30200,47.66
1998-05-25,157.1,163,156.15,158,158.45,46400,74.33
