"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2007-07-24",135.05,136.5,133.15,134.8,134.1,2056143,2772.45
"2007-07-25",135,135,125,128,128.6,5573355,7098.35
"2007-07-26",129,129.4,124.05,124.6,125.05,4590515,5771.56
"2007-07-27",124,128.5,120.1,125.5,125.15,5920130,7403
"2007-07-30",125.65,132.75,121.1,128.3,129.6,5033386,6547.58
"2007-07-31",129.45,132.5,129,131.25,131.4,3703055,4849.32
"2007-08-01",130.05,130.9,125.15,128.05,128.9,4117743,5264.91
"2007-08-02",129.3,135.65,127.55,130.9,130.45,5367330,7080.68
"2007-08-03",129.9,132,128,128.7,129.05,4305570,5593.53
"2007-08-06",127.9,127.9,124.6,127,126.5,4243577,5345.86
"2007-08-07",125,130.85,125,127.3,126.9,2286936,2942.15
"2007-08-08",126.35,130,126.35,129.8,129.55,2160475,2790.99
"2007-08-09",130,132,125.65,128.2,127.2,5383855,6941.29
"2007-08-10",125,128.9,121.1,127.2,126.7,3800413,4806.3
"2007-08-13",127.65,132.7,127.5,129.9,129.9,4531169,5911.91
"2007-08-14",130.5,131.4,128.1,130,129.65,4069837,5278.1
"2007-08-16",128.5,130.2,124.1,126.4,127.25,5811440,7430.65
"2007-08-17",125.8,129.9,123.3,126.6,126.6,6641644,8424.82
"2007-08-20",124,131.5,124,128.35,127.8,6304275,8138.68
"2007-08-21",127.1,129.5,126.1,127.05,126.85,4481706,5712.57
"2007-08-22",130,132,126.95,131.5,130.2,10507109,13628.98
"2007-08-23",154,154,131.55,132.65,132.85,13470315,18215.91
"2007-08-24",134,136.3,131.8,135.75,135.6,5792772,7771.73
"2007-08-27",135.6,137,132.8,133.7,133.5,3994201,5358
"2007-08-28",133.6,134.8,132.5,134.1,134.05,4078557,5466.74
"2007-08-29",134,134.9,131.4,133.75,133.35,3829732,5117.99
"2007-08-30",134,134.8,132.5,133.1,133.4,3981926,5313.45
"2007-08-31",133,134.4,132.75,133.5,133.45,1067342,1428.43
"2007-09-03",134,134.8,132.5,134.15,134.05,2132275,2845.2
"2007-09-04",134.8,137.5,133.6,136.15,136.2,2757026,3734.64
"2007-09-05",136.8,139.1,136,139,137.65,3736359,5126.63
"2007-09-06",137.65,141.5,137,140.5,141.05,3623268,5073.66
"2007-09-07",141,142.45,139,139.55,139.9,2638321,3696.57
"2007-09-10",139,145,139,144.15,144.35,3261217,4641.12
"2007-09-11",143.95,146.65,141.6,143,143.05,2366885,3415.99
"2007-09-12",143.25,145,141.05,142,141.9,1766119,2528
"2007-09-13",142,145,141.7,144.3,144.25,1145398,1647.11
"2007-09-14",145.25,145.9,141.8,144.3,144.5,2974460,4279.88
"2007-09-17",145,146.95,144.25,144.85,145.35,1250077,1821.14
"2007-09-18",145.35,146.95,144.55,146.95,146.55,1087779,1590.95
"2007-09-19",147.1,148.5,145.75,147,147.4,4804272,7067.45
"2007-09-20",147.9,147.9,145,146.25,145.65,2916779,4266.59
"2007-09-21",147,149.45,143.5,147.75,146.5,9711968,14325.58
"2007-09-24",148,149.2,143.65,148,148.2,2980283,4357.51
"2007-09-25",148.2,148.2,145.5,146.8,147.35,2268618,3325.7
"2007-09-26",147,148.95,146.5,147.5,147.6,2886006,4267.69
