"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2001-04-04,10,10,8.5,9,8.9,123452,10.88
2001-04-06,9.2,9.4,8.85,9.05,9.05,42403,3.84
2001-04-09,9.5,9.5,8.6,8.6,8.7,58066,5.09
2001-04-10,8.6,8.8,8.3,8.5,8.45,109530,9.29
2001-04-11,8.65,8.7,8.2,8.35,8.35,50620,4.24
2001-04-12,8.35,8.35,8,8,8,57110,4.6
2001-04-16,8,8.4,7.9,8,7.95,63724,5.08
2001-04-17,8,8.1,7.8,8,7.9,86269,6.89
2001-04-18,8.2,8.6,8.1,8.5,8.5,115662,9.67
2001-04-19,8.9,8.9,8.4,8.5,8.4,82517,7.03
2001-04-20,8.45,8.5,8.3,8.3,8.3,61332,5.15
2001-04-23,8.55,8.55,8.3,8.3,8.4,42050,3.53
2001-04-24,8.3,8.45,8.3,8.4,8.4,50336,4.21
2001-04-25,8.4,8.5,8.35,8.45,8.45,23150,1.95
2001-04-26,8.5,8.75,8.4,8.6,8.65,49617,4.25
2001-04-27,8.75,8.8,8.35,8.35,8.4,47275,3.99
2001-04-30,9,9,8.2,8.35,8.3,52835,4.39
2001-05-02,8.3,8.6,8.25,8.5,8.55,52775,4.47
2001-05-03,8.5,8.85,8.45,8.45,8.45,15200,1.3
2001-05-04,8.5,8.7,8.35,8.6,8.55,43875,3.73
2001-05-07,8.55,8.85,8.55,8.8,8.8,48575,4.23
2001-05-08,8.75,8.8,8.6,8.6,8.6,47600,4.12
2001-05-09,8.7,8.7,8.5,8.55,8.55,28405,2.44
2001-05-10,8.65,8.65,8.5,8.5,8.5,59295,5.06
2001-05-11,8.6,8.6,8.5,8.55,8.5,33140,2.84
2001-05-14,8.5,8.6,8.5,8.5,8.5,38625,3.29
2001-05-15,8.4,8.55,8.25,8.35,8.35,55043,4.62
2001-05-16,8.5,8.55,8.3,8.4,8.4,28805,2.44
2001-05-17,8.3,8.5,8.3,8.4,8.3,31518,2.64
2001-05-18,8.65,8.65,8.2,8.4,8.4,22650,1.88
2001-05-21,8.5,8.55,8.4,8.5,8.5,40451,3.43
2001-05-22,8.4,8.6,8.4,8.6,8.55,49320,4.19
2001-05-23,8.65,8.65,8.5,8.55,8.55,23937,2.04
2001-05-24,8.55,8.6,8.5,8.55,8.5,14906,1.27
2001-05-25,8.5,8.55,8.45,8.5,8.5,32404,2.76
2001-05-28,8.5,8.6,8.35,8.5,8.55,33999,2.91
2001-05-29,8.55,8.7,8.5,8.6,8.55,53332,4.54
2001-05-30,8.65,9.4,8.5,9,9,131775,11.65
2001-05-31,9.1,9.15,8.8,8.85,8.85,38700,3.46
2001-06-01,8.8,9,8.8,8.95,8.9,56850,5.08
2001-06-04,8.8,8.95,8.55,8.6,8.65,100724,8.77
2001-06-05,8.7,8.8,8.6,8.75,8.7,86985,7.56
2001-06-06,8.8,8.8,8.65,8.8,8.75,509721,44.6
2001-06-07,8.85,8.85,8.75,8.85,8.8,40919,3.61
2001-06-08,8.75,8.95,8.7,8.95,8.9,118640,10.51
2001-06-11,8.9,8.95,8.8,8.8,8.8,30105,2.67
2001-06-12,8.75,9.1,8.75,9,9,148854,13.33
2001-06-13,9.1,9.2,9,9.2,9.15,182839,16.66
2001-06-14,9.35,9.4,9.15,9.25,9.3,377310,34.95
2001-06-15,9.2,9.25,9.05,9.05,9.05,174475,15.89
2001-06-18,9.3,9.3,8.9,9.1,9.1,117327,10.58
2001-06-19,9.1,9.2,8.9,8.9,8.9,107550,9.71
2001-06-20,9,9,8.9,8.9,8.9,46041,4.11
2001-06-21,8.9,9.1,8.9,9,9.05,61490,5.53
2001-06-22,8.9,9.05,8.9,8.95,8.95,38725,3.47
2001-06-25,9,9,8.7,8.75,8.75,73215,6.46
2001-06-26,8.75,9,8.75,8.85,8.9,42900,3.82
2001-06-27,9,9,8.85,8.85,8.9,44661,3.98
2001-06-28,8.9,9,8.75,9,8.95,31081,2.78
2001-06-29,8.95,8.95,8.8,9,8.85,100455,8.9
2001-07-02,8.8,8.95,8.8,8.9,8.9,31250,2.78
2001-07-03,8.95,9.05,8.85,8.9,8.9,30605,2.73
2001-07-04,9,9.05,8.9,8.95,8.95,18837,1.68
2001-07-05,9.1,9.1,9,9,9.1,10670,0.96
2001-07-06,9.1,9.1,8.9,9.1,9,21115,1.91
2001-07-09,8.5,8.5,8.1,8.15,8.15,12500,1.03
2001-07-10,8.5,8.5,8.15,8.25,8.25,9510,0.79
2001-07-11,8.2,8.2,8.15,8.2,8.2,3200,0.26
2001-07-12,8.2,8.3,8.1,8.3,8.3,6660,0.55
2001-07-13,8.3,8.35,8.15,8.35,8.35,26700,2.22
2001-07-16,8.35,8.35,8.2,8.2,8.2,10020,0.83
2001-07-17,8.25,8.3,8.2,8.2,8.2,10200,0.84
2001-07-18,8.2,8.3,8.2,8.3,8.3,4265,0.35
2001-07-19,8.3,8.3,8.2,8.2,8.25,15020,1.24
2001-07-20,8.15,8.2,8.1,8.2,8.15,16665,1.36
2001-07-23,8.75,8.75,8.75,8.75,8.75,500,0.04
2001-07-24,8.4,8.4,8.05,8.15,8.15,7100,0.58
2001-07-25,8.25,8.25,7.9,7.95,8,25600,2.05
2001-07-26,8,8.05,7.75,8,7.95,6850,0.54
2001-07-27,8,8,7.75,7.95,7.95,31050,2.43
2001-07-30,8.1,8.15,8,8.15,8.1,3400,0.27
2001-07-31,7.95,8.2,7.9,8.1,8.15,5400,0.44
2001-08-01,8,8.15,7.9,7.95,7.95,3701,0.3
2001-08-02,8,8.1,8,8,8,3532,0.28
2001-08-03,8.2,8.25,8,8.05,8.05,67849,5.53
2001-08-06,8.25,8.25,8,8,8,24400,1.95
2001-08-07,8.05,8.2,8.05,8.1,8.05,31402,2.55
2001-08-08,8.3,8.3,8,8.15,8.15,21125,1.72
2001-08-09,8.15,8.2,8.15,8.2,8.15,15299,1.25
2001-08-10,8.05,8.25,8.05,8.25,8.25,12695,1.04
2001-08-13,8.15,8.25,8.15,8.15,8.15,12757,1.04
