"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",69.85,70.75,68.75,NA,NA,NA,NA
"1998-03-23",69.3,70.25,69.3,70.2,70.2,8600,6.03
"1998-03-24",73,77.25,71,77.25,77.25,130150,96.83
"1998-03-25",80.95,85,79,84,84.45,608400,507.47
"1998-03-26",85.9,86,80.75,81.45,81.35,194600,163.67
"1998-03-27",80.75,83.4,79.25,83,83.1,108500,89.24
"1998-03-30",85,86.5,82.2,82.6,82.75,321750,270.51
"1998-03-31",82.05,83.25,79.1,80,79.7,159200,128.95
"1998-04-01",81.05,84.9,81.05,84.7,84.65,90100,75.41
"1998-04-02",85.4,93.15,85,91.3,91.95,288300,260.55
"1998-04-03",90,94.95,90,94.55,93.65,204250,190.91
"1998-04-06",96.35,99.55,96.35,99.55,99.55,92950,92.5
"1998-04-07",99.6,99.6,99.6,99.6,99.6,6800,6.77
"1998-04-09",118,120.6,118,120.6,120.6,196900,237.26
"1998-04-10",122,124.4,120.6,122.6,123.6,311800,383.79
"1998-04-13",120.5,124.4,112,124.4,124.4,196650,238.99
"1998-04-15",136,136.85,135,136.85,136.85,61800,84.52
"1998-04-16",147.7,147.7,126.1,129.55,130.15,236050,317.39
"1998-04-17",120.1,137,120.1,133,133.6,285650,374.81
"1998-04-20",132.95,146,132,138.75,139.9,426700,593.45
"1998-04-21",138,153.9,138,153.9,153.9,321900,472.6
"1998-04-22",164.9,169.3,153,155,158.7,914400,1495.67
"1998-04-23",151,156.9,145.35,146.55,147.7,451350,684.86
"1998-04-24",146.6,150,132.95,137.5,136.7,516250,712.95
"1998-04-27",140,140.9,123.25,125,124.9,476700,616.96
"1998-04-28",124.25,125,115.6,115.6,115.6,398750,464.34
"1998-04-29",118,127.2,113,113.5,115.15,374250,454.59
"1998-04-30",113,119.8,107.55,118,116.2,464700,523.05
"1998-05-04",123.7,127.85,120.4,127.85,127.85,511200,642.14
"1998-05-05",134.85,140.65,131.05,140.65,140.65,413050,563.37
"1998-05-06",146.9,146.9,132.75,134.6,134.75,754700,1052.55
"1998-05-08",132.5,134.75,129.5,130.5,130.85,493750,652.56
"1998-05-11",132,132.4,128,131.95,131.5,214800,281.98
"1998-05-12",130.5,130.5,118.35,121,119.25,641450,779.86
"1998-05-13",111,127,111,116.9,116.6,378700,457.65
"1998-05-14",125,125.5,116,125.2,124.65,275100,335.25
