"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",41.3,41.6,39.5,NA,NA,NA,NA
"1998-03-23",41.2,41.5,41,41.4,41.4,38300,15.81
"1998-03-24",42.9,43.15,40.5,41.75,41.25,364600,152.72
"1998-03-25",43.2,44.15,42.05,43.6,43.85,187100,80.6
"1998-03-26",44.95,47,41.5,41.95,42,192900,84.81
"1998-03-27",41.9,43.5,41.1,43.05,43.05,123100,52.33
"1998-03-30",43.5,44.35,41.5,42.05,42.1,142200,60.78
"1998-03-31",41.75,42,40.05,41.2,40.5,155450,63.81
"1998-04-01",42.5,44,41.3,43.45,43.45,152300,65.19
"1998-04-02",43.8,44.25,42.7,43,43.1,135450,58.94
"1998-04-03",43.5,43.7,42.6,43.5,43.5,77850,33.74
"1998-04-06",43.5,45.75,43.05,45.15,44.8,173050,76.79
"1998-04-07",45,47.75,44.75,47.5,46.9,177450,81.89
"1998-04-09",51.5,56.75,51.5,56.75,56.5,310950,173.08
"1998-04-10",58,58.6,57,58,57.9,168650,97.86
"1998-04-13",54.5,56,53,55.05,54.1,170050,93.17
"1998-04-15",55,59.5,55,58.75,58.5,234800,136.49
"1998-04-16",58.25,59.3,53.3,53.3,54.8,119600,67.18
"1998-04-17",54.95,54.95,52.2,54.75,54,101450,54.26
"1998-04-20",54.4,59.4,53.6,57,57.35,267900,153.99
"1998-04-21",58,58,55.75,57.55,56.95,136450,77.33
"1998-04-22",61,61.9,55.65,56.5,56.65,163400,95.82
"1998-04-23",55.95,56.45,52.5,54,53.25,107050,58.8
"1998-04-24",52,54.7,48,51,51.4,109100,54.78
"1998-04-27",53,53,49.5,51,51.05,94900,48.17
"1998-04-28",49.5,53,48.6,52.3,52.5,330250,170.04
"1998-04-29",53,53.6,51,52.35,52.05,93000,48.54
"1998-04-30",51.05,52.95,49.1,52.35,52.4,71700,36.66
"1998-05-04",54.75,54.75,52.55,53.95,53.75,67150,36.01
"1998-05-05",53.9,57,53.2,56,56.25,100200,54.82
"1998-05-06",57.5,57.5,53,54.6,54.15,72600,39.45
"1998-05-08",52.75,54,52.6,53.5,53.5,34300,18.3
"1998-05-11",53.5,53.6,52.5,53.5,53.4,25400,13.5
"1998-05-12",52.55,52.6,48.5,52,52,58550,30.09
"1998-05-13",51,51,48,48.55,49.15,124900,61.96
"1998-05-14",48,51.8,47.25,51.55,51.05,83000,41.07
"1998-05-15",51.15,56.2,51.15,53.9,54.75,143450,77.72
"1998-05-18",54.95,56.45,54,55.2,54.7,58800,32.61
"1998-05-19",55.3,58.3,54.35,57.2,57.85,89950,50.7
"1998-05-20",58,59,56.75,57.3,57.45,42250,24.37
"1998-05-21",56.25,57.7,53.2,54.8,54.7,29300,16.21
"1998-05-22",53.5,55.25,53.5,55,54.9,19050,10.37
"1998-05-25",54.25,54.8,53.5,53.5,53.6,18050,9.73
"1998-05-26",54,54,50,50.4,51.15,35150,18.4
"1998-05-27",53,53.7,51.2,51.5,51.55,18300,9.55
"1998-05-28",51.1,52.5,50.4,50.55,50.95,27100,13.95
"1998-05-29",50,51.95,48.5,49.9,50,65800,33.12
"1998-06-01",50,52.5,48.75,48.75,49.25,32150,16.42
"1998-06-02",47.7,50.3,45,46.4,45.35,37050,17.22
"1998-06-03",46.05,46.75,44.1,45.95,45.95,30450,13.77
"1998-06-04",49.9,49.9,45.65,46.5,46.25,11700,5.42
"1998-06-05",45.9,45.9,41.8,41.8,42,28750,12.48
"1998-06-08",41.8,42,37.85,40.65,39.05,25600,9.94
"1998-06-09",40.65,42.5,39,42.5,40.75,40700,16.44
"1998-06-10",42,42,37.25,37.25,37.85,33600,13
"1998-06-11",39,41.6,34.1,40.9,40.3,35050,13.1
"1998-06-12",43,43.75,39,41.5,40.6,40350,16.59
"1998-06-15",41.9,41.9,36.65,36.65,36.95,28500,10.9
"1998-06-16",36.5,38.4,34,37.5,37.8,22000,8.06
"1998-06-17",39.9,41.3,37.25,41.3,41,47150,18.51
"1998-06-18",43,43.4,40.15,42,42.05,50650,21.44
"1998-06-19",42,42,38.25,40,40.25,33900,13.46
"1998-06-22",38.7,39,36.55,38.7,38.2,13900,5.27
"1998-06-23",37.5,38.95,36.65,37.6,37.75,15000,5.67
"1998-06-24",38.15,40.9,38.15,40.5,40.1,9300,3.71
"1998-06-25",42,43.05,40.1,42.5,42.55,52900,22.28
"1998-06-26",41.75,46.8,40.4,46.15,46.55,40800,17.82
"1998-06-29",45,46.9,44.15,45.55,45.8,25000,11.41
"1998-06-30",44.25,44.7,42.55,44.25,43.9,29000,12.66
"1998-07-01",43,43,39.55,39.55,39.55,7900,3.14
"1998-07-02",37.7,39.5,35.6,35.85,35.85,56100,20.63
"1998-07-03",35,36,34,35,35,19600,6.9
"1998-07-06",37.9,38,34.4,35,34.7,18550,6.53
"1998-07-07",35.6,36,34.1,34.1,35.15,24650,8.72
"1998-07-08",36,36.85,35,35.75,36.15,15300,5.52
"1998-07-09",35.45,38.4,35.35,36,35.95,42050,15.41
"1998-07-10",36.5,36.65,34.6,36.5,36,44500,15.69
"1998-07-13",35.6,37.25,34.8,35,35,80400,29.13
"1998-07-14",35,35.95,33.25,33.75,34.1,171550,59.52
"1998-07-15",36,36.85,35.75,36.25,36,163850,60.06
"1998-07-16",36.4,36.45,35.8,36.05,36.2,46200,16.7
"1998-07-17",36.5,36.5,35.5,36,35.75,52750,19.02
"1998-07-20",35.5,35.8,33.3,34.25,34.1,46700,16.14
"1998-07-21",33,35,33,34.5,34.65,26050,8.98
"1998-07-22",35,35,34.25,34.75,34.55,8850,3.06
"1998-07-23",35.25,35.25,31.8,32.2,32.05,72950,23.81
"1998-07-24",31.5,32.5,29.95,30,30.1,80000,24.65
"1998-07-27",30,30.75,27.7,27.7,27.8,65150,18.52
"1998-07-28",26.05,28.9,25.6,28.5,28.55,75200,20.03
"1998-07-29",28,29.5,27.55,28.55,28.85,43550,12.46
