"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",292,294.8,288.25,NA,NA,NA,NA
"1998-03-23",292.5,292.5,290,291,291,200,0.58
"1998-03-24",291,294,288,290,291.7,13600,39.57
"1998-03-25",299,319,297.5,315,317.75,39100,121.82
"1998-03-26",315,327,307.1,312.9,311.4,38000,121.64
"1998-03-27",310,317.75,305.1,314.5,315.55,17000,53.47
"1998-03-30",319,324,311.1,311.5,313.15,24100,76.87
"1998-03-31",313.75,315.5,303.1,309,305.95,18200,56.04
"1998-04-01",315,320.5,307.5,320,319.15,21350,67.8
"1998-04-02",318,320,314,314,314.05,3800,12.04
"1998-04-03",314,315,308,308,308.4,15100,47.03
"1998-04-06",310,312,305.35,308.8,308.8,11400,35.32
"1998-04-07",280,315,280,308.05,310.25,23750,74.09
"1998-04-09",325,351,325,342.5,341.1,38250,131.16
"1998-04-10",341,342.5,326,329.9,329.1,18050,60.28
"1998-04-13",322,329.5,315,326.9,324.9,28700,93.33
"1998-04-15",339,339.4,334,336.5,335.75,10200,34.31
"1998-04-16",330,335,325.5,325.5,327.65,7050,23.25
"1998-04-17",325,329.45,324.5,328,326.9,14050,45.83
"1998-04-20",327,331,325,325,326.25,9750,32
"1998-04-21",328.65,357.5,323.5,355,355.4,32800,112.52
"1998-04-22",375,384,340,342,340.6,35150,125.64
"1998-04-23",342,343.5,333.25,333.25,334.9,12450,42.22
"1998-04-24",334,335,311,322.6,323.95,12500,40.57
"1998-04-27",325,328,310,313,311.1,13150,41.58
"1998-04-28",314,314,309.5,313.95,310.6,18050,55.97
"1998-04-29",315,318.5,312,312.3,312.9,4850,15.33
"1998-04-30",309,314,308.25,313,313.2,4800,14.94
"1998-05-04",313,321,313,321,320.15,4350,13.8
"1998-05-05",325,330,318.3,329.75,326,11500,37.19
"1998-05-06",323.5,331.5,315,319.45,315.55,8450,27.3
"1998-05-08",307,310.5,301,305.1,306.6,9500,29.22
"1998-05-11",304,308.85,303,307.45,306.8,2300,7.05
"1998-05-12",300,308,296.5,304,305.2,14450,43.77
"1998-05-13",308,308,302,302.05,302.7,5300,16.14
"1998-05-14",300,307.65,296.25,307.5,307.5,2750,8.35
"1998-05-15",300,307,295.75,300,300,8600,25.73
"1998-05-18",299,299.5,297.25,299,299.1,19800,59.21
"1998-05-19",298.05,300,290,290,296.6,7200,21.46
"1998-05-20",298.5,299,295.15,298,298,3600,10.75
"1998-05-21",295.05,298.75,295,297,297,4600,13.67
"1998-05-22",293,295,286,292,290.75,7400,21.37
"1998-05-25",290.9,295.75,290,295.75,294.6,8850,26
"1998-05-26",293,297,292,296.3,296.25,7450,21.95
"1998-05-27",296,308.75,295,305,304.1,6450,19.55
"1998-05-28",301,310,298,298,298.15,13300,40.26
"1998-05-29",298,298,292.05,297,297,7950,23.39
"1998-06-01",299,300,290,290,290.85,13000,38.66
"1998-06-02",288,288,280,284,281.6,12400,35.09
"1998-06-03",281,284,278.05,284,283.15,7550,21.16
"1998-06-04",283.95,285,274,275,275,35700,98.55
