"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2007-08-16",588,594.9,551,558,557.85,860905,4860.75
"2007-08-17",546.05,581,534,577,575.15,1338154,7494.97
"2007-08-20",585,609,577,603.5,604.65,878025,5210.58
"2007-08-21",613.9,613.9,587,587,590.9,441898,2647.03
"2007-08-22",592,599.7,561.15,584,582.55,551499,3189.04
"2007-08-23",602,614,565.75,579.9,582.5,629828,3679.99
"2007-08-24",577,597,565.1,572.2,570.95,745735,4266.24
"2007-08-27",586,586,575.15,579.05,577.45,578904,3351.82
"2007-08-28",583.8,607.5,577.2,597.1,599.9,1378607,8231.71
"2007-08-29",594,624,582,618.05,612.5,2583362,15836.8
"2007-08-30",620,634.7,612,627,629.65,4213178,26008.97
"2007-08-31",633,643,631.3,635,635,699623,4464.99
"2007-09-03",635,640.9,625,635.15,637.35,777049,4931.37
"2007-09-04",640,671,639.9,652.95,658.85,1101122,7236.42
"2007-09-05",659.9,675.4,659.9,663.95,666.65,765902,5129.56
"2007-09-06",652.3,669.7,652.3,659.9,659.75,578519,3823.9
"2007-09-07",661.25,664.9,650,650.55,651.2,324459,2132.42
"2007-09-10",621,657,612.65,647.4,649.6,351471,2281.01
"2007-09-11",654.7,658.9,645,648,646.95,222745,1446.69
"2007-09-12",658.4,658.4,645.1,648.9,646.6,349171,2265.64
"2007-09-13",648,666.6,648,656.55,659.5,505701,3336.24
"2007-09-14",660,672,642.2,649.5,650,698468,4620.69
"2007-09-17",646,661.5,641,654.65,658.65,459555,3000.55
"2007-09-18",656,669.4,652.9,660,660.3,614081,4049.42
"2007-09-19",680,697,670,683,684.2,1012879,6919.97
"2007-09-20",692,712,681.5,706.1,706.15,1214695,8436.74
"2007-09-21",707,714,703,709.3,709.7,486857,3449.52
"2007-09-24",712,743,710.05,729.25,732.1,542983,3956.8
"2007-09-25",730,740.7,728.1,735.2,739.55,644897,4742.4
"2007-09-26",740,760.05,740,759.85,755.75,934521,7045.76
"2007-09-27",770,776,759.8,770,768.7,982665,7551.85
"2007-09-28",771,775,752.65,764,764.6,975475,7449.39
"2007-10-01",766.9,772.5,744,748,751.5,643127,4846.17
"2007-10-03",753,766,729.9,755.9,757.6,1013348,7655.85
"2007-10-04",759.7,764.9,725,750.25,754.8,771698,5735.21
"2007-10-05",753.55,762,731,731,738.9,325965,2444.25
"2007-10-08",740,747.7,689,722.05,715.65,364012,2590.35
"2007-10-09",705,734.7,699.1,731.5,729.55,375349,2692.1
"2007-10-10",739.95,766,736.25,761.5,762.2,666478,5035.79
"2007-10-11",768,770,748,760,759.75,507316,3864.94
"2007-10-12",760,767.75,740,743,744.05,232221,1743.96
"2007-10-15",753,831,752,815,820,1316528,10492.45
"2007-10-16",834.7,903,823.1,889,886.7,1528678,13200.52
"2007-10-17",801,880,709.4,875.1,872.15,1408050,11778.89
"2007-10-18",898.7,898.7,845,860,857.1,1122762,9819.84
"2007-10-19",869,869,815,835,829.85,717417,5960.9
"2007-10-22",812,849.4,790,835,819,683447,5541.31
"2007-10-23",821.1,898,821.1,866.2,868.85,723976,6285.2
"2007-10-24",869.8,893.9,848.5,865,866.4,558274,4849.23
"2007-10-25",860,884.95,840.05,870,873.85,614841,5285.51
"2007-10-26",872,945,853,925,926.1,576833,5201.08
"2007-10-29",928,956.9,910.05,915,929.05,655318,6159.08
"2007-10-30",932,944.7,900,903.3,908.35,705040,6518.91
"2007-10-31",908.1,925,904.05,923,917.35,261176,2388.78
"2007-11-01",925,944,888,913,917.85,489757,4494.67
"2007-11-02",901,940,880.2,938,932.15,232995,2143.77
"2007-11-05",934,1010,911.15,984.9,973,1124891,10989.63
"2007-11-06",985,1003.5,926.3,952.6,946.4,541088,5276.15
"2007-11-07",958.5,998,921,934.85,932.45,464193,4408.03
"2007-11-08",944,944,890.65,920,921.05,435268,3974.96
"2007-11-09",929.7,945,903.1,917,914.2,29478,271.39
"2007-11-12",910,915.25,870.35,878.5,887.4,717311,6392.36
"2007-11-13",890.6,960,881.25,955.25,945.5,529265,4926.56
"2007-11-14",965.5,998.95,961.25,986.05,990.65,607929,5972.16
"2007-11-15",990.5,999.8,956.15,957.1,963.5,281834,2751.39
"2007-11-16",945.5,985.9,943,979.9,978.3,157730,1541.21
"2007-11-19",990.5,999.9,970.15,972.95,980.95,536649,5265.45
"2007-11-20",979.7,1025,970,1003.5,996.4,863971,8668.4
"2007-11-21",1006,1006.8,932.05,943,943.2,341243,3279.07
"2007-11-22",940,945,900,933,918.9,424122,3896.84
"2007-11-23",930.2,950,915,933,926.6,510599,4752.83
"2007-11-26",940,956,925,938.9,938.6,1967743,18279.49
"2007-11-27",942,953,921.05,933,932.1,439210,4123.15
"2007-11-28",943,950,900,904.9,905.7,390065,3594.51
"2007-11-29",924.9,936.9,908,934.4,918.85,669531,6156.83
"2007-11-30",917.05,954.7,911.1,934,930.65,708034,6626.18
"2007-12-03",936.15,949.9,930,943,942.35,362046,3418.49
"2007-12-04",947,950.5,940,940,944.3,520994,4936.56
"2007-12-05",943,949.8,935,940,940.1,410243,3857.62
