"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2008-05-26,600,619,501,505.1,509.1,3145446,17263.68
2008-05-27,505,610.95,491.1,564,554.65,4349144,24883.7
2008-05-28,564,665.6,564,643,640.95,4588759,28375.3
2008-05-29,656.65,703,608,634.5,632.4,4522302,29829.21
2008-05-30,642.4,668,588.3,647,644,3057669,19459.29
2008-06-02,650,699,622,687,686.95,2247399,15069.13
2008-06-03,672,689.8,632.55,670.55,672.05,2299383,15310.82
2008-06-04,674,674,566.6,595,598.95,2832725,17063.17
2008-06-05,603,639.8,572.3,631.5,631.85,1344712,8211.52
2008-06-06,639.25,642.9,608.05,635,630.9,794722,4994.33
2008-06-09,620,648,580,645,629.9,758393,4739.58
2008-06-10,618,675,618,672,669.25,939180,6138.97
2008-06-11,672,682,641.1,641.1,653.5,750714,4975.03
2008-06-12,629,638.45,601,602,605.9,414320,2544.85
2008-06-13,607,624.5,572.75,577,580.8,458514,2755.66
2008-06-16,595,618,587.25,613.1,614.05,496439,3009.28
2008-06-17,610,626,605.1,610,611.05,248850,1528.14
2008-06-18,615,617.2,585.1,595,591.95,142386,861.86
2008-06-19,580,625,578.05,613,611.85,468038,2875.54
2008-06-20,603,618.25,532,569,554.95,289352,1659.42
2008-06-23,551,575.9,550,566.55,565.4,514992,2893.38
2008-06-24,565.5,572,537,547.1,549.15,294467,1624.66
2008-06-25,542,632.5,540,580,577.1,124264,701.53
2008-06-26,578,600,578,588,590.25,134458,794.5
2008-06-27,585,585,550,565,562,170967,962.75
2008-06-30,565,570,520,523,537.85,105379,582.74
2008-07-01,535,536.9,502.65,526.5,517.75,86030,446.35
2008-07-02,511,530,495,518,522.55,225316,1140.17
2008-07-03,495.2,513.85,446,455,478.5,291484,1457.06
2008-07-04,471.35,500,447,499.05,499.7,98707,479.41
2008-07-07,494.65,544,494.65,518,521.8,422193,2153.85
2008-07-08,475.8,518,475.8,513.1,510.95,236281,1195.43
2008-07-09,550,550,512,517.9,518.05,91041,482.59
2008-07-10,515,519.85,500,510,506.8,83723,426.22
2008-07-11,519.9,520,466.65,477,478.95,45764,228.04
2008-07-14,498,498,455,458,461.9,79049,372.24
2008-07-15,447,463,436.05,436.05,448.5,52550,239.67
2008-07-16,440,451.95,417.5,424.1,424.95,269364,1145.97
2008-07-17,439,439,415.1,421,421.75,391481,1646.6
2008-07-18,405.35,428,388.05,406.65,410.7,166930,698.08
2008-07-21,411,421.6,408.1,411,410.7,109056,451.72
2008-07-22,402.35,424.95,402.35,420.9,420,125018,527.02
2008-07-23,433,449.95,428.05,437.15,437.85,524250,2283.61
2008-07-24,439,480.5,439,455,451.4,146863,663.36
2008-07-25,436,455,436,446,446.25,39059,174.61
2008-07-28,437,452,432.05,435,436.05,15178,66.89
2008-07-29,435,435,426,430,429.85,53978,231.97
2008-07-30,408.4,442.5,408.4,435.5,437.55,14333,62.7
2008-07-31,429,447,429,435,442.65,13873,61.24
2008-08-01,430,449.9,423,442,443,23610,104.45
2008-08-04,431.25,454.95,431.25,454.95,452.65,12186,54.67
2008-08-05,452.65,475,438,467,467.9,15674,72.77
2008-08-06,465,497,465,482,482.2,46278,224.03
2008-08-07,495,535,470.15,522.55,515.3,127300,639.24
2008-08-08,510,530,505,520,517.5,40717,210.13
2008-08-11,535,592,528,540,540.5,235630,1313.52
2008-08-12,550,550,512.5,528.4,523.7,54384,288.85
2008-08-13,518.75,555,510,540.6,544.1,77028,418.76
2008-08-14,535,549.45,525,530,528.95,27675,148.75
2008-08-18,504,528,504,521.95,519.15,52577,273.28
2008-08-19,502,549.9,502,549.05,540.7,181658,938.11
2008-08-20,551.1,551.1,523.1,530,531.65,29888,159.11
2008-08-21,516.5,546,516.5,526.9,528.1,27053,145.21
2008-08-22,524,529.7,517.5,522,522.4,24210,127
2008-08-25,530,540.95,521,522.55,529.8,30557,162.29
2008-08-26,520.15,547.95,520.15,527,527.6,48975,260.84
2008-08-27,553.95,553.95,512,517.15,519.7,44049,234.05
2008-08-28,510.5,550,510.5,540,544.25,69852,372.42
2008-08-29,550,558,532.4,537.05,537.3,49228,270.02
2008-09-01,532.4,545,530,531,534.15,9667,51.88
2008-09-02,535,542.6,533.35,534.1,536.1,18033,97.12
2008-09-04,530,538.8,521.1,527,526.2,33867,178.74
2008-09-05,520.1,544,520,523.25,524.95,34115,181.21
2008-09-08,545,545,518,519,521.85,38680,205.16
2008-09-09,520,528,515.5,521,522.2,72156,378.7
2008-09-10,512,539.8,505,523,520.55,68972,362.54
2008-09-11,520,523,473,479.05,479.1,47512,233.18
2008-09-12,481,489,453.1,470.2,469.3,23704,111.53
2008-09-15,450,454.85,409.5,443.5,443.1,17263,73.82
2008-09-16,420.95,420.95,388.05,395.5,403.2,280801,1135.58
2008-09-17,405,423.85,391.55,403.65,402.15,56180,229.25
2008-09-18,395,395,351,370,373.25,41952,153.52
2008-09-19,389.95,389.95,362.4,373.15,374.75,142879,535.11
2008-09-22,375,393.5,375,390,390.1,87283,338.94
2008-09-23,376,386.65,376,383.05,383.95,16468,63.07
2008-09-24,374,394,374,389.9,389.1,12401,48.32
2008-09-25,378,402,378,398.3,396.1,30354,118.3
2008-09-26,384.4,397,377.05,380,380.45,11006,42.37
2008-09-29,376.6,385,372.8,373.75,376.8,35562,133.86
2008-09-30,340.1,390,340,380.05,386.65,28963,108.67
2008-10-01,378.5,386.95,361,365,363.85,17324,64.98
2008-10-03,367,375.7,338.75,350,350,71683,251.04
2008-10-06,340,343,301.3,301.3,313.5,39225,130.03
2008-10-07,315,327.9,280.35,294,292.35,13770,41.01
2008-10-08,292,295,236,243,244.3,20067,49.48
2008-10-10,200.25,231,195.45,195.45,195.45,132964,270.91
2008-10-13,214,214,175.9,185,177.95,44431,81.88
2008-10-14,193,195.75,184.3,187,189.45,34733,66.87
2008-10-15,180,185.9,172.05,172.05,174.15,25074,44.57
2008-10-16,170,170.9,162,164,164.85,69341,114.3
2008-10-17,165,170,150,160,158.4,73429,117.88
2008-10-20,160,161.95,151,155,155,338910,534.51
2008-10-21,153.4,165,147.1,150,150.4,77927,119.33
2008-10-22,144,155,144,148.5,149.9,21688,32.8
2008-10-23,141.25,144.5,140,140,140.65,26377,37.66
2008-10-24,136,147,126.6,126.6,126.6,33043,42.09
2008-10-27,125.05,125.05,113.95,113.95,113.95,3741,4.28
2008-10-28,118,119.65,108.3,114.1,117.6,5433,6.32
2008-10-29,120.1,120.1,111.8,111.8,113.9,33055,37.84
2008-10-31,118.2,119.6,108.25,118,116.65,57456,66.15
2008-11-03,120,122.5,117,122.5,120.05,3032664,3639.82
2008-11-04,126.05,126.05,118,122.9,122.35,73532,89.38
2008-11-05,126,128.2,124,125.05,125,63378,79.41
2008-11-06,124,126,120.3,123.9,122,124900,152.48
2008-11-07,118.3,128.1,118.3,128.1,128.1,33114,41.59
2008-11-10,130.1,134.55,130.1,134,133.35,41466,55.27
2008-11-11,132,140.05,132,140.05,140.05,9762,13.37
2008-11-12,136,146,136,141.5,140.6,88027,124.53
2008-11-14,142,144.9,135,137,136.95,30008,41.01
2008-11-17,131,137,130.1,130.5,130.5,20896,27.29
2008-11-18,124.05,129.9,124,124.5,124.1,7895,9.93
2008-11-19,123,123,117.9,120,119.35,110056,131.62
2008-11-20,113.6,118,113.4,118,117.75,47943,54.47
2008-11-21,111.9,118,111.9,113.1,113.75,49746,56.76
2008-11-24,110.1,114.8,108.6,109,109,97789,110.69
2008-11-25,108.5,112.5,103.55,103.55,103.55,182410,190.5
2008-11-26,98.7,102.9,98.4,99,98.4,43626,42.95
2008-11-28,97,98.7,93.5,96,95.55,188709,178.87
2008-12-01,95,100.35,90.9,94,93.05,168560,167.82
2008-12-02,93.1,93.1,88.4,92,90.75,13364,11.93
2008-12-03,88.15,94,88.15,91,91.65,3807697,3578.97
2008-12-04,91,96.25,91,96.25,95.05,317345,301.54
2008-12-05,94,99.8,94,99.8,99.8,30213,30.12
2008-12-08,104.8,104.8,104.8,104.8,104.8,7298,7.65
2008-12-10,110.05,110.05,105,109.4,109.35,359828,389.62
2008-12-11,110,110,105.2,106.6,107.7,27429,29.48
2008-12-12,102.5,110,102.5,105.6,105.9,37999,40.29
2008-12-15,104.9,111.2,104.9,108,108,46434,50.2
2008-12-16,104,111.3,104,106.15,106.25,524191,565.89
2008-12-17,104.05,110.7,100.95,100.95,100.95,36735,38.01
2008-12-18,98.1,106,98,106,105.55,10333,10.59
2008-12-19,102,110.85,102,110.85,110.85,56061,60.81
2008-12-22,114,116.4,109.05,116.4,115.35,247718,280.6
2008-12-23,117,121.15,113.3,121.15,121.15,27545,33.2
2008-12-24,127.25,127.25,122,127.25,127.25,14759,18.7
