"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2008-05-26",898,898,551.35,600.25,604.75,3972485,24812.45
"2008-05-27",624.7,639,580.3,595.5,593.15,1751063,10619.01
"2008-05-28",561.65,621.9,561.65,605.1,608.15,1652355,10058.77
"2008-05-29",619.4,619.4,576,600,599.45,669269,4022.17
"2008-05-30",605.4,607,538,576.25,571.7,1262117,7137.94
"2008-06-02",605.5,615,570.7,573,580.8,206640,1236.33
"2008-06-03",596,602,555.15,577,579.7,157283,905.68
"2008-06-04",597.85,597.85,547.5,550,552.1,326450,1839.99
"2008-06-05",553,588.8,532.4,548,562.4,238915,1339.6
"2008-06-06",567,574.7,544.4,572,568.8,73920,417.19
"2008-06-09",575,575,524,552,548.8,321199,1753.18
"2008-06-10",575.5,575.5,547,550,550.4,58118,320.57
"2008-06-11",560,560,528,528.2,530.5,87793,470.65
"2008-06-12",511,527,510.7,520,519.45,50729,263.21
"2008-06-13",514.25,525,501.2,508,505.9,123934,630.29
"2008-06-16",510,518,489.45,491.8,494.65,61592,310.08
"2008-06-17",490.45,510,482.6,505,506.7,71476,357.68
"2008-06-18",510.1,531,500,514.95,516.45,105505,542.73
"2008-06-19",500.2,527,500.2,507.65,512.55,140483,726.22
"2008-06-20",507,519,493.6,515,512.1,76656,388.25
"2008-06-23",500,514.9,499,499,502.3,89888,452.9
"2008-06-24",495,506,471.15,485,479,174131,864.22
"2008-06-25",450,502,450,493.15,497.3,72533,355.24
"2008-06-26",519.9,519.9,469.05,491.3,488.95,185234,889.29
"2008-06-27",465.9,476.85,435,440.1,453.95,260609,1180.48
"2008-06-30",454,459.95,445.35,451,450.35,115006,520.58
"2008-07-01",450,457,433,449,447.1,170197,759.36
"2008-07-02",430.15,457.95,430.15,448,453.5,245296,1102.15
"2008-07-03",445,448,390.15,410,408.6,308168,1319.25
"2008-07-04",403.5,433,401,420,421,62087,261.12
"2008-07-07",425,441,425,437,435.5,130708,567.88
"2008-07-08",418.1,439.9,414,439.8,434.5,262122,1112.91
"2008-07-09",446,456.9,440,452,451.75,104747,473.04
"2008-07-10",450,532,441.05,530,498.45,247021,1156.48
"2008-07-11",508,508.1,482,500,499.95,135338,676.02
"2008-07-14",515,515,481,502,501.65,110414,547.62
"2008-07-15",480.35,497.8,477,484.95,479.85,44758,217.28
"2008-07-16",500,500,444.15,452.3,455,412815,1860.6
"2008-07-17",475,484.95,461,465,467.6,124802,580.75
"2008-07-18",461,473,455,464,464.1,71613,333
"2008-07-21",474,505,470,505,498.9,323713,1589.5
"2008-07-22",490.15,504,485.05,495,495.05,25042,124.05
"2008-07-23",514.15,529,498,528.95,519,116969,598.84
"2008-07-24",506.2,534,506.2,521.5,520.65,26647,138.9
"2008-07-25",503.25,525,503.25,511.25,509.95,54204,280.12
"2008-07-28",500.25,524.7,500.25,520,515.55,30877,158.95
"2008-07-29",506,515,501.35,510,509.4,9914,50.41
"2008-07-30",483.95,524.95,483.95,520,519.75,8670,44.7
"2008-07-31",501.15,539,494.6,539,533.7,44391,234.23
"2008-08-01",516,532.9,507,507,517.65,238858,1241.56
"2008-08-04",510.05,524,510,520,519,14815,76.51
"2008-08-05",505.7,530,501,521.55,526.6,585044,3025.47
"2008-08-06",525.1,571.4,525.1,557.1,562.25,107023,592.84
"2008-08-07",566,574.4,545,558.25,560.05,55986,312.13
"2008-08-08",551.2,569,548,548,551.9,15983,89.02
"2008-08-11",554,577,552,562,569.35,24326,138.76
"2008-08-12",569.85,574.9,548.5,555,553.35,16393,92.24
"2008-08-13",543,575,542.25,568.1,570.9,27582,155.19
"2008-08-14",562.05,571,555.15,566,565.85,132460,745.36
"2008-08-18",554.85,560,532.95,545,551.4,104270,565.52
"2008-08-19",554.8,554.85,532.25,548,547.45,20292,111.1
"2008-08-20",537.15,573,537.15,540.5,544.25,25318,139.17
"2008-08-21",535,555,512,515,520.15,18332,98.65
"2008-08-22",506.1,543,506.1,534.95,531.85,167796,893.19
"2008-08-25",570,570,527.15,540,541.9,38359,209.16
"2008-08-26",541,550,530.1,550,549.05,410862,2208.88
"2008-08-27",554.9,585,548.8,575,578.8,473832,2693.97
"2008-08-28",576,590,564,585,583.7,371006,2161.72
"2008-08-29",578,590.25,568.7,588,588.2,133642,786.11
"2008-09-01",584.3,590,572.65,589,585.8,166626,973.64
"2008-09-02",594.3,608,587,607,603.05,331224,1983.53
"2008-09-04",593.6,618,590,614.25,610.3,238887,1438.89
"2008-09-05",609.55,614.95,591.15,612,606.95,126692,767.13
"2008-09-08",612,618.9,596.05,597.1,598.9,24334,147.86
"2008-09-09",587.15,605,585.2,595,592.15,39601,235.78
"2008-09-10",590,624.9,587.3,620,619.6,217186,1337.39
"2008-09-11",616,622,610,615.5,617.2,285350,1755.62
"2008-09-12",619.95,641.9,607.6,630,632.4,237619,1508.09
"2008-09-15",606.7,624.45,606.7,615,615.25,79035,486.19
"2008-09-16",605.25,622.5,602,620.05,620.5,71804,441.96
"2008-09-17",609.1,625,587.1,591.7,608.55,96066,593.51
"2008-09-18",572,629.5,559,619.95,617.15,151516,909.09
"2008-09-19",625,625,602.3,608.9,607.8,269723,1651.56
"2008-09-22",606,618.95,603,604,607.5,60266,366.45
"2008-09-23",611.8,611.8,587.25,600,605.8,164644,982.88
"2008-09-24",593.5,611,561.1,564.95,581.4,228942,1380.12
"2008-09-25",569.95,609.9,561.5,600,598.75,91059,533.3
"2008-09-26",586.5,599.8,586.5,587.05,591.6,114852,681.16
"2008-09-29",590,597.85,559,572,571,101895,586.72
"2008-09-30",548,609.9,535.25,609.9,594.9,260167,1539.53
"2008-10-01",601,617,571.3,599.95,600.05,54337,326.41
"2008-10-03",581.35,598.7,570.25,571,576.95,54130,321.1
"2008-10-06",556,600,556,575,574.3,153780,901.13
"2008-10-07",579.05,601,560.2,584,582.65,46113,267.19
"2008-10-08",555,571.95,496,535.55,544.15,86133,463.23
"2008-10-10",501.1,524.9,425,425,462.65,208322,1042.02
"2008-10-13",457,527.9,450,511,514.5,153103,766.06
"2008-10-14",527,590.65,525,534,540.6,183201,1021.09
"2008-10-15",523.05,545,459.5,544,529.2,156439,779.37
"2008-10-16",499.3,550,499.3,534,535.45,179097,959.65
"2008-10-17",515.15,549.85,507,530,523.65,25061,133.2
"2008-10-20",544,560,511.4,560,541.5,176178,937.07
"2008-10-21",536,565,533.8,565,560.9,15724,86.3
"2008-10-22",543.5,563.9,524.95,543.75,538.75,31760,172.39
"2008-10-23",526,544.8,502,542.8,529.95,22196,117.29
"2008-10-24",516.05,526,456.05,479.9,464.9,232905,1109.62
"2008-10-27",455.05,480,435,465,468.2,200647,926.96
"2008-10-28",551.9,551.9,485,508.3,505.35,4966,24.97
"2008-10-29",507,555,481,530,531.05,106956,560.42
"2008-10-31",555,563,535.2,540,544.9,691150,3793.27
"2008-11-03",550,550,495,500,498.45,1066998,5667.2
"2008-11-04",500,507,455,468,469.7,341268,1619.51
"2008-11-05",480,480,440.6,445,444.5,130247,588.6
"2008-11-06",435,435,410,416,416.95,264965,1109.77
"2008-11-07",420,423.6,409,413.7,410.25,155936,648.21
"2008-11-10",416,434.5,415.25,426.2,425.85,72681,308.71
"2008-11-11",425,425,392,399,403.35,112399,465.13
"2008-11-12",404,406.65,366.1,380,378.95,105527,398.54
"2008-11-14",404,404,366,371,371.15,547474,2026.91
"2008-11-17",371,371,355,357.9,359.95,19552,70.52
"2008-11-18",364.9,375,342,354.05,353.85,22889,80.51
"2008-11-19",350,368,345,364.6,365.05,30174,108.72
"2008-11-20",360,364,333,343,344.95,409423,1432.61
"2008-11-21",342,343,332.95,337,339.05,31399,105.57
"2008-11-24",350,354,322.25,330.05,330.15,31560,104.22
"2008-11-25",354,354,313.6,317,317.85,351766,1159.2
"2008-11-26",329.8,334.9,305.5,328.95,328.75,128039,404.04
"2008-11-28",307,329.65,307,318,321.65,133112,426.76
"2008-12-01",324.05,327.15,299,312,308.05,54065,167.21
"2008-12-02",262,307.05,262,300,301.9,94917,286.63
"2008-12-03",311.9,311.9,296,305.4,303.8,43065,130.87
"2008-12-04",304.8,316.5,304.8,312.9,310.65,66125,207.06
"2008-12-05",306.2,316.75,306.2,315,314.95,35909,112.91
"2008-12-08",330.7,340.9,322.3,331.9,332.6,35849,118.52
"2008-12-10",339.75,351,325.1,347.2,339.8,236991,784.95
"2008-12-11",335.35,358,335.35,355.8,355.15,62140,218.72
"2008-12-12",353,417,336.25,395,391.7,407966,1609.78
"2008-12-15",419,419,395.05,412,410.35,169800,688.79
"2008-12-16",400,440,396.25,416,413.2,128335,526.78
"2008-12-17",420.95,429,385.2,393.2,396.35,275062,1154.62
"2008-12-18",382.3,418.85,382.3,412.9,410.75,105636,429.42
"2008-12-19",408,421.75,400.1,404.3,404.3,23434,96.14
"2008-12-22",412,420,403.05,413,413.7,57361,235.87
"2008-12-23",402.5,414,402.5,408,408.15,15624,63.89
"2008-12-24",396.5,403,390,391.55,394.6,101475,400.95
"2008-12-26",388.5,396,370,377,375.3,70943,269.57
"2008-12-29",389,389,360.45,370.8,370,136120,502.32
"2008-12-30",397,397,374,386.95,387.05,48801,187.22
"2008-12-31",390.05,397.9,382,391,391.1,53900,212.33
"2009-01-01",407,411,377,410,409.75,116672,465.64
"2009-01-02",409.4,420,398,420,415.8,114432,470.44
"2009-01-05",411.15,475.7,411.15,438,440.15,86312,375.79
"2009-01-06",430.25,440,424,432,434.7,375475,1611.94
"2009-01-07",432,439.9,403.25,410.3,407.25,79083,330.29
"2009-01-09",390,439.7,390,426.25,427.7,26601,111.61
"2009-01-12",411.25,436,411.25,425.65,427.7,68862,293.24
"2009-01-13",448.4,448.4,425.25,438,435.3,50078,217.45
"2009-01-14",436,440,431,440,438.05,30391,132.97
"2009-01-15",425,448.8,425,441,443.65,102825,454.77
"2009-01-16",426,479.9,425,473.8,461.85,451327,2041.14
"2009-01-19",480,503.25,465,498,499,281503,1383.86
"2009-01-20",490,490,452,464,456.45,1011320,4800.56
"2009-01-21",458.2,458.2,440.15,455,453.2,49893,225.76
"2009-01-22",468,477.7,455.9,475.5,472.25,68680,320.43
"2009-01-23",464.05,475,447.9,460,457.55,38565,175.33
"2009-01-27",450.05,465.95,447,453.05,453.1,70612,320.82
"2009-01-28",455,468,451.2,463,462.3,13890,63.99
"2009-01-29",470,487.95,458,472,477.55,76865,364.92
"2009-01-30",472.5,484.65,462.85,473.65,474.75,38068,180.58
"2009-02-02",470,493.7,463.05,465.2,466.45,49978,236.93
"2009-02-03",467,475,444.2,468,459.9,39896,181.96
"2009-02-04",474,474,451.1,452.95,457.2,7603,35.07
"2009-02-05",453,460,441.15,456.65,456.45,17226,78.12
"2009-02-06",446.1,460,446.1,452.5,454.85,21145,96.15
"2009-02-09",459,462.85,446.3,460,458.4,46483,212.67
"2009-02-10",469.85,477,462.35,463.5,466.55,28978,136.19
"2009-02-11",456.1,468.7,454.05,457.95,456.4,17775,81.82
"2009-02-12",460,484,454.2,478.05,478.25,189700,903.7
"2009-02-13",483,490,472.2,473.85,476.2,36817,178.17
"2009-02-16",475.8,491.5,462,465,464.9,116720,559.31
"2009-02-17",455.1,477.95,455.1,473,475.75,30053,141.08
"2009-02-18",470,505,461.1,498,495.5,173850,854.5
"2009-02-19",501.05,509,492.6,496,497.15,179229,890.18
"2009-02-20",489,501.8,481.15,500,499.65,36763,182.2
"2009-02-24",484.95,499,483.7,493,493.85,273081,1343.83
"2009-02-25",487,511.85,487,508,509.95,119739,607.81
"2009-02-26",510,539,510,525,526.05,80263,420
"2009-02-27",534.6,538.5,519.95,537,535.05,66949,354.2
"2009-03-02",525.25,535,492.5,497.2,506.2,107647,556.69
"2009-03-03",503.65,503.65,482.2,492.05,486.15,104374,510.39
"2009-03-04",487,496,481.15,491.55,490.85,50317,246.63
"2009-03-05",490.05,509,484,487,487.2,110801,542.05
"2009-03-06",485,493,477,487,486.75,18991,92.61
"2009-03-09",494,500,478.05,490.05,494.05,42927,212.74
"2009-03-12",496,520,490.15,518,517.1,99959,508.12
"2009-03-13",540,540,515,523,520.1,224864,1177.58
"2009-03-16",525,538,513.25,535,535.6,154980,809.69
"2009-03-17",526.1,547,526.1,546.25,542.5,312892,1685.87
"2009-03-18",546,584.95,546,578.8,577.6,147299,841.3
"2009-03-19",578,583.95,555,556,561.7,77791,440.51
"2009-03-20",550,568,530.05,558,558.2,159445,886.75
"2009-03-23",578,585,561,580.1,579.75,83945,479.53
"2009-03-24",588,607.85,584,586.25,588.55,93357,559.59
"2009-03-25",584.95,628,573,617,615.95,112348,684.83
"2009-03-26",625,636,608.8,620,619.35,188429,1173.03
"2009-03-27",613.5,635,613.5,635,624.4,134160,835.18
"2009-03-30",617,636,592.2,620.25,610.4,120810,732.56
"2009-03-31",615.1,640,581,620,618.45,196371,1195.37
"2009-04-01",624.35,639.1,617,634,634.4,67080,423.79
"2009-04-02",635,645.1,602.3,645.1,640.75,338450,2123.3
"2009-04-06",641,679.5,636,651.05,655.45,137094,906.61
"2009-04-08",632,652,631,636,635.6,119647,764.52
"2009-04-09",643,651.9,602,605,607.15,161558,1009.35
"2009-04-13",613,628.7,596,601.1,605.55,145254,896.04
"2009-04-15",535,637,535,635,635.25,362022,2269.59
"2009-04-16",641.25,665,638,656,658.85,279996,1840.8
"2009-04-17",662,676,655.1,664.25,665.45,120726,805.93
"2009-04-20",665,689.8,643.05,648,648.3,92134,619.48
"2009-04-21",645,681,615.55,637.9,632.3,65834,421.82
"2009-04-22",647,661.05,630.15,632,634.4,71207,457.85
"2009-04-23",635,644.7,625.05,633,637.15,88466,564.12
"2009-04-24",645,645,612.5,625,626.35,59351,372.21
"2009-04-27",622,641,613,613,615.1,186087,1162.08
"2009-04-28",625,630,600,625,624.5,102580,631.75
"2009-04-29",620.1,651,619.9,636.15,641.65,142522,914.41
"2009-05-04",642,679.9,624.4,663.95,662.6,472170,3102.64
"2009-05-05",664,695,664,675.15,682.8,329579,2256.34
"2009-05-06",670,695,670,685,684.55,498046,3417.02
"2009-05-07",684.7,706,672.1,685,676.65,74593,517.31
"2009-05-08",694.5,699.9,675.05,682,679.9,63239,434.79
"2009-05-11",685,694.5,660,684.9,681,43461,293.35
"2009-05-12",676,695,666.3,685.25,685.45,131495,899.91
"2009-05-13",684,739,684,738,737.55,268402,1935.52
"2009-05-14",732,807,732,787,794.75,705366,5550.16
"2009-05-15",801,809,785,790,792.95,195641,1551.39
"2009-05-18",810,912,810,912,889.65,12393,106.23
"2009-05-19",898.5,974,855.1,900,903.3,367845,3384.96
"2009-05-20",866.1,899,861,896,882.4,109601,962.51
"2009-05-21",870,944.5,870,930.25,926.3,425964,3903.55
"2009-05-22",910,989.95,906.1,936.7,941,585193,5576.24
"2009-05-25",930,960,930,939,948.5,89552,851.08
"2009-05-26",975,1000,890,924,926.35,206422,1888.61
"2009-05-27",930,950,901.05,915,913.25,255778,2346.44
