"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-19,42.75,42.75,42.75,NA,NA,NA,NA
1998-03-24,44.7,44.7,42.5,42.5,42.5,300,0.13
1998-03-25,45.9,46.7,45.9,46.7,46.7,650,0.3
1998-03-26,47,47,46.5,46.5,46.5,650,0.3
1998-03-30,46.05,46.05,46,46,46,700,0.32
1998-03-31,44,44,44,44,44,50,0.02
1998-04-02,47.5,47.75,47.5,47.75,47.75,100,0.05
1998-04-03,45,45,45,45,45,200,0.09
1998-04-09,46,48.9,46,46.6,46.6,500,0.23
1998-04-10,47,51.25,47,51.25,51.25,900,0.45
1998-04-13,48,52,48,51,51,900,0.45
1998-04-15,55,56,55,56,56,1250,0.69
1998-04-16,54.45,57,54.45,57,57,1150,0.63
1998-04-17,55,56,55,56,56,200,0.11
1998-04-20,54,54,52,52,52,400,0.21
1998-04-21,52,53,52,53,53,700,0.37
1998-04-22,57,57,55,55,55,200,0.11
1998-04-23,49.5,49.5,49.5,49.5,49.5,200,0.1
1998-04-24,45,45,45,45,45,100,0.04
1998-04-27,49,49,48.5,49,49,500,0.24
1998-04-28,48.15,48.15,48,48,48,500,0.24
1998-05-06,53.25,53.5,53.25,53.5,53.5,500,0.27
1998-05-08,49,49,49,49,49,100,0.05
1998-05-12,50,50,50,50,50,50,0.02
1998-05-14,45,45,45,45,45,50,0.02
1998-05-19,45,45,45,45,45,50,0.02
1998-05-21,46,46,46,46,46,100,0.05
1998-05-25,46,46,46,46,46,200,0.09
1998-06-02,43.55,45.5,43.05,43.05,43.45,900,0.4
1998-06-03,44.05,47.8,44.05,47.8,47.8,300,0.14
1998-06-05,50,52.5,49.05,52.5,52.5,1000,0.51
1998-06-08,52.6,52.6,47.45,47.45,47.45,500,0.25
1998-06-09,49.75,49.75,48.1,48.15,48.15,650,0.32
1998-06-11,48.5,48.5,48.5,48.5,48.5,100,0.05
1998-06-12,47.5,47.5,47.5,47.5,47.5,100,0.05
1998-06-22,45,45,45,45,45,300,0.14
1998-06-23,43.5,44,43.5,44,44,500,0.22
1998-06-26,41.25,41.25,41.25,41.25,41.25,100,0.04
1998-07-09,38.05,38.05,38.05,38.05,38.05,100,0.04
1998-07-10,38.25,41,38.25,41,41,200,0.08
1998-07-13,40,40,38,38,38,500,0.19
1998-07-14,39.1,39.1,37.5,37.5,37.5,250,0.1
1998-07-15,34.65,39.95,34.65,37.8,37.8,12350,4.3
1998-07-16,37.5,37.5,35,35,35,1200,0.43
1998-07-17,36.65,36.65,36.65,36.65,36.65,200,0.07
1998-07-20,35,35,35,35,35,100,0.04
1998-07-21,34.1,34.15,34,34,34,1400,0.48
1998-07-22,34,34,31.3,31.3,31.3,500,0.16
1998-07-24,29.25,29.25,29.25,29.25,29.25,100,0.03
1998-07-28,30,30,30,30,30,300,0.09
1998-07-29,31,31,31,31,31,150,0.05
1998-07-30,31.5,31.5,31.5,31.5,31.5,100,0.03
1998-08-03,30,30,30,30,30,100,0.03
1998-08-11,32.4,32.4,32.4,32.4,32.4,100,0.03
1998-08-13,32,32,32,32,32,200,0.06
1998-08-18,32,32,32,32,32,100,0.03
1998-08-25,31,31,30.55,30.55,30.55,400,0.12
1998-08-31,33,33,32,32,32,11650,3.74
1998-09-01,34.45,34.45,34.45,34.45,34.45,500,0.17
1998-09-03,35,35,35,35,35,1500,0.52
1998-09-07,32.7,32.7,32.65,32.65,32.65,200,0.07
1998-09-08,32,32,32,32,32,100,0.03
1998-09-09,33.5,33.5,33.5,33.5,33.5,100,0.03
1998-09-10,32.5,32.5,32.5,32.5,32.5,50,0.02
1998-09-14,33,33,33,33,33,100,0.03
1998-09-15,33,33.5,33,33.5,33.5,900,0.3
1998-09-18,31.35,33.8,30.95,32,31.95,1150,0.36
1998-09-23,32.5,32.5,32.5,32.5,32.5,100,0.03
