"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,103,104.5,102.5,NA,NA,NA,NA
1998-03-23,104.45,107.5,104,107.5,107.5,87800,93.07
1998-03-24,110,117.45,105.55,113.75,113.15,732500,838.16
1998-03-25,117,119.7,116.05,117.1,117.75,949400,1117.18
1998-03-26,118,118.4,106,106,106.5,505700,559.66
1998-03-27,104,108.5,104,107.8,107.85,363200,389.34
1998-03-30,109,110,103.1,103.7,103.9,476700,510.81
1998-03-31,103,105.5,101.55,103,102.1,662700,681.97
1998-04-01,105.5,109.75,105,108.5,108.35,234700,253.59
1998-04-02,109.45,115,108.05,112.15,111.8,479200,533.24
1998-04-03,113.25,114.8,111,114,113.7,246100,277.52
1998-04-06,115,125.1,114.15,125.1,125.1,1219300,1492.01
1998-04-07,126.1,127.5,120.05,122.65,121.4,602600,745.42
1998-04-09,123.5,133.55,123.5,133.55,133.4,882100,1144.17
1998-04-10,137,139.75,127.1,128.4,128.25,807900,1059.16
1998-04-13,124.15,127.8,121,126.25,124.3,458500,572.18
1998-04-15,136,136,129.05,131,131.7,386900,512.85
1998-04-16,132,133.5,129,129.25,129.45,299300,392.29
1998-04-17,126.65,131.2,126.15,129.25,129.5,218200,281.65
1998-04-20,130,138.25,129.7,132.25,132.95,814700,1098.42
1998-04-21,135.3,137.2,132.5,133.6,133.6,496600,667.8
1998-04-22,136.9,142,130.8,131.75,132.05,629700,861.71
1998-04-23,130.5,133.85,126.65,127.95,127.65,228200,297.93
1998-04-24,126.5,128.95,114.9,121,120.75,440900,532.12
1998-04-27,123.5,125,118.8,120.3,120.2,267800,325.14
1998-04-28,120.1,120.1,112,115.8,113.2,481100,550.81
1998-04-29,118.9,124,109.3,111.15,111.65,509800,586.71
1998-04-30,110.55,117,108.95,116.5,115.95,339000,383.15
1998-05-04,118.4,121,116.5,119.4,120.05,448400,532
1998-05-05,120,132.1,120,132.1,132,1253600,1628.67
1998-05-06,135,136,122.25,125.5,123.95,1312400,1690.66
1998-05-08,123.5,127.9,121,124,124.05,598600,748.1
1998-05-11,122.7,127,122.5,124,124,548900,683.77
1998-05-12,122.1,122.1,111.6,114,113,1104700,1258.87
1998-05-13,111,115,107.5,108,109.3,425500,477.78
1998-05-14,105,115.25,105,115.25,114.5,415100,464.57
1998-05-15,115.5,116.8,110.9,111.75,111.35,353500,400.18
1998-05-18,112.75,114.9,112.15,112.95,112.75,188300,213.83
1998-05-19,112,113.2,109.7,110.1,110.15,306600,340.34
1998-05-20,113,118.75,112.1,117.75,118.05,388100,449.76
1998-05-21,118.4,119.4,112,113.15,113.2,240900,276.57
1998-05-22,112,114,111.1,111.5,112.15,157900,177.29
1998-05-25,110.75,112.45,109,110.05,110,183100,202.76
1998-05-26,108.1,109.6,104.1,106,104.8,538500,575.87
1998-05-27,106,107.45,102,103.65,102.85,257100,270.06
1998-05-28,102.05,105.25,99,99.4,99.5,239800,243.19
1998-05-29,97.6,99.75,93.15,96.7,96.25,348200,335.19
1998-06-01,96.5,100,90.5,91.65,91.45,576900,556.65
1998-06-02,92,92,82.35,83.95,82.75,766300,664.45
1998-06-03,89,90,81.3,86.25,84.95,524700,439.42
1998-06-04,86.25,89.9,84.05,87.5,86.9,278000,244.11
1998-06-05,86,87.95,84.6,86.3,86.5,583200,504.97
1998-06-08,86.5,87,83,86.6,85.35,639200,541.52
1998-06-09,86.9,86.9,83.05,85.1,83.85,522400,441.6
1998-06-10,87.9,87.9,81.05,81.5,82.05,176800,146.59
1998-06-11,80.75,81.5,76.75,80.95,80.75,149700,118.72
1998-06-12,82.1,84.4,78,79,78.55,198800,160.06
1998-06-15,77,78.4,70.75,70.75,71.1,730500,536.12
1998-06-16,66.35,68.65,64,65.3,65.3,842200,550.55
1998-06-17,69.7,71.85,69.15,71.85,71.85,170900,122.02
1998-06-18,77.85,79,71.15,73,72.1,560000,421.46
1998-06-19,72,72.5,67.8,68.65,68.5,462500,320.64
1998-06-22,66.05,68.25,62,67.8,66.7,449600,289.05
1998-06-23,67,68.5,64.15,68.2,67.1,449700,299.6
1998-06-24,71.75,73.8,71.75,73.8,73.8,408100,299.47
1998-06-25,76,81.2,76,81.2,81.2,409200,329.83
1998-06-26,82.7,82.7,77.55,78.8,79,287100,227.17
1998-06-29,79.5,83.85,77.9,83.85,83.8,510400,419.56
1998-06-30,83.85,83.85,81.55,83.85,83.75,297100,247.75
1998-07-01,83.5,83.5,80,81.35,81.45,380500,308.55
1998-07-02,80.9,81.6,80,80.75,80.55,187900,151.66
1998-07-03,80.6,80.6,78.55,79,78.95,227900,180.8
1998-07-06,79.5,81.7,79.5,81,80.95,161000,129.81
1998-07-07,81.65,84.5,81,83.6,83.4,383700,319.04
1998-07-08,84,90.1,84,90,89.85,660800,578.91
1998-07-09,88.9,97.05,88.15,97.05,96.65,585200,553.84
1998-07-10,101,102,97.55,101.15,101.2,724700,726.35
1998-07-13,102.9,103.65,96.75,97,98.65,737000,739.3
1998-07-14,97.1,100.35,96.4,100.15,99.65,457700,449.28
1998-07-15,99.2,105,96.25,97,97.2,471400,466.34
1998-07-16,97.95,102,95.25,100,100.5,506200,498.82
1998-07-17,102,107,98.7,103,102.95,1269400,1313.15
1998-07-20,101.5,102,98.55,100.1,99.5,416400,416.97
1998-07-21,99.3,100.25,98,100,99.7,315900,313.5
1998-07-22,100.5,100.85,93.15,94.7,94.2,745600,713.04
1998-07-23,94,94.5,91.5,92.45,91.9,465000,430.67
1998-07-24,91.1,94.5,90.05,92.1,92,353400,324.87
1998-07-27,92.8,95.5,91.05,91.75,91.65,535800,497.09
1998-07-28,91.1,98.7,89.6,98.5,96,897400,829.99
1998-07-29,97.9,102,91.1,98.95,100.05,622700,604.54
1998-07-30,100.5,101.5,93.1,94.75,94.55,552400,535.04
1998-07-31,96,96.5,94,95.15,95.05,239300,227.81
1998-08-03,94,95,91.15,92.85,92.9,159600,148
1998-08-04,93.05,97.3,93.05,96.75,95.4,314100,297.46
1998-08-05,92,93,90,92.65,92.35,229300,210.21
1998-08-06,92.9,93.7,91.9,92.55,92.6,97900,90.77
1998-08-07,92.55,92.6,91.7,91.8,92.25,80600,74.27
1998-08-10,91.4,92.5,90.95,91.5,91.4,72200,66.15
1998-08-11,90.5,91.15,88.5,88.5,89.35,187800,168.9
1998-08-12,87.2,88.5,82.2,82.2,82.2,113500,96.49
1998-08-13,79,84.4,77,80.75,81,491100,396.25
1998-08-14,80,82.7,78,80.4,80.3,281300,226.6
1998-08-17,81,81.75,79.25,79.3,79.6,126900,101.53
1998-08-18,80.45,81,78,79.05,79.25,315800,249.83
1998-08-19,80.15,82,79.75,81.85,81.15,93600,75.75
1998-08-20,81.75,84.9,80.5,84.2,84.35,172000,142.24
1998-08-21,83,84.9,81.7,82.4,82.1,113700,94.41
1998-08-24,82,82.9,80.7,82.4,82.5,59100,48.54
1998-08-25,83,83.1,82.05,82.2,82.35,78200,64.56
1998-08-27,85.7,86.8,83.2,83.2,83.65,136200,115.4
1998-08-28,81.4,82.85,81,81.7,81.55,62000,50.65
1998-08-31,81,82,80,80.7,80.6,248300,200.97
1998-09-01,79.45,79.6,75,76.1,78.3,325800,255.85
1998-09-02,78,79.5,76,77.95,77.7,162400,125.76
1998-09-03,78.75,79.5,77.1,78.5,78.45,86400,67.72
1998-09-04,78,78.9,75.85,77,76.5,545400,417.85
1998-09-07,76.1,82.65,76.1,81.95,82.3,599900,484.17
1998-09-08,82,82.25,79,80,80.8,334000,269.15
1998-09-09,82,84,80.8,81,81.3,495600,409.48
1998-09-10,80.5,81.25,79.5,79.65,80.05,316600,253.82
1998-09-11,78.25,78.9,77.3,77.55,77.5,220300,171.54
1998-09-14,78.5,79.7,78.3,78.55,78.75,355300,280.04
1998-09-15,79.1,79.1,77.05,77.5,77.45,370800,288.09
1998-09-16,79.9,81,78.5,79.3,79.55,532800,424.7
1998-09-17,79.15,80.85,79.15,80.4,80.35,228700,183.18
1998-09-18,79.6,80.2,78.75,79.2,79.05,263900,209.22
1998-09-21,80,80,77.1,77.25,77.45,206400,161.9
1998-09-22,77.05,77.9,75.55,76.2,76,274800,209.18
1998-09-23,77.6,78,76.6,77,76.8,202300,155.92
1998-09-24,77.25,78.45,76.7,77.2,77.05,306300,236.94
1998-09-25,77.7,77.8,73.75,74,74.3,438800,331.72
1998-09-28,74.8,74.9,70,70.75,70.5,286600,204.67
1998-09-29,71.1,71.1,67,68.25,68.15,525200,358.24
1998-09-30,68.5,70.5,67.95,68,68.15,342900,235.61
1998-10-05,67.05,67.05,62.7,62.75,62.9,219000,139.48
