"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",152.95,169.05,152.95,NA,NA,NA,NA
"1998-03-23",172,180.9,169.15,177.05,177.05,305800,536.33
"1998-03-24",184,184,174.5,175.95,175.25,169450,300.38
"1998-03-25",184,186.75,176.5,180.9,181.05,314500,571.56
"1998-03-26",184.6,184.6,170,171.05,171.7,233750,410.25
"1998-03-27",169,178,158.2,163.75,163.8,919250,1528.74
"1998-03-30",164.9,164.9,158.25,159.7,159.6,251200,404.1
"1998-03-31",156.2,158.7,153,158,155.15,372950,580.61
"1998-04-01",159,162,156.5,158.95,159,120950,192.35
"1998-04-02",159.95,160.75,151.6,154,154.65,105150,166.08
"1998-04-03",154.95,158,154,155.9,155.95,111450,174.62
"1998-04-06",156.5,157.75,147.15,153,152.8,111700,170.42
"1998-04-07",152,152.1,146.1,148.15,147.6,153700,228.51
"1998-04-09",156,160,154.8,158.5,158.4,161350,255.07
"1998-04-10",159.4,166,158.1,159.1,158.95,136500,220.69
"1998-04-13",156,161.5,155.5,158.2,157.35,160850,254.66
"1998-04-15",162.5,165,152.5,157.5,157.45,145300,231.09
"1998-04-16",156.7,158.85,152.75,153.3,153.6,113050,175.61
"1998-04-17",150,154.5,149,154,153.85,65050,98.7
"1998-04-20",150.1,154,148.1,149.25,149.85,59950,90.4
"1998-04-21",150,153,149.5,150,150.9,87900,132.54
"1998-04-22",157,157,151,152.5,152.05,49500,75.97
"1998-04-23",149.2,156,149.2,151.7,152.05,54350,83.41
"1998-04-24",149.95,153,148.05,153,152.35,40750,61.26
"1998-04-27",152,152.15,150,150.05,150.3,23950,36.07
"1998-04-28",148.5,150,145.5,146.05,146.5,69500,102.64
"1998-04-29",150,150.3,146.5,146.75,147.5,31300,46.51
"1998-04-30",144.1,146,141,146,145.55,87350,125.43
"1998-05-04",146,146,143.55,145.25,145.35,31800,46.08
"1998-05-05",147.25,147.6,143.2,147.6,146.35,42450,61.67
"1998-05-06",152,161,151.9,159,159.55,267900,425.94
"1998-05-08",161.9,163,156,160.6,159.4,318650,508.77
"1998-05-11",160,168.7,159.1,167.5,167.45,484350,802.36
"1998-05-12",165.95,166.45,158,162,161.85,377850,614.64
"1998-05-13",158.25,162.2,157,157.15,157.9,233000,371.14
"1998-05-14",156.65,165.65,156.25,164.1,164.4,266100,430.75
"1998-05-15",165.4,167.4,162.25,162.85,162.95,187250,307.83
"1998-05-18",163.25,165.25,163,163,163.25,91800,150.47
"1998-05-19",163,163.95,162.15,163.2,163.7,40700,66.42
"1998-05-20",165.7,172.5,163.25,169.05,170.15,425450,718.65
"1998-05-21",171,171,163.6,164.2,164.25,211550,351.9
"1998-05-22",164.5,168.45,163.05,165.6,166.1,121500,201.12
"1998-05-25",164.5,167.9,163.7,166,166.9,66550,110.67
"1998-05-26",165,169.4,165,167.8,167.6,163600,274.55
"1998-05-27",166.6,167.4,163.1,164.5,164,85400,141.28
"1998-05-28",162.5,162.5,156.3,160.5,159.85,284800,454.27
"1998-05-29",157.25,164.5,156.6,162,162.3,159400,254.84
"1998-06-01",163.9,164.5,156.35,158.9,158.4,172750,276.38
"1998-06-02",157.05,159,151.5,154.35,153,161650,251.36
"1998-06-03",156,156,143,149,148.1,228450,336.84
"1998-06-04",147,148.75,139,140,140.65,185900,267.86
"1998-06-05",138,139.5,132.5,132.7,134.4,190950,258.35
"1998-06-08",132,134.8,121,128,124.35,241350,297.69
"1998-06-09",128,129.45,121.3,125,125.55,228650,287.31
"1998-06-10",128,138,125.5,127.55,128.5,71750,93.3
"1998-06-11",126.9,129,123.05,128,128.45,33950,42.72
"1998-06-12",130,135,130,135,134.1,65150,87.09
"1998-06-15",131.1,133,125,127,126,57050,72.8
"1998-06-16",122.5,134.45,113.5,129,125.2,92400,110.5
"1998-06-17",133,135,128.1,132.55,131,18900,24.81
"1998-06-18",133,133,128.1,128.1,129.4,13250,17.23
"1998-06-19",126.5,126.5,123.05,124.5,124.5,22700,28.34
"1998-06-22",116.75,117.5,112.25,116,114.8,36400,42.02
"1998-06-23",114.1,118,112.5,116,115.75,18150,20.98
"1998-06-24",117.25,127.25,117.1,121.5,120.6,19350,23.4
"1998-06-25",122,124.4,119.55,119.55,121.35,25600,31.23
"1998-06-26",119,124,118,124,123.05,13050,15.89
"1998-06-29",120.2,133.9,120,133.5,132.55,46700,60.76
"1998-06-30",131.75,138,131.5,136.65,136.2,111300,150.86
"1998-07-01",134,143,132,141.65,141.85,26050,35.89
"1998-07-02",142.9,147.5,141,145.5,145.05,25750,37.43
"1998-07-03",144,153,141.55,149.1,148.55,65650,97.33
"1998-07-06",150,161.4,149.75,159.3,159.75,39250,61.23
"1998-07-07",163,170.25,161,168.3,169.6,85600,142.36
"1998-07-08",173,173,161.25,164.05,163.95,54700,90.99
"1998-07-09",168,171,162.05,171,169.6,74850,125.52
"1998-07-10",163,178.8,156.5,178,177.2,72300,125.84
"1998-07-13",182.9,186,176,178,178.1,1e+05,181.55
"1998-07-14",179,185,173,176,177.85,67100,118.51
"1998-07-15",179.25,181.45,171.6,175.5,172.95,44100,77.49
"1998-07-16",173.5,182.5,167.6,181,180.65,100300,178.66
"1998-07-17",182.8,190.75,176.75,187.3,185.5,123350,227.55
"1998-07-20",185,191.15,181,185.75,184.5,92550,171.48
"1998-07-21",184,199.3,183.1,199.3,199.3,202150,398.3
"1998-07-22",205,215.25,203,215.25,214.7,355800,748.34
"1998-07-23",210,216,197.6,201.85,199.15,403750,824.79
"1998-07-24",198,201.5,185.25,195.5,195.7,275700,538.75
"1998-07-27",196,205,186.5,196.15,195.35,215600,420.81
"1998-07-28",195.2,210.2,195.15,208.4,208.8,174100,353.58
"1998-07-29",214,217.9,200.05,203,203.3,370050,762.31
"1998-07-30",204,219.6,203.95,219.55,219.35,743400,1602.11
"1998-07-31",220,226.1,213,221.85,221.25,407950,897.3
"1998-08-03",216.25,218,209.5,213.55,214.85,183450,391.1
"1998-08-04",213.1,218.7,205,207.05,208.85,211650,443.14
"1998-08-05",209,212,199,211,210.25,111900,232.81
"1998-08-06",210,212.95,207,212,211.3,171950,361.98
"1998-08-07",212,224.35,210,219,218.85,2e+05,437.56
"1998-08-10",217.05,218.7,213,215.5,215.15,267350,575.53
"1998-08-11",212,215,206.05,207,207.15,187850,395.75
"1998-08-12",204.95,209.9,202.5,205,205.05,111900,230.31
"1998-08-13",205,209.9,203.7,206.6,206.75,94450,195.73
"1998-08-14",208,209.9,202.1,204.3,203.7,62800,128.9
"1998-08-17",205.8,207.4,199,200.5,199.8,89550,181.84
"1998-08-18",201,201.5,192.55,195.1,194.7,91400,179.93
"1998-08-19",198,204.7,196.25,200.5,199.5,59250,118.09
"1998-08-20",201,213.95,201,213.9,212.25,126450,263.92
"1998-08-21",207.55,217,207.55,210,209.8,92050,195.22
"1998-08-24",208,209.9,205,209,209.1,50350,104.24
"1998-08-25",209,211,208.1,208.5,208.7,77600,162.28
"1998-08-27",211.95,214,208,208.25,209.25,55200,116.58
"1998-08-28",206,207,198.5,200.95,199.95,53600,108.53
"1998-08-31",200.15,205,198,202.75,202.25,30650,62.12
"1998-09-01",198.1,202.9,196.5,197.25,197.35,70000,138.84
"1998-09-02",202,208,201,203.95,203.2,41350,84.59
"1998-09-03",203.5,206.9,202.2,203,203.65,30650,62.68
"1998-09-04",205,207,203,205.05,205.1,31650,64.74
