"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",54.85,54.85,52.5,NA,NA,NA,NA
"1998-03-23",53.7,53.7,53.5,53.55,53.55,600,0.32
"1998-03-24",55.85,55.85,53.05,53.9,53.35,282000,152.31
"1998-03-25",57,58.7,56.85,58.7,58.7,14900,8.68
"1998-03-26",62,64.6,61.5,61.5,61.6,69500,44.42
"1998-03-27",61,63.5,60,63.45,63,21900,13.7
"1998-03-30",64.35,66.6,62.4,62.5,62.8,27900,18.01
"1998-03-31",63,65,60.55,61,62.6,39600,24.94
"1998-04-01",66,68.9,65.3,68.9,68.9,85200,58.48
"1998-04-02",67,69,62.25,64,64.05,75600,48.79
"1998-04-03",61,66.5,61,66.5,65.05,129100,83.62
"1998-04-06",66,71.6,65,71.6,71.35,145000,102.1
"1998-04-07",76.45,76.45,71.05,73.9,73.7,175000,128.54
"1998-04-09",72,77.95,72,75,74.95,71500,53.83
"1998-04-10",73.55,74.5,68,69.4,68.55,57600,40.78
"1998-04-13",66.1,71.9,64.2,67.15,66.2,63200,42.77
"1998-04-15",71.95,72.85,70.6,72.85,72.7,89600,64.77
"1998-04-16",74.9,74.95,69.05,69.05,69.9,46700,33.62
"1998-04-17",69.9,70,67.1,70,69.05,21600,14.89
"1998-04-20",72,72,68,68.15,68.25,36700,25.54
"1998-04-21",68,68,63.15,66.5,65.5,41000,26.79
"1998-04-22",67,69.5,64,64.5,64.7,45500,30.57
"1998-04-23",64.5,64.5,58.3,59.85,58.65,51400,31.64
"1998-04-24",59,59,55,55,55.8,52800,29.48
"1998-04-27",57.5,58.35,52,53,52.25,32300,17.88
"1998-04-28",52,53.5,50.1,52.5,51.65,60800,31.63
"1998-04-29",53.25,56.85,53,55.7,55.05,51400,28.22
"1998-04-30",54.25,59.9,53.7,58.25,58.3,26700,15.25
"1998-05-04",59.85,61.8,57.85,60.1,60.05,38100,22.66
"1998-05-05",60.5,62.9,59,62.1,62.15,41600,25.45
"1998-05-06",64,64,58.1,58.3,58.4,26400,15.95
"1998-05-08",58.7,59,57,58.45,58.05,12700,7.37
"1998-05-11",56.25,58.2,56.25,57.6,57.75,4600,2.65
"1998-05-12",55.5,56,53,54,54.1,23800,12.96
"1998-05-13",55,55.7,52,52,53.05,121200,65.98
"1998-05-14",53,55.5,52,55,54.95,17400,9.32
"1998-05-15",55.4,55.4,53,53.1,53.3,14200,7.65
"1998-05-18",53.25,54.85,53,53.3,53.25,16100,8.65
"1998-05-19",53,54.2,53,54,53.85,23300,12.53
"1998-05-20",55,57.4,55,57,57,15800,8.87
"1998-05-21",56.75,56.75,54.75,55.85,55.55,9300,5.18
"1998-05-22",55,55.45,54.4,54.55,54.6,26300,14.38
"1998-05-25",54.35,57,54.35,55,55.95,16400,9.17
"1998-05-26",55.3,55.4,54,55,54.35,25800,14.05
"1998-05-27",55,56.2,54.5,55.1,55.1,8600,4.74
"1998-05-28",54.75,55.5,51.3,53.5,53.65,17000,9.12
"1998-05-29",49.25,54.8,48.55,53.85,54.25,9600,5.11
"1998-06-01",56,56.9,53.5,53.75,53.7,19800,11.02
"1998-06-02",52.05,52.15,49,49,49.95,215200,111.73
"1998-06-03",51,52.5,50,50.5,50.8,286700,149.07
"1998-06-04",51.7,51.7,49.5,49.5,49.8,27800,13.93
"1998-06-05",49.6,49.6,48,48,48.05,6100,2.96
"1998-06-08",44.55,45,43.25,44.15,44,6900,3.03
"1998-06-09",43,43.9,42.25,43.9,43.3,16800,7.18
"1998-06-10",44,44.75,41.75,41.75,42.2,12200,5.19
"1998-06-11",41.7,42.9,41,42.05,42.7,5900,2.47
"1998-06-12",43,43.9,42.25,43,42.8,8400,3.61
"1998-06-15",42,42,38.55,38.55,38.7,6900,2.75
"1998-06-16",35.25,37.5,35.15,37.25,36.95,9600,3.52
"1998-06-17",40.5,40.5,37,37,38,50000,19.16
"1998-06-18",37.8,38.9,34.65,34.65,35,23000,8.43
"1998-06-19",35,35,33,34,33.45,13400,4.52
"1998-06-22",30.5,32,30.15,30.15,30.25,15100,4.65
"1998-06-23",30.4,30.45,28,29.75,29.6,28300,8.39
"1998-06-24",29,31,29,30.25,30.25,39300,11.84
"1998-06-25",31,32.85,30,30,30.6,46900,14.63
"1998-06-26",30.5,30.5,29.55,29.95,30,18500,5.56
"1998-06-29",30,30.6,28.75,28.75,29.1,20700,6.15
"1998-06-30",29.75,29.8,28.1,28.2,28.35,18300,5.26
"1998-07-01",29,29.5,29,29.3,29.3,11500,3.36
"1998-07-02",29.5,31.05,29,29.2,29.15,18300,5.43
"1998-07-03",29.5,29.5,29,29,29.05,5500,1.6
"1998-07-06",29.25,29.25,27.5,28,27.9,11500,3.23
"1998-07-07",28.5,29,27.75,29,28.75,14200,4.04
"1998-07-08",29.2,30.15,29,29.6,29.5,115200,33.48
"1998-07-09",29.75,31.85,29.75,31.85,31.85,18300,5.74
"1998-07-10",33.7,34.4,33,33,33.9,36900,12.38
"1998-07-13",34.75,34.75,33,33.7,33.75,37100,12.62
"1998-07-14",34.5,34.5,32.1,32.1,32.55,14000,4.61
"1998-07-15",33.25,33.7,31,31,31.35,23800,7.72
"1998-07-16",31.5,31.5,29.95,30.65,30.4,23600,7.17
"1998-07-17",30,30.7,28.95,29.25,29.15,24800,7.31
"1998-07-20",29.25,29.7,28.25,28.25,28.5,64500,18.93
"1998-07-21",28,29,27,27.4,27.3,26100,7.29
"1998-07-22",27.3,28.4,27,27.5,27.55,28000,7.74
"1998-07-23",27.8,27.85,26.85,26.85,26.9,11300,3.07
"1998-07-24",26.5,27,25.1,25.85,25.6,18600,4.82
"1998-07-27",26.5,27,25,25.25,25.15,7700,1.96
"1998-07-28",24,27.1,23.3,27.1,26,17500,4.36
"1998-07-29",26.2,28.1,26.2,26.9,26.9,10800,2.92
"1998-07-30",27.55,28,26.55,27.9,27.8,13600,3.77
"1998-07-31",27.1,27.6,27,27.05,27.25,5700,1.56
"1998-08-03",26.95,26.95,26,26,26.1,4600,1.21
"1998-08-04",26,26.6,25.2,25.2,25.4,10500,2.7
"1998-08-05",25.4,25.8,25.15,25.25,25.25,6000,1.52
"1998-08-06",25.5,25.85,24.8,25,24.95,5400,1.35
"1998-08-07",24.95,25.1,24.75,25,25.05,3300,0.82
"1998-08-10",24.1,24.85,24.1,24.4,24.4,2100,0.51
"1998-08-11",24.4,24.65,23.3,23.5,23.45,9700,2.31
"1998-08-12",23.5,24.35,23.15,24,24.05,6600,1.57
"1998-08-13",24.05,24.5,23.75,24,24.1,15700,3.78
"1998-08-14",24.5,24.5,23.4,24,24,11200,2.68
"1998-08-17",24.5,24.5,23.55,23.75,23.8,7400,1.77
"1998-08-18",23,23.5,22.55,22.8,23.1,20400,4.7
"1998-08-19",24.95,24.95,24.25,24.95,24.95,39900,9.92
"1998-08-20",25.45,26.9,25,26.6,26.15,33500,8.7
"1998-08-21",26.75,27.5,26,26.4,26.55,18800,4.97
"1998-08-24",26.05,27.1,26.05,26.8,26.95,13200,3.5
"1998-08-25",27.1,29.15,27.1,29.15,29.15,55000,15.74
"1998-08-27",30.5,31.5,29,30.5,30.5,59700,18.36
"1998-08-28",29.3,30,28.1,28.1,28.1,24700,7.09
"1998-08-31",28.45,28.5,26.5,27.2,27.25,24600,6.73
"1998-09-01",27,27.5,26.3,26.55,26.65,13600,3.64
"1998-09-02",26.5,26.75,25.6,26,26,13500,3.52
"1998-09-03",26,26,25.7,26,26,4900,1.27
"1998-09-04",26.1,26.15,25.85,25.95,26,2800,0.73
"1998-09-07",26.75,26.75,25.85,25.85,25.9,6700,1.75
"1998-09-08",26,27.5,25.5,27.5,26.8,16900,4.42
"1998-09-09",27.45,28,26.75,26.8,26.85,23900,6.54
"1998-09-10",26.95,27.5,26.95,27.3,27.3,3500,0.95
"1998-09-11",27.1,27.1,26.4,26.9,26.85,5900,1.57
"1998-09-14",26.6,26.9,26.1,26.1,26.2,8700,2.29
"1998-09-15",27.4,27.4,25.5,26.5,26.5,3900,1.03
"1998-09-16",26.4,26.8,26.25,26.5,26.5,3200,0.85
"1998-09-17",25.75,26.25,25.6,25.8,25.75,9500,2.46
"1998-09-18",25.3,26.15,25.25,26.1,25.9,6200,1.59
"1998-09-21",25.3,26.2,25.3,25.95,25.85,15000,3.89
"1998-09-22",25.85,25.9,25.05,25.1,25.25,37200,9.5
"1998-09-23",26.45,26.75,26,26.5,26.6,13300,3.52
"1998-09-24",26.9,28.65,26.9,27.5,27.45,17900,4.94
"1998-09-25",27,29.65,27,29.05,29.2,23800,6.92
"1998-09-28",29,30.35,28,28,28.1,16100,4.67
"1998-09-29",28.1,28.75,27.8,28,28.15,9000,2.53
"1998-09-30",27,28.15,27,28.05,27.95,4400,1.22
"1998-10-05",28,28,25.75,25.75,25.75,4200,1.1
"1998-10-06",25.75,27,25.75,27,26.85,6100,1.62
"1998-10-07",28,28,27,27.8,27.8,5100,1.4
"1998-10-08",28.45,30,27.25,27.25,27.35,6500,1.82
"1998-10-09",26.5,27.75,26.5,26.5,26.5,4000,1.09
"1998-10-12",26.5,26.8,26,26,26,1500,0.4
"1998-10-13",25.25,26.25,24.1,24.15,24.3,6300,1.6
"1998-10-14",25.45,25.75,25.4,25.75,25.75,1500,0.38
"1998-10-15",26.1,26.5,26,26.4,26.15,1200,0.32
"1998-10-16",26.4,27,25.75,26,26,3600,0.94
"1998-10-19",26.5,26.5,26.4,26.4,26.4,700,0.19
"1998-10-20",25.75,25.9,25,25,25,2900,0.74
"1998-10-22",25.5,26.5,25.5,26.5,26.35,800,0.21
"1998-10-23",26.4,26.4,25.75,26,26,1400,0.36
"1998-10-26",27.85,28,27,28,28,13800,3.8
"1998-10-27",29,29,27.25,27.25,27.3,4000,1.1
"1998-10-28",27.55,27.55,26.8,27,27.05,7100,1.93
"1998-10-29",26.65,27,26.6,26.7,26.7,600,0.16
"1998-10-30",26.6,27.45,26.5,26.75,26.55,1600,0.43
"1998-10-31",25.5,25.65,25.5,25.65,25.65,600,0.15
"1998-11-02",26.2,26.25,26,26.25,26.1,400,0.1
"1998-11-03",26.9,26.9,25.55,25.65,25.65,2700,0.7
"1998-11-05",26,26.45,25.6,26.45,26.45,2000,0.52
"1998-11-06",26,26.45,24.35,24.35,24.6,5400,1.36
"1998-11-09",25,25.5,25,25.4,25.4,6500,1.64
"1998-11-10",25,25.35,23.4,23.4,23.45,34400,8.26
"1998-11-11",24.65,24.75,23,23,23.4,28600,6.84
"1998-11-12",22.9,23.8,22.9,23.7,23.55,8100,1.9
"1998-11-13",23.5,24.05,23.3,24,24,4400,1.04
"1998-11-16",23.05,23.05,22.1,22.6,22.5,15200,3.39
"1998-11-17",22.7,23.75,22.65,23.75,23.45,15800,3.66
"1998-11-18",24,25.15,24,24.95,24.95,16700,4.11
"1998-11-19",24.95,24.95,24.25,24.75,24.75,6400,1.57
"1998-11-20",24.1,24.4,23.85,23.85,23.85,8200,1.97
"1998-11-21",23.75,24.2,23.55,24.1,24.1,2000,0.48
"1998-11-23",24,24,22.2,22.2,22.2,14300,3.24
"1998-11-24",22.75,22.75,21,22.45,22.45,26200,5.83
"1998-11-26",22.9,22.9,22,22,22,3400,0.75
"1998-11-27",21.55,22,21.55,22,22,3800,0.83
"1998-11-28",21.7,21.85,21.3,21.3,21.3,2000,0.43
"1998-11-30",21.05,22.2,21.05,22.2,22.2,2100,0.45
"1998-12-01",22.1,22.1,21.6,21.8,21.8,1800,0.39
"1998-12-02",22.45,22.45,21.8,22,22,16900,3.71
"1998-12-03",22,22,21.55,21.95,21.95,2700,0.59
"1998-12-04",21.75,21.9,21,21.35,21.35,4400,0.94
"1998-12-07",20.6,21.25,20.5,20.6,20.6,3500,0.73
"1998-12-08",20.75,21,20.3,20.3,20.3,6000,1.23
"1998-12-09",20.5,21.25,19,19.5,19.5,27000,5.37
"1998-12-10",19.5,22,19.5,20.5,20.5,42600,8.89
"1998-12-11",20.85,21.2,20.1,21.2,21.2,8900,1.85
"1998-12-14",20.55,20.6,20.05,20.5,20.5,13800,2.8
"1998-12-15",19.6,20,19.3,19.3,19.3,13000,2.55
"1998-12-16",19.75,20.5,19.5,20.15,20.15,6300,1.28
"1998-12-17",20,20.1,19.75,20,20,4000,0.8
"1998-12-18",20,20,19.5,19.6,19.6,2800,0.55
"1998-12-21",19.5,21,19.5,20.45,20.45,7900,1.61
"1998-12-22",20.15,20.4,19.6,20.05,20.05,6600,1.32
"1998-12-23",20.45,20.75,20.2,20.2,20.2,5300,1.09
"1998-12-24",20.3,20.4,19.55,20,20,2100,0.42
"1998-12-28",19.25,21.6,19.25,21.6,21.6,10000,2.1
"1998-12-29",22,23.35,21.25,23.35,23.35,18600,4.22
"1998-12-30",25,25.25,24.25,25.25,25.25,10400,2.61
"1998-12-31",27.25,27.25,25.25,25.4,25.4,52000,13.76
"1999-01-01",25.55,25.7,24.5,24.8,24.8,14900,3.72
"1999-01-04",25.5,26.15,25,25.6,25.6,13900,3.58
"1999-01-05",25.5,25.5,24.2,24.6,24.6,23300,5.79
"1999-01-06",25.55,26.4,24.9,25.2,25.2,11200,2.85
"1999-01-07",25,26.15,25,25.7,25.7,13300,3.42
"1999-01-08",25.55,26.45,25.55,26.2,26.2,12700,3.3
"1999-01-11",26,27.9,25.55,27.05,27.05,27300,7.29
"1999-01-12",27,27,25.4,25.4,25.4,15300,3.95
"1999-01-13",26,27,25.5,25.75,25.75,7500,1.96
"1999-01-14",25.35,25.45,25,25.3,25.3,1900,0.48
"1999-01-15",25.5,25.5,23.4,23.5,23.5,6600,1.61
"1999-01-18",23.15,24,23,24,24,6400,1.52
"1999-01-19",24,24,22.7,22.7,22.7,6300,1.46
"1999-01-21",23.5,24.55,23,24.55,24.55,10800,2.6
"1999-01-22",24.95,24.95,23.5,23.5,23.5,6800,1.66
"1999-01-25",24,24,23,23,23,6600,1.54
"1999-01-27",23.5,24.25,22.05,22.05,22.05,9000,2.1
"1999-01-28",22.55,23.75,20.5,21,21,29500,6.46
