"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",80.75,82.5,80.75,NA,NA,NA,NA
"1998-03-23",80.5,81,80,81,81,1300,1.05
"1998-03-24",81.1,82.5,81,81.5,81.5,5000,4.09
"1998-03-25",82,84.75,82,83.75,83.8,4300,3.59
"1998-03-26",87.5,87.5,83,83.5,83.6,6400,5.37
"1998-03-27",82.25,83.5,82.25,83,83,1200,1
"1998-03-30",83,84,82,82.25,82.25,3900,3.23
"1998-03-31",83,83,79.55,79.55,81.25,7800,6.36
"1998-04-01",83,83.5,82,83.5,83.4,2000,1.66
"1998-04-02",83.1,83.5,82.25,83.25,83.1,1600,1.33
"1998-04-03",82,83,81,83,83,3700,3.06
"1998-04-06",80,85,80,85,84.8,3700,3.08
"1998-04-07",83,87,83,87,86.95,3700,3.17
"1998-04-09",90.5,95,90,92.5,92.15,12800,11.91
"1998-04-10",94,100,92,94.25,94.8,9800,9.42
"1998-04-13",92.9,95,90.1,90.75,91.6,13200,12.19
"1998-04-15",98,99.7,95,98.2,98.7,8900,8.67
"1998-04-16",99.25,101.1,91,97.8,97.5,19000,18.53
"1998-04-17",95.1,97,93,97,97,7000,6.67
"1998-04-20",93.5,95,93,93,93.25,6800,6.39
"1998-04-21",93.05,94.5,92,94,92.9,7400,6.9
"1998-04-22",96.5,102,95.6,97.1,97.1,13500,13.36
"1998-04-23",94.6,95.75,94.25,95,94.85,3800,3.6
"1998-04-24",93.15,93.15,90,93,92.7,2900,2.67
"1998-04-27",91,93.9,89.8,90.5,90.1,2400,2.18
"1998-04-28",89.9,89.9,86.5,88.95,88.3,3800,3.33
"1998-04-29",89.3,89.3,86.1,86.3,87.7,3500,3.09
"1998-04-30",85.05,90,84,90,89.75,5500,4.81
"1998-05-04",91,91,88.5,89,89.65,2500,2.24
"1998-05-05",89.75,95.8,89,92,92.2,5700,5.18
"1998-05-06",95.75,95.75,92,94.9,93.7,5800,5.45
"1998-05-08",93,94.9,92,92,92,3600,3.34
"1998-05-11",92.6,92.6,92,92,92,1700,1.57
"1998-05-12",88.05,89.9,86.5,89.9,88.45,8300,7.34
"1998-05-13",88.1,88.5,85.5,85.5,86.8,4600,4.03
"1998-05-14",88,92,85.75,92,92,5400,4.71
"1998-05-15",90.1,91,90,91,91,2300,2.07
"1998-05-18",87.75,92,87.75,90,91,2800,2.55
"1998-05-19",91.1,95,90,95,92.85,5600,5.18
"1998-05-20",92,94.2,91,94.2,94.2,9400,8.66
"1998-05-21",97,99.8,94.5,95,95.05,23600,22.7
"1998-05-22",97.9,102,97.9,102,101.35,18300,18.3
"1998-05-25",107.5,111.5,103.9,108.5,108.9,20900,22.9
"1998-05-26",111.9,115.9,106,115.75,114.1,32100,35.85
"1998-05-27",118,125.5,116.5,120.5,118.7,43800,53.64
"1998-05-28",119.5,125.1,119,120.6,119.8,25600,31.09
"1998-05-29",111.1,117.5,108,115,115.05,18500,21.04
"1998-06-01",117.5,117.5,110.6,113.1,113.3,26400,30.33
