"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2016-07-01,738,748.65,731.95,734,734.85,496344,3672.96
2016-07-04,737,768.3,736,767.45,762.75,1097800,8267.11
2016-07-05,760.1,781.2,756.95,764.3,763.8,1311970,10108.41
2016-07-07,759.1,768.4,757,759,759.8,1690562,12870.41
2016-07-08,762.4,762.55,748,755,752.7,716073,5397.54
2016-07-11,771.75,788.8,767.65,782,779.25,1949007,15162.11
2016-07-12,784,784.95,769.9,780.5,778.95,1035499,8036.53
2016-07-13,782,782,756.75,760.4,759.5,2000822,15306.32
2016-07-14,759.9,767.4,741.6,745.4,744.8,1448227,10876.73
2016-07-15,749.5,771.75,746.4,763.8,764.55,794732,6062.09
2016-07-18,768,776.8,761.75,765.55,764.6,665135,5118.73
2016-07-19,765,791,760.55,787.65,787.35,1176279,9151.46
2016-07-20,788.8,799.8,776,783,782.15,2163089,17108.23
2016-07-21,784.35,784.35,760,760.5,763.7,756073,5835.94
2016-07-22,780,891.15,774.85,844.05,843.6,9312439,78132.8
2016-07-25,847,874.35,832.65,862.7,862.95,2328462,19971.09
2016-07-26,867.5,908,863,884,879.35,3246932,28814.32
2016-07-27,880.05,892,871.55,886.9,887.7,1768485,15621.11
2016-07-28,891.4,901.8,881.15,895,896.55,3554738,31797.73
2016-07-29,891.1,939,886,908,907.3,2741693,25059.63
2016-08-01,915,925.95,901.3,910,910.7,1289694,11809.01
2016-08-02,820,890,814.2,831,822.65,8449967,72123.31
2016-08-03,823.15,849.95,778.6,805,802.25,5543496,44611.67
2016-08-04,810.5,815.45,776.5,793.9,789.8,2963508,23439.56
2016-08-05,799.95,828,792.1,819.75,818.15,3139651,25541.34
2016-08-08,826.1,841.95,815.1,831,833.35,1378374,11466
2016-08-09,834.8,853,824.35,836,833.8,1509937,12676.82
2016-08-10,836,840.7,797.6,801.2,803.85,1647526,13400.19
2016-08-11,807,807.8,780,797,794.65,1686449,13368.97
2016-08-12,803.35,816.95,799.25,808.65,811.8,773745,6266.07
2016-08-16,803.1,805.95,780.4,780.55,784.15,924095,7305.02
2016-08-17,784.15,787.5,742,744,744.95,2064320,15673.32
2016-08-18,744.5,806.7,733,800,795.9,3928444,30243.73
2016-08-19,801.95,807.85,780.6,784,786.25,1550229,12325.51
2016-08-22,788,795.5,744,747,748.05,1767151,13471.25
2016-08-23,750,770,748.05,760.6,760.15,2082362,15863.66
2016-08-24,763.95,764.7,741.6,755.6,755.9,1672203,12583.29
2016-08-25,758.95,782,758.95,764.25,764.65,2769433,21329.22
2016-08-26,767.4,791.7,767,785.5,784.15,1868096,14637.06
2016-08-29,782.6,796,772.8,791.15,792.6,1158254,9097.21
2016-08-30,798.8,822.9,797.15,817,818.1,1713176,13952.18
2016-08-31,818,829.5,777.35,819.8,819.5,1470929,12019.85
2016-09-01,820.1,826.7,803,805,805.4,1067576,8698.8
2016-09-02,811,816.8,800.9,809.05,809.4,747494,6047.58
