"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,79,81.55,78.25,NA,NA,NA,NA
1998-03-23,81.1,81.1,81.1,81.1,81.1,200,0.16
1998-03-24,86,87,81.75,84.9,84.85,7000,5.83
1998-03-25,93,93,81.25,84.25,84.85,8800,7.46
1998-03-26,85.5,85.9,81.5,81.5,81.7,5900,4.91
1998-03-27,83.75,83.75,80.1,81.75,82.3,750,0.61
1998-03-30,79.5,82,79.1,79.1,79.6,5750,4.63
1998-03-31,80,80,76,76.1,77.15,6100,4.71
1998-04-01,79,82,79,81,80.85,5250,4.21
1998-04-02,81.9,83.75,80.7,80.7,80.7,50850,41.89
1998-04-03,82,82,79.75,81.8,81.8,3200,2.59
1998-04-06,80,83,80,81.3,81.3,4750,3.89
1998-04-07,83.45,85.5,82.8,85,85.05,34100,28.92
1998-04-09,88,93.55,87.9,92.4,92.4,16850,15.55
1998-04-10,92.4,93.55,90.6,92,92.4,8550,7.88
1998-04-13,88,90,85,87.5,88.35,10000,8.85
1998-04-15,92,94,90,91,91.3,7150,6.56
1998-04-16,91,94.15,90.6,93,93.35,21450,19.95
1998-04-17,90.65,95,90.65,93.5,94.75,21700,20.13
1998-04-20,94,96,93,94.5,94.5,10850,10.24
1998-04-21,93.25,96.75,93.25,96.75,95.5,6100,5.79
1998-04-22,99.75,103.9,94.5,95,95,8350,8.12
1998-04-23,95,95.75,92.75,94.75,94.75,5400,5.11
1998-04-24,94,95,86,91,90.75,9850,8.93
1998-04-27,91,96,91,93.75,93.75,12850,12.08
1998-04-28,93.2,97,92.8,94.25,95.45,8150,7.71
1998-04-29,93,95.45,93,95.45,94.8,23600,22.09
1998-04-30,90.4,96,90.35,96,95.9,3950,3.7
1998-05-04,95,96.5,94.75,95,95,2350,2.24
1998-05-05,95,96,94.5,95,95.1,9350,8.88
1998-05-06,95,95.5,94,94.25,94.25,2550,2.42
1998-05-08,94,96,93.2,94.25,94.2,5100,4.83
1998-05-11,95,96,95,95,95,850,0.81
1998-05-12,95,96,91.25,94.5,95.3,4600,4.3
1998-05-13,92,94.25,90.05,92.8,93.2,8900,8.26
1998-05-14,92,95,92,95,94.8,10900,10.14
1998-05-15,95,95,92.3,93,92.95,8600,8.11
1998-05-18,98,102.25,95.5,102.25,102.25,6900,6.92
1998-05-19,109,112.05,105.2,112.05,112.05,19900,22.05
1998-05-20,119.8,123.25,117,120,119.05,28950,34.76
1998-05-21,119,120,108,113.75,114.2,12750,14.67
1998-05-22,106,114.9,106,112,113.25,6050,6.78
1998-05-25,118,118,111.6,113,113,11350,13.09
1998-05-26,115,116,109.8,113.1,110.8,15750,17.74
1998-05-27,111,113,110.1,110.6,110.75,3700,4.13
1998-05-28,110,110,103,103,103,3350,3.58
1998-05-29,105,105,94,103,103.85,5900,6.03
1998-06-01,106,107,94,94,94,8200,8.57
1998-06-02,96.05,97,87,90,91.5,6100,5.72
1998-06-03,88,93.5,88,90.95,89.65,3800,3.42
1998-06-04,91.75,92.75,87.5,87.5,88,4950,4.45
1998-06-05,84,85,79.25,79.25,79.25,6200,5.07
1998-06-08,82,86.9,78,86.9,86.15,9550,7.71
1998-06-09,84.5,92.85,84.5,90.65,91.25,5350,4.83
1998-06-10,92,94.5,85.5,86.2,86.6,10700,9.55
1998-06-11,83,83,78.5,83,82.85,4050,3.25
1998-06-12,85,87.5,75,76,76.35,4450,3.53
1998-06-15,74,74,68.75,68.75,68.75,29350,20.26
1998-06-16,68.55,72,68.55,72,68.6,4950,3.39
1998-06-17,75,75.45,74,75.45,75.45,5800,4.37
1998-06-18,75,81.2,75,80.4,79.85,4800,3.8
1998-06-19,75.25,78,75.25,76.5,76.5,1800,1.39
1998-06-22,79,79,72.25,74,73.65,4400,3.34
1998-06-23,74.9,76,72,72.1,73.35,1500,1.1
1998-06-24,74.05,74.05,74.05,74.05,74.05,200,0.15
1998-06-25,80.5,80.5,74.6,75.25,75.25,1000,0.77
