"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,341.65,354.75,337.05,NA,NA,NA,NA
1998-03-23,355.5,363.95,354,362,362,136000,487.71
1998-03-24,365,368.4,350,352,356.05,655600,2374.3
1998-03-25,355,368.7,355,365.5,365.15,477100,1740.37
1998-03-26,366.9,373,360.25,362.6,361.45,477000,1749.76
1998-03-27,360.5,363.9,357.1,362.8,362.4,213300,770.31
1998-03-30,363.7,367.2,357.2,358,358.15,257400,933.36
1998-03-31,357,365.4,352.25,357,360,587600,2119.62
1998-04-01,370,371.85,362.1,368.5,367.85,471500,1727.27
1998-04-02,370,404.4,370,393,394.05,1674200,6587.67
1998-04-03,398.4,431.95,398.4,427.6,429.35,2934800,12268.07
1998-04-06,432,436.8,416.5,420,420.6,1046100,4439.69
1998-04-07,420,423.5,404.1,409,407.55,985500,4070.28
1998-04-09,411,422,408.7,420,419.6,641000,2673.18
1998-04-10,418,421,402.05,405,406.1,561000,2319.57
1998-04-13,399,405,387,389.6,389.4,590400,2323.72
1998-04-15,399.9,422.95,397.9,416.5,416.65,827100,3431.67
1998-04-16,418.25,421.25,406.2,407.5,407.85,566400,2351.03
1998-04-17,405.3,417.95,404.7,414.9,415.3,404700,1667.06
1998-04-20,415,431.9,415,417,417,811100,3429.03
1998-04-21,418.5,422,416,418,417.4,420900,1761.02
1998-04-22,425.8,449.7,410.85,413,413.15,465600,1966.84
1998-04-23,411,415.9,402.1,404.1,404.8,299200,1225.7
1998-04-24,401.35,409,381,407,404.75,357000,1436.49
1998-04-27,405.1,410.95,397.15,406,403.3,271300,1096.4
1998-04-28,403.6,403.6,381.25,391.85,389.15,552900,2152.93
1998-04-29,401.5,406.5,385.1,390.1,389.9,347200,1375.51
1998-04-30,388,395.9,385,395.25,394.55,175800,688.55
1998-05-04,398.85,404,397,400.35,401.9,303300,1215.68
1998-05-05,396.05,404.9,391.95,401.05,402.3,195800,783.55
1998-05-06,406,411,392,396,394.05,260000,1041.28
1998-05-08,393,404.75,391,395,396.25,621700,2489.3
1998-05-11,395,397.4,384.6,396.5,396.5,270200,1057.62
1998-05-12,392.25,396,376.3,395,391.9,389800,1511.99
1998-05-13,365,390,362,380,377.3,438500,1677.36
1998-05-14,376,384.85,363,384,382,723400,2701.97
