"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2008-02-28,4000,4140,3880,3925,3954.6,13356,530.25
2008-02-29,3954.9,3999,3925,3980,3967.8,956,37.84
2008-03-03,3920,3979.9,3360,3950,3950,1958,76.73
2008-03-04,3946,3950,3815.1,3925,3922.55,2821,110.45
2008-03-05,3890,4000,3890,3940,3962.5,2100,82.04
2008-03-07,3905,3937,3730,3750,3745.4,2077,78.95
2008-03-10,3700,3845,3450.05,3800,3763.65,1704,62.21
2008-03-11,3800,3939,3652,3900,3896.25,1926,73.99
2008-03-12,3989,3989,3875,3950,3932.7,3950,155.38
2008-03-13,3910,3917,3762.3,3879,3863.75,2625,100.37
2008-03-14,3900,3900,3750,3835.25,3826.75,991,37.99
2008-03-17,3800,3800,3675,3715,3715,1233,45.87
2008-03-18,3685,3700,3610,3640,3650.5,2647,96.59
2008-03-19,3815,3815,3525.2,3525.2,3596.95,11030,397.46
2008-03-24,3525,3650,3450,3625,3626.7,4391,154.65
2008-03-25,3549.95,3665,3549.95,3650,3628.1,3491,126.63
2008-03-26,3690,3716.5,3625,3675,3685.65,3071,113.07
2008-03-27,3615,3734.9,3530,3550,3637.45,12993,476.27
2008-03-28,3700,3798,3610,3765.05,3772.35,1964,72.7
2008-03-31,3850,3850,3661.6,3700,3728.9,11711,434.25
2008-04-01,3625,3786,3610.2,3639.85,3639.95,941,34.56
2008-04-02,3749.8,3749.8,3650,3650,3650.3,986,36.03
2008-04-03,3660,3735,3653,3700.2,3700.1,1398,51.56
2008-04-04,3700.2,3750,3700.2,3739.95,3719.15,1180,43.97
2008-04-07,3792,3798,3700,3732,3741,670,25.03
2008-04-08,3701.05,3810,3701.05,3740,3779.75,45771,1717.3
2008-04-09,3799.8,3799.8,3715.6,3750.1,3760.1,547,20.54
2008-04-10,3728,3775,3728,3775,3750.55,6817,255.67
2008-04-11,3751,3768.5,3690,3715,3715.6,466,17.31
2008-04-15,3695,3780,3600,3753.15,3757.3,2664,99.79
2008-04-16,3750,3794.9,3750,3789.65,3776.5,747,28.22
2008-04-17,3800,3835,3779,3820,3817.7,3450,131.57
2008-04-21,3855,3869,3822,3851.1,3849.3,1081,41.4
2008-04-22,3844.95,3894.95,3816,3860,3866.95,5897,227.57
2008-04-23,3865,3920,3855,3907,3911.15,7354,286.23
2008-04-24,3950,3950,3875,3911,3925.9,1860,72.9
2008-04-25,3965,3998,3890,3971.1,3983.95,1369,54.24
2008-04-28,4040,4040,3890,3970,3968.35,1460,58.43
2008-04-29,3990,4029.5,3990,4006.1,4012.3,981,39.33
2008-04-30,4029.95,4168,4000.05,4115.05,4142.8,3173,129.32
2008-05-02,4204,4204,4001,4080.15,4088.85,998,40.94
2008-05-05,4085,4134,4085,4100.1,4117.3,505,20.75
2008-05-06,4100,4133,4100,4132.95,4124.4,933,38.43
2008-05-07,4100,4210,4100,4200,4186.5,1194,49.48
2008-05-08,4125,4300,4125,4270,4259.05,1481,62.43
2008-05-09,4249.95,4265.2,4120,4200,4179.35,1344,56.7
2008-05-12,4151,4151,4120,4120,4120.65,1400,57.7
2008-05-13,4132,4199,3801.1,4052,4080.8,6231,256.86
2008-05-14,4109.5,4170,4109.5,4170,4127.2,1943,79.99
2008-05-15,4100,4200,4100,4140,4143.25,441,18.22
2008-05-16,4285,4344.95,4190,4335,4325.85,5062,216.59
2008-05-20,4300,4325,4201.05,4300,4308,925,39.46
2008-05-21,4225,4287,4210,4210,4221.6,322,13.67
2008-05-22,4200.05,4269.95,4200,4200,4200.15,382,16.08
2008-05-23,4217,4249,4200,4228,4207.55,557,23.41
2008-05-26,4200.05,4215,4200,4200.05,4203,2922,122.76
2008-05-27,4200.55,4225,4200,4200,4200.4,420,17.64
2008-05-28,4201,4230,4200,4200.7,4208.75,1762,74.26
2008-05-29,4202,4215,4157.5,4195,4180.25,3665,153.49
2008-05-30,4125,4200,4076,4125,4111.95,683,28.09
2008-06-02,4081.1,4124.95,3963.2,4090,4007.25,212,8.53
2008-06-03,4070,4070,3882.5,4039,3994.95,1492,58.76
2008-06-04,3954.95,4041.95,3911.1,4015,4012.3,752,30.1
2008-06-05,4030.2,4090,4030,4070.05,4055.2,41585,1682.55
2008-06-06,4099,4120,4020,4055,4060.3,508,20.62
2008-06-09,4005.05,4079.9,4000,4055,4061.65,9060,365.66
2008-06-10,4055,4090,3925,4026,4054.8,2553,102.44
2008-06-11,4065.5,4067.5,3965,4019.8,3989.8,1852,74.34
2008-06-12,3800,4025,3800,3910,3907.55,355,13.97
2008-06-13,3920,3950,3871,3871,3880.2,499,19.48
2008-06-16,4000,4000,3867.1,3900,3897.15,289,11.3
2008-06-17,3878.3,3932.3,3875,3880,3879.55,186,7.24
2008-06-18,3880,4025,3845,4005,3963.9,1805,70.08
2008-06-19,3950,3980,3950,3950,3971.45,1050,41.51
2008-06-20,3970,3984,3850,3950,3909.95,1992,77.97
2008-06-23,3875,3910,3801,3850,3840.1,956,36.73
2008-06-24,3755.05,3842,3702.1,3750,3754.95,317,11.98
2008-06-25,3700,3753,3640,3670,3661.65,408,14.99
2008-06-26,3700,3799.95,3690,3775.5,3774.75,7397,278.05
2008-06-27,3749.8,3800,3725.05,3800,3786.4,3331,124.91
2008-06-30,3800,3949,3800,3835.05,3835.85,2065,79.34
2008-07-01,3751,3847.95,3711,3711,3740.8,1355,51.25
2008-07-02,3710,3800,3700,3798.95,3756.4,1010,37.62
2008-07-03,3700,3744,3651,3724.15,3706.1,245,9.07
2008-07-04,3650,3788.9,3650,3750,3749.2,1105,41.04
2008-07-07,3800,3899.95,3676,3690,3765.3,1974,74.71
2008-07-08,3700,3805,3700,3800,3794.1,3406,129.24
2008-07-09,3800,3851.95,3756.25,3765,3774.85,482,18.31
2008-07-10,3800,3815,3751,3751,3769.5,77,2.91
2008-07-11,3740,3810,3735,3800,3795.7,735,27.9
2008-07-14,3750,3810,3750,3800,3799.9,5649,214.63
2008-07-15,3740,3800,3740,3780,3785.6,2215,84.01
2008-07-16,3750,3750.05,3640,3700,3717.75,1291,47.85
2008-07-17,3680,3739,3655.2,3690,3698.6,910,33.66
2008-07-18,3665.1,3725.5,3665,3698,3695.25,367,13.58
2008-07-21,3710,3735.5,3671,3671,3681.05,1145,42.37
2008-07-22,3720,3727.5,3672,3725,3724.55,2415,89.63
2008-07-23,3800,3800,3685,3717.95,3718.65,2812,104.48
2008-07-24,3790,3790,3700,3720,3724.55,1065,39.86
2008-07-25,3700,3740,3700,3710,3710.75,249,9.22
2008-07-28,3800,3800,3690.05,3690.05,3704.5,330,12.24
2008-07-29,3711,3761.9,3700.05,3739.5,3726,1265,47.17
2008-07-30,3770,3799.85,3716.05,3725,3727.8,2946,109.77
2008-07-31,3702,3749,3702,3725.05,3725.2,3936,146.61
2008-08-01,3725,3745,3701,3738,3726.2,963,35.87
2008-08-04,3725,3782,3720,3735,3748.3,11449,426.55
2008-08-05,3789.75,3829.9,3740.2,3819,3816,929,35.26
2008-08-06,3880,3880,3750,3800,3805.05,1018,38.68
2008-08-07,3756,3825,3512.05,3800,3802.1,1505,55.88
2008-08-08,3800,3824.95,3760,3799.85,3792.25,167,6.32
2008-08-11,3800,3825,3753,3825,3812,808,30.68
2008-08-12,3780,3825,3780,3824.8,3820.15,1062,40.36
2008-08-13,3825,3825,3613,3800,3799.95,2670,101.42
2008-08-14,3661,3850,3661,3784,3783.35,1064,40.26
2008-08-18,3750,3760,3735,3750,3750,1176,44.1
2008-08-19,3750,3750.05,3711,3711,3735.25,81,3.02
2008-08-20,3749,3749,3712,3716.25,3725.85,196,7.31
2008-08-21,3749.95,3750.2,3680,3680,3687.9,83,3.08
2008-08-22,3675,3719.5,3675,3675,3678.3,168,6.19
2008-08-25,3701,3701,3347,3633.1,3635.8,1011,35.94
2008-08-26,4173.9,4300,4110.05,4140.05,4145.5,38762,1613.66
2008-08-27,4175,4199.45,4050,4166,4176.35,20292,845.73
2008-08-28,4169.95,4169.95,4125.1,4131,4135.9,2514,104.23
2008-08-29,4124.6,4173.45,4107,4124,4122.6,2026,83.53
2008-09-01,4130,4174.45,4130,4170.5,4173.65,2078,86.66
2008-09-02,4174.45,4350,4020,4045,4071.9,18642,785.55
2008-09-04,4090,4090,3900,3900.2,3908.8,7022,279.79
2008-09-05,3900,3949,3830,3860,3865.8,7611,295.77
2008-09-08,4000,4000,3850,3920,3891.05,6181,238.36
2008-09-09,3835,3899,3715.05,3845.5,3853.8,305,11.76
2008-09-10,3888.25,3900,3810,3839,3848,1579,60.74
2008-09-11,3718,3880,3718,3805,3806.3,468,17.82
2008-09-12,3811,3873.95,3811,3850,3850,2991,115.12
2008-09-15,3770,3874.95,3730,3870,3854.05,2159,82.3
2008-09-16,3740,3875,3740,3869.95,3864.95,1176,45.29
2008-09-17,3875,3890,3855.1,3875,3881.05,1506,58.3
2008-09-18,3750,3950,3750,3890,3904.95,12141,474.69
2008-09-19,3948,3950,3875.5,3901.25,3918.85,3119,123.07
2008-09-22,3900,4011,3900,4000,3993.25,29201,1153.66
2008-09-23,3951,3980,3913.35,3959,3951.1,236,9.34
2008-09-24,3950.05,3979.8,3926,3926,3926,587,23.26
2008-09-25,3960,3969.9,3851.1,3851.1,3922.6,1382,54.46
2008-09-26,3955,3955,3900,3920,3912.45,5412,212.34
2008-09-29,3950,3950,3851.1,3891.25,3887.9,8468,329.36
2008-09-30,3801.1,3959.9,3801.1,3950,3933.05,5498,214.54
2008-10-01,3870.5,3950,3870.5,3935.1,3948.55,3813,150.58
2008-10-03,3900,3924,3851.1,3865.05,3898.35,6156,239.74
2008-10-06,3899.95,3920,3759.05,3790,3778.15,19839,757.03
2008-10-07,3785,3785,3640.1,3750,3750.9,1570,58.4
2008-10-08,3700,3700,3291.5,3575,3570.85,3299,115.24
2008-10-10,3333,3498.8,2875.55,3498.8,3450.05,4839,164.86
2008-10-13,3350,3429.85,3280,3350,3312.1,944,31.55
2008-10-14,3450,3600,3400,3424.9,3411.9,566,19.51
2008-10-15,3301,3400,3275,3343,3325,252,8.39
2008-10-16,3250,3350,2924,3300,3230.85,3833,117.65
2008-10-17,3280,3300,3156.85,3156.85,3209,1167,37.97
2008-10-20,3200,3380,3200,3252,3298.65,2043,66.79
2008-10-21,3298,3348,3250,3285,3281.75,786,25.71
2008-10-22,3269,3299.95,3201,3282,3278.9,1549,50.8
2008-10-23,3270,3289.95,3075,3200,3199.55,7701,247.84
2008-10-24,3052,3099.95,2851,3000,2978.25,10709,319.26
2008-10-27,3020,3020,2705,2800.05,2807.95,2347,66.12
2008-10-28,2945,2945,2790.05,2816,2815,399,11.22
2008-10-29,2949,2949.85,2720,2750,2786.65,3204,90.03
2008-10-31,2801,3620,2801,3250,3299.85,6120,182.17
2008-11-03,3380,3554,3180,3290,3289.35,1353,44.26
2008-11-04,3300,3399,3200.05,3360,3346.45,1562,51.61
2008-11-05,3398,3407,3302.15,3310,3341.25,1567,52.49
2008-11-06,3250,3555.55,3200,3550,3500.1,3164,105.95
2008-11-07,3300.05,3531,3300.05,3530,3472.65,1249,42.61
2008-11-10,3500,3500,3341.15,3375,3399.2,315,10.75
2008-11-11,3315,3425,3310,3423,3408.55,517,17.58
2008-11-12,3212.05,3350,3212.05,3300,3295.2,1758,58.14
2008-11-14,3300.05,3320,3000.3,3000.3,3059.75,634,19.89
2008-11-17,3168,3169,2820.1,3000,2994.75,2101,62.34
2008-11-18,2930.05,2995,2930,2960,2963.2,571,16.86
2008-11-19,2931.15,3044,2931.15,2975,2975.05,845,25.09
2008-11-20,2975,3006,2830,3006,2977.25,1641,48.65
2008-11-21,2950,3075,2935.1,2935.1,2948.35,2497,73.69
2008-11-24,2945,2980,2945,2950.1,2963.55,610,18.01
2008-11-25,3040,3045,2960,3011.25,3024.35,11185,335.42
2008-11-26,2981.15,2997,2961,2975,2974.65,10863,322.68
2008-11-28,2975,3025,2925.1,2925.1,2962.1,334,9.92
2008-12-01,2962.1,2988.65,2896,2907.95,2943.65,8388,247.3
2008-12-02,2850,2950,2850,2896,2886.75,4707,136.54
2008-12-03,2855,2980,2855,2920.05,2936.4,1557,45.62
