"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2014-03-14",300,310.25,287,300,299.4,27208,80.63
"2014-03-18",301,302.95,291.55,293.5,295.75,52683,155.13
"2014-03-19",295.9,295.9,288.1,291.9,290.9,43210,125.75
"2014-03-20",290,291,287.1,288.75,289.4,47574,137.75
"2014-03-21",288,291,285.8,287.15,287.15,77541,223.22
"2014-03-22",289,290,286.5,290,289.15,4206,12.11
"2014-03-24",292.35,292.35,287.6,288,288.95,120240,347.18
"2014-03-25",288.5,292.95,285,288,287.25,47272,135.84
"2014-03-26",290,292.95,288.05,292,291.65,40337,117.27
"2014-03-27",292,298.25,290.3,297.95,297.7,54703,161.49
"2014-03-28",302.5,314,302.5,311,312.2,208665,645.34
"2014-03-31",313.3,317,309.35,310.5,310.95,91514,286.44
"2014-04-01",312.2,312.2,305,306.5,306.05,198453,607.91
"2014-04-02",306,312.5,305,308.25,308.05,169167,521.92
"2014-04-03",307.05,311,303.1,305.5,304.9,254728,780.54
"2014-04-04",305.2,309.95,304.7,309,308.4,53319,163.97
"2014-04-07",306.15,309.8,303.5,303.5,304.05,99437,303.01
"2014-04-09",304.05,309,303,304.25,304.05,244701,745.85
"2014-04-10",305,306.4,303.9,304.5,304.2,100456,306.14
"2014-04-11",305,309.9,304,305,304.9,109339,334.94
"2014-04-15",307.35,307.35,302.15,302.85,302.65,63611,193.04
"2014-04-16",303.5,304.5,300,300.8,300.35,69455,209.85
"2014-04-17",300,304,300,301.35,301.4,26470,80.01
"2014-04-21",302,305,300,300.85,300.2,108739,327.41
"2014-04-22",300.85,303,300.15,302.55,302.3,48618,146.9
"2014-04-23",304.5,304.5,301.25,302.75,302.25,54131,163.62
"2014-04-25",301,302,297,297,297.45,67660,202.6
"2014-04-28",297.15,298.9,296,297.7,297.45,51164,152.26
"2014-04-29",306.75,306.75,293.05,294.95,294.2,99784,295.55
"2014-04-30",294.95,304.5,293,296.6,296.1,103453,308.85
"2014-05-02",298,299,293.6,296.3,296.3,50070,148.33
"2014-05-05",296.3,297,291.5,293,293,56645,166.57
"2014-05-06",294,294.5,291,291.7,291.95,50415,147.42
"2014-05-07",291.25,292.9,289.4,290.5,290.3,151320,440.71
"2014-05-08",290.35,292.35,286.05,286.8,286.9,115858,334.17
"2014-05-09",286.3,291,286,287.45,286.75,125316,359.65
"2014-05-12",289,291.5,288,290.5,290,72632,210.63
"2014-05-13",295.5,298.4,290.05,292.9,293,178584,525.61
"2014-05-14",293,293,286.1,287.6,288.05,144899,417.64
"2014-05-15",290.8,290.8,286.65,287.5,287.6,129161,372.06
"2014-05-16",290.05,291.15,283.1,285,284.75,153224,438.91
"2014-05-19",285,288.85,285,286,286.2,245191,702.94
"2014-05-20",288,288.3,283.6,284.8,284.75,315718,901.57
"2014-05-21",285.1,292.05,283.5,288.8,289.7,502662,1449.32
"2014-05-22",291,298.5,290.1,292.25,293,889713,2629.35
"2014-05-23",295.8,299.2,293,295,294.85,454472,1346.8
"2014-05-26",297.5,308.7,293.15,298.9,298.75,756861,2279.51
"2014-05-27",300.9,301.6,293,293.5,293.5,185626,547.91
"2014-05-28",293.6,298.5,290,294,291.6,257473,755.97
"2014-05-29",292.7,295,290.8,291,291.9,83574,244.4
"2014-05-30",290.55,299.4,290.55,293,294.25,135411,399.89
"2014-06-02",295,297.7,294,294.8,294.8,86124,254.5
"2014-06-03",295,296.3,294.1,295.35,295,155556,459.07
"2014-06-04",294.05,302,294,300,298.5,448830,1326.35
"2014-06-05",303,315,303,312.6,312.9,1088461,3392.04
"2014-06-06",316.5,331.6,316.5,327,326.7,1341326,4363.23
"2014-06-09",331.4,349.9,331.25,347.25,348.05,1266440,4331.61
"2014-06-10",350,351.8,334.75,340,341.4,479254,1635.58
"2014-06-11",342,349,331.7,334,335.35,327666,1111.47
"2014-06-12",336,340.5,331.4,334,333.85,168772,567.7
"2014-06-13",334.15,335.85,316.1,316.7,317.65,470365,1524.48
"2014-06-16",315.15,322.7,311.25,313.65,315.05,405667,1284.2
"2014-06-17",314.7,323,314.7,319.5,319.5,529122,1691.62
"2014-06-18",321,323,311.65,312.25,313.3,219803,696.33
"2014-06-19",315.9,316.8,308.4,309.25,309.75,249459,776.61
"2014-06-20",309.45,322.35,309.4,317.9,318.6,426257,1356.6
"2014-06-23",319.2,322,312.6,314,314.6,153412,484.53
"2014-06-24",316,322,314.5,319.5,319.2,222304,708.8
"2014-06-25",318.25,320,315.1,316.15,316.85,81759,259.33
"2014-06-26",316,317.85,312.2,315,314.3,115649,363.95
"2014-06-27",315.25,328,315,325.95,325.5,494270,1603.3
"2014-06-30",327.2,329,321.7,323.5,324.7,182164,592.68
"2014-07-01",326.45,333.95,322,330.6,331.7,343956,1130.75
"2014-07-02",338.1,365,334.05,361.6,361.55,3729277,13173.56
"2014-07-03",354.75,355,342.55,346,347.75,1341996,4674.23
