"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",37,39.1,37,NA,NA,NA,NA
"1998-03-23",38.9,40.7,38.9,40,40,36550,14.66
"1998-03-24",41,42.9,41,41.8,42.1,175950,74.01
"1998-03-25",43,46.3,41,45.65,45.25,262650,116.57
"1998-03-26",46.7,46.75,43,43.7,43.4,158250,71.11
"1998-03-27",43,45.5,43,45.3,45.1,81750,36.51
"1998-03-30",46,46.9,44,44.2,44.25,81650,37.07
"1998-03-31",43,44,40.75,42,41.55,134250,56.71
"1998-04-01",43,44.1,41.5,42.5,42.4,114700,49.3
"1998-04-02",43,43,39.9,39.9,40.2,104150,42.66
"1998-04-03",40.25,42,40.25,41.9,41.7,70200,29.03
"1998-04-06",42.9,42.9,40.55,41.5,41.1,67500,28.12
"1998-04-07",41.25,42.25,40.5,41.25,41.35,121600,50.43
"1998-04-09",43,47.4,43,46.25,45.95,232450,107.32
"1998-04-10",46,50.25,45.55,48.2,47.85,271850,132.25
"1998-04-13",48,48.5,45.25,46.5,46.65,137550,64.81
"1998-04-15",48.6,50.8,48.55,49.75,49.45,178650,88.75
"1998-04-16",50.8,50.8,47.1,47.6,47.55,75000,36.07
"1998-04-17",47.95,48.6,47,48.4,48.05,70350,33.71
"1998-04-20",47,48.55,46,46,46.25,93100,44.21
"1998-04-21",48,48,46,46.5,46.55,97300,45.17
"1998-04-22",49,49,46,46.25,46.45,76500,36.11
"1998-04-23",47.9,48.9,46,46,46.25,80550,38.2
"1998-04-24",47.5,48,44,45.8,45.95,71000,32.31
"1998-04-27",47.8,48,45.25,45.7,45.5,50750,23.73
"1998-04-28",45.2,45.7,41.55,43.3,43.5,76900,33.5
"1998-04-29",43,43.05,39.15,39.55,39.55,88350,36.77
"1998-04-30",37.5,39.5,35.85,38.2,38.9,245100,94.35
"1998-05-04",40.25,42.35,39,42.35,42.15,64700,26.63
"1998-05-05",41.55,41.85,39.6,40.6,40.55,256750,104.84
"1998-05-06",40,41.25,40,40.45,40.15,36550,14.85
"1998-05-08",40.1,44.2,39,42.95,42.4,67450,28.72
"1998-05-11",42.5,43.9,41.5,42.4,42.15,34950,14.97
"1998-05-12",41,41.5,39,39.8,39.9,80050,32
"1998-05-13",40.8,40.8,36.1,37.25,37.7,44050,17.11
"1998-05-14",37,39.5,36,38.5,38.2,70650,26.88
"1998-05-15",39,41,39,39,39.3,38300,15.17
"1998-05-18",42,42,39.5,39.7,39.65,21950,8.75
"1998-05-19",39.95,40.5,39.75,40.15,40.1,45600,18.23
"1998-05-20",41.5,41.5,40,41,40.4,49200,19.99
"1998-05-21",40.65,40.7,39,39.95,39.95,10050,4.01
"1998-05-22",39.4,39.75,39,39.5,39.5,10950,4.31
"1998-05-25",38.5,39.5,38.5,39.1,39.1,4800,1.88
"1998-05-26",38.6,38.6,37.7,37.7,37.8,32300,12.31
"1998-05-27",38.1,38.75,37.2,37.7,37.65,20550,7.77
"1998-05-28",37,37.7,35.65,36.3,36,54000,19.78
"1998-05-29",35.95,38.4,34.1,37.25,37.5,27650,9.95
"1998-06-01",38.1,40.05,37.25,37.3,37.35,69950,27.3
"1998-06-02",37,38,35,35.5,35.25,90400,32.54
"1998-06-03",35.5,36.55,35.05,36.3,36.2,10400,3.74
"1998-06-04",35.7,36.85,35.7,36,36,6650,2.42
"1998-06-05",35.95,35.95,34,34.7,34.25,11150,3.89
"1998-06-08",32,32.6,30.9,31.3,31.2,19600,6.13
"1998-06-09",31.1,32.7,31,31.5,31.65,17550,5.58
"1998-06-10",30.5,30.5,28.5,29,28.95,25350,7.38
"1998-06-11",28.25,28.45,26.3,27.3,27.4,40350,11.05
"1998-06-12",27.75,30.05,27.75,28.6,28.6,33350,9.74
"1998-06-15",26,26.25,25.75,25.75,25.75,43950,11.34
"1998-06-16",24.05,25.65,23.8,25.4,25.3,54750,13.47
"1998-06-17",27.6,27.85,26.25,27.85,27.85,10600,2.88
"1998-06-18",29.9,29.9,28.15,28.15,28.15,32650,9.35
"1998-06-19",26.5,28.1,26.5,27.75,27.75,13500,3.73
"1998-06-22",26.25,28.5,26.25,28.5,28.25,25850,7.13
"1998-06-23",27.25,29.45,27.25,29.4,29,24650,7
"1998-06-24",29.5,31,28.3,30.7,30.5,18450,5.48
"1998-06-25",32.5,32.95,31.2,32.05,32,25400,8.04
"1998-06-26",31,31.5,30.9,31.1,31.15,9200,2.87
"1998-06-29",29.6,31.55,29.6,30.55,30.7,11600,3.59
"1998-06-30",31,31,29.5,29.85,29.9,25350,7.63
"1998-07-01",28.8,29.75,28.8,29.1,29.1,4650,1.36
"1998-07-02",29.4,29.75,28.7,29.35,29.35,2500,0.74
"1998-07-03",28.1,28.7,27.75,27.75,28.1,6700,1.89
"1998-07-06",29,29.45,28.3,28.5,28.5,12150,3.48
"1998-07-07",28.5,29,28,28.25,28.35,20400,5.79
"1998-07-08",29.4,29.45,28.25,28.75,28.55,6900,1.97
"1998-07-09",29,29,27.8,27.8,27.95,8950,2.52
"1998-07-10",28.7,29.5,28.5,28.85,28.85,9350,2.72
"1998-07-13",29.9,29.95,28.55,28.6,28.55,18500,5.4
"1998-07-14",29.9,30.5,29,29.5,29.4,22650,6.66
"1998-07-15",29.9,29.9,29.25,29.3,29.3,9900,2.91
"1998-07-16",29.45,30.25,29.3,30,30,70650,21.15
"1998-07-17",29.35,30.5,29.35,30.5,30.25,37250,11.31
"1998-07-20",29.5,30.25,29.5,30,29.95,42350,12.69
"1998-07-21",29.45,30,29.3,29.8,29.85,45100,13.49
"1998-07-22",29.35,30.2,29.35,30,29.9,47700,14.29
"1998-07-23",29.9,29.9,29.5,29.65,29.5,20150,5.96
"1998-07-24",29.25,30.5,29.25,29.5,29.65,14300,4.23
"1998-07-27",29.5,29.65,29.4,29.4,29.45,37450,11.02
"1998-07-28",29.25,30.45,29.25,30,30.05,40350,11.98
"1998-07-29",32,32,30.8,30.9,30.95,104400,32.41
"1998-07-30",31.75,31.75,30,31.1,31.05,68400,21.05
"1998-07-31",31.7,31.7,30.7,31,31,59350,18.4
"1998-08-03",30,30.3,29.15,30.2,30.15,12000,3.62
"1998-08-04",30.15,30.45,30,30.45,30.2,13100,3.95
"1998-08-05",29.3,30,29.25,30,30,25950,7.73
"1998-08-06",30,30.2,29.3,29.5,29.5,23900,7.13
"1998-08-07",29.1,31.5,29.1,30.35,30.55,23050,7.02
"1998-08-10",28.5,29.4,28.15,28.3,28.25,26550,7.55
"1998-08-11",27.3,28,27.3,27.5,27.55,17000,4.69
"1998-08-12",28,28,26.8,27.8,27.75,12050,3.33
"1998-08-13",28.4,28.4,27.3,28.2,28.2,9750,2.72
"1998-08-14",27.75,28.15,27.65,28.1,28,6650,1.85
"1998-08-17",27.8,28,27.75,27.75,27.75,4350,1.21
"1998-08-18",29.4,29.4,27.3,27.8,27.45,10100,2.78
"1998-08-19",28.75,28.75,27.5,27.7,27.7,4600,1.27
"1998-08-20",28.9,29,28.05,29,28.85,13850,3.96
"1998-08-21",28.35,29,28.35,28.75,28.75,6950,2
"1998-08-24",29,29,28.1,28.1,28.1,6750,1.92
"1998-08-25",27.7,28.85,27.6,28.8,28.65,8500,2.42
"1998-08-27",29,29.5,28.5,28.7,28.7,11450,3.3
"1998-08-28",28.35,28.75,28,28,28.1,12050,3.41
"1998-08-31",27.3,28.25,27.3,28.05,28.05,13300,3.73
"1998-09-01",29.7,29.7,27.5,28,28.3,38600,10.87
"1998-09-02",27.95,28,27.5,27.85,27.65,3950,1.1
"1998-09-03",27.7,27.75,27.2,27.7,27.6,3200,0.88
"1998-09-04",28.25,28.25,27.65,28,28,2300,0.64
"1998-09-07",28.05,28.9,28,28.5,28.5,4650,1.32
"1998-09-08",28.5,28.95,28.3,28.85,28.85,8800,2.52
"1998-09-09",29.1,29.45,28.8,28.85,28.95,7650,2.23
"1998-09-10",29.2,29.2,28.3,28.6,28.5,9350,2.67
"1998-09-11",28.15,28.85,28,28.15,28.1,11200,3.16
"1998-09-14",28,28.4,27.7,27.7,28.25,22700,6.4
"1998-09-15",29,30.55,29,30.4,29.95,55900,16.83
"1998-09-16",31,32.35,31,32.35,32.35,3300,1.06
"1998-09-17",34.75,34.95,34.1,34.4,34.35,68300,23.67
"1998-09-18",33.55,37.1,33.55,37,36.95,49100,17.6
"1998-09-21",37,38.95,37,37.85,38.15,46900,17.94
"1998-09-22",37.5,39,37.5,38.7,38.65,35300,13.45
"1998-09-23",38.7,39.5,37.55,37.55,37.75,37600,14.39
"1998-09-24",35.2,37.8,35.15,36.65,36.5,17200,6.27
"1998-09-25",35,36.7,33.6,33.75,34,17650,6.28
"1998-09-28",32.55,35.4,32.1,34.85,34.85,9050,3.13
"1998-09-29",33,34.75,32.5,34,33.7,17250,5.82
"1998-09-30",33,33.9,31.5,33.1,33.25,6100,2.02
"1998-10-05",31.5,32,30.6,30.6,30.6,3050,0.96
"1998-10-06",29.1,31,28.95,30.5,30.35,10600,3.17
"1998-10-07",32,32.5,31.4,32.5,32.5,16950,5.39
"1998-10-08",33,33.45,31,31.5,31.15,18200,5.82
"1998-10-09",31.1,33.65,31.1,33.15,33.35,27000,8.92
"1998-10-12",32.75,33.5,31.8,32,32,15750,5.13
"1998-10-13",31.1,32.2,30.2,31,30.9,15600,4.9
"1998-10-14",32.85,32.85,31,31.95,31.85,21050,6.68
"1998-10-15",31.05,31.05,29.55,29.55,29.75,11950,3.62
"1998-10-16",30.5,30.6,29.8,30.2,30.05,4500,1.35
"1998-10-19",30,30.5,29.7,29.8,29.85,3400,1.02
"1998-10-20",28.35,28.95,27.55,28.4,28.2,19350,5.5
"1998-10-22",29,29.45,26,27.2,27.1,14550,4.08
"1998-10-23",27.95,29.3,27.8,28.85,28.85,9800,2.83
"1998-10-26",30.7,31.2,30.3,31,31,16450,5.08
"1998-10-27",28.6,28.6,28.55,28.55,28.55,9500,2.71
"1998-10-28",27,27.95,26.6,26.6,26.8,12100,3.3
"1998-10-29",26,26.45,25.3,25.8,25.65,14250,3.68
"1998-10-30",26.2,26.55,25.7,26,25.95,11600,3.03
"1998-10-31",25.75,26.1,24.05,26.1,25.75,2700,0.69
"1998-11-02",26.1,26.5,25.6,25.7,25.65,4950,1.29
"1998-11-03",26.2,26.2,24.9,24.9,25.05,27850,7.05
"1998-11-05",25,25.8,25,25.65,25.5,10950,2.8
"1998-11-06",25.55,26.35,25.55,26.3,26.25,5950,1.56
"1998-11-09",26.75,28.25,26.5,28,28.15,21050,5.78
"1998-11-10",29.85,29.85,27.25,27.85,27.9,13400,3.72
"1998-11-11",28,30.1,28,28.2,28.45,26500,7.71
"1998-11-12",28,28.5,27.4,28.5,28.2,10600,2.96
"1998-11-13",27.1,29.5,27.1,28.85,28.7,15650,4.53
"1998-11-16",28.05,28.6,27.85,28,27.95,7200,2.02
"1998-11-17",28,28.1,27.5,28,27.85,15400,4.3
"1998-11-18",28.25,28.5,28,28.35,28.35,9050,2.57
"1998-11-19",28.5,28.5,27.6,27.6,27.6,11050,3.1
"1998-11-20",28,28.2,27.65,27.85,27.85,1200,0.34
"1998-11-21",27.3,27.95,27.25,27.5,27.5,1200,0.33
"1998-11-23",27.7,27.7,26.6,27,27,6650,1.8
"1998-11-24",27,27,26.2,26.4,26.4,19400,5.16
"1998-11-26",26.45,27,26.1,26.1,26.1,11150,2.96
"1998-11-27",26.15,26.45,26.05,26.3,26.3,5450,1.43
"1998-11-28",26.5,26.5,26.2,26.2,26.2,600,0.16
"1998-11-30",26.1,26.6,25.8,26.2,26.2,3450,0.91
"1998-12-01",27.5,28.3,27.5,28.3,28.3,17150,4.84
"1998-12-02",30,30.6,28.95,29.1,29.1,53600,16.08
"1998-12-03",29.9,29.9,28.3,28.5,28.5,16150,4.64
"1998-12-04",28.3,28.5,28,28.25,28.25,11450,3.24
"1998-12-07",28,28.5,27.7,27.75,27.75,11350,3.19
"1998-12-08",27.55,27.9,26.5,26.9,26.9,21900,5.93
"1998-12-09",27.4,27.75,27.2,27.45,27.45,9450,2.6
"1998-12-10",27.05,27.5,27.05,27.2,27.2,5150,1.4
"1998-12-11",27.95,28,27,27.5,27.5,4900,1.36
"1998-12-14",27.5,28,27.3,27.5,27.5,11700,3.24
"1998-12-15",27.45,27.45,26.65,26.7,26.7,10850,2.93
"1998-12-16",27.25,27.25,26.5,27,27,14300,3.82
"1998-12-17",26,26.5,26,26,26,11400,2.97
"1998-12-18",25.4,26.5,25.4,26.25,26.25,4450,1.17
"1998-12-21",26.65,27,26.5,26.8,26.8,10950,2.94
"1998-12-22",26.8,27,26.1,26.1,26.1,14700,3.89
