"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2017-03-08,71.15,71.4,67.85,70.2,70.05,3622306,2515.33
2017-03-09,70,70.25,69.1,69.1,69.3,901609,627.91
2017-03-10,69.3,70.4,68.05,68.4,68.5,1660525,1147.73
2017-03-14,71,71.35,69.25,70.95,70.9,4077779,2873.2
2017-03-15,71,71.35,69.6,69.9,69.9,2168400,1525.83
2017-03-16,70.05,74,70.05,73.85,73.55,5510518,3992.65
2017-03-17,74.1,74.5,72.1,73.7,73.3,5136854,3765.08
2017-03-20,73.4,74.4,73,73.7,73.6,1837578,1354.43
2017-03-21,74,74,72.65,73,73.15,897196,655.9
2017-03-22,71.75,74.5,71.7,73.3,73.15,1707572,1253.36
2017-03-23,73.15,74.85,73.1,74.8,74.5,1983764,1467.35
2017-03-24,74.8,77.65,74.4,77.25,77.3,4203394,3214.43
2017-03-27,77.5,78.25,76.4,77.2,77.25,2540383,1963.27
2017-03-28,77.5,78.25,76.45,77.35,77,1975448,1529.53
2017-03-29,77.75,77.75,76.6,77,77.15,1561634,1205.32
2017-03-30,77.05,78.05,76.25,76.65,76.8,2860789,2214.96
2017-03-31,77,78.4,75,77.8,77.65,2003215,1549.23
2017-04-03,77.8,80,77.4,79.85,79.8,1953043,1542.11
2017-04-05,80.45,81,79.75,80.8,80.55,1984639,1595.17
2017-04-06,80.9,81.2,79,79.65,79.65,3094287,2470.89
2017-04-07,79.9,79.95,78.5,79.15,78.95,967629,767.35
2017-04-10,78.95,80.15,78.65,79.95,79.7,1341144,1064.8
2017-04-11,79.6,80.5,78.9,79.9,80,1837837,1470.34
2017-04-12,80.05,80.65,78.9,79.35,79.5,2318279,1847.39
2017-04-13,79.05,80.1,78.85,79.85,79.85,1568161,1250.24
2017-04-17,80.2,80.5,79.4,79.8,79.75,1486609,1187.02
2017-04-18,80,80.25,78.1,78.35,78.6,1954703,1553.68
2017-04-19,78.8,80.4,77.7,79.8,79.65,1339715,1059.89
2017-04-20,79.4,82.2,79.2,80,79.8,2908968,2336.02
2017-04-21,80.5,80.7,78.5,79.45,79.55,1546549,1231.99
2017-04-24,78.55,80.4,78.55,79.75,79.8,1623683,1297.78
2017-04-25,79.5,80.2,78.95,79.4,79.55,2060599,1639.65
2017-04-26,79.5,79.9,77.55,78.3,78.05,2136374,1691.2
