"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2010-06-22,131,143,129.5,140.4,141.15,645647,890.36
2010-06-23,139.95,141.5,135.3,136.5,136.35,537714,740.25
2010-06-24,135.1,141.4,135.1,138.8,139.05,195737,270.79
2010-06-25,138.45,138.75,132.5,135,133.95,109775,149.21
2010-06-28,134.1,139,131.05,135.3,135.75,214257,291.46
2010-06-29,135.15,136.8,132.1,132.45,132.7,77303,103.32
2010-06-30,132,137.4,130,136,135.65,174907,236.46
2010-07-01,135.1,137.4,133.2,136,136.2,55825,75.59
2010-07-02,137,140.8,135.75,135.9,136.65,255255,353.41
2010-07-05,135.55,139,134.2,138.35,138.25,98384,135.31
2010-07-06,138.9,140.5,138,138.5,138.95,105096,146.05
2010-07-07,138,148,137.5,145.9,144.5,719817,1041.27
2010-07-08,146.9,150.7,144.75,145.75,146.55,335650,495.98
2010-07-09,147.8,147.8,144.3,147.25,146.45,78829,115.28
2010-07-12,147.95,164.5,146.7,151.35,151.5,2640703,4079.47
2010-07-13,152.8,154.7,149,150,150,364734,552.37
2010-07-14,152,154.7,149.5,151.5,151.1,383569,584.52
2010-07-15,151.8,153.85,150.2,151.75,151.6,167612,255.17
2010-07-16,151.8,158.5,150,155.95,156.4,522364,812.94
2010-07-19,156.6,158.75,152.95,153.5,153.7,212646,331.13
2010-07-20,154.95,155.3,147.05,147.3,148.45,146234,220.76
2010-07-21,151.95,157.8,149.5,156.3,155.6,486814,746.77
2010-07-22,156,159.5,154.8,157,157.25,260689,409.58
2010-07-23,158.25,158.5,151,152.45,152,151844,233.53
2010-07-26,152.9,158.2,150.1,153,152.75,439744,679.51
2010-07-27,153.9,154.9,151.5,152,152.4,141378,216.53
2010-07-28,152.6,155.5,149.5,151.15,151.65,298323,456.55
2010-07-29,151.25,155.5,145.6,155,153.05,403497,608.87
2010-07-30,153.1,154,148.2,149,149.2,110661,167.09
2010-08-02,151.95,152.8,147.05,148.3,148.2,114160,171.26
2010-08-03,149.7,151.8,148.1,149,149.05,126792,190.66
2010-08-04,149.7,151.5,146.15,148,147.15,137975,204.79
2010-08-05,151,152,148,149.25,149,147149,220.98
2010-08-06,149.8,151.3,148.6,148.85,148.9,63451,95.11
2010-08-09,150.2,152,147.2,150.85,150.55,122571,184.16
2010-08-10,151.2,157.3,149.95,151.2,151.15,205320,315
2010-08-11,151.25,154.7,147.1,147.5,147.75,282256,426.18
2010-08-12,145.3,151,145.3,148.25,148.2,71623,106.56
2010-08-13,149.7,152.45,147.55,151.05,151,225306,338.99
2010-08-16,149.8,157.9,149.6,152.15,152.4,402251,623.62
2010-08-17,151.6,159.9,151.6,155.85,154.25,229869,359.95
2010-08-18,155.8,158,152.85,154,153.95,114849,179.45
2010-08-19,154.95,155,152.05,153,153.15,74290,114
2010-08-20,153.5,162.5,153.05,161.9,161.05,843279,1349.95
2010-08-23,162.15,166.2,157,158.9,158.55,563304,914.98
2010-08-24,159.25,164.35,156.1,163.1,162.15,386665,621.18
2010-08-25,162.2,165,155.05,155.05,156.7,436213,704.75
2010-08-26,157.9,159.8,155.5,156.3,156.15,98494,155.45
2010-08-27,153.35,159,150.55,152.5,151.85,115997,179.16
2010-08-30,159,159.15,151.75,159.15,158.1,321430,501.64
2010-08-31,157.05,159.2,155.15,157.25,158.25,308892,486.07
2010-09-01,158.05,168,158.05,165.7,165.75,799781,1317.53
2010-09-02,166.1,170,163.25,164.05,164.7,439640,737.01
2010-09-03,165.55,168.75,163.1,166.55,165.8,122273,202.66
2010-09-06,167.1,175.3,164.5,173.75,174.5,635586,1099.94
2010-09-07,174.9,176.1,170.1,171,171,197940,341.95
2010-09-08,169,178.8,168,176.1,175.75,416774,731.46
2010-09-09,177,178.8,172.15,173.5,173.9,168629,295.66
2010-09-13,175.45,176.9,171,172,171.75,147934,256.85
2010-09-14,172.5,172.9,166.35,171.2,170.75,134471,229.59
2010-09-15,167.5,171.45,167,167.5,167.9,92822,156.21
2010-09-16,169.05,170.5,166.6,170.4,168.7,75380,126.95
2010-09-17,169.75,181.4,166.15,176,176.5,815371,1444.37
2010-09-20,178,178,172.65,173.45,173.1,95884,167.11
2010-09-21,173,175.8,168.5,171.2,171.65,211265,362.31
2010-09-22,172.8,175.4,168,171.9,170.9,86094,147.35
2010-09-23,170.1,176,169,171,170.9,132133,228.5
2010-09-24,170.95,173.9,168.6,169,170.1,60480,103.65
2010-09-27,171,176,169.05,174.1,175,138603,241.2
2010-09-28,177,177,171,175,174.35,93377,161.85
2010-09-29,174.6,174.6,169.3,173.95,172.6,99869,172.31
2010-09-30,172.05,175.7,170,172.6,174.1,76052,131.32
2010-10-01,173,177.95,172.1,176,176.15,176716,310.55
2010-10-04,177.1,178.5,172.85,175.5,175.15,106509,186.58
2010-10-05,173,179.5,173,174.55,177.25,198028,348.41
2010-10-06,175,188,173,187.3,187.05,841059,1554.16
2010-10-07,187,190.75,176.2,184.2,183,500955,927.11
2010-10-08,184.4,185.5,180.2,183,181.85,112202,204.97
2010-10-11,183,188.9,182.25,184.25,185.25,142665,265.66
2010-10-12,187.5,188.5,183.05,183.8,184.85,110093,204.33
2010-10-13,186,189.95,182,187.5,186.9,155506,289.64
2010-10-14,186.05,186.9,183,183.05,185.1,82652,152.65
2010-10-15,184,185,176.7,180,181.3,97912,177.75
2010-10-18,179,182.9,178.05,178.9,179.25,42544,76.62
2010-10-19,180.95,181.35,174.1,174.55,175.1,44050,78.2
2010-10-20,176.9,176.9,166.55,171,171,119133,205.4
2010-10-21,171,181.3,171,177.7,175.9,127255,225.93
2010-10-22,178,179,175,175.55,176.3,34428,60.8
2010-10-25,177.9,178.45,175.2,177,177.25,23802,42.05
2010-10-26,178,180.7,175.55,177.3,176.9,42496,75.91
2010-10-27,178,178.95,174,174,174.65,21903,38.5
2010-10-28,179,185,176.1,183.5,182.5,197722,360.96
2010-10-29,185,186,174.1,183,182.05,160485,289.9
2010-11-01,183,184.7,179.1,179.95,180.6,61987,112.66
2010-11-02,182.5,182.5,176.2,180.95,181.45,36989,66.89
2010-11-03,182,182.8,178,178,178.5,21182,38.17
2010-11-04,178.3,184.5,178.1,183.75,183.65,47484,86.65
2010-11-05,186,193.9,185,186.35,190.9,114343,217.86
2010-11-08,189.9,189.9,184,185,185.05,26839,49.89
2010-11-09,185.05,189,181.1,188,185.65,41768,77.45
2010-11-10,187.5,212.5,183.05,189.4,190,2898723,5573.32
2010-11-11,191.5,203.85,190,196,194.75,636920,1262.95
2010-11-12,195,197.5,182.55,184.8,184.9,271632,521.85
2010-11-15,186,189,177.8,188.8,187,103107,189.64
2010-11-16,186.5,200.7,184.15,186.45,185.75,480779,928.37
2010-11-18,187.9,194,174.2,179,179.1,189935,343.09
2010-11-19,180.05,188,177,180.35,182.9,203019,369.92
2010-11-22,184.8,188,181,186.55,186.7,90445,167.71
2010-11-23,184.5,185.8,176,180.3,182.2,140573,254.29
2010-11-24,183.9,186,177.8,178.75,181.25,96074,176.19
2010-11-25,182,183.85,177.1,178,179.8,96721,175.04
2010-11-26,177,181,165,175,174.9,261535,451.16
2010-11-29,174,179,170,171.95,171.8,31600,54.46
2010-11-30,170,190.4,170,189.45,186.65,169671,308.23
2010-12-01,185.1,194.9,185.1,190,189.85,144703,276.25
2010-12-02,190.1,195.5,187.1,188,188.65,102954,197.09
2010-12-03,189,190.9,182.5,186,186.75,51426,95.94
2010-12-06,186.2,199,186.2,194.4,194.6,213930,417.37
2010-12-07,190.5,194.65,186.8,187.4,187.8,113213,213.21
2010-12-08,185,192,177.8,179,178.75,289257,548.77
2010-12-09,182,183,165.1,169.9,168.5,181090,314.3
2010-12-10,168.1,182,166.1,177,179.4,149960,263.67
2010-12-13,180.95,184.9,176,182,181.7,93267,170.06
2010-12-14,179.05,185.9,179.05,183.55,184.65,36052,66.3
2010-12-15,180.7,183.95,178.5,179,180.4,27533,49.71
2010-12-16,180,181.75,177.3,179,179.55,12524,22.54
2010-12-20,176,184.55,176,179,178.55,25498,45.99
2010-12-21,178.1,181.9,178.1,179.1,179.4,10398,18.76
2010-12-22,180,181.5,179,179.25,179.6,15611,28.12
2010-12-23,179.7,181.5,176,176.1,177.1,15182,27.1
2010-12-24,175,179.9,175,177.1,176.85,1428091,2529.36
