"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2007-12-17",435,440,385,388.2,388.1,355781,1419
"2007-12-18",410,410,386.3,392,390.25,100918,395.34
"2007-12-19",409,409,387,388,389.85,331542,1294.48
"2007-12-20",394.75,394.75,382.5,385,388.65,681903,2661.35
"2007-12-24",388.65,393,388.65,393,392.4,44752,174.99
"2007-12-26",392.4,405,392.4,402,402.5,237112,939.53
"2007-12-27",404.4,406,400,401,402.7,80943,326.31
"2007-12-28",395,405,395,402.95,401.45,68086,273.63
"2007-12-31",403,409.9,401,407,406.45,122694,498.44
"2008-01-01",407.5,414,407,411.3,412.05,91509,375.76
"2008-01-02",415,421,404.2,418.05,419.05,146084,605.8
"2008-01-03",415,446.95,408.65,440,439.9,351569,1521.67
"2008-01-04",440,465,440,463,457.8,243134,1103.71
"2008-01-07",460,524.9,456,485,486.75,574470,2855.36
"2008-01-08",490,497.8,471,473.5,474.55,129687,625.58
"2008-01-09",473.95,480,460,463.5,464.15,62218,291.92
"2008-01-10",464.15,480.55,457,463,462.2,178077,834.86
"2008-01-11",463,463,435.05,457,456.95,203367,915.18
"2008-01-14",458,475,446.05,473.5,470,104588,482.67
"2008-01-15",470,478,465,466,465.6,39444,185.52
"2008-01-16",455.55,468.95,450.1,450.6,455.5,120861,555.3
"2008-01-17",457.8,492,450,477,481.1,118971,564.73
"2008-01-18",482,482,453.4,456.05,459.6,185443,860.07
"2008-01-21",465,465,400.15,450.05,443.25,126810,560.56
"2008-01-22",405.1,452,375.05,409,405.5,101719,414.2
"2008-01-23",410,459,399,415,413.1,110691,454.58
"2008-01-24",420,429.3,402,408.95,407.4,80468,332.31
"2008-01-25",408,419,396.05,400.95,400.2,164440,663.15
"2008-01-28",400.2,401.4,384,385,388.15,53654,209.26
"2008-01-29",394.95,406,382,385.85,388.05,215955,841.2
"2008-01-30",390.1,409.8,385,402.2,405.7,250123,986.86
"2008-01-31",402,435,396,414.8,419.5,202143,847.87
"2008-02-01",415,424,412,420.5,420.65,59488,249.34
"2008-02-04",422,429.3,415,420.3,423.75,89287,379.24
"2008-02-05",405,428.95,405,415,415.15,44204,184.6
"2008-02-06",415,415,396,398.85,397.6,43293,174.46
"2008-02-07",401.8,408.9,389,389,394.1,25811,103.47
"2008-02-08",394.1,394.65,382,385.05,385.05,280246,1079.58
"2008-02-11",405,430,371.5,372,376.85,32764,126.33
"2008-02-12",379.95,387.95,370,370.05,370.7,14528,54.39
"2008-02-13",376.8,381,360,370,365.8,17175,63.36
"2008-02-14",370,380,367,369.15,370,141753,525.13
"2008-02-15",370,379.65,367,379.55,378,152987,569.81
"2008-02-18",381.55,390,381.5,386,385.9,45979,177.39
"2008-02-19",381.15,392.9,381.15,382.1,385.25,31531,121.62
"2008-02-20",381.05,387.95,373.05,374.95,374.85,13179,49.89
"2008-02-21",383.3,384.6,374,376,376.15,36952,139.11
"2008-02-22",372.45,378,372.45,377,377.05,18928,71.11
"2008-02-25",384.8,390.05,373.5,385,388.45,25678,98.15
"2008-02-26",389.4,389.8,378,381,379.25,72734,276.76
"2008-02-27",382.9,390,380.05,381.25,381.3,37846,145.69
"2008-02-28",382,383,372,376,374.95,59293,223.58
"2008-02-29",375.4,378.7,370.15,372,372.5,34199,127.75
"2008-03-03",371,392.4,365,384,388.4,157389,598.2
"2008-03-04",390.1,415,388.5,406.05,406.35,172466,690.03
"2008-03-05",408,419.95,400,400.25,404,166095,683.47
"2008-03-07",405,405,375,376,381.55,73642,282.3
"2008-03-10",375,397,366,394.95,394.95,58551,224.37
"2008-03-11",390,411,380,410,409.15,58010,233.82
"2008-03-12",414.8,420,388.1,391,394.7,41871,169.75
"2008-03-13",386.8,392,381.05,386,385.2,22010,85.06
"2008-03-14",385,409.9,384,400,401.4,66512,262.27
"2008-03-17",392.5,398.9,385,385,387.5,36839,143.12
"2008-03-18",394,396.9,386.15,394,390.6,26147,102.41
"2008-03-19",400,413.1,395.5,407,405.7,103665,418.97
"2008-03-24",410,412,387.5,390,393.9,88982,351.42
"2008-03-25",401,405,395,396,397.5,47397,188.85
"2008-03-26",397,400,381.3,394.05,391.5,145354,566.54
"2008-03-27",390,396,385,387.25,388.25,69107,269.96
"2008-03-28",394.9,394.9,386.1,387,387.5,125389,486.69
"2008-03-31",387,388,378.1,380,382.6,113239,435.82
"2008-04-01",383,395,380.05,391.95,391.8,79289,307.18
"2008-04-02",395.5,399,389.15,393.95,393.25,364941,1434.55
"2008-04-03",395.5,410,391,407,407.35,109566,441.96
"2008-04-04",406.5,413,402.8,411.95,410.45,130377,531.07
"2008-04-07",413.8,430.2,388,428.25,428.85,231144,984.59
"2008-04-08",430,437,426.05,426.1,427.6,110575,476.57
"2008-04-09",428,435,420.1,423,422.65,51139,218.08
"2008-04-10",431,431,418.15,425,422.85,22026,93.4
"2008-04-11",425,425,419.5,421.95,420.35,10888,45.93
"2008-04-15",418.55,428.9,410.1,422,426.1,27159,115.64
"2008-04-16",421.8,431.9,421.3,427,426.05,42860,182.79
"2008-04-17",431,431,418.3,419.5,419.8,42363,178.6
"2008-04-21",424,424,420.05,422.95,422.2,11839,49.99
"2008-04-22",423,430,415.5,417,416.7,105558,445.68
"2008-04-23",427.2,429,409.05,409.1,410.65,55017,228.34
"2008-04-24",413.9,413.95,398.5,401.8,401.05,229525,931.15
"2008-04-25",403,419.5,401.2,417,417.6,220653,905.8
"2008-04-28",420,420,401.75,404,403.2,77601,316.49
"2008-04-29",406,410.9,401.05,405.8,403.75,50133,203.82
"2008-04-30",396.6,416.95,396.6,412.7,411.75,285289,1173.85
"2008-05-02",414,439,412,439,435.75,320483,1377.13
"2008-05-05",437,443,430,430,432.2,52234,228.72
"2008-05-06",433.2,443,428,441,439.8,80864,354.56
"2008-05-07",442,457.95,432.35,456.1,448.95,97912,435.44
"2008-05-08",454,458.95,443.05,450,446.7,309415,1390.43
"2008-05-09",446.7,449.9,436,437,439.2,86774,385.9
"2008-05-12",439,446.95,432.1,446.95,445.85,78418,344.87
"2008-05-13",448,459.8,436,436.3,441.1,172769,773.79
"2008-05-14",434,442,433.15,434.05,434.7,34544,151.11
"2008-05-15",445.8,448.95,429.1,432.9,432.2,28649,124.47
"2008-05-16",438,449.1,434,444.45,445.9,196580,863.15
"2008-05-20",442,458,437,449.7,449.75,110370,498.51
"2008-05-21",449.7,459.8,444,455.9,453,135883,617.32
"2008-05-22",448,453.95,444.5,445.05,446.3,16844,75.56
"2008-05-23",452,459,447,447.3,448.2,65962,299.16
"2008-05-26",449.5,449.5,430.95,431.15,434.8,15208,66.8
"2008-05-27",415,446,415,431,434.9,109051,476.41
"2008-05-28",436,455,401,453,450.2,104211,449.99
"2008-05-29",450.1,450.1,424.3,432.25,428.85,182821,795.96
"2008-05-30",434.9,440,412.25,414.5,416.05,180157,763.55
"2008-06-02",420.9,421.75,400.5,402.2,402.4,69110,284.1
"2008-06-03",397,413,397,409.75,409.25,46554,190.07
"2008-06-04",409.1,413,396.2,398,399.25,124604,499.88
"2008-06-05",400.9,400.9,390,391.6,391.1,98170,389.09
"2008-06-06",398.75,399,386,391,390.35,107063,418.8
"2008-06-09",387,387,374,380.5,381.6,28224,107.39
"2008-06-10",372.05,389.2,372.05,378,379.8,109452,420.52
"2008-06-11",384,385,371.5,374,375.25,88298,334.65
"2008-06-12",365,380,365,377,378.5,48001,180.19
"2008-06-13",379,380.9,367.65,369.45,369.2,128823,481.75
"2008-06-16",370.1,392,370.1,389,389.55,76532,294.79
"2008-06-17",390,400.7,389,399.5,398.5,246394,982.14
"2008-06-18",399.95,400,392,394.5,396.05,19434,77.19
"2008-06-19",381.25,396.9,377.2,389.65,385.1,77878,299.06
"2008-06-20",388,388,370.2,375,373.8,49083,186.43
"2008-06-23",399.9,399.9,363,369,370.3,36174,133.23
"2008-06-24",372,377.9,365.15,366,367.25,27676,102.71
"2008-06-25",363.2,372,357,362,360.05,418292,1506.39
"2008-06-26",375,375,360.1,361,361.2,32693,118.64
"2008-06-27",356,358.95,350,355.95,355.05,59834,211.66
"2008-06-30",355,356.8,352,355,355.1,36365,128.98
"2008-07-01",352.05,356.7,347,348,349.8,19429,68.46
"2008-07-02",347.95,364,347.95,362,362.1,27023,95.77
"2008-07-03",360.95,372,355,370,369.7,58897,216.54
"2008-07-04",371.8,375,360,366,367.15,57212,210.64
"2008-07-07",371.85,375,369.1,370.1,370.6,11741,43.66
"2008-07-08",369.45,369.45,358,362.1,362.65,35292,127.86
"2008-07-09",364.5,371,364.1,368.9,368.7,17993,66.21
"2008-07-10",365,371.9,365,370,369.45,18662,68.78
"2008-07-11",370,372.6,365.4,368.5,369.25,32322,119.48
"2008-07-14",371.7,372,366,372,370.65,15314,56.61
"2008-07-15",369.8,375.45,366,367,369.65,62066,230.15
"2008-07-16",363,368,347.15,350,349.5,97558,348.85
"2008-07-17",358,361.9,342.3,347,348,233505,823.58
"2008-07-18",357,368,349.5,366,367.7,78590,282.28
"2008-07-21",367,370.05,363.1,363.1,367.65,125878,463.21
"2008-07-22",370,370,361.05,366.95,367.25,18935,69.63
"2008-07-23",376,381.9,364.5,368,365.95,313145,1146.86
"2008-07-24",373.3,373.3,361,361.3,362.3,130139,478.98
"2008-07-25",362,367.95,359,365.9,364.95,19616,71.52
"2008-07-28",366.5,371.5,361,371,370.1,20121,74.1
"2008-07-29",359.05,374,359.05,372,371.55,27070,100.19
"2008-07-30",374,383.6,368,380.1,380.95,85877,325.92
"2008-07-31",381,457.1,381,396.25,409.85,75356,298.12
"2008-08-01",395,401,390,400.1,400.15,96789,385.97
"2008-08-04",400.85,407.8,400,405,405,101368,407.9
"2008-08-05",407.9,417.5,402.1,414,414,52648,217.8
"2008-08-06",424.7,447.7,402.35,425,427.5,157880,671.54
"2008-08-07",424.7,441,423.05,428,428.95,212287,919.55
"2008-08-08",428.95,430,422.05,428,428.1,24604,105.04
"2008-08-11",430,434.9,422,422,424.05,9899,42.31
"2008-08-12",425,426,418.15,423.85,422.85,88006,370.74
"2008-08-13",419.95,421.4,413.05,415.25,414.65,25337,105.68
"2008-08-14",415.3,426,410,423,421.85,45711,191.47
