"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2005-06-17,136.95,136.95,130.85,135,134.95,129580,172.71
2005-06-20,135,136,130.3,134.05,134.15,126011,167.86
2005-06-21,134.15,137.75,132,136.75,136.5,154780,209.32
2005-06-22,136.95,139.25,134.1,136.15,135.6,269562,369.23
2005-06-23,136,138.95,134,134.35,134.45,824893,1115.6
2005-06-24,133.15,136.9,133.1,134,134.45,588052,795.16
2005-06-27,134.95,135.5,132.65,132.65,133.15,1690865,2278.08
2005-06-28,133,134,129.2,129.2,130.1,175005,231.45
2005-06-29,125,133.5,125,132,132.4,177812,234.77
2005-06-30,133.3,134.85,129.7,131,131.15,555381,735.19
2005-07-01,131.6,138,131.3,134.8,134.9,341140,460.66
2005-07-04,135.9,145,134.05,144.75,144.45,916197,1292.11
2005-07-05,145.75,148.9,138.6,140.5,140.6,1010427,1457.83
2005-07-06,141,143.9,140.5,142.9,142.1,357813,508.22
2005-07-07,143.45,143.9,137.1,138,138.4,328448,463.6
2005-07-08,141.5,141.8,138.5,140.5,140.85,220510,309.27
2005-07-11,142.4,145.25,140.6,142.65,142.75,286878,411.55
2005-07-12,142.75,155,141,154.8,152.75,1068593,1574.95
2005-07-13,155.5,161.9,153.1,154,154.65,1286129,2036.97
2005-07-14,155.45,157.25,150.75,151.5,151.6,517079,794.22
2005-07-15,151.4,154.9,149.8,154.2,154.15,313752,478.34
2005-07-18,156.2,156.2,152,152.05,152.3,197834,303.52
2005-07-19,153.7,153.9,150.25,151.8,151.35,97598,148.34
2005-07-20,154,154,149.15,149.2,149.95,206193,312.18
2005-07-21,150.9,154.4,146,148.8,148.5,201954,303.47
2005-07-22,150.05,152.9,146,151.1,151.25,157564,237.83
2005-07-25,152,152.7,148.55,149.1,149.4,135608,203.83
2005-07-26,150,150,148,148.4,148.25,56785,84.42
2005-07-27,149,149.9,147,147.4,148.05,76258,113
2005-07-29,148.5,149.4,131.6,137.5,137.7,1482057,2076.3
2005-08-01,140,146.6,138.7,146.25,145.3,352125,501.73
2005-08-02,147.45,147.45,145.25,146.45,146.5,272797,399.35
2005-08-03,147,149.4,144,145.9,145.25,225589,328.85
2005-08-04,146.5,147.5,145,145.35,145.25,153804,225.17
2005-08-05,144.55,153.2,144.55,150.15,150.1,549011,824.03
2005-08-08,151.8,151.9,146,147.3,146.75,248060,366.58
2005-08-09,147.8,148.45,143.5,144.85,145.35,182372,266.17
2005-08-10,148.9,149.9,146.1,148.5,148.95,132472,195.44
2005-08-11,151.7,153,148,148,148.85,195440,293.98
2005-08-12,149.45,154.95,146.75,154,153.3,661634,1005.96
2005-08-16,154.5,157.45,153,155,155.1,570662,888
2005-08-17,155.5,156.9,153.5,154.3,154.35,228897,355.12
2005-08-18,155,156.4,150,151.3,150.55,217533,331.37
2005-08-19,151.1,152.7,150,150.25,150.45,120799,182.57
2005-08-22,151,154.8,146.7,148.95,147.95,202920,306.14
2005-08-23,149.7,150.1,145,146.4,145.45,277895,410.65
2005-08-24,146.05,147.2,142.05,143.05,144.4,227001,328.72
2005-08-25,145,146.6,142.5,144.3,144,656845,951.04
2005-08-26,146,151.7,144.5,149.8,149.6,320144,474.51
2005-08-29,149,149.9,145.65,148.5,147.95,106951,157.38
2005-08-30,149.1,150.5,148.5,149.9,149.25,505796,758.17
2005-08-31,149.5,152.4,148.5,149.25,149.5,237121,356.83
2005-09-01,151,151.75,147.7,148.7,148.55,199102,298.2
2005-09-02,149,154.9,148.1,153,153.2,820398,1252.23
2005-09-05,154.75,161.25,153.5,160,158.45,1211824,1917.86
2005-09-06,161.05,162.3,157.5,158.15,158.65,1010879,1613.62
2005-09-08,160,160.75,157.1,157.6,157.8,308316,489.36
2005-09-09,158.8,159.6,155,155.75,155.8,131645,206.81
2005-09-12,157.4,158,155,156.4,155.95,326279,509.52
2005-09-13,156.5,162.15,155.55,160,159.45,911266,1458.19
2005-09-14,162.95,162.95,154,157.3,157.2,838673,1337.09
2005-09-15,159,160.5,158.1,158.95,158.8,407852,649.93
2005-09-16,160,160,157.5,158,158.6,300252,478.04
2005-09-19,159.5,161,158,160.4,159.75,368741,589.48
2005-09-20,160.2,160.2,157.1,159,158.55,291800,462.66
2005-09-21,159.7,159.7,146,152.25,152.35,383643,582.3
2005-09-22,152.6,152.6,137.5,140.5,140.65,291989,422.78
2005-09-23,144,145,136.25,140.55,140.35,454255,637.07
2005-09-26,143,147.1,140.75,147,146.6,638469,920.57
2005-09-27,148.5,152.4,144.55,150,149.85,484944,723.38
2005-09-28,150.5,153.7,148.05,152.25,151.15,526855,790.87
2005-09-29,152.6,153.2,148.1,151.7,151.25,1244178,1874.52
2005-09-30,152.65,153.5,145.55,149.3,149.25,209869,313.47
2005-10-03,151.1,153.7,148.25,153,153,173171,262.25
2005-10-04,153.05,154.9,152.55,153.1,153.25,344397,528.95
2005-10-05,154.6,154.6,149.5,151.3,151.05,125657,190.52
2005-10-06,149,150.4,146.65,149.5,149.5,245935,365.5
2005-10-07,150,153.45,147,149,149.8,213934,321.67
2005-10-10,151.5,154.3,148.2,150.4,151.9,285846,435.28
2005-10-11,152.75,152.75,147.85,148.75,148.65,273452,409.47
2005-10-13,148.2,150.6,147,147,147,135028,200.05
2005-10-14,148,148,141,141.05,141.35,115097,164.81
2005-10-17,143,144,139,143.05,142.85,279347,396.09
2005-10-18,143,145.5,140.1,142,143.65,446278,642.19
2005-10-19,141.95,142.5,137,139,138.2,169485,237.64
2005-10-20,141.5,149,122.1,129.5,129.7,342898,450.27
2005-10-21,129,136.85,128,136.65,135.25,323322,429.52
2005-10-24,136,138.8,133.9,135.15,134.7,297036,405.1
2005-10-25,136,137.45,132.05,132.95,132.85,253339,341.31
2005-10-26,132.95,139.7,132.95,139.55,139.05,822734,1127.45
2005-10-27,139.05,144.7,137.1,141,142.2,985046,1385.42
2005-10-28,141.25,146.2,138.2,144.1,144.35,839598,1211.3
2005-10-31,145.9,145.9,138,141.75,142.1,169781,239.84
2005-11-01,144,145.5,142.25,142.95,143,25539,36.69
2005-11-02,140,145.9,140,144.75,144.9,212546,306.88
2005-11-07,147,147.6,144.25,145.05,145.4,113720,165.51
2005-11-08,147.5,147.75,144.8,145.05,145.1,133586,195.08
2005-11-09,145.5,148.35,145,147.1,147.55,250632,367.75
2005-11-10,148.5,151.2,147,148.05,148.4,222001,331.67
2005-11-11,148.15,149.9,146.5,148,147.2,224207,331.39
2005-11-14,144.15,149.6,144.15,146.25,146.55,52747,77.56
2005-11-16,147.1,149,146.5,148.2,148.2,84110,124.59
2005-11-17,148.8,151.9,147,151.5,150.05,90447,134.58
2005-11-18,151.05,152.9,149.7,150.15,150.55,116776,176.44
2005-11-21,151,153.95,149,152.4,152.35,312397,473.12
2005-11-22,152.35,154.5,150,152.25,151.85,274237,417.34
2005-11-23,152.5,154.3,151.75,153.5,152.25,182084,278.57
2005-11-24,152.8,156,151.55,152.25,152.8,643878,985.3
2005-11-25,152.3,155.7,152.3,154.6,154.85,225776,348.34
2005-11-26,156,168.2,155,168,166.55,1106556,1818.57
2005-11-28,170,173.1,165.35,166.5,167,1131050,1926.88
2005-11-29,162.5,167.2,161.05,161.3,162.25,981192,1604.15
2005-11-30,162.7,168.25,161.25,166.5,165.2,845690,1398.03
2005-12-01,166.85,168,162.6,166.65,166.65,460959,762.64
2005-12-02,169,174.15,168.2,173,171,1150666,1973.23
2005-12-05,172.6,172.6,166,168,167.75,258899,438.17
2005-12-06,165.05,172.25,165.05,168.1,168.4,308988,524.7
2005-12-07,169.1,169.4,165,166.8,166.45,309569,516.64
2005-12-08,167.7,167.9,163.75,166.3,166.8,332691,553.51
2005-12-09,167.8,172.25,166.6,169,169.55,1065793,1806.45
2005-12-12,170,171.5,167.2,168.8,168.75,426630,724.03
2005-12-13,169.4,172.9,168.2,171.7,171.95,489573,838.87
2005-12-14,172.9,173.5,168.75,168.75,169.7,334942,570.83
2005-12-15,169.25,171.5,163.25,166.95,166,158728,267.65
2005-12-16,166.95,166.95,164,164.65,164.7,503057,830.03
2005-12-19,166.45,168,164.3,164.9,165.1,192634,319.66
2005-12-20,165.8,167.15,163.5,164,164.2,243340,401.13
2005-12-21,157.55,165.6,157.55,164.25,163.6,215798,353.39
2005-12-22,162.05,164.85,162.05,163.5,162.9,68316,111.47
2005-12-23,168,168,160.1,161,161.75,215761,348.79
2005-12-26,160.75,160.75,156,156.5,156.5,141135,222.04
2005-12-27,156.5,159.8,154.1,158.6,159.1,148536,234.64
2005-12-28,160,162.5,158,158.4,158.65,107315,171.47
2005-12-29,165,165,154.55,156.15,155.6,498126,777.17
2005-12-30,157.9,160,156.35,159,158.4,137712,218.54
2006-01-02,158.4,163.6,150,162,161.5,171602,275.85
2006-01-03,162.45,166,162,164.55,165,285604,470.55
2006-01-04,165.25,168,163,166.3,166.35,321300,533.18
2006-01-05,158.3,167.9,152.25,166.5,166.4,174246,290.32
2006-01-06,167.45,170.5,166.4,170,169.7,258242,436.21
2006-01-09,170,172.45,169.6,170.1,170.7,312950,533.93
2006-01-10,171.4,171.4,167.6,169.95,168.5,171922,290.61
2006-01-12,168.4,169.45,165.5,166.3,167.1,114211,191.49
2006-01-13,169.45,171.55,166.6,167.3,167.2,174629,295.23
2006-01-16,168,168.45,165,165.1,165.25,61952,102.79
2006-01-17,167,168,158.55,160.1,160.15,120403,196.64
2006-01-18,160.1,160.5,156.6,160,159.05,134739,213.75
2006-01-19,160.95,165.3,160,164.5,164,103315,168.87
2006-01-20,166.8,168.7,163.1,165,166.6,219470,365.41
2006-01-23,166,166.5,163.1,164.8,164.4,96161,158.18
2006-01-24,165,167.9,164,166,166.05,173069,287.7
2006-01-25,167.9,167.9,160.5,161,162.75,653515,1072.12
2006-01-27,162.75,182.4,162.75,179,178.45,1646565,2909.74
2006-01-30,179.65,182,173,175,174.35,483827,854.22
2006-01-31,175.45,181,175.3,179,177.5,579009,1032.28
2006-02-01,187.4,210.7,179,199.95,199.65,9524172,19172.6
2006-02-02,203.45,216.55,201,211.7,209.35,8037093,16923.47
2006-02-03,212,219.2,207.5,216.2,214.75,6538154,13995.32
2006-02-06,217.95,218.9,211,212.8,212.85,2111755,4518.04
2006-02-07,213,216.75,209.8,212.55,211.85,1021488,2178.08
2006-02-08,212.9,229.9,209,228.6,227.5,4888397,10889.13
2006-02-10,230,232.85,221.65,222.75,224.05,3716691,8442.06
2006-02-13,226,226.4,218.1,220.3,220.45,2026966,4509.19
2006-02-14,219.55,226.2,217.1,219.25,218.75,1390606,3091.54
2006-02-15,220.8,230.35,219,229.25,228.55,3453043,7796.78
2006-02-16,230,234.8,224.2,224.6,225.3,2211666,5097.07
2006-02-17,226,227.1,217.65,219.95,219.15,1131033,2516.93
2006-02-20,220.4,220.4,212.1,218.5,218,785931,1697.98
2006-02-21,218.05,224,217.2,221,220.5,960003,2126.17
2006-02-22,221.5,223.5,216.25,217.25,217.25,762288,1671.01
2006-02-23,218.5,223.5,215.9,221.45,218.65,1668063,3658.54
2006-02-24,221,224.4,219.05,223.6,223.1,983656,2179.71
2006-02-27,225,227.4,221,222.15,223.15,831242,1867.64
2006-02-28,223.4,227.2,217.25,225.45,225.65,658098,1472.16
2006-03-01,225.95,245,224,244,240.85,2277900,5348.44
2006-03-02,242.2,246.8,237.25,240.25,240.5,2062486,4999.08
2006-03-03,241.35,244.45,239.5,242.75,242.6,904392,2190.67
2006-03-06,243.4,252.4,243,247.7,248,913581,2275.96
2006-03-07,248.9,264.4,247.5,262.95,261.35,2134124,5502.4
2006-03-08,262,268.4,247.25,249,249.25,2756075,7129.59
2006-03-09,253.2,257.8,243.5,257,256.1,1798247,4540.07
2006-03-10,258.8,260.8,253,254,255.35,1545347,3980.65
2006-03-13,257.3,262.2,253,258.8,259.65,2200369,5694.45
2006-03-14,261,262.85,252.55,253.9,254.05,1036902,2689.84
2006-03-16,256.4,258.4,252.75,253.4,253.95,936078,2383.21
2006-03-17,254,256.9,248.5,251.45,250.35,833581,2106.6
2006-03-20,251,254.25,247.5,249.05,248.9,401950,1007.68
2006-03-21,250.3,253.95,244.5,248.75,248.2,891689,2233.79
