"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,245,263,243.15,NA,NA,NA,NA
1998-03-23,262.95,263,257.9,259.25,259.25,52900,137.76
1998-03-24,258,259.95,250.05,251.8,252.25,201100,511.33
1998-03-25,258,266.7,252,263,264,178200,467.28
1998-03-26,265,267,254.1,256.5,255.3,115000,299.25
1998-03-27,254.25,260.9,251.5,260.9,258.85,49800,127.97
1998-03-30,261,261,252,252,253.05,54900,140.79
1998-03-31,253.7,253.75,243,244,243.7,92700,228.67
1998-04-01,256.1,259,253.05,256.1,256.45,37600,96.31
1998-04-02,257,259.9,253.6,256.85,256.85,66800,172.16
1998-04-03,256.5,257.5,252,256,254.9,40900,104.02
1998-04-06,256,263,255.05,263,261.55,61900,160.46
1998-04-07,264,287.55,258.05,287.55,287.4,116100,320.99
1998-04-09,311,322.45,305,311.05,311.95,127500,398.43
1998-04-10,307,315,295,299.75,299.1,84500,256.33
1998-04-13,295,299.6,276,281,281.65,102000,293.27
1998-04-15,293,309.85,293,306.05,307.2,99900,304.19
1998-04-16,306.5,307.9,297.25,298.85,299.8,38300,115.47
1998-04-17,300,320,298,313,313.55,198600,618.98
1998-04-20,307.5,344.95,307.5,341.6,343.95,217100,733.92
1998-04-21,348,351.8,347,351.8,351.8,17900,62.74
1998-04-22,384.9,387,350.1,350.1,357.6,148800,560.87
1998-04-23,348.95,374,344,356.25,355.85,84700,305.98
1998-04-24,353.9,358.5,332,358,355.75,97600,341.42
1998-04-27,362,369.5,353.1,358,356.7,56700,203.7
1998-04-28,354.05,358,326.7,335,336.5,133800,451.37
1998-04-29,340,354,330.1,334.1,336.05,60600,209.11
1998-04-30,350.2,350.2,316,344,340.8,81400,273.24
1998-05-04,348,351,341.6,349.7,350,64400,223.96
1998-05-05,346,368,341,364.9,363.95,107700,382.09
1998-05-06,371,372,348,352.65,352.6,65300,233.91
1998-05-08,350,358.65,336,350,351.2,38800,135.48
1998-05-11,343,352,343,350,349.5,16400,57.14
1998-05-12,345.1,345.1,321.5,332.3,332.95,57600,192.52
1998-05-13,320,334.2,300.4,302,303,59400,188.86
1998-05-14,305,326.5,296.15,325,322.45,74200,232.17
1998-05-15,321,325,309.05,311.45,310.6,58100,183.2
1998-05-18,314.05,320.5,313,315.85,315.15,34000,107.98
1998-05-19,316.9,334,314.4,329.05,328.95,56800,183.79
1998-05-20,335,338.75,332,337.4,337.6,32700,109.75
1998-05-21,339.7,340,318.05,325,326.5,25900,84.71
1998-05-22,324.5,326.5,320,322,322.85,34900,112.79
1998-05-25,321,325.7,319.1,325,324.35,17000,54.98
1998-05-26,322,324.25,315.05,317,317.75,27800,88.88
1998-05-27,322,322,315,316,315.5,9300,29.55
1998-05-28,314.75,317.5,310,315,312.75,6600,20.7
1998-05-29,309,313.9,290,307.8,307.3,7700,23.48
1998-06-01,315,320.95,303.55,303.55,305.65,12200,38.5
1998-06-02,299,302.9,294,294,299.3,16800,50.29
1998-06-03,305,306.5,294.75,304.5,303.65,10900,32.79
1998-06-04,303.75,309,303,304.5,304.5,3700,11.28
1998-06-05,293,297,287.15,293,289.2,10400,30.39
1998-06-08,285,290,261,268.5,266.2,29800,79.83
1998-06-09,260,284,260,280.4,273.75,32500,89.06
1998-06-10,261,265.9,256,257,259.35,5300,13.87
1998-06-11,250,258,240.4,258,258,4900,12.23
1998-06-12,260.05,268.9,257,259.95,259.65,5000,13.09
1998-06-15,262,262,246.1,250,249.15,3500,8.84
1998-06-16,241.5,245,232.5,234.5,237.4,7800,18.56
1998-06-17,247,261,244,254.75,256.75,18100,46.24
1998-06-18,258,258,250,253,251.35,11400,29.12
1998-06-19,246.2,246.2,228,230,230.6,4900,11.49
1998-06-22,214.1,226,214.1,225.9,224.75,4900,10.8
1998-06-23,220,222,215,217.5,216.15,6300,13.75
1998-06-24,226.05,237,226.05,237,237,4100,9.53
1998-06-25,243.05,250,235.5,243.8,243.3,8500,20.53
1998-06-26,240,247.85,239,240,241.3,5200,12.62
1998-06-29,244.5,249.9,242.3,247.55,248.15,4500,11.08
1998-06-30,249,253,246,247,246.7,6900,17.17
1998-07-01,245.25,247.75,242,243.25,242.9,3800,9.28
1998-07-02,242,243,240,241.55,242.4,1800,4.35
1998-07-03,239.95,239.95,234.25,234.3,234.35,2300,5.42
1998-07-06,233,240.9,232,239,239.25,2000,4.76
1998-07-07,243,252,240,250.5,248.6,26300,64.53
1998-07-08,250,268.45,250,267,268,18400,47.7
1998-07-09,270,289.3,261.05,285,283.75,45300,124.25
1998-07-10,284,288.85,276,287.7,284.95,27300,77.26
1998-07-13,290,295,283,283,286.45,31600,92.09
1998-07-14,282.1,289.95,282,289.95,284.5,53400,151.84
1998-07-15,305,307,288,294.1,291.1,129600,388.16
1998-07-16,291,298.2,290,297,295.85,57600,169.81
1998-07-17,298,298.9,290,292.5,290.55,40500,118.54
1998-07-20,290,292.2,283.15,283.15,285.15,37700,108.31
1998-07-21,281.1,289.8,281.1,284.9,284.3,30300,86.27
1998-07-22,285.5,287,279,281.05,281.25,23100,65.09
1998-07-23,279.1,281.7,271,272.5,272,36300,100.05
1998-07-24,269.75,272.5,258.3,262,261.1,53200,139.74
1998-07-27,260,271.5,255,261.3,263.05,73000,192.01
1998-07-28,263.85,279,262.35,276.25,275.85,96500,261.91
