"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2012-05-22,177.75,188.9,177.75,180.5,180.15,59487,107.35
2012-05-23,179,184.7,177.35,182,183.35,31796,57.49
2012-05-24,183.8,189.5,180.5,188.95,188.4,55406,103.17
2012-05-25,188.45,195.4,185.4,191.3,192.15,80548,154.91
2012-05-28,192.5,196.4,190,190.05,191.7,23484,45.16
2012-05-29,192.8,193,182,185.45,184.4,47496,88.72
2012-05-30,183.65,188,180.1,185.3,185.05,18152,33.5
2012-05-31,182.95,188.85,181,187.7,186.8,16954,31.32
2012-06-01,184.1,184.15,172.5,175.3,175.75,91563,162.22
2012-06-04,173,176,170.15,173,172.9,148292,254.61
2012-06-05,173,179.9,171,173.9,174,112172,198.04
2012-06-06,174.9,181,174.65,180.2,180.2,30667,54.7
2012-06-07,181.4,184,180.3,183,182.7,27239,49.65
2012-06-08,182,182,175.3,176.6,176.85,111022,197.39
2012-06-11,178.75,184,175.15,176.95,176.65,86816,156.54
2012-06-12,176.9,176.9,167.85,172.5,172.05,302240,519.78
2012-06-13,173.65,176.45,169.6,170,171.6,220090,382.43
2012-06-14,170.2,172.8,165.2,165.8,166.4,158149,267.34
2012-06-15,166.7,170.75,160.5,161.4,162.65,197447,328.91
2012-06-18,164,167.5,158.7,160.65,160.35,128419,208.24
2012-06-19,161.7,161.7,155.3,156.65,156.2,218958,344.04
2012-06-20,157.75,162.75,155.1,156.7,157.05,162506,256.1
2012-06-21,157,162.4,157,161.25,161.5,172060,275.55
2012-06-22,159,162.65,158.5,161,160.85,104722,168.45
2012-06-25,162,167.8,161.6,164,163.75,194053,320.5
2012-06-26,162.25,164.05,161.3,161.5,161.9,88105,142.82
2012-06-27,161.9,163.8,160.5,161.6,161.85,147989,239.37
2012-06-28,161.3,166.65,161.15,163,162.2,210495,345.53
2012-06-29,163.5,166.3,162.5,165,165.4,330903,545.3
2012-07-02,166.35,175.6,166.3,173,172.8,647685,1123.47
2012-07-03,174.3,182.4,174.3,181.1,181.5,479192,857.89
2012-07-04,182.7,183.95,177.1,177.35,177.9,167442,302.56
2012-07-05,178.45,186,177,183.05,183.45,356335,650.55
2012-07-06,184,184.8,179.45,183.05,183.2,102154,186.12
2012-07-09,180,180,155.25,158.75,156.8,2522820,4076.18
2012-07-10,159.1,168,158.3,166.5,165.95,1467962,2397.71
2012-07-11,166,172.6,165,167.65,167.7,665199,1125.5
2012-07-12,167.15,169.25,163.6,164.3,164.9,194316,323.5
2012-07-13,165.05,169,164,165.5,165.2,133643,222.7
2012-07-16,166,173.8,166,171.9,171.95,530275,909.79
2012-07-17,173,174.4,168.5,168.5,168.55,256662,437.24
2012-07-18,169.8,171.6,167.7,168,168.25,138997,235.02
2012-07-19,166.7,169,166,166.3,166.4,169113,282.61
2012-07-20,166.25,166.85,163.2,164.95,164,307890,506.9
2012-07-23,161.75,164.8,157.6,159.5,158.9,227595,365.34
2012-07-24,159.8,160,156.25,157.5,157.95,140881,222.4
2012-07-25,157.95,157.95,150.1,153.5,153.55,250603,383.26
