"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2007-07-05,526.6,583.95,526.6,568,569.8,78025942,434669.79
2007-07-06,568,586.45,568,570.4,573.6,13724278,79106.96
2007-07-09,574.1,581,571.5,572.1,574.7,4829804,27892.24
2007-07-10,575,580,568.6,570.3,571.75,5321889,30620.04
2007-07-11,570,594.4,567,592,590.75,8859610,51397
2007-07-12,595,616.5,595,610,610.75,10548513,64314.76
2007-07-13,616,625,597.2,600,601.05,6964521,42686.27
2007-07-16,605.7,614.5,602.2,610.55,610.9,3647160,22238.57
2007-07-17,614.9,619.9,605.15,616,612.65,4930170,30243.81
2007-07-18,615,649,615,648.1,643.4,11272734,71375.09
2007-07-19,657.3,664.7,631.25,646,646.15,14333158,93109.25
2007-07-20,646,658,643,648,646.8,5862319,38101.88
2007-07-23,648,679,642,675,672.4,5850767,38724.93
2007-07-24,677,678.85,653.15,654,656.9,6809825,45064.51
2007-07-25,654,654,629.35,637.4,637.15,4897509,31337.32
2007-07-26,601.55,649.9,601.55,633,633.3,6939654,44350.61
2007-07-27,628.6,628.6,578,603.5,599.7,9518445,57235.25
2007-07-30,604.9,617,590,604.6,603.6,4793278,29018.75
2007-07-31,607.5,616.85,595.6,613.6,612.2,4414624,26886.41
2007-08-01,609.95,609.95,581,585.95,585.15,5785919,34429.52
2007-08-02,579.8,600,579.8,587.8,586.95,3052788,18110.12
2007-08-03,593.5,605.5,593,598.35,601.85,3310944,19878.96
2007-08-06,560,589.9,560,582,580.65,3153730,18256.31
2007-08-07,590,599.85,587.15,588.5,588.7,2475707,14707.55
2007-08-08,592.4,606.9,591.5,601.8,600.85,3651211,21921.55
2007-08-09,609.8,614.95,592.1,597.7,595.5,3705892,22372.75
2007-08-10,575.1,592.8,490,585,581.9,8480468,49273.52
2007-08-13,594,599,587,598.5,596.8,2394623,14193.23
2007-08-14,598,607.1,594.85,604.05,603.2,3558981,21428.19
2007-08-16,601,604.05,572.05,585,583.85,4610933,26867.69
2007-08-17,580,595.9,565.5,580.8,580.8,4587307,26607.77
2007-08-20,592,614,576.3,577.4,579.7,2652088,15534.8
2007-08-21,600,600,547,558.35,556.35,3200514,18104.81
2007-08-22,561,566.9,531.15,562.5,557.8,3744178,20579.56
2007-08-23,570,574,548.5,554,555.2,3953776,22211.24
2007-08-24,559.95,571.9,548,565,565.85,3272452,18301.4
2007-08-27,570.05,579.8,570,577.8,577.4,1863935,10740.28
2007-08-28,576.8,590,573.4,586,586.75,2127399,12456.06
2007-08-29,574.9,599.8,574.9,598.2,596.55,2567504,15061.15
2007-08-30,629.9,629.9,582.25,590,587.3,4215212,25136.75
2007-08-31,590,604.4,590,597.5,598.05,1878346,11244.72
2007-09-03,598.05,613,595,611.4,610.75,2332926,14155.05
2007-09-04,612,626.3,611.95,623.6,623.8,2918412,18159.94
2007-09-05,626.4,644.95,626,637.9,639.7,3587083,22848.65
2007-09-06,620,640.85,602.3,636,635.9,1990575,12654.91
2007-09-07,637.6,642,620.1,622.5,623.6,2031822,12808.57
2007-09-10,625,630.6,610,626.35,626.3,1228725,7674.26
2007-09-11,633,633.4,615.2,618,617.95,1924334,11974.65
2007-09-12,625,639.9,620,639,635.05,2897025,18293.09
2007-09-13,620,649.7,620,645.1,644.8,3865965,24834.34
2007-09-14,650,669,649,666.85,665.15,4984836,33013.14
2007-09-17,668.8,669.7,651.05,652,652.95,1047228,6880.72
2007-09-18,651,659.85,643.1,658.4,656.6,2009481,13071.6
2007-09-19,689,720,666,715,713.15,10437435,72789.26
2007-09-20,710.05,779,710,743.75,748.65,9328821,70307.66
2007-09-21,748,773.4,725,746.45,744.45,4921308,37028.55
2007-09-24,745,785.5,744.45,780,781.4,7961666,61215.07
2007-09-25,777,789.7,740,768.5,766.2,2823547,21581.98
2007-09-26,756,777,735,737,739,2029425,15180.4
2007-09-27,745.1,762,726.1,747,740.7,6496004,48416.97
2007-09-28,745,766.5,745,761.35,763.2,3390952,25651.27
2007-10-01,764.95,775,753.65,766,766.8,2948584,22596.66
2007-10-03,785,904,780,889.8,892.4,18724318,162330.03
2007-10-04,831.3,898.7,831.3,859.25,863.35,6654490,57856.56
2007-10-05,865.1,894.95,833.3,844.75,851.1,3641882,31797.54
2007-10-08,858.55,875,802,836.4,837.75,6243519,51879.99
2007-10-09,830,871.7,807,865,865.4,4668946,39615.25
2007-10-10,880,917.7,871,894,894.5,5713017,51332.92
2007-10-11,915,929.9,898,915.25,918.75,4064392,37256.82
2007-10-12,949,949,852.3,872.05,866.85,4483346,40206.52
2007-10-15,884.4,904,880,899.95,897.95,2168413,19426.26
2007-10-16,896.95,926.95,888.05,923,919.3,4083342,37180.93
2007-10-17,870,903,751,897,895.15,6837606,59832.06
2007-10-18,915,933.9,802.2,820.8,843.9,4726717,41918.28
2007-10-19,810,857,785.9,824.9,818.35,3788642,31097.25
2007-10-22,800,837,780,804,802,5102646,41172.56
2007-10-23,840,878,818,878,870.2,2882769,24503.2
2007-10-24,890,899,857,858.8,861.2,2916840,25526.75
2007-10-25,872,875,855,872,868.5,2795203,24168.16
2007-10-26,889.5,919.8,870.15,913,911.45,3407143,30936.36
2007-10-29,922,938,905.8,910,911.2,2122868,19546.24
2007-10-30,915,972.95,902.1,956.35,959.15,7063412,66344.51
2007-10-31,997.3,999,940.25,945.6,949.4,4957007,48012.49
2007-11-01,960,974.7,922.05,929,934.3,3805938,36109.65
2007-11-02,902.3,939.75,861.15,932,931.15,1979783,18153.02
2007-11-05,932,945.2,901.35,913,914.5,1886828,17483.15
2007-11-06,939.8,959.7,922,932,927.2,2254239,21158.04
2007-11-07,940,945,920.15,926.15,927.95,1141856,10659.32
2007-11-08,904,925,898.5,911,910.1,898334,8211.75
2007-11-09,928.35,930,901,904.9,913.2,260715,2391.23
2007-11-12,901.05,901.05,849.1,870,871.15,2336640,20253.96
2007-11-13,876,911,862.15,910,905.6,1902929,16994.5
2007-11-14,930,944.7,918,927,927.55,1322799,12294.7
2007-11-15,944.6,957,927,948.55,949.1,1962081,18485.3
2007-11-16,937,956.85,920.05,936,937.25,1097299,10340.14
2007-11-19,950,969,940,945.2,948.1,1862710,17806.33
2007-11-20,943,945,900.1,914,908.35,2591842,23956.82
2007-11-21,912,924,860.2,872,869.55,1968489,17560.02
2007-11-22,895,900,800,828.05,820.15,3947699,32703.92
2007-11-23,839.8,878.4,835,878,868.5,2186896,18719.96
2007-11-26,882,903.85,875,891.55,892.15,1124477,10039.49
2007-11-27,895,904.9,872,896.5,900.45,1051933,9395.31
2007-11-28,949.9,949.9,874,875,882,2016377,17934.48
2007-11-29,887,919,874.15,884.5,880.65,1954162,17381.43
2007-11-30,890,955,890,935,944.4,6993129,65321.95
2007-12-03,956.2,956.2,902,949.65,950.7,1801763,17081.42
2007-12-04,970,979.85,943.3,949,948.1,1590468,15223.17
2007-12-05,950,957.9,934.05,954.5,954.9,1582257,15061.25
2007-12-06,965,988,952.5,979.05,974.25,3168694,30728.7
2007-12-07,915,1017.3,915,1014,1012.8,3684041,36982.65
2007-12-10,1021,1030,1008,1024.5,1025.15,2239387,22857.79
2007-12-11,1040,1040,1006.15,1012.5,1012.4,2231558,22858.67
2007-12-12,1008,1036.4,990,1018.5,1019.25,2338839,23833.16
2007-12-13,1025,1050,1018.1,1020.4,1024,2742111,28389.86
2007-12-14,1030,1034.9,1013.2,1022,1021.65,733698,7509.59
2007-12-17,1011,1050,925,955,942.9,2361214,23078.85
2007-12-18,950,969.8,941.25,952,948.55,1985877,19002.02
2007-12-19,958,979,942,955,952.75,1046789,10016.51
2007-12-20,959.8,982,951.35,960.3,962.25,1984772,19215.5
2007-12-24,970,993,967,970,972,2101015,20542.21
2007-12-26,985,1024,980,1023,1014.9,1595593,15973.32
2007-12-27,1040,1044.4,998.15,1016.15,1010.75,3159843,31942.13
2007-12-28,1001.1,1072.7,1000,1068,1065.8,2475171,25651.47
2007-12-31,1094,1099,1061,1072,1073.9,1780649,19273.88
2008-01-01,1076,1081.9,1062.1,1072.95,1071.25,602742,6462.2
2008-01-02,1073,1088.3,1056.15,1083,1083.85,720431,7734.42
2008-01-03,1083,1100,1050.05,1090,1090.8,1107130,11988.13
2008-01-04,1089.9,1121,1089.9,1111,1112.45,2071808,22994.26
2008-01-07,1025,1143.7,1025,1136,1137.1,1373157,15542.89
2008-01-08,1150,1160,1120,1159.5,1149.65,2454365,27937.45
2008-01-09,1150,1185,1131.05,1168.15,1170.25,1477902,17152.58
2008-01-10,1151.05,1209.7,1130,1142,1142.65,1529306,18104.44
2008-01-11,1145,1201,1120.1,1198.6,1193.9,2627364,30587.71
2008-01-14,1215,1225,1181.55,1208.15,1207.5,2435941,29415.15
2008-01-15,1218,1225,1165.25,1171,1177.2,2086375,25018.8
