"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",11.3,12.2,11.3,NA,NA,NA,NA
"1998-03-24",12.15,12.15,11.3,11.3,11.4,5000,0.58
"1998-03-25",12,12.55,12,12.35,12.35,3500,0.43
"1998-03-26",13.5,13.5,12.7,12.75,12.75,4500,0.58
"1998-03-27",12.5,12.8,12.5,12.75,12.75,3100,0.4
"1998-03-30",13,13.2,12.5,12.5,12.7,2900,0.37
"1998-03-31",11.75,12.3,11.75,12,12,5000,0.6
"1998-04-01",12.25,12.5,12.1,12.3,12.3,2300,0.28
"1998-04-02",11.8,12.7,11.8,12.45,12.45,1400,0.17
"1998-04-03",12.5,12.9,12.15,12.9,12.7,2900,0.36
"1998-04-06",12.35,12.75,12.15,12.75,12.7,3500,0.44
"1998-04-07",12.15,13.85,12.15,13.75,13.75,8800,1.18
"1998-04-09",13.75,15.15,13.75,15,15.1,13900,2.04
"1998-04-10",15.5,16.5,14.75,16,16.05,27600,4.33
"1998-04-13",16.1,16.45,15,15.5,15.65,13500,2.11
"1998-04-15",16.2,17.25,16.2,17.25,17.2,18900,3.24
"1998-04-16",18.4,18.4,15.55,16.25,16.05,16600,2.76
"1998-04-17",14.9,15.95,14.9,15.95,15.85,9900,1.54
"1998-04-20",15.15,15.5,14.9,15,15,7000,1.05
"1998-04-21",15.25,15.25,14.3,14.8,14.45,6200,0.9
"1998-04-22",15,15.45,14.15,14.15,14.25,2800,0.42
"1998-04-23",13,14.4,13,14.1,13.95,3400,0.48
"1998-04-24",13.25,14,13.2,14,14,3500,0.48
"1998-04-27",14.25,14.85,13.35,13.45,13.45,3800,0.54
"1998-04-28",12.75,13.1,12.1,12.9,12.65,5200,0.65
"1998-04-29",12.6,12.75,12.3,12.3,12.3,1900,0.24
"1998-04-30",12.75,13.2,12.45,13.2,13.2,1900,0.24
"1998-05-04",13.4,13.45,12.5,13,13,2100,0.27
"1998-05-05",12.95,12.95,11.9,12.6,12.55,7600,0.93
"1998-05-06",12.5,12.9,12.3,12.3,12.45,2000,0.25
"1998-05-08",12.8,13.35,12.8,12.8,12.8,3000,0.39
"1998-05-11",12.1,13.5,12.1,12.95,12.95,4800,0.63
"1998-05-12",12.2,12.75,12.2,12.2,12.45,6000,0.75
"1998-05-13",12.15,12.3,11.6,11.6,11.6,2400,0.29
"1998-05-14",12,12.4,12,12.25,12.25,2700,0.33
"1998-05-15",12,12.5,12,12.4,12.5,2500,0.31
"1998-05-18",12.4,12.6,12.25,12.6,12.6,1600,0.2
"1998-05-19",12.5,13.2,12.35,13.2,12.95,3400,0.43
"1998-05-20",13.2,13.25,12.55,13,13,5500,0.72
"1998-05-21",12.85,13.2,12.8,13.2,13.2,3300,0.43
"1998-05-22",13,13.35,12.5,12.95,12.95,1400,0.18
"1998-05-25",12.75,12.9,12.3,12.5,12.5,3300,0.42
"1998-05-26",12.25,12.75,12.25,12.25,12.25,2900,0.36
"1998-05-27",12.25,12.25,12.25,12.25,12.25,1000,0.12
"1998-05-28",11.65,12,11.6,12,12,900,0.11
"1998-05-29",11.9,12,11.65,12,12,1400,0.17
"1998-06-01",12,12.4,12,12.4,12.4,400,0.05
"1998-06-02",11.5,11.55,11.5,11.5,11.5,1100,0.13
"1998-06-03",11.5,11.5,10.35,11.25,11.25,2000,0.22
"1998-06-04",11.25,11.5,11,11,11,2000,0.23
"1998-06-05",11.05,11.05,10.5,10.5,10.5,4400,0.47
"1998-06-08",9.5,9.9,9.5,9.5,9.5,2000,0.19
"1998-06-09",9.5,10.1,9.25,9.85,9.85,4400,0.43
"1998-06-10",11,11.25,10.5,10.8,10.8,2800,0.3
"1998-06-11",10,11,10,10.9,10.95,4600,0.5
"1998-06-12",10.5,11,10.5,10.9,10.9,1600,0.17
"1998-06-15",10.8,11,10.8,11,11,12900,1.42
"1998-06-16",10.4,10.8,10.2,10.8,10.65,2400,0.25
"1998-06-17",10.25,11,10,10,10,11000,1.12
"1998-06-18",10.5,11.5,10.5,10.6,10.6,1000,0.11
"1998-06-19",10.5,10.8,10.5,10.8,10.8,4500,0.47
"1998-06-22",10.2,10.4,10,10.05,10.1,7400,0.75
"1998-06-23",10,10.4,10,10.2,10.2,3100,0.32
"1998-06-24",9.25,9.25,9.25,9.25,9.25,100,0.01
"1998-06-25",10.25,10.5,10.25,10.5,10.5,2100,0.22
"1998-06-26",10,11,10,11,10.8,5100,0.54
"1998-06-29",10,10,9.55,10,10,3100,0.3
"1998-06-30",10,10.05,9.75,9.85,9.85,3000,0.3
"1998-07-01",9.7,10,9.5,9.6,9.6,2000,0.19
"1998-07-02",9.95,9.95,9.7,9.7,9.7,300,0.03
"1998-07-03",9.4,9.8,9.4,9.8,9.8,500,0.05
"1998-07-06",9.2,9.65,9.2,9.55,9.55,1100,0.1
"1998-07-07",9.1,10,9.1,10,10,800,0.08
"1998-07-08",9.95,9.95,9.6,9.65,9.65,2200,0.21
"1998-07-09",9.5,10,9.4,9.8,9.8,3500,0.34
"1998-07-10",10,10.1,9.85,9.85,9.85,2000,0.2
"1998-07-13",9.85,10.25,9.85,10.05,9.95,4800,0.48
"1998-07-14",10.5,10.5,9.85,10,10,8300,0.83
"1998-07-15",11.6,11.7,11.25,11.45,11.45,8200,0.93
"1998-07-16",11.5,11.65,11.35,11.5,11.5,1100,0.13
"1998-07-17",11.1,11.6,11.05,11.45,11.45,1300,0.15
