"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,81.5,81.65,78.65,NA,NA,NA,NA
1998-03-23,81.25,82.7,80.9,82,82,7800,6.39
1998-03-24,84.45,87,82,85.5,85.2,148450,125.3
1998-03-25,87,89.9,85.15,88.6,89,161200,141.82
1998-03-26,89.7,91.5,86,86.5,86.4,115500,103.33
1998-03-27,87.2,87.6,85.5,87.1,86.9,41200,35.77
1998-03-30,89,89,84.65,85,85.35,56750,49.45
1998-03-31,85.3,86,80.1,80.25,80.9,116350,96.13
1998-04-01,83,84.9,82,84.25,84.6,47600,39.93
1998-04-02,85,85.6,83.6,84.15,84.3,35850,30.41
1998-04-03,84,84.45,83.5,84,84.05,20150,16.93
1998-04-06,83.1,88,83.1,87,86.6,106350,91.55
1998-04-07,86.25,87.7,85.35,86,86,64950,56.25
1998-04-09,90.5,97.65,90,97.25,96.35,215750,203.68
1998-04-10,96.5,101.5,93,96.9,96.45,374600,365.68
1998-04-13,96,101,91.5,98,96.1,286450,278.03
1998-04-15,102,105.75,101,105.75,105.75,200250,209.24
1998-04-16,106.9,110.8,101,101,103.05,213350,229
1998-04-17,101.9,109.45,98.65,109,108.5,324950,341.24
1998-04-20,110.75,118,110,111,111.2,438700,495.84
1998-04-21,112.5,120.05,110.5,120.05,120.05,281900,326.95
1998-04-22,130.7,132.1,123,124,125.25,709550,917.31
1998-04-23,122.5,137.8,121.4,134.1,135.45,1702900,2281.48
1998-04-24,137,142.4,121.9,125.25,124.95,1093100,1393.14
1998-04-27,126,130.8,121.5,123.9,123.1,516800,647.61
1998-04-28,121,122.55,110.8,111.5,110.9,686700,783.42
1998-04-29,116,119,108,108.5,108.9,348000,397.4
1998-04-30,107.65,110.9,104,110.2,110.1,248800,267.43
1998-05-04,112.9,114.9,106,114.25,112.65,376700,416.03
1998-05-05,115.9,117.35,111.35,114,113.7,295400,336.44
1998-05-06,116,118.9,111,113.3,112.55,514650,597.01
1998-05-08,115.45,115.45,108,108.25,108.8,309950,343.57
1998-05-11,108,109.7,105.5,106.95,106.6,195050,210.1
1998-05-12,103,103.45,95.95,97.5,96.7,605450,592.79
1998-05-13,92.05,97.7,87.5,89.4,90,187000,176.7
1998-05-14,90.05,98.9,88.5,97.35,97.3,273450,257.74
1998-05-15,98.45,99.5,92.15,93.05,93.5,174300,166.71
1998-05-18,96.5,102.85,96.5,102.85,102.85,249350,251.96
1998-05-19,107.85,109.4,103.5,109.4,108.15,342450,364.74
1998-05-20,111.9,118.5,109.05,117.3,117.5,779800,893.19
1998-05-21,118.65,119,108,110.75,111.3,515150,587.86
1998-05-22,111.7,113.7,111,112.95,113.1,235550,264.43
1998-05-25,111.05,117.9,111.05,114,114.7,354650,408.75
1998-05-26,113.8,114.7,109.1,110.75,110.4,365750,409.24
1998-05-27,111.3,111.5,106,108.5,108.1,277650,303.58
1998-05-28,107,109.35,104,104.95,104.5,142600,152.31
1998-05-29,100.1,106.5,96.15,103.2,103.25,235150,241.37
1998-06-01,105.75,109,100.05,101,101.4,257450,274.27
1998-06-02,101,102,91.3,93.15,91.95,218050,210.65
1998-06-03,95,98.2,93.2,97.8,97.25,137300,131.8
1998-06-04,98.5,101.5,95.55,96.5,96.95,113450,112.24
1998-06-05,96,99.95,90,90.55,90.6,201750,190.15
1998-06-08,94,94,82,87.65,86.3,148000,128.4
1998-06-09,88,88.85,84.25,86.5,85.75,148650,128.51
1998-06-10,87,87,80.05,80.5,81.8,107850,90.51
1998-06-11,79,81.25,74.55,81,80.35,110950,85.78
1998-06-12,82.25,84,79,79.9,79.95,95050,77.59
1998-06-15,78.9,78.9,74.3,74.4,74.65,57850,43.91
1998-06-16,74,74,69,72.75,72.3,130100,93.49
1998-06-17,75,79.55,75,79.55,78.85,81450,63.11
1998-06-18,80,81,74.25,74.75,75.05,45700,35.79
1998-06-19,72,73.9,70,71,70.3,78200,55.63
1998-06-22,65,68.5,63.3,64,64.3,97700,63
1998-06-23,65,65,60,61.5,61.85,109000,67.38
1998-06-24,63,67.6,61,67.4,66.1,327450,208.16
1998-06-25,71.9,72.7,60.5,72.7,72.6,289450,204.78
1998-06-26,73,74.95,69.25,73.1,73.9,213600,154.95
1998-06-29,72.5,77.25,70.8,76.7,76.75,247400,187.22
1998-06-30,76.9,76.9,73.25,74.65,74.05,150950,112.83
1998-07-01,76,76,72.5,73.6,74.1,91950,67.63
1998-07-02,73.3,73.7,72,72.5,72.15,54450,39.68
1998-07-03,71.6,72.4,68.5,69.15,69.35,69300,48.5
1998-07-06,70,75.65,70,74.85,74.85,160500,118.95
1998-07-07,76,80,74.5,79.05,79.15,165700,128.79
1998-07-08,84.95,84.95,78.5,80.35,80.6,431400,348.91
1998-07-09,81.85,81.9,79.3,80.25,80,172700,139.37
1998-07-10,80.7,81.5,79,81.2,80.95,195050,156.5
1998-07-13,81,82.6,79.4,79.5,79.75,221200,179.62
1998-07-14,79.55,80.8,79,80.5,80.45,84600,67.63
1998-07-15,81,82,78.9,79.35,79.1,124650,99.71
1998-07-16,79,81.2,77.9,80.6,80.9,162650,129.9
1998-07-17,80.75,81.5,79.8,79.8,80.05,123950,99.98
1998-07-20,80,80.1,78.5,79,78.8,55250,43.7
1998-07-21,77.6,79,77.1,78.5,78.55,151450,118.2
1998-07-22,78.45,78.6,76.3,76.55,76.55,59600,45.96
1998-07-23,75.75,76.75,72.75,73,73.15,128950,95.33
1998-07-24,72.25,73,71.5,72.95,72.1,141200,102.1
1998-07-27,71.1,72,68.65,69.85,69.95,181400,127.26
1998-07-28,69.3,73.5,69.3,73,72.6,125150,89.22
1998-07-29,72,75.5,71.65,75,74.8,96550,71.13
1998-07-30,75,76.95,74.8,75.95,75.6,116400,88.15
1998-07-31,75.5,76.2,74.8,75.3,75.45,91600,69.14
1998-08-03,73.05,74.95,72.7,74.4,74.55,71350,52.81
1998-08-04,74.25,76,74.2,75.65,75.85,62800,47.29
1998-08-05,75.5,79.5,74.7,78.95,78.65,151600,117.97
1998-08-06,77.6,80,77.6,78.15,78.05,135950,107.46
1998-08-07,77.6,78.5,76.5,77.5,77.8,78450,60.89
1998-08-10,77.55,77.55,74.9,75,75.2,101950,77.43
1998-08-11,74,75.2,71,71.05,71.5,290400,211.84
1998-08-12,70.55,72.3,69.55,71.85,71.8,31400,22.35
1998-08-13,70.5,74.1,70.5,73.8,73.55,34700,25.21
1998-08-14,73.5,74.35,72.5,73,72.75,30700,22.66
1998-08-17,73,74.5,72,72,72.3,10300,7.52
1998-08-18,71.25,71.95,70,71.45,71.3,35750,25.32
1998-08-19,71.5,73.25,70.6,71.5,71.05,21750,15.67
1998-08-20,72.5,74.05,71.5,74,73.7,50100,36.63
1998-08-21,72,74.45,72,72.85,72.75,18250,13.35
1998-08-24,73,73.95,71.9,73.95,73.7,18050,13.13
1998-08-25,73.1,76,73.1,74.2,75.1,38100,28.45
1998-08-27,74.3,78,74.25,76.75,76.75,23900,18.3
1998-08-28,76,76.5,75,76.5,76.1,58450,44.23
1998-08-31,75.6,77,75.15,77,76.6,17300,13.16
1998-09-01,76,76,74.5,75.05,75,32000,24.08
1998-09-02,76,76,74.6,75.5,75.55,42700,32.21
1998-09-03,75.25,77.5,75.25,77.5,77.45,91250,70.16
1998-09-04,78.4,80.9,77.1,77.2,77.5,41000,32.28
1998-09-07,76.7,77,75.9,76.6,76.7,22800,17.45
1998-09-08,76.25,77.25,75.75,76.4,76.8,29450,22.52
1998-09-09,76,77.5,76,77,76.7,15350,11.81
1998-09-10,75.65,76.7,75.6,75.85,76,5150,3.92
1998-09-11,75.6,75.6,73.5,74,74.1,9800,7.25
1998-09-14,77,79.4,76.4,77.85,78,29600,22.98
1998-09-15,77.1,77.85,76.5,76.95,76.7,18350,14.16
1998-09-16,78.4,80,76.75,76.75,77.2,31800,24.96
1998-09-17,78,78,76,77,76.9,13300,10.18
1998-09-18,76.1,77.5,75.15,77.5,76.7,17650,13.47
1998-09-21,77.9,78,77,77,77.2,15750,12.22
1998-09-22,77.25,78.2,76.3,77.1,77.4,33850,26.08
1998-09-23,77.05,78.55,77,78,78,14600,11.41
1998-09-24,78.5,80.45,78,79.85,79.4,53800,42.7
1998-09-25,79.05,82,79.05,80.55,80.5,59550,48.33
1998-09-28,81,81.5,79.45,79.65,79.75,31850,25.54
1998-09-29,79.2,79.5,77.25,77.25,77.9,40500,31.74
1998-09-30,77.45,78.1,77,77.75,77.75,4900,3.8
1998-10-05,74.05,75,73.6,74.15,74.35,12250,9.1
1998-10-06,73.65,75.7,73.65,75.3,75.25,9900,7.36
1998-10-07,76,78,76,78,77.85,17900,13.77
1998-10-08,77,77.75,76.2,77,76.95,5150,3.97
1998-10-09,76.15,77.25,76,77,76.7,26050,19.99
1998-10-12,76.1,76.1,73.6,74.25,74.25,5400,4.03
1998-10-13,73.25,74.25,72.4,72.4,72.5,11800,8.66
1998-10-14,73,74.65,73,74.65,74.5,3500,2.59
1998-10-15,73,75,73,74.05,74.05,2650,1.97
1998-10-16,74,75,73.4,73.7,73.7,5350,3.94
1998-10-19,73,73.75,73,73.3,73.3,1450,1.06
1998-10-20,71.5,72.9,71,72.5,72.45,10800,7.81
1998-10-22,73,73.6,72.3,73.6,73.6,3100,2.27
1998-10-23,72.3,76.65,72.3,76.5,76.25,13950,10.5
1998-10-26,78,82,78,80,80,17000,13.67
1998-10-27,81.5,81.5,77.5,77.6,77.75,9850,7.75
1998-10-28,79.75,79.75,76.1,76.1,76.35,8450,6.58
1998-10-29,74,75,72.8,73.5,73.25,9500,7.04
1998-10-30,73.25,74.35,72.55,73,72.85,16350,11.98
1998-10-31,73,73,72.15,72.5,72.5,2550,1.85
1998-11-02,72.5,73.7,72.2,73.3,73.3,8400,6.13
1998-11-03,72.35,73.15,72.3,72.75,72.6,17850,12.97
1998-11-05,73,73.8,72.6,73.45,73.4,7800,5.71
1998-11-06,73.5,73.65,72.8,73,73,6350,4.65
1998-11-09,74.75,76.5,74.35,75.8,75.95,16300,12.31
1998-11-10,76.75,76.75,74.5,75.7,75.5,9800,7.37
