"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2005-09-12,212.1,216.7,208.7,212,213.2,197694,416.19
2005-09-13,215.45,215.45,206.9,209.5,209.9,83383,174.35
2005-09-14,212.4,221.4,208,210.1,211.5,134029,287.7
2005-09-15,213.45,219,211.05,215,213.45,62393,133.75
2005-09-16,210.05,219.8,210.05,217.95,217.55,65008,140.8
2005-09-19,213.1,219.8,212.95,216.5,216.25,46786,100.62
2005-09-20,215,216,210.2,210.25,210.85,28055,59.65
2005-09-21,212,212.9,195,200.95,201.8,40701,82.96
2005-09-22,196.55,203,191,191,191.4,47639,92.61
2005-09-23,192,206,190.55,206,199.05,28261,55.54
2005-09-26,202,206,196,206,203.9,25116,50.73
2005-09-27,205.65,213.95,202.5,210,210.65,41408,86.93
2005-09-28,210,214.9,206.25,211.35,210.45,31289,65.61
2005-09-29,211,213.1,204,205.05,205.45,27670,57.77
2005-09-30,206.05,212.1,204.85,212.05,210.9,44580,93.04
2005-10-03,206,220.95,205,210.15,211.15,46234,99.44
2005-10-04,212,223,212,220,220.2,308238,667.29
2005-10-05,221.9,223.4,213.25,216.4,215.3,67487,145.87
2005-10-06,218.9,218.9,209.4,210.05,212.3,24977,53.44
2005-10-07,212.3,214.3,206.25,206.3,207.6,20169,42.54
2005-10-10,216,219.9,201,210,210.1,39696,83.36
2005-10-11,209,212,205.5,212,210,34835,72.95
2005-10-13,210,211,204.6,206.5,207.85,9969,20.66
2005-10-14,210.9,210.9,205.05,206.95,208,28972,60.12
2005-10-17,205,205,199,205,203.9,17544,35.45
2005-10-18,205,210,204,206,206,13162,27.1
2005-10-19,201,203,198,200,200.05,28915,57.89
2005-10-20,209.85,209.85,201.05,207.85,204.95,33012,67.45
2005-10-21,206.9,214.75,201.25,213.5,211.8,112164,233.3
2005-10-24,210,216.35,204,204,205.9,16986,35.97
2005-10-25,208,212.05,205.5,210.4,211.65,8606,18.1
2005-10-26,211.75,218,208.5,214.4,215,25746,55.41
2005-10-27,212,213.5,207,207,208.6,7745,16.29
2005-10-28,207.05,212.95,207,210.05,210.5,9549,20.03
2005-10-31,207.7,212,207.7,210,210.65,4312,9.08
2005-11-01,208.1,214,208,212,211.95,3187,6.72
2005-11-02,214.95,215,211.55,213,213.45,4681,10.01
2005-11-07,213.15,216,209.25,215.75,215.1,23656,50.39
2005-11-08,213.55,215.75,210.2,214.5,212.75,6226,13.27
2005-11-09,214,214,210.5,210.5,210.7,9674,20.52
2005-11-10,211,218.5,208.7,214.55,215.1,14604,31.34
2005-11-11,216,219.8,215,216,215.65,22274,48.43
2005-11-14,218.6,220,216,216,216.7,7707,16.7
2005-11-16,217,217.05,216,216,216.1,10161,21.97
2005-11-17,217.4,217.95,216,216.1,216.3,3488,7.55
2005-11-18,219.9,220,216,216,216.1,6936,15.04
2005-11-21,216.5,217,216,216.05,216.25,3841,8.31
2005-11-22,216.05,216.8,215,216,216.15,6708,14.48
2005-11-23,215,221.5,215,219,219.45,27474,60.17
2005-11-24,220,221,215,215,215.75,24220,52.77
2005-11-25,215.3,222,215.2,218.95,217.75,10445,22.88
2005-11-26,219.4,233,219.4,226.8,226.35,58152,132.81
2005-11-28,231.9,231.9,219.05,220.7,220.25,38218,85.85
2005-11-29,220.7,221,215.2,216.8,216.25,19020,41.63
2005-11-30,218.9,220,215,220,219,58670,127.86
2005-12-01,218.75,241.9,215.75,238.05,237.25,294746,677.22
2005-12-02,238,249.5,238,247,244.9,204357,503.14
2005-12-05,248,259,230.1,247,247.75,79411,200.09
2005-12-06,260.35,261,238,238,240.6,35901,87.34
2005-12-07,241,246.8,239,241.9,240.1,14521,35.05
2005-12-08,240,254,238,238.5,239.1,43791,106.9
2005-12-09,241.5,245,236,243,242.8,42447,102.11
2005-12-12,243.05,248.8,234.5,236.55,238.85,45587,111.13
2005-12-13,237,239.9,231.35,231.35,232.25,25890,60.65
2005-12-14,239.8,247.9,231,231.4,232.15,17238,40.39
2005-12-15,233,236,226.05,227,227.2,14421,33.29
2005-12-16,228.95,232.9,227.25,230.55,229.3,17576,40.52
2005-12-19,235,238,229.45,238,236.3,55763,131.11
2005-12-20,237.9,239.3,232.15,239.3,238.05,19824,46.96
2005-12-21,241.9,246.95,238.05,245.75,245.45,142732,344.53
2005-12-22,249.45,254.8,246.05,253,253.1,184070,462.1
2005-12-23,256,256.8,251,256,255.45,95719,243.48
2005-12-26,258.9,258.9,250,256.6,256.85,133554,340.54
2005-12-27,254,265,253.2,258.5,259.35,158539,408.4
2005-12-28,258.9,263,256,260.05,261,110126,286.33
2005-12-29,261.9,268.5,261,267,266.3,97061,255.68
2005-12-30,267,275,259.5,259.5,263.5,31836,84.51
2006-01-02,265.8,266,257,262.5,260.25,19901,51.92
2006-01-03,261.95,267,261.9,266,265.75,48795,129.58
2006-01-04,269,269,259,264,263.4,27239,71.49
2006-01-05,261.85,264.5,260.05,263.5,263,31347,82.38
2006-01-06,260,266,260,263.05,263,278251,731.59
2006-01-09,263.15,265,261,263,262.35,13768,36.24
2006-01-10,269,269,258.75,260,259.5,22388,58.7
2006-01-12,269,269.15,250.05,258.1,259.85,49566,128.58
2006-01-13,265,265,250,258,255.1,39630,103.05
2006-01-16,259.6,259.6,249,259,256.7,40366,102.9
2006-01-17,258.5,259.65,245.1,252,251.55,16886,42.76
2006-01-18,253.45,253.7,237,245.1,245.05,29423,72.1
2006-01-19,246.9,254,246.5,251,250.6,15072,37.77
2006-01-20,245,256.1,243,243,245,589951,1462.27
2006-01-23,246,249.95,240.5,240.5,241.75,25720,62.54
2006-01-24,248.65,248.9,237.5,239,240.15,50104,122.1
2006-01-25,245,245,239,242,240.35,24526,59.44
2006-01-27,240.9,248.7,240.9,245.5,245.55,27228,66.83
2006-01-30,252,252,239.5,251.9,246.1,246396,603.97
2006-01-31,251.9,252.3,239.5,240,242,23587,57.94
2006-02-01,246.9,246.9,238,240,239.6,274390,666.28
2006-02-02,243,246,239.1,242.1,242.6,282087,690.35
2006-02-03,245,248.4,239.15,246.6,246.1,8006,19.55
2006-02-06,243.65,254.5,243,251,250.15,32079,80.21
2006-02-07,253.05,254.8,246,248.5,246.2,130964,327.3
2006-02-08,244.1,248.8,244,247.15,247.15,9626,23.73
2006-02-10,259.9,259.9,242,250.2,251.2,17659,44.16
2006-02-13,251,251.2,241.65,247.05,246.6,11164,27.53
2006-02-14,252.8,252.9,246.05,247,246.95,7848,19.45
2006-02-15,252,255,245.05,246.2,250.55,23334,58.1
