"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,71.9,72.6,71,NA,NA,NA,NA
1998-03-23,73,73.25,72,72.25,72.25,6600,4.79
1998-03-24,74.5,75.95,72.75,74.75,75.2,160700,119.52
1998-03-25,76,80.35,75.05,78.9,79.55,302500,235.92
1998-03-26,79,81.9,77.05,77.3,77.35,285900,227.28
1998-03-27,76.35,78.75,76.25,78.3,78.35,104600,80.98
1998-03-30,80.5,80.5,76.25,76.3,76.5,146700,114.99
1998-03-31,77,77,74.5,74.5,74.95,184500,138.97
1998-04-01,76,81,75.7,79.9,79.95,225700,178.62
1998-04-02,81.6,84,79.1,80.8,81.1,329500,269.49
1998-04-03,82,83,80.75,82.5,82.25,170600,139.57
1998-04-06,83.95,87.6,82.5,86.1,85.9,351500,298.72
1998-04-07,85,90,85,88.05,87.75,217900,189.01
1998-04-09,89.5,95,89.2,93,93.05,272000,252.1
1998-04-10,92,95.75,91.5,93.1,93.35,280100,263.55
1998-04-13,90,102.4,90,102,100.6,461900,453.3
1998-04-15,109,110.7,106,110.7,110.7,98900,108.58
1998-04-16,121.65,121.65,106.1,109.1,109.9,477400,543.12
1998-04-17,110,113.25,103.8,113,112.15,342800,371.89
1998-04-20,111,114,107.4,107.5,107.95,310700,344.74
1998-04-21,109.25,111.5,106.1,109.25,110.1,403700,441.65
1998-04-22,114.8,119.5,110.3,111.5,111.5,326300,372.93
1998-04-23,108.75,111,102.65,103.5,103.55,185000,198.55
1998-04-24,103.5,105.95,95,101.1,100.85,290900,290.01
1998-04-27,101.85,104.7,98.6,100.1,99.65,200500,204.01
1998-04-28,99.05,99.85,95.75,98,96.4,282200,274.76
1998-04-29,101,104,95.3,96,96.25,292200,292.29
1998-04-30,94.6,97,91,96,95.25,183600,171.3
1998-05-04,96.1,98,93.5,95.2,95.3,122500,116.96
1998-05-05,95.6,96,93,96,94.7,169100,159.34
1998-05-06,96.05,96.05,92,92.9,92.25,134100,125.72
1998-05-08,91.5,92.5,90.05,91.7,91.55,73900,67.57
1998-05-11,91.6,92.1,90.25,91.65,91.5,38900,35.44
1998-05-12,89,90,82.5,83.35,83.1,160500,136.34
1998-05-13,82,82,75,77.6,77.95,165600,132.3
1998-05-14,77,83,75.1,83,82.6,124200,99.61
1998-05-15,83.95,84.4,80.5,81.65,81.75,100500,82.52
