"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",260,274.25,260,NA,NA,NA,NA
"1998-03-23",269.9,269.9,269.9,269.9,269.9,100,0.27
"1998-03-24",277.7,296,277.7,294.25,294.25,3700,10.71
"1998-03-25",310,323.7,309,323.7,323.7,3500,11.16
"1998-03-26",342,355.75,336,346.75,342.95,14300,49.54
"1998-03-27",350,350,340,344.05,343.75,26500,90.41
"1998-03-30",340,340,311,312,333.1,31300,104.16
"1998-03-31",313,340,303,310,311.5,6500,21.1
"1998-04-01",315,325,311,315,315,5200,16.36
"1998-04-02",315,316,305.05,314.7,314.7,1200,3.75
"1998-04-03",305,305,295,300,300,3000,9.01
"1998-04-06",290,298.7,281,293.95,293.95,1400,4.08
"1998-04-07",290,294.9,275,275,276.35,2700,7.65
"1998-04-09",276,295,275,288.35,288.35,900,2.53
"1998-04-10",290,300,280.1,292,292.85,2800,8.21
"1998-04-13",299,306,294.5,305.5,300.25,2000,6.01
"1998-04-15",307.8,314.9,303.2,312,310.5,25200,77.73
"1998-04-16",314,315,306,313,312.95,15500,48.35
"1998-04-17",310,321,310,312.5,312.6,7900,24.74
"1998-04-20",325,325,315,321,321,6600,21.23
"1998-04-21",324.75,341,320,325,325.15,32500,108.25
"1998-04-22",350,355,326,334,332.5,5400,18.28
"1998-04-23",304,320,303,310,314.45,1300,4.04
"1998-04-24",300,314,291.5,310,310,2000,6.04
"1998-04-27",311,311,307,309.95,309.95,500,1.55
"1998-04-28",300,305.25,295.5,303,301.5,3000,8.99
"1998-04-29",314,314,300,300.25,300.25,1000,3.03
"1998-04-30",300,300,293,293,296.5,600,1.79
"1998-05-04",298,314,298,305.1,305.1,3100,9.43
"1998-05-05",307,316,307,316,316,3000,9.39
"1998-05-06",300,310,300,310,310,600,1.83
"1998-05-08",310,314.5,310,313,313.6,1300,4.05
"1998-05-11",308.25,308.25,308,308,308,900,2.77
"1998-05-12",300,301,299,300,299.35,700,2.1
"1998-05-13",295,295,280,280,282.5,900,2.59
"1998-05-14",289,289,288,288,288,200,0.58
"1998-05-15",290,290,284,290,290,800,2.31
"1998-05-18",289,289,285,285,285,300,0.86
"1998-05-19",298,313.5,294.15,313.5,313.5,2200,6.75
"1998-05-20",324.5,334,324.5,333.9,331.2,4100,13.53
"1998-05-21",347,347,335,338.5,338,6900,23.4
"1998-05-22",337.75,349,333,345,343.55,6000,20.46
"1998-05-25",338.1,343,338,341,340.65,2500,8.51
"1998-05-26",341,342.85,335.05,342.85,341.8,4800,16.3
"1998-05-27",335,350,326,326,330.35,4600,15.59
"1998-05-28",330,330.5,319,319.5,320.5,900,2.93
"1998-05-29",320,320,300,314,314,1800,5.6
"1998-06-01",312,320,303,303,304,5600,17.48
"1998-06-02",300,305,290,295,295.85,1900,5.64
"1998-06-03",281.5,291,281.5,291,290.85,600,1.72
"1998-06-04",290,290,290,290,290,200,0.58
"1998-06-05",280.1,280.1,272.1,272.1,275.05,900,2.51
"1998-06-08",256,256,249,249.3,249.3,900,2.26
"1998-06-09",252,270,252,270,270,1000,2.66
"1998-06-10",266,267,261,261,263,400,1.06
"1998-06-11",251,270,250,270,267.6,2400,6.2
"1998-06-12",280,280,269,269,269.1,600,1.63
"1998-06-15",252,255,252,255,255,500,1.27
"1998-06-16",241,241,233,233,234,300,0.71
"1998-06-18",250,251,250,251,251,300,0.75
"1998-06-22",244,245,232,245,245,400,0.96
"1998-06-23",233.5,233.5,231,231,231,300,0.7
"1998-06-24",250,254,237.6,254,254,1200,2.99
"1998-06-25",257,275,257,275,275,1000,2.67
"1998-06-26",270,279.95,263,270,265.35,600,1.61
"1998-06-29",269,279.5,268.5,279.5,279.5,1700,4.61
"1998-06-30",277,287,277,287,286.5,900,2.55
"1998-07-01",289,290,289,290,290,300,0.87
"1998-07-02",274,310,274,308,305.05,28700,87.42
"1998-07-03",295,314.9,290,290,291.65,30100,92.56
"1998-07-06",304,304,283.35,283.35,283.35,300,0.87
"1998-07-07",291.7,291.7,291.7,291.7,291.7,100,0.29
"1998-07-08",283.05,283.05,283.05,283.05,283.05,100,0.28
"1998-07-09",283.5,283.5,280,280,280,300,0.85
"1998-07-10",271.1,284,271.1,273,273,700,1.95
"1998-07-13",285,289,285,289,289,500,1.44
"1998-07-14",289,292,280,289.5,289.5,1300,3.72
"1998-07-15",280,285,270,285,285,3200,8.88
"1998-07-16",288,307.5,288,307.5,305.65,8900,26.45
"1998-07-17",305,314,301,312.5,311.7,25600,79.19
"1998-07-20",305,305,287,305,305,2600,7.69
"1998-07-21",309,310,299.95,306,305.25,3500,10.77
"1998-07-22",291.05,298,291.05,298,298,300,0.88
"1998-07-23",298,300,290,299.75,297.45,1600,4.75
"1998-07-24",293,301.5,293,300,300,2300,6.87
"1998-07-27",294.9,300,294.9,299,299.35,1300,3.88
"1998-07-28",301,301,293.1,293.1,296.05,500,1.5
"1998-07-29",299,303,297.5,301.25,301.25,1500,4.51
"1998-07-30",298,305,298,305,305,1300,3.93
"1998-07-31",304.5,312.9,304.5,312.9,312.9,2300,7.11
"1998-08-03",305.05,305.05,298,305,305,1600,4.85
"1998-08-04",306,309,306,309,306.75,2200,6.74
"1998-08-05",305,310,303,310,310,1300,4
"1998-08-06",310,318,308,315,315,2700,8.41
"1998-08-07",317.95,317.95,310,310,312.3,1300,4.07
