"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2003-02-25",16,16,13.5,15,15,4,0
"2003-02-26",15,17.5,15,15.55,15.55,3090,0.5
"2003-02-27",15.25,16.15,15.25,16.05,16.05,185,0.03
"2003-02-28",15.65,15.65,15.65,15.65,15.65,25,0
"2003-03-03",15.45,15.95,15.45,15.65,15.65,21884,3.49
"2003-03-04",15.5,15.6,15.5,15.6,15.6,160,0.02
"2003-03-05",15.5,15.5,15.5,15.5,15.5,413,0.06
"2003-03-06",15.5,15.5,14.9,15,15,20050,3
"2003-03-07",15.5,15.5,14.75,14.75,14.75,1955,0.3
"2003-03-10",14.55,15,14.55,15,15,3100,0.46
"2003-03-11",15,15,14.3,14.8,14.8,4474,0.66
"2003-03-12",15.1,15.35,15.1,15.35,15.35,20,0
"2003-03-13",15.2,15.2,14.65,14.9,14.9,6218,0.93
"2003-03-17",14.5,15,14.5,14.5,14.5,575,0.08
"2003-03-19",13.85,14.7,13.85,14.5,14.5,6733,0.97
"2003-03-20",15,15,14.1,14.9,14.9,2150,0.32
"2003-03-21",14.9,14.9,14.3,14.3,14.3,1790,0.26
"2003-03-22",14.5,14.9,14.4,14.4,14.4,2001,0.29
"2003-03-24",14.6,14.75,14.2,14.35,14.55,4065,0.59
"2003-03-25",14.45,14.75,14,14.05,14.2,3139,0.45
"2003-03-26",14.35,14.6,14.35,14.4,14.45,2420,0.35
"2003-03-27",14.3,14.3,14.1,14.15,14.15,2800,0.4
"2003-03-28",14.1,14.25,14.05,14.05,14.05,2010,0.28
"2003-03-31",14.1,14.2,13.9,13.9,13.9,2300,0.32
"2003-04-01",14,14.4,14,14.35,14,775,0.11
"2003-04-03",14.4,14.4,14.4,14.4,14.4,300,0.04
"2003-04-04",14.1,14.5,14.1,14.5,14.35,3400,0.49
"2003-04-07",15.2,15.2,14.5,14.9,15,3150,0.47
"2003-04-08",14.95,15.6,14.95,15.5,15.5,4240,0.65
"2003-04-09",14.8,15.45,14.8,15.45,15.45,1133,0.17
"2003-04-10",15.65,15.65,14.85,15.45,15.45,900,0.14
"2003-04-11",14.7,15,14.7,14.8,14.8,1118,0.17
"2003-04-15",15,15,13.25,13.9,13.9,8769,1.26
"2003-04-16",14.25,14.35,13.95,13.95,13.95,6563,0.92
"2003-04-17",13.8,14.05,13.8,14,14,3042,0.43
"2003-04-21",14,14.2,13.9,13.9,14,21274,2.98
"2003-04-22",14.3,14.3,14,14,14,19044,2.67
"2003-04-23",14,14.1,14,14,14,8350,1.17
"2003-04-24",14,14.25,14,14,14.15,9177,1.29
"2003-04-25",14,14.45,14,14.45,14.25,10670,1.52
"2003-04-28",14.4,14.75,14.35,14.75,14.55,2330,0.34
"2003-04-29",14.6,14.7,14.35,14.35,14.35,3948,0.57
"2003-04-30",14.8,14.9,14.55,14.9,14.85,6490,0.95
"2003-05-02",16.45,16.45,15.2,15.85,15.8,3563,0.55
"2003-05-05",16,16.15,15.5,15.9,15.9,5239,0.83
"2003-05-06",15.6,16,15.5,16,15.75,4404,0.69
"2003-05-07",15.6,15.6,15.4,15.55,15.55,1540,0.24
"2003-05-08",15.8,15.85,15.5,15.75,15.55,3277,0.51
"2003-05-09",15.6,16.45,15.6,16,16,11467,1.84
"2003-05-12",15.75,16.15,15.75,16.15,16.15,2339,0.38
"2003-05-13",16.05,16.4,16.05,16.4,16.35,2197,0.35
"2003-05-14",16.5,17.5,16.25,17,17,15550,2.63
"2003-05-15",16,17.5,16,16.9,17,9500,1.62
"2003-05-16",17.25,17.5,17.15,17.2,17.2,3525,0.61
"2003-05-19",18.05,18.05,17.6,17.6,17.75,12750,2.28
"2003-05-20",17.5,17.95,17.5,17.75,17.75,17085,3.03
"2003-05-21",17.9,18.5,17.75,18.5,18.45,32332,5.87
"2003-05-22",19,19,18.3,18.75,18.7,18897,3.5
"2003-05-23",18.9,19.9,18.65,18.75,18.75,30227,5.7
"2003-05-26",20.55,20.55,18.9,19.75,19.45,28882,5.52
"2003-05-27",19.2,19.6,19.1,19.6,19.45,26956,5.22
"2003-05-28",20.4,23.35,19.15,23.35,23.35,276205,60.81
"2003-05-29",24.5,26.6,24,25.1,25.15,249640,63.01
"2003-05-30",21,26.75,21,25.95,25.95,135452,35.22
"2003-06-02",26.1,26.45,24.7,25.75,25.55,63550,16.47
"2003-06-03",25.5,25.9,25.25,25.35,25.4,43520,11.1
"2003-06-04",25,26.4,25,26,26.3,38710,10.07
"2003-06-05",26.5,26.7,25.5,26.7,26.45,39165,10.29
"2003-06-06",26.55,27.5,26.3,27.1,27.25,55650,15.04
"2003-06-09",27,28.5,27,28,28,35297,9.75
"2003-06-10",28,32,27.45,27.5,27.55,70879,20.04
"2003-06-11",28.45,29,27.25,27.25,27.45,37223,10.38
"2003-06-12",28,28,27.1,27.25,27.4,46790,12.87
"2003-06-13",28.75,28.75,27.45,28,28,31085,8.67
"2003-06-16",28.3,28.3,27.3,27.5,27.5,20622,5.73
"2003-06-17",28,28,26.8,27.3,27.3,43169,11.78
"2003-06-18",27.55,27.75,27.25,27.4,27.45,23456,6.46
"2003-06-19",27.55,27.9,27,27.3,27.35,15784,4.34
"2003-06-20",27.3,27.6,27.2,27.5,27.4,30356,8.3
"2003-06-23",22.8,28.6,22.8,28.15,28.2,32883,9.31
"2003-06-24",28.25,28.25,27.3,28,28,19562,5.45
"2003-06-25",28,33.6,28,32.5,32.15,178728,57.65
"2003-06-26",32.8,35,30.65,31.35,31.3,50684,16.22
"2003-06-27",31.75,32,30.5,30.65,30.75,22107,6.86
"2003-06-30",31.6,31.9,30.65,31.15,30.95,18189,5.68
"2003-07-01",31,31.25,30,30.25,30.3,22072,6.75
"2003-07-02",31,32.85,30.45,32.25,32.2,53861,17.15
"2003-07-03",32.95,32.95,31.6,32,32.15,43498,14.1
"2003-07-04",31.1,32.5,31.1,32.4,32.35,15652,5.03
"2003-07-07",32,32.85,31.8,32.35,32.35,56896,18.32
"2003-07-08",33.45,33.45,32.5,32.5,32.6,31136,10.22
"2003-07-09",32.75,32.95,31.7,31.85,31.85,14577,4.67
"2003-07-10",31.8,32.5,31.55,32.15,32.15,14314,4.59
"2003-07-11",31.5,32.4,31.5,31.95,32.05,12680,4.07
"2003-07-14",32,32.4,31.85,32.35,32.1,9749,3.13
"2003-07-15",31.1,32.5,31.05,32,32.05,11871,3.8
"2003-07-16",31.5,32,31.3,31.3,31.4,12440,3.93
"2003-07-17",31.55,31.8,30.05,30.15,30.6,29482,9.17
"2003-07-18",31.25,31.65,30.05,30.05,30.2,32873,10.06
"2003-07-21",29,30.75,29,30.5,30.2,10250,3.1
"2003-07-22",30.5,30.55,30.1,30.25,30.3,9616,2.92
"2003-07-23",31.25,31.25,30.05,30.35,30.4,7856,2.4
"2003-07-24",30.75,31,30.25,30.25,30.35,6778,2.07
"2003-07-25",31,31.1,30.5,30.85,30.8,10936,3.37
"2003-07-28",30,31.7,30,30.65,30.75,19305,6.02
"2003-07-29",31,31,30.7,30.75,30.75,11780,3.63
"2003-07-30",31,31.6,30.8,31.6,31.4,23646,7.4
"2003-07-31",31.65,32,31.1,32,31.55,13665,4.3
"2003-08-01",32,32.75,31.8,32.5,32.35,19724,6.36
"2003-08-04",30.5,33.95,30.5,33.5,33.5,28842,9.35
"2003-08-05",35.7,35.7,32.2,33,32.9,32291,10.77
"2003-08-06",33,33.7,32.5,33.7,33.45,15993,5.33
"2003-08-07",33.5,34.75,33.5,34.75,34.4,35422,12.15
"2003-08-08",34.5,36.15,34.5,35.6,35.6,43070,15.34
"2003-08-11",35.6,37,35.5,36.95,36.6,39268,14.27
"2003-08-12",37.7,38.2,36.1,37.8,37.65,66486,24.69
"2003-08-13",38,38,36.8,37.2,37.35,43927,16.44
"2003-08-14",36.4,37.25,36,36.55,36.4,25276,9.2
"2003-08-18",39,40.2,35.95,37.1,37.05,67206,25.39
"2003-08-19",40.75,40.75,35.55,37.3,36.4,18978,7
"2003-08-20",37,37.75,35.75,36.05,36.05,16772,6.16
"2003-08-21",34.05,37,34.05,36.55,35.9,19337,6.99
"2003-08-22",36.35,36.95,35.9,35.9,35.95,24497,8.9
"2003-08-25",38.4,38.4,35,35.5,35.55,13664,4.82
"2003-08-26",37.3,37.3,34,35.9,35.55,7946,2.8
"2003-08-27",38,38,35.1,36,35.65,12596,4.53
"2003-08-28",36.25,37,35,36.6,36.6,25858,9.42
"2003-08-29",38,38,35.5,36.95,36.8,22381,8.15
"2003-09-01",37.75,37.9,35.5,37.2,36.75,28984,10.7
"2003-09-02",36.95,37,35.1,35.95,35.8,18336,6.59
"2003-09-03",35.65,36.75,35.3,35.75,35.8,25297,9.11
"2003-09-04",35.3,36.5,32.15,35.6,35.6,24098,8.66
"2003-09-05",35.55,36.9,35.55,36.55,36.3,32716,11.92
"2003-09-08",36.6,38.85,36.6,38.75,38.45,50179,18.71
"2003-09-09",38.5,40,38.05,38.9,38.65,33737,13.19
"2003-09-10",39,39.2,36.05,39.15,39.05,16480,6.4
"2003-09-11",39,39.9,38.5,39.85,39.6,10062,3.95
"2003-09-12",40,41.9,39.5,40.2,40.2,37238,15.06
"2003-09-15",40,40.2,38.2,38.2,38.3,16985,6.65
"2003-09-16",37.6,40.35,37.6,39,39.15,9533,3.74
"2003-09-17",39.95,40.15,39.2,39.3,39.55,16695,6.62
"2003-09-18",39.45,39.45,37.25,38,37.45,9846,3.73
