"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2005-06-20",116,117,101.25,104,104.15,34870,38.35
"2005-06-21",106.3,107.5,104.25,105.6,105.45,9572,10.16
"2005-06-22",105.7,108.9,102,103,102.85,15949,16.79
"2005-06-23",104.9,104.9,99,101.5,101.7,5993,6.07
"2005-06-24",102.5,114,102.5,107.35,107.3,60965,66.52
"2005-06-27",109,111.5,106.55,107,107.7,44155,48.04
"2005-06-28",108,108,103,104.2,103.3,17917,18.85
"2005-06-29",103,107,103,106.5,106.55,22917,24.32
"2005-06-30",107.85,109.4,105.3,109.4,107.4,22648,24.46
"2005-07-01",109.9,111,106.3,109,107.75,29540,32.15
"2005-07-04",111,111,109.5,110,110.45,22996,25.38
"2005-07-05",111.5,113,107.5,108.35,108.45,46730,51.55
"2005-07-06",110,111,108.55,109,109.6,12804,14.02
"2005-07-07",110,111.35,106.15,106.25,107.15,18016,19.7
"2005-07-08",108,108.5,106,108,107.75,9581,10.27
"2005-07-11",101.6,126,101.6,108.85,109.05,32145,35.27
"2005-07-12",109.5,111,108.6,110.5,109.95,29279,32.12
"2005-07-13",110,120,109.8,115.75,115.7,199486,231.28
"2005-07-14",117.5,118.45,113,113.95,113.7,76635,88.45
"2005-07-15",114,115.9,112.7,112.7,113.65,41196,46.88
"2005-07-18",115.85,119.6,114.6,116.95,116.5,165008,193.66
"2005-07-19",119,119,112.55,113.1,113.6,41318,47.45
"2005-07-20",114,115.5,113.1,114.1,114.2,34749,39.81
"2005-07-21",114.1,115.7,110,110,110.5,30469,34.15
"2005-07-22",112,113.8,109.65,110,110.25,27118,30.25
"2005-07-25",110.65,111.9,108.55,109.1,109.15,17700,19.51
"2005-07-26",109,110,106.5,107.5,107.55,15579,16.87
"2005-07-27",109,109.35,107,107.25,107.55,7130,7.71
"2005-07-29",107.35,108.8,101.3,106.5,105.7,16150,17.19
"2005-08-01",108.4,125,105,105.95,105.8,20131,21.59
"2005-08-02",110,111,105.7,107.8,107.65,21433,23.07
"2005-08-03",107.25,109.7,105.5,106.1,106.45,21589,23.07
"2005-08-04",106.45,108,105.4,106.6,106.05,14520,15.45
"2005-08-05",107,107,103.05,103.15,103.75,45394,47.45
"2005-08-08",104,104,99.25,101.75,100.8,43730,44.54
"2005-08-09",99,103.5,99,102,101.7,22204,22.63
"2005-08-10",102.85,104.1,102.5,103.2,103.9,18193,18.87
"2005-08-11",104.4,105.45,103.5,103.5,104.3,72145,75.23
"2005-08-12",105,106,103,103.05,103.6,58310,60.69
"2005-08-16",105,105.95,103.1,103.1,103.75,63054,65.52
"2005-08-17",101,111,100,106,105.85,154305,164.49
"2005-08-18",107,109.4,102.9,103.25,103.35,98825,104.19
"2005-08-19",104,106.7,103.1,104.85,103.8,79276,82.83
"2005-08-22",105.7,108,102.1,102.7,103.05,117448,123.08
"2005-08-23",103.9,104.3,100.15,101.4,101.1,60441,61.61
"2005-08-24",101.2,102,98.65,100.5,100.2,35969,36.12
"2005-08-25",103.5,103.65,100.25,100.75,101.4,16774,17.02
"2005-08-26",102.3,102.3,100.45,100.9,101.25,22166,22.45
"2005-08-29",101.25,108.85,100.55,103,103.25,84294,87.73
"2005-08-30",104.7,114.15,104.7,108.8,108.7,269085,295.04
"2005-08-31",108.75,114,108.75,111.45,111.6,203654,228.75
"2005-09-01",113.3,116,110.6,111.8,111.35,135086,152.78
"2005-09-02",112.65,119.6,111,115.1,115.75,432638,505.49
"2005-09-05",116.8,117.8,113.05,114.5,113.7,107699,124.53
"2005-09-06",115.5,116.95,112.55,113.4,113.45,75620,86.73
"2005-09-08",114.7,117.75,113,114.7,115.05,119989,138.64
"2005-09-09",115.65,116.7,112.15,112.35,112.75,61395,70.11
"2005-09-12",114.5,115,111.55,112,112.05,43263,49.02
"2005-09-13",113.5,114.9,111.15,112,111.95,53837,60.56
"2005-09-14",112,114.85,108.1,108.35,109,84354,93.97
"2005-09-15",109.7,112.5,109.6,111.4,111.15,41512,46.06
"2005-09-16",112.25,113.5,110.5,111.35,111.05,60715,67.82
"2005-09-19",112,113,110,111.3,110.45,47398,52.61
"2005-09-20",111.4,112,106.75,107.6,107.85,49976,54.34
"2005-09-21",107.1,107.9,100,103.15,103.55,50877,52.39
"2005-09-22",103.9,103.9,93.6,96.95,94.75,59239,57.8
"2005-09-23",96,99.5,94,98.9,98.15,59834,58.12
"2005-09-26",100.65,102,99.1,101.9,101.6,21488,21.61
"2005-09-27",113.9,113.9,100.3,102.85,102.5,30435,31.29
"2005-09-28",102.5,103.35,100.05,100.25,101.2,20176,20.51
"2005-09-29",102.4,102.45,97.2,98.35,98.1,56886,56.28
"2005-09-30",97,97,92.3,95.75,94.55,47671,44.64
"2005-10-03",96,96.7,94,96.25,95.85,11459,10.92
"2005-10-04",96.9,99.85,95.8,99,98.45,20694,20.27
"2005-10-05",98,99,96.65,97.4,97.25,17714,17.33
"2005-10-06",95.85,97.5,95,96,96,9433,9.06
"2005-10-07",96.5,97.75,93.6,94.2,95.5,13933,13.31
"2005-10-10",96.9,96.9,93.5,93.55,93.75,6108,5.78
"2005-10-11",92.5,95.6,92.1,94,93.95,11526,10.82
"2005-10-13",93.9,95,92.15,92.8,92.8,13611,12.72
"2005-10-14",93,94.5,89.2,90.75,90.25,21470,19.53
"2005-10-17",90.1,93,87.2,90.1,89.8,14692,13.04
"2005-10-18",86.5,92.45,82,91.5,91.1,13250,12.1
"2005-10-19",90,90.4,84,86.4,87.7,25777,22.62
"2005-10-20",90,90,80.1,83.1,84.45,24466,20.85
"2005-10-21",83.3,89,81.5,89,87.55,21090,18.05
"2005-10-24",89.4,92.5,89,91.2,90.25,25711,23.14
"2005-10-25",92,92,89.6,91.75,90.45,12803,11.56
"2005-10-26",91,92,89,89.65,90.15,7691,6.96
"2005-10-27",89.9,90.15,88,89.9,89.5,13720,12.24
"2005-10-28",88.5,90,86.75,90,89.05,14710,13.06
"2005-10-31",90,90.75,87.1,88.6,89.15,10991,9.73
"2005-11-01",90,91.5,89.15,91,90.5,3481,3.15
"2005-11-02",84.1,91,84,91,90.8,12551,11.2
"2005-11-07",92.7,93.45,91.6,92.7,92.4,8758,8.1
"2005-11-08",93.5,97,92.5,94.6,94.8,20398,19.39
"2005-11-09",95.5,96.45,93.2,94.95,94.2,11796,11.19
"2005-11-10",96,96,92.35,94,94.35,6256,5.89
"2005-11-11",94.85,97,94.2,97,95.9,11977,11.43
"2005-11-14",96.6,98,96.5,96.6,96.95,20113,19.48
"2005-11-16",97.9,98.5,97,97,97.6,11460,11.19
"2005-11-17",97.8,98.5,95.35,97.1,97.85,8904,8.65
"2005-11-18",97.9,103.4,97.9,100.05,100.15,39866,40.08
"2005-11-21",104,104,99,100.9,100.75,25618,25.82
"2005-11-22",99,100.9,98.5,100.9,99.65,7697,7.66
"2005-11-23",99.9,101,97.5,97.7,98.85,20657,20.4
"2005-11-24",99.05,100.8,99.05,99.3,100.05,10285,10.27
"2005-11-25",98,101.4,98,98.35,98.75,39677,39.5
"2005-11-26",100,100,98.55,98.6,98.6,2932,2.91
"2005-11-28",98.75,100,98,98.75,98.7,11343,11.21
"2005-11-29",97.5,98,96.5,97.25,96.7,10195,9.87
"2005-11-30",98.5,98.5,95,95.95,95.8,27093,26.18
"2005-12-01",95,95,93.6,93.65,93.7,21916,20.67
"2005-12-02",92.5,95,92.5,94.75,94.3,11015,10.39
"2005-12-05",95,95.7,93.25,94.5,94.2,29791,28.14
"2005-12-06",95,95,91.75,93.5,92.85,23646,22.04
"2005-12-07",94.4,95,93.35,94.9,94.95,22160,20.98
"2005-12-08",94.9,95,93.6,93.75,94.2,25812,24.37
"2005-12-09",95,97,94.15,94.2,94.4,106312,100.89
"2005-12-12",96,113.3,95,110,110.7,582377,635.37
"2005-12-13",112.85,112.85,106.55,108.25,108.55,250571,274.35
"2005-12-14",109.4,114.95,108.1,109.05,109.85,213577,237.37
"2005-12-15",110.8,114.75,107.1,110.9,109.45,151317,168.54
"2005-12-16",108,110.6,107.5,109.3,108.7,49593,54.06
"2005-12-19",109.5,113.95,107,112.4,112.55,145757,163.11
"2005-12-20",114,119,111.3,112.35,112.45,230909,265.91
"2005-12-21",114,114.7,110.8,111.25,111.3,61918,69.59
"2005-12-22",112,117.9,111.5,116.9,116.5,221872,256.32
"2005-12-23",117.5,118.75,112.5,112.65,113.1,147606,170.81
"2005-12-26",113.8,113.8,108.35,109.3,108.95,70606,77.93
"2005-12-27",110.25,114,108.1,111.05,112.5,91518,102.92
"2005-12-28",109.5,113.5,109.5,110.45,110.5,35350,39.48
"2005-12-29",111,112.75,110,111.25,110.8,28435,31.7
"2005-12-30",109.55,112.5,109.1,109.95,110.8,29425,32.64
"2006-01-02",113.8,117.4,111.5,116,115.7,80500,92.54
"2006-01-03",116,125.45,116,122.5,122.95,642501,785.62
"2006-01-04",128,128,120,120.1,120.6,641356,799.89
"2006-01-05",121.1,121.95,117,118.9,117.95,127141,151.1
"2006-01-06",119,121.9,117.1,118.6,118.45,113205,135.32
"2006-01-09",119.2,121.7,118.5,119.6,119.4,78512,94.02
"2006-01-10",119.3,120,116.1,116.55,116.85,56431,66.63
"2006-01-12",115,117.8,115,116.65,116.4,50086,58.39
"2006-01-13",114.65,117.7,114.65,115.45,115.2,38522,44.87
"2006-01-16",113.15,121.65,113.15,117,117.05,138213,163.09
"2006-01-17",118.65,118.95,112.05,113.05,113.15,63132,73.04
"2006-01-18",113.75,116.4,112.2,113.55,114.05,74153,84.43
"2006-01-19",113.95,119.45,113.95,119,118.8,130801,153.94
"2006-01-20",120.8,126.45,120.8,122.15,122.7,465727,577.16
"2006-01-23",122.85,125.9,121.1,121.75,121.8,232688,287.21
"2006-01-24",123.8,126.5,121.8,122.1,122.5,160911,199.22
"2006-01-25",123.85,123.9,117.65,118.35,118.35,99785,119.97
