"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2007-07-24",538.6,575.95,535,555.25,559.35,28590806,160030.82
"2007-07-25",549.4,587.4,545.3,585,580.1,8552244,48465.14
"2007-07-26",585.6,634.3,585.6,620.5,621.4,9125757,55976.88
"2007-07-27",601.55,609.9,555,575,579.8,8396945,49280.56
"2007-07-30",583,604.5,570,571.35,575.85,5350142,31633.08
"2007-07-31",583,588.8,555.75,575.05,573.05,3669861,21122.18
"2007-08-01",570,570,506.1,510.1,515.2,4547108,24226.24
"2007-08-02",512,546.7,511.25,527.95,527,4894283,25986.29
"2007-08-03",533.2,547.9,521.25,526.15,528.85,2336308,12470.33
"2007-08-06",518,518,489.35,500.1,499.65,2955087,14795.94
"2007-08-07",507,533.8,506,520.9,525.55,4407917,22950.31
"2007-08-08",528.7,535.9,523.1,525.45,525.7,1739450,9213.58
"2007-08-09",531,540.65,507.1,509,509.9,1539282,8048.35
"2007-08-10",495,517.7,480.05,516,513.6,1565297,7876.52
"2007-08-13",518,524.8,509,524.25,520.45,1059006,5477.84
"2007-08-14",522.1,551.8,519.15,543,545.2,2601287,13960.69
"2007-08-16",540,540,502.75,505.5,506.8,1740194,8922.67
"2007-08-17",600,600,480,502,500.95,2058415,10311.61
"2007-08-20",518,533.8,510,517,520.15,1989040,10457.49
"2007-08-21",530,530,479.1,499,490.25,1666333,8297.01
"2007-08-22",502,504.7,477.5,495.4,492.85,2253026,11046.77
"2007-08-23",502,516,482.65,486.65,487.25,1566565,7855.77
"2007-08-24",525,525,492.15,505.5,506.05,889096,4457.44
"2007-08-27",519.5,540,510.15,534.3,534.75,1387931,7308.54
"2007-08-28",532,553.2,526.3,539.4,542.55,1913568,10377.95
"2007-08-29",532,549.8,523.1,540.65,540.75,1831730,9892.39
"2007-08-30",590,590,521.1,528,537.85,12145661,66719.93
"2007-08-31",536,545.4,526.3,536.8,536.4,2667466,14376.84
"2007-09-03",550.25,550.25,534.5,538,537.65,1208402,6522.98
"2007-09-04",549.8,549.8,536.45,538.05,539.25,1461399,7920.28
"2007-09-05",541.1,543.8,531.05,531.65,533.85,625092,3359.9
"2007-09-06",562,562,529.1,542.1,541.55,1081075,5837.81
"2007-09-07",532.05,545,531.5,532,533.05,572616,3082.22
"2007-09-10",539.8,545.05,525,544,541.75,973431,5242.54
"2007-09-11",543,565.7,543,563,562.85,2090751,11619.28
"2007-09-12",566,580.85,563,572,573.3,2843138,16347.53
"2007-09-13",610,610,573.1,579.9,580.85,1511322,8758.39
"2007-09-14",585,610,583.25,595.9,593.4,2975273,17806.58
"2007-09-17",596.6,612.9,591.3,609,610,2920834,17593.85
"2007-09-18",601.85,631,580,625,626.4,2033993,12637.45
"2007-09-19",635,668,635,646,645.6,2950953,19156.01
"2007-09-20",648,667,600,646.4,647.65,1831686,11984.79
"2007-09-21",646.5,655.7,625.05,633,632.8,830971,5329.49
