"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2011-08-08",1745,1863.8,1720,1854,1855.55,446162,8150.01
"2011-08-09",1791,1880,1791,1850.25,1853.4,462295,8558.38
"2011-08-10",1866.1,1889.6,1846.5,1885,1883.95,432000,8094.4
"2011-08-11",1874.95,1884.8,1852.75,1860,1859.35,356386,6664.97
"2011-08-12",1857.05,1914,1857.05,1890,1890.25,474789,8995.11
"2011-08-16",1900,1918.9,1880.2,1902.2,1890.3,385466,7335.28
"2011-08-17",1890.5,1952,1890.5,1936.3,1939.55,756048,14562.62
"2011-08-18",1937,1963,1937,1952.45,1953.7,380313,7432.58
"2011-08-19",1920,2000,1920,1996,1993.7,480001,9458.96
"2011-08-22",1994.05,2021.5,1987.35,1998.7,2007.65,763875,15348.36
"2011-08-23",2009.95,2015.65,1978.15,1993.9,1992.55,405250,8118.49
"2011-08-24",1977.5,1994.95,1951.3,1966.9,1964.95,311784,6136.88
"2011-08-25",1948.8,1973.95,1865.8,1895,1902.2,933496,17991.7
"2011-08-26",1902,1965.2,1878.6,1962,1951.55,499712,9686.4
"2011-08-29",1954.55,1998.4,1936.55,1981,1972.3,581650,11476.08
"2011-08-30",1984,2068,1982.25,2065,2051.75,736166,14906.43
"2011-09-02",2110,2121.65,2048.05,2075.5,2072.75,432735,8973.87
"2011-09-05",2050,2193,2048,2185,2183.35,1079760,23209.99
"2011-09-06",2189.7,2207.95,2150,2167.8,2167.45,711871,15473.18
"2011-09-07",2180,2187.2,2135.25,2172,2172.9,527380,11424.21
"2011-09-08",2166.1,2187,2143,2167.15,2169.7,373029,8075.49
"2011-09-09",2165.5,2237,2165.45,2219.05,2222.5,868373,19270.61
"2011-09-12",2200,2230,2186.15,2211.95,2214.15,479985,10598.93
"2011-09-13",2204,2229.3,2190.7,2207.95,2202.9,432679,9547.42
"2011-09-14",2197.75,2209,2167.85,2201,2193.65,1258246,27509.81
"2011-09-15",2195,2213.6,2184.05,2201.75,2202.35,441841,9705.86
"2011-09-16",2200,2222,2191.65,2201.1,2200.25,305050,6723.11
"2011-09-19",2186.05,2215,2185.4,2202.75,2201.15,220974,4868.01
"2011-09-20",2195,2217.5,2191.15,2200,2205.7,335286,7395.18
"2011-09-21",2213.7,2213.7,2118.95,2130,2134.3,745676,16056.79
"2011-09-22",2095,2119.95,2077.5,2080.25,2086.95,334283,7025.94
"2011-09-23",2055,2086.95,2021.4,2044.95,2037.05,539677,11072.75
"2011-09-26",2040,2045,1953.75,1978,1976.55,673096,13370.66
"2011-09-27",2000.05,2018.8,1985.05,1988.05,1992.7,389532,7780.13
"2011-09-28",2006,2006.05,1950.35,1950.35,1957.95,263193,5167.62
