"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,426,432.95,422,NA,NA,NA,NA
1998-03-23,424.1,429.9,424.1,427,427,3500,14.94
1998-03-24,431,437,415.05,420,420.95,48100,206.45
1998-03-25,433.5,438.2,428.05,430,430.2,28700,124.16
1998-03-26,435,436,424,427,426.7,36500,156.74
1998-03-27,423,441.6,423,440,439.45,192700,840.81
1998-03-30,444.65,444.65,429.3,432,431.2,177200,774.73
1998-03-31,429,445,428.15,440,441.05,258600,1130.6
1998-04-01,440,452,438.75,445,444.65,49900,221.98
1998-04-02,445,461,445,452,450.9,50100,227.59
1998-04-03,453.7,456.95,448.25,450,450.2,34500,155.71
1998-04-06,435,454.75,435,448,447.95,36200,163.15
1998-04-07,446,448,435,437,438.5,63300,281.29
1998-04-09,438,457,438,445,444.95,548400,2418.32
1998-04-10,448.7,452,439,448,443.95,134100,596.72
1998-04-13,444.95,444.95,426,430,429.2,149000,656.48
1998-04-15,440,443.5,437.3,440,440,90000,396.31
1998-04-16,440,442,438,438,438.1,23100,101.7
1998-04-17,435.1,435.1,427.8,430.1,430.15,49300,211.86
1998-04-20,431.75,437.9,428,437.85,434.15,125500,544.73
1998-04-21,434.95,437.8,432.5,435,436.15,28700,124.92
1998-04-22,443,446,437.6,441,440.65,36400,160.28
1998-04-23,439.95,441,436.1,437.5,437.55,11500,50.41
1998-04-24,434,435,415.05,432,432.7,16800,71.93
1998-04-27,429,432.9,422,425,425.3,78000,331.82
1998-04-28,421,424,410,410,414.85,23800,98.88
1998-04-29,418,420,408,413.9,413.9,15500,63.84
1998-04-30,410,410,397,404.95,404,257600,1040.18
1998-05-04,404.6,410,401.5,407.95,408.05,134300,545.36
1998-05-05,405,408.25,395,405.5,403.3,176500,714.21
1998-05-06,410,410,400,407,402.7,179600,723.83
1998-05-08,401,404.95,400.05,403.5,403.7,2700,10.87
1998-05-11,402.5,403,400,400,400.15,98800,395.92
1998-05-12,401,401,386,396.95,396.8,220800,872.78
1998-05-13,390,393,370,375,377,151700,590.34
1998-05-14,385,385,374.25,375.25,379.35,89200,339.18
1998-05-15,380,386,373.1,380,377.95,277800,1046.76
1998-05-18,384.5,396.95,380,386,389.5,23100,89.64
1998-05-19,376.75,394,375,378,377.5,64300,242.56
1998-05-20,389,389,378,379,378.5,20200,76.99
1998-05-21,380,381.9,370,370,371.1,16400,61.47
1998-05-22,370,375,366,367,366.55,32800,120.85
1998-05-25,361.1,368.9,360,368,368.05,22000,80.53
1998-05-26,370.9,372,365,370.25,370.3,43000,158.92
1998-05-27,365,379,365,372.05,372.4,74800,280.47
1998-05-28,369.1,373,369,369,369,25800,95.63
