"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2007-07-19,199,199.75,194.65,198.5,197.8,2066807,4073.72
2007-07-20,198,199.9,192.55,194.2,194.15,2678230,5204.27
2007-07-23,199.5,205.8,198,203.8,204.85,6892251,13974.06
2007-07-24,205.9,205.9,197.85,200.25,199.75,1938559,3906.08
2007-07-25,202.8,204,198.75,201.5,201.95,2531149,5110.28
2007-07-26,204,208,198.1,205.5,205.7,3151821,6422.44
2007-07-27,205,205,194.6,196.1,195.9,5105904,10050.32
2007-07-30,205,212.3,202,208.5,208.95,6297238,13148.23
2007-07-31,211.9,211.9,204.55,206.35,206.75,2423496,5009.8
2007-08-01,220,220,199,202,201.85,3485059,7009.79
2007-08-02,203.8,205.95,200.15,201.7,201.6,1126039,2273.5
2007-08-03,204,206,202.25,205.75,205.4,1067215,2181.05
2007-08-06,202,203,198.8,200.25,200.1,1815789,3635.7
2007-08-07,199.85,200.7,198.05,200,200.1,2141604,4280.79
2007-08-08,210,210,200.2,202.8,203.25,1674651,3397.04
2007-08-09,204.7,205.4,200.2,201.2,201,1188491,2397.01
2007-08-10,194,198.95,192.8,198,196.1,2587792,5092.58
2007-08-13,196.6,204.5,196.6,204,204.05,1276525,2577.95
2007-08-14,204.7,204.7,200.1,200.75,200.6,731298,1471.76
2007-08-16,195,198.2,191.5,196.5,196.35,5135861,10059.42
2007-08-17,194,195.75,190.1,192.5,192.5,1912253,3689.7
2007-08-20,196.7,200.5,195.75,197.35,198.3,1597993,3155.25
2007-08-21,199,199,192,194,193.25,1303292,2540.71
2007-08-22,193,198.2,192,197.05,196.15,1159172,2273.37
2007-08-23,196,199.8,196,198,197.9,2008677,3978.94
2007-08-24,198,200.75,196.6,199.55,199.4,719903,1431.13
2007-08-27,201,202.8,199.6,200.4,200.75,1002366,2010.22
2007-08-28,200,203,200,202.6,202.1,1103658,2226.21
2007-08-29,198.45,203.5,198,200.4,201.95,1390972,2797.91
2007-08-30,201.2,205.5,200.3,202.75,203.2,3272581,6614.9
2007-08-31,203.8,210.4,203.7,208.45,208.3,1950710,4055.5
2007-09-03,207,210.5,206.65,210,209.8,1561295,3265.77
2007-09-04,209.05,211.9,207.15,211.2,211,1047596,2201.2
2007-09-05,211,214.9,208.65,212.15,212.35,2106856,4473.41
2007-09-06,210.75,218.4,210,215.75,216.35,2254083,4866.1
2007-09-07,217.25,218.9,213.35,213.75,213.95,1000657,2166.87
2007-09-10,211.15,215,210.45,213.15,213.35,756512,1606.97
2007-09-11,214.5,218.45,212.85,218,217.1,930405,2006.34
2007-09-12,217.1,219.9,215.5,217,217.55,2445980,5310.34
2007-09-13,217.5,217.5,214,215.05,215,1313402,2829.98
2007-09-14,216.4,217.05,211.1,212.4,212.05,835576,1781.12
2007-09-17,214,216.9,212,212,215.9,5135397,11074.09
2007-09-18,214.8,215.75,212.4,213.45,214.55,1623725,3482.81
2007-09-19,216,218.9,215.6,216,217,2954126,6424.87
2007-09-20,213.25,219.8,213,214.25,214.2,1760987,3805.37
2007-09-21,213,221.8,213,220.75,219.4,2960931,6478.68
2007-09-24,221.55,224.9,219.4,222.55,223.5,3566699,7951.19
2007-09-25,223,228,218.6,227.35,227.35,3176671,7109.93
2007-09-26,228.5,229.9,224.05,226.75,225.45,2884558,6530.59
2007-09-27,226,228,216.2,219.1,218.9,9602414,21274.39
2007-09-28,222.2,222.2,215.6,220.5,220.6,3510232,7701.18
2007-10-01,219.65,226.1,214,222.95,224.1,3471105,7718.92
2007-10-03,225,225.9,219.35,221,220.5,4682668,10480.49
