"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",15.65,16.4,15.5,NA,NA,NA,NA
"1998-03-23",16.3,16.5,16.05,16.35,16.35,29400,4.79
"1998-03-24",16.75,16.75,14.75,15.5,15.35,389100,60.51
"1998-03-25",16,16.6,15.6,15.95,16.1,157900,25.37
"1998-03-26",16.25,17,16.1,16.15,16.25,133600,22.06
"1998-03-27",15.9,16.25,15.85,16,16,79800,12.79
"1998-03-30",16.7,17.1,15.95,15.95,16,183700,30.64
"1998-03-31",16,16.5,16,16.25,16.15,103200,16.74
"1998-04-01",17,17,16.4,16.6,16.55,119600,19.93
"1998-04-02",16.8,16.8,16.1,16.2,16.3,62800,10.3
"1998-04-03",16.5,16.5,15.9,16,16,66100,10.62
"1998-04-06",16.1,17.25,16.1,16.75,16.6,189700,32.05
"1998-04-07",16.75,16.85,16.5,16.55,16.6,148200,24.75
"1998-04-09",18.25,18.3,18.25,18.3,18.3,797000,145.8
"1998-04-10",20,20.15,18.3,19.7,19.8,1173300,229.9
"1998-04-13",19.5,19.9,18.35,19.45,19.05,558800,107.99
"1998-04-15",20,21,19.8,20.5,20.2,1131900,234.61
"1998-04-16",21,21.7,18.75,19.15,19,571300,114.33
"1998-04-17",19.45,19.85,17.95,18.3,18.35,504300,92.78
"1998-04-20",18.55,18.8,17.55,18,18.05,309500,56.91
"1998-04-21",18.5,18.5,17.5,18.05,18.2,486700,87.68
"1998-04-22",19.2,20,18.5,18.85,18.65,458300,89.05
"1998-04-23",18.5,18.75,17.4,17.6,17.55,219400,39.35
"1998-04-24",17.35,17.6,16.3,17.45,17.2,132500,22.42
"1998-04-27",17.5,17.8,16.2,16.5,16.45,126400,21.42
"1998-04-28",16.15,16.6,15.8,15.95,15.9,233200,37.34
"1998-04-29",16.5,16.5,15.75,15.75,15.8,136000,21.91
"1998-04-30",16.1,16.1,15.3,15.55,15.65,106600,16.6
"1998-05-04",15.8,16.25,15.55,16.2,16.15,99600,15.96
"1998-05-05",15.8,16.3,15.75,16.25,16.1,133800,21.36
"1998-05-06",16.65,16.65,15.9,16,15.95,75700,12.18
"1998-05-08",15.8,16.1,15.3,15.3,15.5,80800,12.52
"1998-05-11",15.3,15.4,15,15.3,15.25,44200,6.69
"1998-05-12",15.05,15.15,13.75,14.9,14.75,118000,17.19
"1998-05-13",13.85,14.5,13.35,13.4,13.8,96600,13.54
"1998-05-14",13.3,14.3,13.3,13.75,14,110200,15.27
"1998-05-15",14.7,14.7,13.7,13.85,13.85,83700,11.68
"1998-05-18",13.75,14.25,13.6,14.15,14.15,47400,6.68
"1998-05-19",14.4,14.4,13.9,14.05,14.2,69100,9.79
"1998-05-20",14.7,15.5,14.3,15.35,15.45,117400,17.46
"1998-05-21",15.8,16,14.75,14.8,14.8,1e+05,15.25
"1998-05-22",15,15,14.5,15,14.65,39600,5.82
