"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2005-09-12,47.8,47.8,42.45,42.85,42.75,46546,20.51
2005-09-13,47,47,42.65,43,43.65,44086,19.36
2005-09-14,44,45.9,41.5,42.25,41.9,26449,11.42
2005-09-15,42.5,43.95,42.5,43.55,43.65,11305,4.88
2005-09-16,43.8,44,42.85,43.45,43.1,9113,3.96
2005-09-19,42.55,44.4,42,42.6,42.5,16850,7.27
2005-09-20,42.5,42.6,40.45,41,41,6624,2.75
2005-09-21,40,40.25,35.45,37,37,11518,4.29
2005-09-22,36,37.5,30,32.95,31.95,23745,7.76
2005-09-23,36.4,36.4,31,33.35,33,9719,3.18
2005-09-26,33.4,36.25,33.4,35.6,35.65,17755,6.3
2005-09-27,36,37.55,35.15,35.75,35.95,5774,2.1
2005-09-28,37.9,37.9,31.05,33.85,33.35,10845,3.81
2005-09-29,35.5,36.1,33.05,34,33.55,2870,0.98
2005-09-30,33.8,35,30.85,32.8,31.95,13639,4.4
2005-10-03,32,32.9,32,32.45,32.15,12415,4.02
2005-10-04,32.55,33,32.1,33,33,6275,2.04
2005-10-05,31.15,34.9,31.15,33,33.15,3165,1.04
2005-10-06,33.75,33.75,33.1,33.5,33.5,460,0.15
2005-10-07,34.95,34.95,32.25,32.75,32.75,1960,0.65
2005-10-10,34.4,34.5,33.15,34,33.85,6975,2.36
2005-10-11,34.8,35,33.1,34.25,34.25,1844,0.64
2005-10-13,34,34.15,33.5,34.15,33.8,7537,2.55
2005-10-14,33.05,33.6,33,33.55,33.55,18590,6.24
2005-10-17,32.05,32.95,30.7,31,31,4207,1.32
2005-10-18,31,31.5,31,31,31.05,1030,0.32
2005-10-19,31,31,27.2,27.7,27.7,3428,1.02
2005-10-20,26,28.35,22.35,25.25,23.75,5977,1.54
2005-10-21,24,26.8,24,26.55,26.55,3426,0.87
2005-10-24,23.75,27.5,23.75,27.5,27.5,2270,0.61
2005-10-25,28.8,28.8,27.5,27.5,27.5,1780,0.5
2005-10-26,23.5,27.9,23.45,25.9,25.9,1460,0.39
2005-10-27,27.35,27.5,25.9,27.5,27.5,3,0
2005-10-28,25.05,26.95,24.25,24.25,25.5,3080,0.82
2005-10-31,29.7,29.75,24.05,26.95,26.45,1354,0.36
2005-11-01,26.95,26.95,25.6,25.6,25.6,106,0.03
2005-11-02,24.25,28.6,24.25,28.5,28.2,3612,1.01
2005-11-07,28.5,31.75,28.2,30.5,30.45,10402,3.12
2005-11-08,31,33,30.15,30.9,31.65,23866,7.51
2005-11-09,30.1,31,29,29.9,29.2,17025,5.08
2005-11-10,30.45,30.5,28.5,29.05,29.05,7250,2.16
2005-11-11,30.05,30.05,29.3,29.3,29.3,1500,0.45
2005-11-14,31,31,29.5,30,30,456,0.14
2005-11-16,31.25,31.25,30.05,30.05,30.05,5112,1.54
2005-11-17,30.1,33.1,29.5,33.1,33.1,26979,8.81
2005-11-18,33.9,35.5,33.45,33.55,33.7,26002,8.95
2005-11-21,32.3,34.2,32.3,34,34,8826,2.99
2005-11-22,32,32.85,31,31,31,3331,1.06
2005-11-23,29.3,32.9,29.3,31,30.3,2378,0.74
2005-11-24,30.2,31.45,30.2,30.75,30.55,992,0.3
2005-11-25,32.7,32.7,30,31.15,30.7,4526,1.38
2005-11-26,30.9,31.2,30.05,30.25,30.25,266,0.08
2005-11-28,31,32.45,30.8,31.1,31.1,7427,2.35
2005-11-29,31.1,31.1,29.65,30,29.95,1552,0.47
2005-11-30,30,30.8,29,29,29,7024,2.08
2005-12-01,28.65,30.7,28.65,30.45,30.4,3539,1.05
2005-12-02,31.5,31.5,27.85,28.55,29.3,6104,1.8
2005-12-05,29,30.2,28.6,30,30,4645,1.37
2005-12-06,30.2,30.2,29.5,29.5,29.5,2607,0.77
2005-12-07,28.1,30,28.1,29.7,29.7,1265,0.38
2005-12-08,30,31.75,30,31.75,31.4,6650,2.05
2005-12-09,31.8,32.7,30.6,32.7,32.2,18770,5.98
2005-12-12,31.5,33,31.05,31.6,31.45,7750,2.49
2005-12-13,31.2,32.45,31.2,32,32.05,5217,1.66
2005-12-14,32.85,32.85,30.55,32,31.9,2300,0.72
2005-12-15,31,32.15,29.8,30.4,30.1,9503,2.93
2005-12-16,29.45,31.5,29.45,29.85,30.05,2801,0.84
