"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",87.5,87.95,86.7,NA,NA,NA,NA
"1998-03-23",86.5,87.65,86.5,87.5,87.5,900,0.78
"1998-03-24",89,89,86,86.05,86.2,22600,19.72
"1998-03-25",88.6,94,88.5,92,91.9,66300,60.57
"1998-03-26",93,94,90.75,90.75,90.95,67100,62.3
"1998-03-27",89.3,91,89.25,90,90.35,20500,18.52
"1998-03-30",90.1,90.9,87.6,90,88.75,36300,32.38
"1998-03-31",89,89,83,83.25,83.65,57500,49.2
"1998-04-01",86.5,87.5,85.75,85.95,86.05,48500,42.05
"1998-04-02",87.5,93.5,86.95,91.7,92.2,114200,104.74
"1998-04-03",92,93.7,89.55,91,91.25,43600,39.75
"1998-04-06",93.5,99.9,93.5,97.7,97.4,149800,144.86
"1998-04-07",96,99,96,97,96.95,81200,79.27
"1998-04-09",98,99,94.05,95.5,95.5,107900,104.15
"1998-04-10",95,96.65,94.55,95,94.9,41100,39.26
"1998-04-13",90.75,93,88.1,90,89,134000,121.48
"1998-04-15",97,97.9,96.05,97.5,97.6,610600,597.18
"1998-04-16",97.9,107.4,97.9,104.25,104.85,1101900,1149.75
"1998-04-17",105,111,103.4,110.9,110.25,1359700,1469.4
"1998-04-20",109.95,111.2,109.25,111.2,111.2,123600,137.32
"1998-04-21",111.25,111.25,111.25,111.25,111.25,8500,9.46
"1998-04-22",120,122,110,110.5,110.75,945700,1088.05
"1998-04-23",109.6,112.9,107,108,107.6,651500,717.39
"1998-04-24",106.1,108.4,100,106,105.7,812900,848.42
"1998-04-27",107.8,108,103.85,105,104.55,267700,282.17
"1998-04-28",105,108.75,103.35,108.3,108.2,648200,691.89
"1998-04-29",109,109,102.65,103.3,103.85,541200,568.41
"1998-04-30",103.25,103.85,100.5,103.2,102.7,463000,473.23
"1998-05-04",104,104.9,102.8,104.15,104.05,192100,199.19
"1998-05-05",104,105.9,103.3,104.65,105,341200,357.88
"1998-05-06",105.55,105.55,100.5,102.25,102.1,438900,450.25
"1998-05-08",101,102.8,98,100,99.85,570600,570.93
"1998-05-11",101.9,102.7,100,101.2,101.2,247100,249.75
"1998-05-12",100.4,100.7,94.7,97.5,96.9,579800,571.33
"1998-05-13",93.5,94.9,87.25,87.25,87.25,673700,599.73
"1998-05-14",81,85,78.55,83.9,83.2,1029800,835.03
"1998-05-15",83.9,84.55,80.55,81,81,483000,397.68
"1998-05-18",83,84,81.1,82.5,82.3,591200,486.72
"1998-05-19",82.5,83.8,80,81.5,80.95,1677600,1369.99
"1998-05-20",83.9,84.9,82.45,84.1,83.95,652800,545.74
"1998-05-21",84,84.45,82.25,82.85,82.85,239400,199.1
"1998-05-22",83.2,83.45,81.8,82,82.15,196900,162.07
"1998-05-25",80.8,82.5,80.7,81.25,81.6,147300,120.53
"1998-05-26",81.1,81.2,78.75,79.45,79.25,365400,291.2
"1998-05-27",79.75,80.45,79,79.95,79.6,139700,111.24
"1998-05-28",80,80.25,78.5,79,78.85,66200,52.66
"1998-05-29",76.2,77.95,74.05,75.9,76.05,269600,205.58
"1998-06-01",78.85,80.75,75.8,76.1,76.15,225200,176.06
"1998-06-02",73.25,76.5,70.3,73.05,72.8,230100,171.56
"1998-06-03",74.45,74.45,72,73.5,73.1,217700,158.92
