"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2007-03-09,85,92,84.4,85.25,85.7,174944156,153458.23
2007-03-12,87.2,89.95,85.9,87.4,87.65,23357914,20636.45
2007-03-13,88,91.2,86.15,90,90,27963532,24963.92
2007-03-14,87,90.8,86.55,87.45,87.75,18547936,16498.4
2007-03-15,88.25,94.2,88.25,91.2,91.55,33862360,31313.64
2007-03-16,91.8,94,91.3,92.7,92.9,12971918,12011.55
2007-03-19,93,94.15,92.5,93.1,93.6,8000856,7476.24
2007-03-20,94.25,95.5,93.4,93.7,93.85,5550395,5248.33
2007-03-21,94.25,94.35,92.65,92.9,92.95,6135100,5726.56
2007-03-22,93.9,97,93.6,96.4,96.45,10355804,9901.35
2007-03-23,103,103,94.35,94.75,94.75,6891606,6590.56
2007-03-26,95.6,95.6,92.3,93.1,93,5096599,4768.2
2007-03-28,93,93,90,90.35,90.4,6808251,6217.15
2007-03-29,90.6,99.8,89.6,96,96.15,21750075,20568.19
2007-03-30,96,96.55,94,94.1,94.6,5989608,5707.87
2007-04-02,92.9,93.6,91,91.2,91.05,2881684,2656.43
2007-04-03,91.25,93.3,91.25,91.7,91.85,2671894,2457.12
2007-04-04,92.9,95.35,92.1,93.45,93.5,5790041,5446.94
2007-04-05,93.95,95.1,93.1,94.75,94.85,3870782,3664.8
2007-04-09,95.25,96.25,95,95.5,95.5,3690154,3534.61
2007-04-10,95.7,96.35,94.1,94.8,95,2351281,2239.36
2007-04-11,95.1,97.9,95.05,96.45,96.4,3770988,3656.6
2007-04-12,96.05,99.15,95.2,98,98.2,9011363,8819.78
2007-04-13,98.5,103,98.5,102.55,102.65,10999110,11176.16
2007-04-16,104,107.35,103.5,104.85,104.7,10251795,10821.89
2007-04-17,105.15,106,103,103.8,103.55,5825681,6074.3
2007-04-18,104,105.6,103.5,104.2,104.05,4120817,4312.13
2007-04-19,103,105.35,100.2,104,103.95,8170392,8509.92
2007-04-20,104.5,114.9,104.5,114.1,114.3,25542802,28359.29
2007-04-23,115.55,119.8,114.35,114.4,114.95,12103419,14169.76
2007-04-24,113.6,117,113.6,114.7,114.6,5713496,6599.58
2007-04-25,108,119.7,108,117.8,117.6,8912506,10465.5
2007-04-26,119,120.25,115.8,116.2,116.25,7568999,8909.71
2007-04-27,116,116.85,111.75,112.9,112.5,5876992,6690.42
2007-04-30,112.7,115.7,111.5,114.5,114.2,4630751,5273.78
2007-05-03,115,116.85,115,115.9,115.95,3875705,4493.55
2007-05-04,116,117.25,113.1,113.6,113.6,4807838,5499.55
2007-05-07,114.8,114.95,112.6,113,112.9,2023784,2299.57
2007-05-08,113.25,115.9,112.5,113.3,113.3,4503023,5147.03
2007-05-09,113.5,114.8,112.8,114,113.55,6186221,7033.82
2007-05-10,114.45,116.8,114,114.4,114.65,5083265,5860.41
2007-05-11,113.85,114.35,112.1,113.8,113.5,3553336,4040.56
2007-05-14,114.2,115.15,113.7,114.2,114.2,4407273,5033.06
2007-05-15,114.6,116.9,113.6,115,115.4,9143260,10569.68
2007-05-16,116,116.6,113.85,114.95,114.45,4371374,5025.59
2007-05-17,115.8,119.1,115.05,116,116.05,7888225,9255.89
2007-05-18,115.5,117.1,115.5,115.6,115.8,3435463,3989.77
2007-05-21,116.8,117.85,115.25,115.3,115.55,3783889,4399.59
2007-05-22,116.25,117.4,115,115.45,115.75,5214154,6051.86
2007-05-23,116,121.25,115.2,119.1,118.8,17954745,21427.03
2007-05-24,119.6,123.65,119,120.7,121,15070289,18383.81
2007-05-25,120,126.4,118.1,125.9,125.85,13330651,16569.32
2007-05-28,126.5,129.45,125.7,126.2,126.15,12441467,15917.94
2007-05-29,127,127.4,124.05,126,125.75,4598993,5774.38
2007-05-30,126,128,122.25,123.15,122.85,6534853,8184.86
2007-05-31,126,127.8,124.2,126.35,125.85,7110233,8947.78
2007-06-01,127.7,128.1,124.65,124.9,125,9911677,12483.87
2007-06-04,126.25,126.6,120.9,122,121.6,8110991,9922.56
2007-06-05,122,123.8,121.2,123.2,123.3,4231302,5195.38
2007-06-06,123.5,124.75,121.2,122,121.95,5453787,6721.39
2007-06-07,121,122.9,120.1,121.25,121.05,4467849,5433.97
2007-06-08,120.9,120.9,118,118,118.35,3768128,4489.16
2007-06-11,119.5,120.35,115.1,116.05,115.55,3395179,4000.44
2007-06-12,116.25,116.5,110.5,113.75,113.15,6734916,7607.85
2007-06-13,114.25,114.25,111.1,111.75,111.85,5143729,5767.25
2007-06-14,113.6,116.5,111.85,116.15,114.6,9037661,10242.67
2007-06-15,116.85,118.75,115.2,116.05,115.6,7800203,9129.86
2007-06-18,116.5,117.25,115.05,115.8,115.5,3914212,4542.61
2007-06-19,116,117.9,113.25,117.35,116.6,2764819,3187.15
2007-06-20,118.6,118.6,114.75,115.25,115.1,3956266,4586.75
2007-06-21,116,116.7,115.2,115.6,115.75,4204057,4866.98
2007-06-22,115.75,119.35,115.65,117.05,117.05,7908930,9311.34
2007-06-25,117,118.4,116.35,117.4,117.45,2474000,2905.03
2007-06-26,118.4,121.5,110,121.4,120.2,4966702,5921.25
2007-06-27,120.2,123.35,119.05,119.95,120.2,8497677,10335.93
2007-06-28,121.75,121.8,118.35,119.2,118.95,6231732,7458.42
2007-06-29,118,127.1,118,127,124.5,11143368,13610.03
2007-07-02,125.5,126.9,124.25,124.7,124.75,3887930,4880.38
2007-07-03,125.25,126.9,122.9,123.9,123.5,5346754,6679.76
2007-07-04,124,125.2,121.65,122,122.05,3386263,4156.05
2007-07-05,123.4,123.4,118.5,120.2,120,3268231,3907.88
2007-07-06,120.9,121.2,119.05,119.4,119.5,2761915,3323.28
2007-07-09,120.6,121.7,119.2,120.8,120.95,2058650,2475.11
2007-07-10,121.65,121.65,118.6,119.5,119.5,1834316,2205.38
2007-07-11,118.9,120.6,118.05,119.6,119.4,2261190,2704.19
2007-07-12,120,122.7,119.9,121,121,3968596,4814.24
2007-07-13,122.4,123,121.05,121.05,121.3,2996531,3653.15
2007-07-16,122,126,121.7,124.75,124.7,8067329,10049.28
2007-07-17,126.2,128.75,125.1,127.7,127.75,17642861,22298.55
2007-07-18,127.5,130.95,126.75,130.8,129.9,13997959,18103.3
2007-07-19,131,132.3,130.35,131.75,131.8,5559879,7304.32
2007-07-20,132.7,133.5,127.5,128.1,128.25,4481531,5847.88
2007-07-23,129.65,133,127,132.65,132.65,5750577,7515.28
2007-07-24,133.15,135.4,131.05,134.15,134.1,13036900,17438.38
2007-07-25,134.5,134.5,130,131.9,131.85,5105083,6746.7
2007-07-26,132.9,133,130.25,130.65,131.05,5058340,6657.29
2007-07-27,128,128.8,121.55,125.45,125.25,4050713,5122.34
2007-07-30,124,127.95,123.15,125.75,125.85,2989270,3756.4
2007-07-31,127.4,130.5,124.85,129.6,129.6,4784495,6118.1
2007-08-01,127.95,127.95,123.25,123.3,124,5754468,7221.18
2007-08-02,124.25,125.9,123,123.8,123.85,2360740,2945.7
2007-08-03,124.5,126.4,124.5,125.65,125.55,2302337,2891.1
2007-08-06,125.6,125.6,121,123.55,123.25,2470349,3026.41
2007-08-07,124,125,122.95,123.25,123.3,3616079,4493.46
2007-08-08,124.9,126.9,124.5,125.4,125.65,2853061,3588.1
2007-08-09,126.8,129.1,124,124,124.3,3820118,4850.82
2007-08-10,123,123,116.65,121.2,120.85,4639213,5572.05
2007-08-13,123.5,124.95,120.65,121,121.35,1918375,2333.79
2007-08-14,121.5,122,120.15,120.25,120.4,4073823,4927.07
2007-08-16,112.35,118,112.35,114.7,114.8,4863140,5649.24
2007-08-17,115.9,115.9,107.6,110.95,110.95,7729798,8604.44
2007-08-20,117.8,117.8,113.1,113.5,113.5,3139700,3576.31
2007-08-21,114.2,114.95,108.05,108.5,108.7,3223832,3568.14
2007-08-22,109.1,109.95,104.75,108.8,108.9,5582736,6022.4
2007-08-23,111,114,107.25,113.1,111.85,7393716,8210.82
2007-08-24,110.6,114.2,110.6,113.4,113.65,2357888,2659.26
2007-08-27,114.35,117.5,114.3,116.9,117.15,3475088,4042.82
2007-08-28,108,117.85,108,116.7,116.75,1337641,1563.12
2007-08-29,112.7,123.8,112.7,123.5,119.9,5141934,6097.24
2007-08-30,121.4,121.4,118,120.1,119.2,4081596,4883.87
2007-08-31,118.25,124,118.05,122.9,122.75,9661468,11642.84
2007-09-03,123.25,124.2,121.15,121.2,121.6,3308716,4043.79
2007-09-04,123.4,124.45,122,122.25,122.35,2058511,2532.23
2007-09-05,123,124.8,121.55,124.25,123.75,5114323,6297.62
2007-09-06,123.5,123.65,122,122.3,122.4,6484942,7947.29
2007-09-07,121.75,124.7,121,121.5,121.55,3817346,4697.08
2007-09-10,121,122.7,119.1,121.95,122.2,3201336,3896.67
2007-09-11,124.5,125.9,122.7,123,123.2,3675149,4565.66
2007-09-12,123.55,124.85,121.6,121.8,121.95,2822360,3463.11
2007-09-13,122.9,123.85,121.9,122.8,122.55,3145258,3860.62
2007-09-14,124,124.95,122,122.2,122.4,3499293,4327.91
2007-09-17,122.4,123,119.1,120.05,119.65,3173012,3826.15
2007-09-18,120,120.4,118.4,119.4,119.5,4271461,5098.27
2007-09-19,121.1,123.2,121.05,122.3,122.05,2654468,3235.49
2007-09-20,122.1,124.25,121.5,122.9,123,2938477,3622.95
2007-09-21,122.1,127.5,122.1,126.25,126.7,6206890,7794.99
2007-09-24,127.4,129.4,125.9,127.8,128.1,5233434,6710.96
2007-09-25,128.1,129.85,124.1,125.05,125.3,2569373,3243.66
2007-09-26,126,131.85,125.3,128.7,128.4,8526401,11030.59
2007-09-27,130.5,131.9,124.2,126.2,125.75,9653365,12304.91
2007-09-28,127,128.35,124.8,125.5,125.3,7055092,8904.59
2007-10-01,126.2,129.4,125.6,127.5,127.6,4732037,6054.49
2007-10-03,127.5,130,121.15,128.95,128.35,8335251,10638.6
2007-10-04,128,133.4,126.1,132,132.6,12002211,15768.33
2007-10-05,133.4,137.7,130.75,134.9,133.85,13567852,18222.07
2007-10-08,135,136.3,126.5,132,131.85,8845280,11542.76
2007-10-09,132,135.9,126.1,135.35,135.55,6289139,8369.91
2007-10-10,137.2,144.5,136.5,142.1,142.1,11474179,16119.08
2007-10-11,143.3,145,140.35,143,143.8,7507621,10718.92
2007-10-12,143.8,147.9,139.3,143,143.1,7178041,10303.91
2007-10-15,143.5,150.4,143,149.9,149.05,4362273,6429.94
2007-10-16,149.5,160.8,146.5,155.8,157.2,9663078,14919.21
2007-10-17,140,157.4,128.45,156.2,155.95,7350620,11115.8
2007-10-18,158,160.9,140.1,150,145.95,6340555,9776.41
2007-10-19,154.5,154.5,138,142,140.25,12387903,17470.69
2007-10-22,141.5,145,134.25,138.2,138.2,3088766,4281.71
2007-10-23,142.9,146,140.1,145.05,144.8,2057830,2962.31
2007-10-24,148,149.95,145.1,147.75,147.75,2495363,3683.76
2007-10-25,148,155,146.3,151,152.35,4276634,6412.96
2007-10-26,150,153.85,126,139,138.45,18999349,26758.66
2007-10-29,144.5,144.5,132.55,135,133.75,11863469,16166.44
2007-10-30,140,140,130,130.8,131.25,8673648,11572.17
2007-10-31,131.95,138.2,131.8,135.5,135.15,11164660,15186.01
2007-11-01,138.8,138.8,131.8,132.2,132.6,6256102,8402.88
2007-11-02,118.55,131.7,118.55,131.15,131.2,3284212,4249.79
2007-11-05,132,133.9,129.95,132.05,131.95,3334762,4413.64
2007-11-06,133.9,134.4,129,130,130.05,1797460,2366.16
2007-11-07,132,132.7,127.55,128.55,128.35,2735467,3518.15
2007-11-08,126.95,128.05,124.05,126.8,126.65,951335,1205.55
2007-11-09,127.65,128.65,123.5,123.9,124.4,605870,759.24
2007-11-12,123.85,123.85,118.8,119.7,119.7,3529088,4234.39
2007-11-13,120,123.95,120,121.4,121.4,3889003,4751.53
2007-11-14,123.05,127.95,123,126.5,126.15,4713521,5940.83
2007-11-15,127,130.05,126,127.3,126.85,3456332,4428.25
2007-11-16,126.45,128.9,125.1,127.2,127,1198510,1531.97
2007-11-19,127,130,125.2,125.5,126.6,3096196,3955.39
2007-11-20,126,128.8,125,126.5,125.95,3236168,4112.82
2007-11-21,126.5,127.85,119,120.35,120.2,1874075,2313.78
2007-11-22,120.2,122,115.1,117,116.65,2388840,2808.82
2007-11-23,118.6,120.9,117.1,120.5,120.05,1337027,1591.72
2007-11-26,121.9,124.4,121.6,123.4,123.5,1290050,1588.54
2007-11-27,122,124.6,121.1,124,124.25,1507039,1863.41
2007-11-28,119.6,126.7,119.6,122.4,121.9,992637,1225.09
2007-11-29,124.8,124.8,116.05,118.5,117.9,2658534,3164.47
2007-11-30,120,124.85,119,123,122.65,1946663,2383.6
2007-12-03,124,126,123.5,125.5,125.45,2202868,2756.3
2007-12-04,126.8,129.25,125,125.45,125.65,4038764,5129.95
2007-12-05,125.8,150.1,125.25,125.8,125.8,3971747,5013.2
2007-12-06,126.3,137.9,126.3,136.7,136.3,12180792,16378.76
2007-12-07,136.7,139.4,131,133.2,133.4,6559702,8890.77
2007-12-10,135.5,139.25,128.65,136.2,136.45,7059975,9675.58
2007-12-11,138,138.5,132.55,134.1,133.1,10596160,14210.63
2007-12-12,125.05,139.55,125.05,139.5,138.85,10576666,14547.07
2007-12-13,139.5,142.9,138.15,142,141.25,10805443,15228.13
2007-12-14,140,141.95,137.25,140.9,141.05,5016035,7028.09
