"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2005-08-12,60,72.4,50.25,69,69.5,249606999,166749.88
2005-08-16,69.45,71.7,63.7,64.8,64.7,76170605,50270.11
2005-08-17,70,70,62,67.4,67.45,28196524,18809.88
2005-08-18,69.65,70.7,67.65,68.5,68.3,44899852,31048.78
2005-08-19,69.05,69.3,67.1,67.3,67.3,10928517,7450.15
2005-08-22,67.1,68.8,66.1,66.55,66.65,9479054,6391.6
2005-08-23,66.65,67,64.15,65.6,65.45,14056274,9179.6
2005-08-24,66,66,63.75,64.1,64.2,12296429,7911.49
2005-08-25,64.5,66.35,63.85,65.35,65.3,15411828,10058.47
2005-08-26,65.5,66.65,65.15,65.3,65.55,8441714,5549.9
2005-08-29,65.2,65.8,63.7,64.05,64.2,6099475,3917.15
2005-08-30,65,66.25,64.5,66.25,65.85,9150007,5984.27
2005-08-31,66.25,67.2,65.9,66.05,66.15,4912503,3264.09
2005-09-01,66.9,67.7,66.25,66.8,66.7,4950286,3318.22
2005-09-02,67.4,67.85,65.6,65.75,65.75,3069726,2030.44
2005-09-05,65.75,70.65,65.75,69.3,69.4,20841557,14397.06
2005-09-06,70.25,70.9,68.5,68.8,68.8,10832055,7549.24
2005-09-08,69.85,74.55,69.2,73.5,73.55,34908760,25309.15
2005-09-09,74,75.45,72.5,74,73.9,19281259,14291.58
2005-09-12,74,75.3,73.2,74.15,74.15,10079886,7494.13
2005-09-13,74.6,75.9,73.7,75.1,75.1,9423730,7058.77
2005-09-14,75.7,76.65,74.45,75.4,75.25,9141522,6915.27
2005-09-15,75.65,75.95,74.5,74.75,74.7,6797466,5105.95
2005-09-16,76,76,74.5,75.25,75.2,8563672,6433.91
2005-09-19,75.45,75.9,74.5,74.55,74.75,3217133,2415.99
2005-09-20,74.9,75,72.6,72.75,72.95,5612611,4122.36
2005-09-21,73.45,73.45,68,69.9,70.05,12917306,9074.29
2005-09-22,70.2,71.8,66.75,67.1,67.25,9379587,6472.43
2005-09-23,69.55,70,67.4,68.65,68.5,5529798,3795.78
2005-09-26,69.9,71.5,67.5,71.35,71.25,4508450,3180.69
2005-09-27,70.9,72.7,70.6,71.6,71.6,5228763,3750.74
2005-09-28,72,72,70.9,72,71.6,2448099,1747.31
2005-09-29,72,72.5,70.5,71.5,71.35,3921421,2807.38
2005-09-30,72,72.3,69.5,70.8,70.95,2350651,1661.63
2005-10-03,71.45,73.2,71,71.7,71.9,5140532,3703.21
