"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2015-11-06,73.4,67,70.4,70.4,70.02,22781516,15952.66
2015-11-09,68,66.9,66.9,66.95,67.08,10010231,6715.26
2015-11-10,66.5,64.1,64.8,64.55,65.34,10736961,7015.99
2015-11-11,66.5,65,66.4,66.3,66.14,832405,550.56
2015-11-13,65.85,63,63.7,63.5,64.01,6771668,4334.83
2015-11-16,65.5,62,65,65,64.66,5640610,3647.22
2015-11-17,65.9,64.1,64.65,64.7,64.81,4900495,3176.11
2015-11-18,6650,6000,6580,6560.7,6438.07,169,10.88
2015-11-19,6700,6500,6630,6626.26,6653.15,227,15.1
2015-11-20,6799.99,6501,6799.99,6730.47,6673.29,194,12.95
2015-11-23,66.4,66.9,63.5,63.75,63.8,5389969,3523.84
2015-11-24,63.5,64.4,62.5,63,62.95,3965947,2521.09
2015-11-26,62.9,63.4,61.5,61.5,61.65,3270314,2034.59
2015-11-27,62.25,62.5,60.6,60.9,61,11891846,7309.29
2015-11-30,61,61.3,58.8,59.3,59.1,14279742,8491.96
2015-12-01,59.5,61,59.25,60.2,60,8080475,4850.4
2015-12-02,60.2,61.75,59.9,60.4,60.3,3469139,2102.48
2015-12-03,60.25,61,60,60.95,60.55,1759788,1063.68
2015-12-04,60.4,60.95,60.1,60.5,60.5,2315577,1400.91
2015-12-07,60.15,60.9,59.2,59.4,59.45,2506784,1499.96
2015-12-08,59.5,59.7,57.5,57.8,57.7,5021161,2939.54
2015-12-09,57.5,57.75,54.9,56.75,56.85,3845559,2158.95
2015-12-10,56.85,57.45,54.9,57.2,56.85,4065888,2285.73
2015-12-11,57.5,57.9,55.1,55.3,55.3,2150514,1210.77
2015-12-14,55.1,56,54.05,55.65,55.75,2469970,1361.14
2015-12-15,56.4,56.4,55.05,55.5,55.5,1200925,666.26
2015-12-16,56.3,56.7,55.5,56,56.05,2565897,1439.14
2015-12-17,56.75,59.8,56.35,57.8,58.05,4120544,2416.98
2015-12-18,57.9,58.8,56.8,58.4,58.4,1948073,1130.8
2015-12-21,58.1,58.5,57.05,57.55,57.45,2030444,1167.89
2015-12-22,58.35,59.5,57.3,59.4,59.3,3471327,2023.65
2015-12-23,59.95,61.45,59,59.45,59.3,3113367,1878.45
2015-12-24,59.9,61.2,59,61.05,60.9,1203837,724.7
2015-12-28,61,61.35,59.75,59.85,59.95,1371121,830.37
2015-12-29,59.5,62.25,59.5,62,61.85,3266454,2003.53
2015-12-30,62,62.4,61.25,61.25,61.5,1081847,668.37
2015-12-31,62.4,62.4,60.25,60.65,60.85,1207626,738.04
2016-01-01,61.4,61.4,60.4,60.75,60.7,559738,340.62
2016-01-04,61.2,61.2,58.75,58.95,58.95,1386464,826.81
2016-01-05,58.9,59.9,58.6,59,59,719306,426.08
