"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2003-12-26,92,199.7,92,119.5,119.4,19844945,23313.63
2003-12-29,124.35,143.3,120.1,143.25,143,15202564,20527.1
2003-12-30,145.25,165,145.25,151.35,150.9,20250790,31660.14
2003-12-31,152.7,159.3,145.1,148.05,148.05,13018852,19621.29
2004-01-01,152,153.9,147.2,150.35,150.65,7461782,11186.42
2004-01-02,151.9,152.4,147.05,147.7,148.15,5213083,7769.1
2004-01-05,148.8,149.65,137.1,137.1,137.75,7137219,10133.17
2004-01-06,138.7,138.7,122.15,123.5,123.9,8901377,11612.87
2004-01-07,125,132.2,120,128.9,129.05,11126409,14246.97
2004-01-08,131.7,134.35,130.5,133.25,132.7,4199049,5568.95
2004-01-09,135,137.7,128.1,128.4,128.8,4151502,5484.18
2004-01-12,129.6,129.7,125.05,126.1,126.05,3100098,3922.87
2004-01-13,126.25,128.4,123,123.25,123.65,2640549,3309.4
2004-01-14,124.1,126.35,123.1,123.1,123.6,1494830,1863.77
2004-01-15,124.8,127.8,122.5,122.7,123.45,2884915,3615
2004-01-16,123.9,124,114.2,115,114.8,2566511,3059.67
2004-01-19,115.9,116.35,108.1,112.75,112.75,3025347,3377.38
2004-01-20,113.8,119,110.5,111.4,111.45,2820082,3242.79
2004-01-21,112,112,98.15,99.25,99.95,3545920,3745.19
2004-01-22,100.1,103.8,96.7,98.3,98.5,3504049,3520.36
2004-01-23,100.1,107.35,98.5,107.25,105.3,2832728,2881.5
2004-01-27,108,110,105.2,109.3,109.4,1862064,2013
2004-01-28,110.25,110.65,103.4,105.25,104.5,1649050,1747.92
2004-01-29,105,105,102,102.4,102.7,1198830,1240.15
2004-01-30,103.3,103.7,99,99.5,99.7,1055851,1071.29
2004-02-03,100.7,100.7,90.75,91.75,91.7,1619599,1539.74
2004-02-04,92,92.8,88.6,89.35,89.55,3351635,3018.14
2004-02-05,90,95.55,89.55,91.25,90.7,3912520,3628.83
2004-02-06,91.25,92.2,90.2,91.85,91.6,1639174,1498.46
2004-02-09,92.4,93,91.5,92.5,92.5,1215269,1121.64
2004-02-10,93.1,96.3,92.75,94.65,94.45,2711265,2568.72
2004-02-11,95.3,95.5,93.1,93.95,94,1007016,949.42
2004-02-12,94.9,101.75,93.7,99.8,99.8,5896304,5840.19
2004-02-13,101,104.25,99.3,102.65,102.85,4495119,4612.52
2004-02-16,103.35,105.5,101.65,102.4,102.7,2770236,2875.36
2004-02-17,103.5,103.5,100.6,100.75,101.1,1297252,1323.46
2004-02-18,102,103.3,99.7,100.25,100.25,1520942,1546.37
2004-02-19,100.65,101.65,96.55,96.75,96.85,1692186,1679.56
2004-02-20,96,96.55,94,95.7,95.25,1610142,1533.26
2004-02-23,96,96.4,91.9,92,92.25,886337,832.52
2004-02-24,92,92.5,90.55,92.45,91.85,1130600,1033.77
2004-02-25,92.4,93.5,90,90.1,90.55,812035,746.07
2004-02-26,92,92.4,89.75,89.9,90.2,737425,671.33
2004-02-27,90.5,91.45,88.75,90.05,90.05,769623,691.91
2004-03-01,91.8,91.8,90,90.75,90.75,576925,523.3
2004-03-03,91.8,95.3,90.55,93.75,93.55,1914145,1790.24
2004-03-04,94,95.9,91.35,91.95,91.8,1543911,1447.89
2004-03-05,92.1,94.6,91.75,94.4,93.65,982384,912.38
2004-03-08,93.5,97.35,93.5,96.45,96.3,1816987,1747.22
2004-03-09,96.5,96.75,92.55,93,93.15,1023264,962.77
2004-03-10,93,94.45,92.5,93.8,93.75,907511,851.71
2004-03-11,93.75,93.75,90.25,90.6,90.7,584304,537.19
2004-03-12,90,91,88.8,90.25,90.3,918193,825.92
2004-03-15,90.5,92,85,85.15,86.9,723643,645.6
2004-03-16,85.4,85.4,81.05,81.85,81.75,1114613,928.53
2004-03-17,82.8,83,81.2,81.2,81.75,640958,527.2
2004-03-18,83.9,83.9,80.25,80.6,80.65,672636,548.95
2004-03-19,81.2,81.2,77.6,78.1,78.1,860508,680.05
2004-03-22,78.5,78.9,73.1,73.5,73.6,914939,688.61
2004-03-23,73.5,73.5,68.1,69.75,70.15,1804419,1268.36
2004-03-24,70.25,74.8,68.8,72.4,72.55,1851674,1337.52
2004-03-25,74,76.6,72.6,75.7,75.2,1402760,1049.64
2004-03-26,73.1,77.8,73.1,76.3,76.4,1060532,814.6
2004-03-29,77,80.6,76.5,79.4,79.4,1341304,1064.9
2004-03-30,81,83.4,79.6,82.5,81.8,1371025,1122.18
2004-03-31,82.85,85.15,81.3,83.4,82.9,1039906,869.13
2004-04-01,83.8,86,83,85.75,85,983152,832.79
2004-04-02,85.9,91.8,85.4,91.5,89.85,1759023,1544.4
2004-04-05,91.75,93.75,90.85,91.25,91.35,1530978,1413.43
2004-04-06,91.95,92.3,88,88.85,88.8,1275669,1142.88
2004-04-07,88.5,89.25,87.2,88.1,88.25,665971,587.86
2004-04-08,87,88.5,86.2,86.75,86.65,661579,575.96
2004-04-12,87,89,85.5,86,86,682672,596.23
2004-04-13,86.5,86.9,85.1,86.75,86.5,474791,408.93
2004-04-15,87.1,87.45,85,85.4,85.25,553708,476.8
2004-04-16,85.3,85.95,84.25,84.4,84.55,454688,387.31
2004-04-17,85.2,92.35,83.35,91.8,91.55,1985786,1784.57
2004-04-19,92,94.4,88.3,89.4,89.35,1856118,1698.41
2004-04-20,88.1,90.5,87,87.55,88.1,1430329,1266.88
2004-04-21,87.4,91.7,87.35,90.45,90.6,1275008,1148.96
2004-04-22,91.45,91.85,89.6,90.6,90.35,924318,839.67
2004-04-23,90.8,92.5,90.1,90.4,90.45,1013709,925.16
2004-04-27,87,90.45,83.55,83.9,84.35,750564,643.96
2004-04-28,84,85.6,81.75,83.5,83.5,1036900,868.75
2004-04-29,82,87,82,84.3,84.4,702172,598.9
2004-04-30,85,86.3,84,84,84.25,466606,396.63
2004-05-03,84,84,80,80.7,80.8,595349,483.13
2004-05-04,83.15,84.9,81.75,83.3,83.3,462739,386.4
2004-05-05,80.1,84.85,80.1,84.1,83.95,464133,388.93
2004-05-06,84,86.7,84,85.25,85.1,540319,462.22
2004-05-07,85.75,90.45,83.5,87.9,88.3,1515690,1321.6
2004-05-10,89.9,89.9,85,85.45,86,745685,645.75
2004-05-11,85.45,85.45,81.1,81.5,82.05,636776,525.4
2004-05-12,82,83.75,80,82,82.65,834874,682.67
2004-05-13,82,84.4,77.2,80.35,80.65,1066016,865.79
2004-05-14,81.95,82,64.55,71.65,71.5,1370542,1011.01
2004-05-17,70,73,57.2,59.7,59.7,1023793,623.49
2004-05-18,60,69,58,68.9,68,962349,634.6
2004-05-19,69.6,74,69.6,72.5,72.65,759962,548.12
2004-05-20,73.4,75.4,71.3,73.45,73.2,814388,600.66
2004-05-21,72.8,72.8,70.2,71.7,71.8,424757,303.4
2004-05-24,72.5,74.2,72.5,72.8,72.9,359596,263.62
2004-05-25,73,73.9,71.1,73.05,73.05,434844,317.12
2004-05-26,74,75.35,72.8,72.8,73.1,468049,346.75
2004-05-27,72.7,74.5,72,72.4,72.15,220312,159.72
2004-05-28,72,72,67.5,67.95,68.15,382455,266.8
2004-05-31,67,67.45,65,65.3,65.6,441712,291.36
2004-06-01,68,68,66,67,66.85,255882,171.99
2004-06-02,67.8,68.4,67,67.55,67.3,249726,168.75
2004-06-03,68.3,68.5,67,67,67.1,414067,280.12
2004-06-04,67.5,67.5,65.15,66.5,66.3,220893,145.91
2004-06-07,67.5,67.95,66.1,66.6,66.55,167458,112.28
2004-06-08,67.5,67.7,65.15,65.15,65.5,180442,118.48
2004-06-09,65.75,67.3,65.55,66.15,65.9,307711,203.86
2004-06-10,66.25,67.5,65.1,66.5,66.3,278698,185.64
2004-06-11,65.7,66.65,64.55,64.65,64.9,204197,134.13
