"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,58,58,56.2,NA,NA,NA,NA
1998-03-23,58.2,58.2,56.75,56.75,56.75,1650,0.95
1998-03-24,58,58,55,55.7,55.2,55600,31.21
1998-03-25,56.95,58.35,56.6,57.5,57.9,21300,12.24
1998-03-26,57.5,58.75,57,57.5,57.1,39650,22.86
1998-03-27,57.75,58,56.7,57.85,57.6,13800,7.92
1998-03-30,58,58.25,57,57.25,57.25,35300,20.36
1998-03-31,57.25,57.25,55.05,56.4,55.75,44400,24.92
1998-04-01,57,58,56.8,58,57.95,17850,10.29
1998-04-02,58.5,61.9,57.5,57.95,58.35,36450,21.67
1998-04-03,58.5,59.5,57.2,59,59,51600,30.17
1998-04-06,59,64.9,57.7,64.9,64.35,140700,86.19
1998-04-07,68,69.65,66,69.65,69.65,25800,17.82
1998-04-09,69.7,76.5,69,76.5,76.05,287500,212.85
1998-04-10,76.5,81,76,77.55,78,119350,92.9
1998-04-13,79.5,79.5,72,72.4,72.9,112000,83
1998-04-15,77,80.2,72.5,80.2,80.15,116800,93.12
1998-04-16,83,83.9,76,77,76.75,64350,50.8
1998-04-17,76.9,77.75,74.1,76.05,75.5,49500,37.28
1998-04-20,73.9,74,69,69.9,69.65,39750,28.62
1998-04-21,70.25,71.9,67.1,69.9,69.2,67700,46.84
1998-04-22,73.9,74.9,70.25,70.6,70.75,31600,23
1998-04-23,74.5,74.5,68.5,68.5,68.95,19550,13.74
1998-04-24,68.95,68.95,64.3,65.8,66.1,23350,15.45
1998-04-27,63.2,66,62.75,63.5,63.35,18900,12.13
1998-04-28,66,66,61,63.5,62.95,101350,64.36
1998-04-29,65,66.95,64,64,64.25,29100,18.81
1998-04-30,63.6,65.9,63.6,64.5,64.65,18700,12.08
1998-05-04,66.6,69.9,65.55,69.25,68.6,148900,99.97
1998-05-05,69.5,75.5,67.25,75.5,75.5,71150,51.74
1998-05-06,82,83.05,79.05,83.05,82.6,362750,298.24
1998-05-08,84.4,90,80.1,87,87.1,273200,237.17
1998-05-11,90.45,90.5,82.5,84.35,83.6,103000,87.2
1998-05-12,82.65,82.65,75.25,75.25,75.35,175850,134.85
1998-05-13,77.75,81.9,68,68,70.05,112750,85.19
1998-05-14,71,74.9,67.6,74.15,74.65,91900,66.54
1998-05-15,76.95,76.95,72.5,74.5,75,52800,39.56
1998-05-18,76,80,75,79.45,78.7,91200,71.64
1998-05-19,79.9,81.25,78.25,79.25,79.35,169500,135.11
1998-05-20,82,83.75,81.25,82.75,82.65,132100,109.31
1998-05-21,84,84,76.5,77.95,77.8,51150,40.91
1998-05-22,78.9,79.9,74,75.2,74.6,82900,62.73
1998-05-25,75.5,76.95,74.5,75.2,75.5,37200,28.2
1998-05-26,74.7,75.95,70.8,71,71.25,96900,70.59
1998-05-27,72,78,72,74.15,74.7,87750,66.07
1998-05-28,74.6,75.85,73.3,73.45,73.8,22150,16.53
1998-05-29,73,74.25,69,71.55,71.9,60400,43.43
1998-06-01,73.5,78,70.1,70.85,70.8,158650,119.74
1998-06-02,70.75,71,63.8,64,64.4,82800,55.58
1998-06-03,68.9,70.85,68.5,70.85,70.85,44950,31.67
1998-06-04,71.3,73.5,70,70.3,70.9,49050,35.3
1998-06-05,73.5,77,63.9,64,64.65,45350,30.57
1998-06-08,62.05,64.5,58.2,59.2,58.7,41500,24.79
1998-06-09,59,59.5,56.1,58.5,58.25,42000,24.49
1998-06-10,58.7,59.5,56.5,57,56.8,38300,22.14
1998-06-11,55,57.65,53,57.65,57.05,20050,11.14
1998-06-12,56.55,62,56.55,58.05,58.6,28700,17.1
1998-06-15,56.75,57.95,53.5,53.7,54.2,17750,9.89
1998-06-16,52.8,54,48.8,53,50.95,42450,21.57
1998-06-17,53,56.05,53,56.05,56.05,11450,6.32
1998-06-18,58.5,60,57,58.25,57.4,19350,11.24
1998-06-19,57,57,54,54.1,54.25,8750,4.77
1998-06-22,52.5,52.5,49,49.55,49.45,14850,7.36
1998-06-23,48,51.25,47.75,49.95,49.9,19400,9.68
1998-06-24,52,52.4,50.9,51.7,51.65,22200,11.48
1998-06-25,53.25,55.5,51.25,52.6,52.1,20800,10.94
1998-06-26,52,52.2,50.55,51,50.95,10400,5.33
1998-06-29,50.95,51.5,50.1,51.25,51.25,10650,5.43
1998-06-30,52,52,48.5,48.5,48.5,130100,63.34
1998-07-01,49.6,53.35,49.6,53,52.95,21300,11.06
1998-07-02,53,53,50.7,51,51,8250,4.24
1998-07-03,49.7,50.5,49.7,50.2,50.4,76300,38.16
1998-07-06,50,52,49.55,50.25,50.1,56300,28.31
1998-07-07,50.8,50.8,49.25,50.45,50,115000,57.45
1998-07-08,52.85,54,50.75,52,51.7,13700,7.1
1998-07-09,50.85,51.85,50.6,51.15,51.2,12550,6.41
1998-07-10,51.5,53,51.5,53,52.8,12800,6.71
1998-07-13,53.1,54,51.6,53,53,18750,9.96
1998-07-14,53,53.75,52.65,53.4,52.95,55800,29.49
1998-07-15,54,55.8,53.05,53.7,53.45,14350,7.79
1998-07-16,55.25,55.25,53.1,53.5,53.75,6700,3.59
1998-07-17,54,54.5,53.3,53.3,53.4,6900,3.71
1998-07-20,52.75,53,52.5,52.55,52.55,7500,3.94
1998-07-21,52.5,53,52.5,52.5,52.65,13850,7.29
1998-07-22,52.5,53,52.5,52.5,52.55,5550,2.92
1998-07-23,51.6,53,51.6,52.5,52.5,8950,4.7
1998-07-24,52.5,52.7,52.5,52.6,52.5,15250,8.01
1998-07-27,52.6,52.6,52.5,52.5,52.5,9350,4.91
1998-07-28,52.5,52.95,52.5,52.5,52.5,11500,6.04
1998-07-29,54,54,52.5,52.5,52.65,4750,2.51
1998-07-30,51,52.65,51,52.5,52.5,13200,6.93
1998-07-31,52.15,52.15,52,52,52,1400,0.73
1998-08-03,51,52,50.25,50.25,50.25,2550,1.29
1998-08-04,50,50.95,50,50,50.05,7050,3.53
1998-08-05,50.05,50.45,50.05,50.1,50.1,2050,1.03
1998-08-06,51,51,48.75,48.75,48.75,109450,54.09
1998-08-07,49,49.75,46,49.75,47,67150,32.39
1998-08-10,48,48.1,47,48,47.9,2600,1.24
1998-08-11,47,47.4,44.2,46,45.45,7650,3.49
1998-08-12,47,47.25,46,46.75,46.4,25400,11.9
1998-08-13,46,46.5,45.75,46,46,49950,22.98
1998-08-14,46,46.95,45.75,46.95,46.1,30450,14.02
1998-08-17,46.25,46.4,45.9,46,46,5250,2.42
1998-08-18,45.5,46.65,43,46,44.9,22550,10.13
1998-08-19,42.5,47,42.5,46.25,46.35,3500,1.62
1998-08-20,46.5,46.95,45.55,46,46.7,5600,2.58
1998-08-21,46.05,47.5,46.05,46.5,46.5,2700,1.26
1998-08-24,46,46.85,44.95,45,45.25,24700,11.22
1998-08-25,45.5,46,45.1,46,45.85,8500,3.89
1998-08-27,48.5,49.55,47.75,49.1,48.15,33000,16.13
1998-08-28,49.5,49.5,45,48.15,46,51050,24.02
1998-08-31,49.5,49.5,46,48,46.55,21200,9.89
1998-09-01,46,49.4,44.15,49.4,45.55,67550,30.61
1998-09-02,49.2,49.2,45,46,45.35,27800,12.7
1998-09-03,45,47,44.5,45.85,45.05,36800,16.66
1998-09-04,45,46.4,44,44.75,44.6,79200,35.29
1998-09-07,45.5,48.15,45,48.15,47.4,97150,44.7
1998-09-08,48.5,50.6,47.55,50.05,50.35,39650,19.36
1998-09-09,53,53,50.8,52.45,51.45,37800,19.67
1998-09-10,50.6,52,49.1,49.1,50.15,24650,12.48
1998-09-11,52,52,47.05,48.9,47.85,23700,11.49
1998-09-14,49.25,49.25,47,48,47.75,17900,8.6
1998-09-15,47,48.5,46.25,46.9,46.7,21700,10.15
1998-09-16,47.5,48.9,47.4,48.75,48.25,9250,4.44
1998-09-17,47.3,48.9,47.25,47.9,47.95,8250,3.95
1998-09-18,47.25,48,47.25,47.5,47.5,9150,4.36
1998-09-21,46.5,47.5,43.8,47.15,47.15,7600,3.54
1998-09-22,46.6,47.5,46.55,46.8,47.05,3750,1.76
1998-09-23,47.15,48,46,46.25,46.25,19650,9.07
1998-09-24,46,46.15,45.2,45.2,45.25,7150,3.25
1998-09-25,46,47,45.15,45.5,45.35,13050,6
1998-09-28,45.3,45.7,44.25,45,45,4650,2.09
1998-09-29,45,45,44,44,44.4,17550,7.86
1998-09-30,44.5,45,43.75,44.5,44.55,38700,17.21
1998-10-05,44,44,41.5,41.5,41.5,3800,1.63
1998-10-06,40.05,44,38.3,41,41.05,3700,1.54
1998-10-07,42.15,44,42.1,43,43,4100,1.77
1998-10-08,43.05,43.7,42,42.95,42.45,2800,1.2
1998-10-09,42,42.25,39.75,40,39.85,16900,6.87
1998-10-12,41.95,41.95,37,40,37.7,107600,40.87
1998-10-13,38.35,38.35,36.25,37,37,43800,16.33
1998-10-14,35.5,37,35.5,36,36,186600,67.58
1998-10-15,37.65,37.7,35.5,37.35,36.2,174300,62.96
1998-10-16,36.45,36.45,35,36,36,79400,28.51
