"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2007-03-01,93.9,100.25,75,98.7,98.35,54802922,51193.62
2007-03-02,105,105,95.05,96.5,97.95,8722279,8720.68
2007-03-05,95,95.3,90,93.1,92.6,2352089,2175.07
2007-03-06,94.75,97,92,93.85,93.7,1299154,1216.56
2007-03-07,94.85,94.85,85.5,86.55,86.7,768085,689.5
2007-03-08,87.2,89.6,87.2,89.4,89.3,453539,401.27
2007-03-09,89.9,92,88,91.8,91.2,573863,520.39
2007-03-12,92.5,92.5,87.45,88.15,87.85,656800,582.49
2007-03-13,88,89.5,86,87.2,87.65,429771,379.84
2007-03-14,86,88,82.4,86.9,86.75,410183,357.13
2007-03-15,87,89.8,87,88,88,937409,825.69
2007-03-16,87.1,88.5,85,85.2,85.35,489834,424.4
2007-03-19,86,86.5,84.05,84.25,84.45,263636,224.91
2007-03-20,85.5,87.95,85.3,86.85,86.85,325721,281.36
2007-03-21,86.05,88.7,85.05,87.4,87.05,410702,359.62
2007-03-22,88,92,88,91.9,91.8,1126538,1025.97
2007-03-23,91.9,92.5,89.5,91.5,91.35,293855,269.28
2007-03-26,90,92.5,89.05,91.9,92.1,302635,278.6
2007-03-28,91,91,88.2,89.1,89.2,175129,156.17
2007-03-29,88.5,94.15,85.5,86.3,87,1431559,1278.83
2007-03-30,87.7,90.8,86.7,90.5,90.2,509576,455.71
2007-04-02,88,88,85,87,87.1,215016,186.29
2007-04-03,87.2,90.25,87.2,90,90,264540,237.03
2007-04-04,89.9,92.25,89.9,91.5,91.75,301207,275.68
2007-04-05,91,91.25,89.5,90.75,90.8,98458,89.48
2007-04-09,90.25,91.4,88.5,89.7,89.55,140905,126.75
2007-04-10,90,96.1,89.5,93.2,93.6,1404080,1319.67
2007-04-11,95,95,93,94.05,94.05,614531,577.95
2007-04-12,93.5,93.5,89.75,90.3,90.4,246066,225.01
2007-04-13,91.85,94.6,91.25,93.55,93.5,727726,681.09
2007-04-16,94.9,95.7,92.25,92.25,92.5,458641,428.58
2007-04-17,93,94.8,91.3,93.25,93.65,631642,588.62
2007-04-18,94,98.75,93.95,96.85,96.95,2087533,2033.48
2007-04-19,95,97.9,94.5,96.75,96.85,758443,730.95
2007-04-20,97.8,98.95,95.6,97.4,96.8,933845,907.63
2007-04-23,99,99.85,93.7,94.2,95.5,1775391,1728.46
2007-04-24,96,109.95,95.2,106.45,104.9,6133853,6355.37
2007-04-25,108.75,124.8,106.8,120.75,120.3,10876699,12687.9
2007-04-26,121,130,121,121.45,122.55,3618512,4468.53
2007-04-27,122,122,112,114.6,114.7,2075388,2383.66
2007-04-30,113,118,105.65,115.3,115.5,1149868,1317.45
2007-05-03,116.5,120.35,115,116.05,116.15,955879,1125.84
2007-05-04,117.2,120.6,115,115.15,116,1251131,1476.87
2007-05-07,116.9,118.8,115.1,116.3,115.75,523983,611.9
2007-05-08,116.6,117.75,115.9,117,117.05,824891,963.77
2007-05-09,118,127.5,116.15,127.4,126.1,1843893,2263.4
2007-05-10,127.7,129.75,120.85,121.25,122.55,1936720,2442.45
2007-05-11,120,128,118.1,127.85,125.85,1450405,1808.64
2007-05-14,129.65,132.4,127,128.65,128.7,2261351,2937.16
2007-05-15,129,129.7,125.1,125.5,126.15,714790,903.48
2007-05-16,124.5,129.9,124.5,129.05,129.2,1017457,1305.95
2007-05-17,135,135,127.5,130.6,130.5,1408555,1834.27
2007-05-18,130.8,132.5,127.5,128.45,128.25,842089,1087.29
2007-05-21,129,130.5,126.8,128.8,128.95,492382,633.09
2007-05-22,129.2,132.5,127.15,130.35,130.3,887502,1151.38
2007-05-23,131.8,131.8,128,128.5,128.8,586081,757.2
2007-05-24,128.5,129.9,123,123.9,125.5,1226768,1572.15
2007-05-25,124.5,129.6,118.35,128.7,129.05,867541,1103.79
2007-05-28,129.25,129.25,125.5,126.5,125.95,317047,404.48
2007-05-29,126,130.9,126,128.9,128.4,1447732,1872.72
2007-05-30,134.9,134.9,127,127.75,127.85,1100665,1434.98
2007-05-31,128.5,130.25,127,128,127.65,323902,416.71
2007-06-01,129.05,130,127.55,127.7,128.45,202051,260.6
2007-06-04,128.45,129.9,124.1,124.1,125.25,395405,502.14
2007-06-05,125,128,123.25,127,126.25,654920,824.2
2007-06-06,126.3,127.85,122.85,123.95,123.85,269679,338
2007-06-07,123.85,126,119.4,122.1,120.75,573210,692.56
