"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2015-11-10",855.8,899.5,849,877.5,877.25,27351793,240746
"2015-11-11",887,935.1,880,935,923.35,3316606,30219.62
"2015-11-13",918,1032,917,1019,1004.1,8446622,82369.88
"2015-11-16",1011,1040,966.25,989,988.95,3358159,33540.28
"2015-11-17",990,1049.9,976.2,1047.8,1036.9,3694092,37623.63
"2015-11-18",1017.25,1068.8,1015.3,1048,1045.65,3621593,37925.71
"2015-11-19",1055,1166.7,1052,1166.7,1143.8,4320971,47749.84
"2015-11-20",1156,1162.9,1088.2,1099.1,1105.4,3636764,40391.59
"2015-11-23",1100,1124.8,1031.2,1046.95,1046.85,2115930,22866.88
"2015-11-24",1049.95,1099,1032.35,1086,1089.8,2080065,22305.97
"2015-11-26",1100,1114,1062.1,1087.1,1088.2,1278254,13990.25
"2015-11-27",1093.3,1109.8,1071.55,1092.55,1090.5,830213,9053.31
"2015-11-30",1093.8,1122,1081.55,1109,1110.45,953967,10552.47
"2015-12-01",1112.95,1115,1085.75,1087,1093.25,566179,6243.83
"2015-12-02",1092,1124.9,1062,1096.2,1099.2,1820435,20021.67
"2015-12-03",1096,1144.45,1091,1110.95,1113.7,2008650,22561.33
"2015-12-04",1103,1122,1071.7,1081,1079.7,738821,8137.02
"2015-12-07",1050,1085.5,1032.2,1042,1044.55,1975506,20957.41
"2015-12-08",1050.7,1068.4,1010,1010.9,1018.1,1221937,12752.98
"2015-12-09",1021,1047.8,995.45,1015,1012.75,1037663,10598.36
"2015-12-10",1021.95,1029,982,997.3,999.85,1524682,15239.64
"2015-12-11",1014,1043.7,1005,1041,1035,1853964,19036.83
"2015-12-14",1033,1103.9,1025.8,1090.6,1093.05,1875740,20216.93
"2015-12-15",1094.8,1196.9,1085,1185.1,1185.45,3012286,34629.31
"2015-12-16",1192,1234,1182.55,1194,1192.7,2239135,27111.73
"2015-12-17",1203.9,1231.75,1180.1,1193.6,1190.85,1460277,17661.45
"2015-12-18",1194.45,1206.2,1126,1141.25,1139.25,1615029,18757.29
"2015-12-21",1136.1,1156.5,1077.4,1080,1082,1692348,18585.21
"2015-12-22",1098.4,1179.4,1097.5,1164.4,1164.75,2866202,32827.61
"2015-12-23",1172,1187.95,1140,1183,1183.05,1833276,21473.11
"2015-12-24",1185,1192,1152,1162.05,1164.45,959214,11182.61
"2015-12-28",1170.5,1208,1145.6,1189.9,1194.15,1752379,20743.67
"2015-12-29",1198,1207.5,1175.8,1188,1186.45,1051880,12548.32
