"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2016-04-04",453,467,440.25,445.55,445.75,7342816,33161.98
"2016-04-05",441.05,459.8,441,445,445.6,978410,4394.4
"2016-04-06",446,457,440.2,452.85,451.1,638351,2847.98
"2016-04-07",451.05,458.8,443.35,443.7,445.4,605201,2714.26
"2016-04-08",446.55,451,432,448,449.65,840724,3729.18
"2016-04-11",447.5,451.5,443,446.5,448.05,112561,503.5
"2016-04-12",447,473.95,444.4,465,466.3,361824,1660.36
"2016-04-13",468.7,522,466.5,507.7,506.05,1694475,8528.17
"2016-04-18",507.2,510.8,486.25,491,492.6,302216,1498.96
"2016-04-20",497.95,507.25,487,491.2,494.65,329318,1632.85
"2016-04-21",501,501,487,495,495.85,316023,1555.47
"2016-04-22",492.1,505.9,490.05,491.25,493.8,82891,412.74
"2016-04-25",494.2,499,493,496.95,496,404792,2009.18
"2016-04-26",495.9,524.6,495.75,506.05,507,763964,3884.05
"2016-04-27",508.2,519.4,503.1,519.35,515.25,619461,3183.91
"2016-04-28",516,527.3,505,508.8,508.25,576548,3000.57
"2016-04-29",511,518.45,503.35,510.25,512.1,624577,3203.16
"2016-05-02",513.85,524,505.05,521.95,519.35,670703,3434.78
"2016-05-03",523.95,537,512.3,520.5,520.35,738842,3853.74
"2016-05-04",521,528,510.1,513,513.1,651807,3365.35
"2016-05-05",514.95,517.75,506,508,510.3,620040,3178.01
"2016-05-06",510.3,519.9,502.2,509.2,512.4,675868,3433.78
"2016-05-09",515.8,536.9,486.8,511.95,509.9,649255,3311.4
"2016-05-10",514.75,515.8,500,504,508.05,626862,3189.19
"2016-05-11",502,507,500,500.15,502.7,616651,3106.78
"2016-05-12",506,506,491.1,492.5,498.9,606379,3042.2
"2016-05-13",498,503.4,481.1,502,498.4,716032,3547.22
"2016-05-16",505.3,511.95,495.15,510.8,507.8,711921,3549.4
"2016-05-17",506,512,502,510.9,507.9,662858,3363.69
"2016-05-18",508,509.5,502,502,507.05,688295,3483.96
"2016-05-19",507.05,508,493,496.8,500.85,697565,3513.68
"2016-05-20",492.05,503,480.2,500,491.25,754211,3751.54
"2016-05-23",510,513.8,496.1,510.8,509.5,688500,3463.96
"2016-05-24",505.95,522.4,504.65,516,514.45,688695,3540.52
"2016-05-25",516,526,512,521,519.65,787389,4077.99
"2016-05-26",520.25,524,516.25,518,521.45,783864,4086.48
"2016-05-27",522.1,525,515,516,520.15,786733,4106.9
"2016-05-30",506,624.15,506,537,537.2,1066575,5783.81
"2016-05-31",537.85,548,516.3,520,519.45,789356,4155.22
"2016-06-01",521.15,521.2,515,517.25,518,641521,3328.32
"2016-06-02",518.45,540,516.8,530.75,533.25,697763,3629.65
"2016-06-03",534,547.7,530.5,531.15,535.2,670943,3596.85
"2016-06-06",540,547,531.55,533.5,539.45,732563,3930.24
"2016-06-07",539,545,535,536,537.2,604085,3265.71
"2016-06-08",538,554,533,540,537.2,629828,3408.34
"2016-06-09",538,541.8,531,539,537.65,719424,3866.73
"2016-06-10",538,575.5,536.8,563.8,556.8,566377,3107.21
"2016-06-13",558.5,591,556.55,579.9,579.1,772695,4394.85
"2016-06-14",575,606.3,575,592,595.6,688133,4027.06
"2016-06-15",597.95,609.95,580,599.75,591.05,734640,4378.96
"2016-06-16",592,593.5,567,574,577.25,686857,3992.31
"2016-06-17",579.95,692.7,574.05,688,682.15,1276131,8028.15
"2016-06-20",664,710,646,694.55,698.1,1199947,8158.72
"2016-06-21",695,709,685.05,688,692,794580,5517.1
"2016-06-22",692,704.5,681.8,684.1,687.45,753666,5210.34
"2016-06-23",688,694.85,676.15,676.5,680.55,699446,4807.98
"2016-06-24",666,691.8,586.55,691.8,680.5,754171,4909.7
"2016-06-27",680,733,671.15,720,712.15,777419,5389.1
"2016-06-28",720,737,715,718,721.2,743040,5367.72
"2016-06-29",724.9,735.7,720,724.15,724.3,671927,4884.39
"2016-06-30",727.75,733,666,711,702.9,862350,6175.72
"2016-07-01",709,720.8,663.1,685.95,672.4,848133,5926.3
"2016-07-04",682,706,668,693.05,696.45,656917,4479.78
"2016-07-05",699.9,708,690.3,698,699.3,622271,4359.83
"2016-07-07",700,712.9,667.5,669,672.45,705956,4877.18
"2016-07-08",674.95,684.7,668,678,677.05,631448,4254.63
"2016-07-11",675,696,671,673.5,680.8,650027,4390.05
"2016-07-12",678,693.5,668.6,678.2,679.7,710521,4852.9
"2016-07-13",685,689.9,676,683.9,682.1,627496,4290.95
"2016-07-14",680.5,702,675.5,685,687.25,703386,4809.63
"2016-07-15",677.05,692.25,671,671.05,673.75,586413,3981.25
"2016-07-18",679,682,670,672.8,673.2,584361,3966.33
"2016-07-19",672.85,677.8,665.25,672,673.15,567206,3797.85
"2016-07-20",673,681.7,668.8,671.05,674.1,656234,4433.03
"2016-07-21",677,681.3,666.6,673,672.35,623311,4213.01
"2016-07-22",673,677.85,664.45,668.5,671.8,593294,4004.76
"2016-07-25",675.65,684.85,663,684,681.5,600430,4057.36
"2016-07-26",681.9,701.9,679,681,686.75,607082,4187.68
"2016-07-27",686,691,666.65,670.5,671.75,579803,3945.97
"2016-07-28",672.15,698.8,660.3,695,692.6,636204,4326.48
"2016-07-29",695.9,722,682.2,714,711.25,713087,4952.36
"2016-08-01",710.05,719,693,698,705.85,617828,4377.39
"2016-08-02",691.1,741,691.1,727.9,727.4,707116,5115.35
"2016-08-03",728,737.4,705.15,734,725.85,626667,4531.79
"2016-08-04",730,768.8,730,758.1,759.6,438345,3289.4
"2016-08-05",762.55,844,752.1,820,823.35,656589,5196.86
"2016-08-08",828,831.5,796.65,809.95,810.15,558120,4531.98
"2016-08-09",811.8,812.15,785.3,798,798.3,508116,4074.15
"2016-08-10",805,814.5,795.5,802.85,803,534668,4321.57
"2016-08-11",782,815,782,803.5,805,426194,3436.06
"2016-08-12",803.25,833.45,797.15,812,821,544449,4471.67
"2016-08-16",830,844.9,800,803,805.7,622801,5117.58
"2016-08-17",807,823.95,802.7,810.6,813.25,557478,4548.93
"2016-08-18",815.7,823,783.15,789.95,788,471356,3790.76
"2016-08-19",790,803,783.05,788.1,791.05,509204,4056.51
"2016-08-22",790,814.35,785.5,803.5,804.25,501365,4033.53
"2016-08-23",809.95,829.8,804,807,808.3,477048,3872.2
"2016-08-24",800,822.7,800,809,809.6,460320,3756.87
"2016-08-25",815.6,826.4,805,810,809.2,468815,3820.83
"2016-08-26",812.25,827,809.9,819.9,823.2,491602,4030.54
"2016-08-29",858,860,815,834,826.6,441828,3648.16
"2016-08-30",830,843.6,825,834.7,827.4,511107,4254.94
"2016-08-31",835.45,851,826.1,830,829.15,436543,3644.05
"2016-09-01",837.65,939.8,830.55,888,903.75,628055,5401.58
"2016-09-02",894.2,915,851.5,882.8,886.8,541511,4832.07
"2016-09-06",888,908,887,893,891.75,467303,4192.04
"2016-09-07",895,908,886.7,900,898,480992,4316.77
"2016-09-08",904.95,916.9,873,875.25,881.4,448123,4015.29
"2016-09-09",885,890,846,858.1,858.4,465139,4054.33
"2016-09-12",846.9,860,841.6,849,847.6,474785,4049.65
"2016-09-14",836.05,859.1,836.05,853.05,851.05,500869,4268.78
"2016-09-15",857,864.8,848.05,864.5,854.55,354212,3035.49
"2016-09-16",868,905,852.3,880,889.1,461021,4040.71
"2016-09-19",892.3,911.9,874.25,891,884.55,541593,4845.11
"2016-09-20",892.65,917,885.1,904,904.1,507924,4575.92
"2016-09-21",909,961.75,905,937,938.3,565165,5188.76
"2016-09-22",949,1074,927.05,936.6,938.5,575037,5433.44
"2016-09-23",945,962,910,956,947.9,549165,5104.42
"2016-09-26",947.7,950.05,897,897,903.15,574128,5329.6
"2016-09-27",906,922.75,892.35,916.95,907.5,569226,5159.37
"2016-09-28",921.2,929.6,904,929,927.45,574524,5297.77
"2016-09-29",935,936.5,880,895,891.15,522219,4760.23
"2016-09-30",908.85,908.85,880.5,889.9,891.25,507361,4508.27
"2016-10-03",892.1,924,892,913,911.7,559343,5046.56
"2016-10-04",915.05,930,875.2,921.6,921.6,551567,5037.94
"2016-10-05",934.95,934.95,911.7,930,930.1,534770,4931.19
"2016-10-06",932,936,886.6,899,898.5,555786,5145.98
"2016-10-07",904.4,919.9,900.95,913.2,912,635653,5779.1
"2016-10-10",924.3,929,888.05,910.3,917.4,589446,5411.82
"2016-10-13",914.7,934.7,891.05,925.15,912.4,352790,3189.5
"2016-10-14",915,935.5,915,932,928.75,347302,3215.3
"2016-10-17",937.8,937.8,890,896,892.8,376406,3436.37
"2016-10-18",893,909.8,893,909.45,908.55,368927,3337.06
"2016-10-19",911.05,915.25,896,907,906.75,348325,3151.18
"2016-10-20",915,915,895.85,900.55,898.25,389876,3538.27
"2016-10-21",904,905,860,860,862.3,575926,5044.84
"2016-10-24",875,890,852.2,863.6,859.6,462343,4008.57
"2016-10-25",852,870,821,863,864.75,353418,3045.22
"2016-10-26",865,868.5,855.5,859,861.6,408071,3513.07
"2016-10-27",878,935,861.6,926,924.6,500595,4550.66
"2016-10-28",933,971.9,933,961,961.2,408168,3875.52
"2016-10-30",967.75,990,960.15,961,973.1,139479,1365.52
"2016-11-01",969.8,969.9,915.15,945,946.55,327257,3072.15
"2016-11-02",935,951.95,914,949,943,370269,3457.27
"2016-11-03",947,984.5,931,974,973.5,365377,3479.75
"2016-11-04",978,978,943.6,953,956.55,361341,3459.78
"2016-11-07",964.35,978.3,951.25,972.1,973.6,343039,3319.97
"2016-11-08",975.05,1010,973.35,996,999.7,385808,3840.51
"2016-11-09",816.05,990,799.8,972,973.8,329137,3024.95
"2016-11-10",977,999,921.05,932.5,938.2,297943,2886.34
"2016-11-11",920.05,940,910.2,925.95,923.2,307715,2855.18
"2016-11-15",934.95,951,895.15,950,929.6,352381,3257.07
"2016-11-16",944,958.8,919.05,955,950.15,323988,3064.31
"2016-11-17",931.1,1010,931.1,988.1,988.95,364886,3536.68
"2016-11-18",984,1078,963.35,1050,1060.3,379911,3810.25
"2016-11-21",1046,1137,1015,1105.8,1105.2,415894,4517.48
"2016-11-22",1111,1180,1111,1143,1137.1,364384,4126.4
"2016-11-23",1144.05,1175,1131.65,1167.05,1162.7,337995,3896.38
"2016-11-24",1159.9,1189.9,1130,1149.9,1161.6,331751,3865.62
"2016-11-25",1165.05,1217.95,1146.05,1203.9,1196.95,346099,4070.44
"2016-11-28",1212.9,1239.95,1182.05,1201.35,1197,388368,4696.96
"2016-11-29",1217.4,1232,1186.85,1205,1198.75,336883,4069
"2016-11-30",1214.6,1220,1175,1190,1193.85,447128,5344.72
"2016-12-01",1186.25,1205,1140,1158,1159.2,370686,4345.33
"2016-12-02",1140,1164.95,1125.25,1134.9,1137.7,340664,3895.97
"2016-12-05",1140.25,1188,1131.65,1139,1148.25,333121,3863.43
"2016-12-06",1143,1164.95,1135,1142,1139.65,342523,3941.06
"2016-12-07",1150.25,1161.5,1135.1,1154,1146.5,326659,3744.57
"2016-12-08",1155.05,1167.55,1142.05,1149.9,1152.5,317457,3662.98
"2016-12-09",1158.95,1180,1116.3,1131.5,1127.4,400958,4602.36
"2016-12-12",1145,1145,1100,1119,1109.25,291278,3253.14
"2016-12-13",1087.1,1140,1087.1,1113,1119.9,312919,3526.99
"2016-12-14",1119.9,1132,1100,1100.1,1112.45,339208,3798.28
"2016-12-15",1099.8,1118,1099.1,1110,1108.5,334013,3703.77
"2016-12-16",1115,1129.5,1089.1,1094,1106.65,342466,3813.44
