"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2012-12-28,200,200.85,188.65,191,191.65,35351056,68601
2012-12-31,191.85,195.5,188.25,193.65,193.7,6021827,11652.56
2013-01-01,194.7,199.8,194,197.65,197.75,2619486,5177.16
2013-01-02,198.3,204.35,197,202.2,201.5,5470399,10993.1
2013-01-03,200,206.5,200,204.7,204.35,3626134,7401.14
2013-01-04,205,210,202.35,207,207.15,4188477,8679.28
2013-01-07,207.85,209,206.1,207,207.4,2632614,5475.52
2013-01-08,207.55,211.05,201.7,203.2,202.95,1310534,2702.05
2013-01-09,204.25,207.9,203.3,204.95,205.05,1316038,2707.25
2013-01-10,205,207,203,205,205.1,1061770,2176.4
2013-01-11,204.4,206.8,203.6,205,205.45,560597,1149.44
2013-01-14,205.2,208.25,202.9,208,207.8,440016,907.44
2013-01-15,207.95,208.65,204,205.9,205.25,308822,636.17
2013-01-16,205.85,210,202.5,206.65,204.4,522978,1078.71
2013-01-17,206.6,207.7,204.2,205,204.95,1583997,3261.82
2013-01-18,206.35,206.65,204.1,205.5,205,1219799,2502.06
2013-01-21,206.85,207.5,204.5,205,205.05,599417,1228.91
2013-01-22,205.1,206.35,204.15,205.05,205.05,645165,1322.78
2013-01-23,205,205.15,203.15,204.05,204.6,632500,1295.29
2013-01-24,204.65,210.4,204.55,205.25,206.1,1658900,3409.13
2013-01-25,206.95,209.5,204.65,209.5,208.3,446416,919.24
2013-01-28,209,211.5,208,209.8,210.3,619340,1299.41
2013-01-29,210.65,216,210,212.9,212.15,1297700,2767.74
2013-01-30,215,215,208.1,209.85,209.95,1254754,2633.34
2013-01-31,209.85,211.25,201,202.25,204.25,477136,984.26
2013-02-01,202.25,210.9,202.25,206.5,206,535714,1104.11
2013-02-04,208.75,211,206.35,209.9,209.95,972954,2040.34
2013-02-05,208.9,211.9,207.45,210,209.85,310499,652.22
2013-02-06,210.25,211.5,209.25,209.95,210,1068489,2244.57
2013-02-07,210.85,210.85,207,207.95,207.55,55628,115.84
2013-02-08,207.95,208.75,204.45,205.85,206.95,1147102,2374.13
2013-02-11,201.15,207.4,201.15,203.2,203.35,56809,116.04
2013-02-12,203.05,204.6,195,200,200.35,164404,328.28
2013-02-13,202.65,202.65,194.45,194.5,195.1,294907,580.1
2013-02-14,195.1,195.55,191.5,191.5,192.8,192159,371.87
2013-02-15,192.8,192.8,181.95,187,188.15,891987,1665.26
2013-02-18,188,192.7,186.7,191.95,191.9,820340,1569.73
2013-02-19,197.25,197.25,190.1,191,191.6,38966,74.61
2013-02-20,193.95,197,192.35,195.65,196.05,214534,418.79
2013-02-21,196.4,197,194.15,194.95,194.8,217043,423.74
2013-02-22,195.9,195.9,188,193,191.6,685089,1304.45
2013-02-25,199,199,188.75,192.95,192.05,770743,1482.05
2013-02-26,191.15,193.5,189.4,192,192.05,324124,619.96
2013-02-27,196.85,196.85,175.55,183.75,184.55,1815408,3438.56
2013-02-28,185,194.9,185,192,191.9,3208335,6123.83
2013-03-01,181,194.65,181,191.1,190.8,1026599,1952.55
2013-03-04,187.75,192.85,187.75,192.85,192.25,134278,257.03
2013-03-05,194.9,196.6,191.05,196,195.6,421920,819.23
2013-03-06,196.55,197.95,194.3,194.35,196.95,1128179,2221.76
2013-03-07,196.9,197.5,193.1,194.75,195.95,255566,500.52
2013-03-08,195.4,197.45,191.5,193,193.7,237353,462.19
2013-03-11,193.7,194,189.9,191.65,193.3,389005,752.28
2013-03-12,192.5,193.85,189.3,189.3,189.85,416693,796.26
2013-03-13,188.05,191.6,188.05,189.75,189.9,579140,1104.35
2013-03-14,152.3,191.75,152.3,189.7,189.8,104780,198.51
2013-03-15,190,190.4,184.1,185.5,185.1,174015,323.05
2013-03-18,186.9,186.9,179.65,183,183.5,101719,186.33
2013-03-19,185,185.8,180.1,182,181.9,296981,539.02
2013-03-20,181.9,184.7,176.15,180,179.9,560531,1001.24
2013-03-21,178.5,180.35,172.35,173.65,173.9,3101013,5424.89
2013-03-22,175.9,175.9,169.6,173.35,173.1,979167,1692.11
2013-03-25,173,174.95,166.7,170.05,170.25,649932,1116.39
2013-03-26,168,172,167.4,170,170,3053335,5190.47
2013-03-28,136.6,185,136.6,183,178.95,338460,564.87
2013-04-01,176.95,184,174.05,180,179.15,172211,313.56
2013-04-02,177,186,176,183.9,183.9,202990,371.81
2013-04-03,183.35,184.55,180.5,181,181.35,890606,1622.22
2013-04-04,180,182,176.55,179.5,180,932854,1679
2013-04-05,180.4,181.95,178.25,181.95,181,209977,379.97
2013-04-08,177.55,183.25,177.2,177.5,177.5,43044,76.47
2013-04-09,178.45,180.6,173.65,177,177.1,783067,1390.86
2013-04-10,171.1,180,171.1,180,178.25,115618,205.91
2013-04-11,178.25,179.1,173.65,174.5,175.1,12895,22.71
2013-04-12,173,175.9,169.2,171,171.15,91657,156.83
2013-04-15,168.1,174.8,159.25,163.9,164.1,783115,1322.7
2013-04-16,167.85,167.85,160.5,162.15,164.2,188869,307.27
2013-04-17,163,172,162.95,168.1,169.95,1060339,1791.32
2013-04-18,165.8,172,164.3,170.6,170.25,556273,945.75
2013-04-22,165,181.9,165,179.1,179.9,338085,606.43
2013-04-23,176,178.05,173.15,175,175.1,50025,87.65
2013-04-25,173,178.1,173,176.25,176.15,48718,86.02
2013-04-26,176.1,181.05,176.1,178,178.5,1398468,2516.79
2013-04-29,178.5,182.1,174.75,180,178.8,904972,1630.96
2013-04-30,179.9,183,176,176.6,177.8,1928796,3442.01
2013-05-02,179,179.25,174.25,176,176.15,471516,829.52
2013-05-03,177,177.75,175.05,175.8,175.65,39362,69.34
2013-05-06,175,179,172,173.25,175.1,191634,338.19
2013-05-07,172.3,176.9,172.3,174.25,175.6,104575,183.87
2013-05-08,173,177.8,173,177,177.05,128503,227.52
2013-05-09,173,179,173,177.6,177.8,137489,244.78
2013-05-10,175,178.65,175,175.7,176.5,216483,382.97
2013-05-11,178.7,178.7,175.15,176,176.5,2445,4.3
2013-05-13,175.1,177.4,173.75,173.9,173.9,13014,22.8
2013-05-14,174,177,172,175,176.1,61559,107.94
2013-05-15,174.05,177.05,174.05,176.95,176.3,55645,98.01
2013-05-16,175,176.8,173.55,174.15,174.35,19899,34.88
2013-05-17,174.95,176.7,174,174.9,174.7,15849,27.7
2013-05-20,173,175.9,173,174.9,174.55,13553,23.7
2013-05-21,173,176.5,173,174.8,175.7,44307,77.81
2013-05-22,174.3,175.4,171.7,172.3,172,17037,29.52
2013-05-23,172.5,173.95,169,169.95,169.95,34830,59.37
2013-05-24,166,175.5,166,174.5,174.8,56708,98.72
2013-05-27,172.95,176,170,172.3,173,37741,65.31
2013-05-28,173.4,175,171.9,171.9,172.2,17324,30.03
2013-05-29,171,173.5,168.05,172,171.15,45135,77.39
2013-05-30,168,171.3,168,169.95,169.55,24084,40.89
2013-05-31,168,175.9,168,171,170.5,257623,443.29
2013-06-03,168.1,172.55,168,168.9,168.35,33499,56.68
2013-06-04,168,172,168,170,169.7,26580,45.14
2013-06-05,168.2,170,168.2,168.25,169.1,795355,1344.14
2013-06-06,168.3,170,166.65,168.8,168.75,36858,62.23
2013-06-07,168.2,168.5,165,165,165.3,208980,350.83
2013-06-10,164,165.95,160,165,162.7,43095,70.25
2013-06-11,161,162,152.5,154.75,153.9,55188,87.34
2013-06-12,153.9,164.4,148.5,155,152.25,165941,252.33
2013-06-13,150,155.7,149.3,155,153.75,261250,392.96
2013-06-14,152.25,155.45,152.25,155,155,979836,1518.61
2013-06-17,153,159.95,150.5,150.8,152.1,107225,165.17
2013-06-18,153,154.9,149.3,151.25,151.8,57293,86.98
2013-06-19,150,158.4,149.2,153,154.9,250651,383.9
2013-06-20,154,154,140.3,144.5,144.95,301822,438.09
2013-06-21,144.95,150.4,143.55,150.4,147.15,65910,96.77
2013-06-24,146,151.9,145.05,147.95,148.45,36590,54.23
2013-06-25,147,147.7,140.15,141.15,142.35,899437,1289.36
2013-06-26,141.5,145,139.4,144.2,143.9,277131,395.01
2013-06-27,141,151.5,141,150,148.9,513217,758.9
2013-06-28,152.15,154.7,151.6,153,152.9,1215038,1849.68
2013-07-01,150,154.5,150,153,153.05,633345,969.45
2013-07-02,154,154,149.3,152,152,485273,738.19
