"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2011-06-29,2868,2907,2868,2880,2881.75,600094,17320.05
2011-06-30,2886.05,2919,2881.5,2903.1,2910.45,1417730,41163.32
2011-07-01,2935,2969.95,2924.1,2928,2934.15,800308,23549.85
2011-07-04,2966.65,2977,2935,2941,2938.95,514324,15162.29
2011-07-05,2957,2969.9,2926,2959,2956.45,802966,23701.22
2011-07-06,2947,2972.45,2937.1,2954.5,2953.7,430028,12701.3
2011-07-07,2955.2,3000,2943,2998,2995.7,718934,21388.82
2011-07-08,3000,3023.9,2967.25,2967.25,2976.55,708724,21245.9
2011-07-11,2953.9,2976.1,2888.55,2926.35,2921.15,1150815,33571.22
2011-07-12,2850,2850,2746.8,2786.1,2791.55,3706582,102882.43
2011-07-13,2766,2807.35,2761.05,2778,2777.3,1667271,46335.42
2011-07-14,2760.25,2764,2731,2739.95,2740.35,1361403,37333.24
2011-07-15,2744,2762.95,2720,2731.5,2731.35,799078,21847.06
2011-07-18,2735,2743.25,2707.35,2712.5,2713.4,1176082,31968.69
2011-07-19,2721,2762,2716.65,2747.2,2750.5,1040553,28526.28
2011-07-20,2772.8,2772.8,2745,2755.05,2752.45,777839,21418.78
2011-07-21,2745.2,2784.5,2736.8,2766.5,2768.1,737136,20387.82
2011-07-22,2784.3,2844,2770,2820,2828.25,968703,27324.24
2011-07-25,2818,2825.05,2791.1,2806,2807.75,925532,25971.71
2011-07-26,2809,2824,2787.5,2801,2801.8,856092,23997.53
2011-07-27,2801,2835.9,2791.2,2795,2796.65,1063305,29836.3
2011-07-28,2765,2773.9,2734.5,2743,2751.1,1185172,32573.77
2011-07-29,2741,2782.45,2725.4,2766,2775.9,1219699,33734.33
2011-08-01,2780.1,2823.8,2780.1,2815.25,2815.1,761869,21421.66
2011-08-02,2798.55,2798.55,2745,2752,2750.95,616566,17033.36
2011-08-03,2735,2739.7,2708.5,2730,2732.6,705761,19233.05
2011-08-04,2740,2759.95,2704,2714.8,2709.15,816236,22346
2011-08-05,2643.6,2643.6,2525,2601,2591.2,1969759,50941.13
2011-08-08,2500,2500,2431,2487,2470.5,2021280,49882.39
2011-08-09,2351,2439.95,2350.2,2379,2374.55,2106218,50278.36
2011-08-10,2448,2476.4,2411.1,2455,2447.1,1744495,42678.94
2011-08-11,2432,2469,2414.95,2430,2440.6,1025779,25041.95
2011-08-12,2488,2488,2342.35,2379.95,2375.2,1762260,42058.7
2011-08-16,2430,2438.25,2372.3,2415.25,2399.3,1268338,30423.99
2011-08-17,2396,2465.5,2396,2449.8,2448.95,1066416,25983.15
2011-08-18,2465,2468.1,2343,2362,2354.1,1334333,31707.4
2011-08-19,2274,2274,2171.6,2225,2224.7,3612400,79747.13
2011-08-22,2213.9,2245.1,2175,2187,2194.6,1963509,43416.88
2011-08-23,2201.25,2302.65,2194,2268,2276.95,2142930,48235.16
2011-08-24,2280,2284.95,2230,2247.2,2250.9,1075768,24215.3
2011-08-25,2250.2,2265.1,2161.5,2185.5,2183.4,3356719,73681.67
2011-08-26,2186.5,2252.9,2182.65,2208,2202.55,2627745,58342.95
2011-08-29,2239,2312.25,2232,2287,2296.25,1402816,32108.09
2011-08-30,2331,2360,2280,2358.65,2342.95,1517865,35366.96
2011-09-02,2385,2385,2275.3,2324.5,2319.2,1870113,43304.15
2011-09-05,2293.7,2293.7,2240.2,2262.5,2265.1,1362818,30755.35
2011-09-06,2253.9,2320,2222.25,2319.5,2302.55,1352087,30573.96
2011-09-07,2297.9,2314.3,2267.65,2286,2291.45,1644679,37690.5
2011-09-08,2300,2354,2299,2335.3,2338.45,1378484,32224.65
2011-09-09,2328.1,2328.1,2261,2261,2274.3,1549013,35440.58
2011-09-12,2208,2217.35,2180.65,2195,2198.45,1024783,22522.62
2011-09-13,2223.1,2259.7,2195.75,2220.95,2222.05,1295652,28926.01
2011-09-14,2251,2366.9,2249,2357,2351.65,2154610,49776.74
2011-09-15,2378,2428.5,2330,2420,2409.9,1712932,40670.05
2011-09-16,2457.9,2457.9,2373.6,2394.1,2395.15,1413013,33913.66
2011-09-19,2399,2411.6,2356.1,2365.95,2362.65,819804,19476.67
2011-09-20,2377,2440,2375.15,2435.2,2436.55,1126113,27282.34
2011-09-21,2440,2454.9,2420,2440,2435.65,925310,22546.93
2011-09-22,2384,2411.8,2336.65,2350,2352.6,1129732,26912.68
2011-09-23,2328,2389.8,2321,2325,2338.8,1306054,30724.96
2011-09-26,2345,2365,2301.1,2360,2355,818036,19108.26
2011-09-27,2377.2,2468.65,2377.2,2454.1,2444.15,1292628,31374.35
2011-09-28,2480,2540,2452.5,2482.25,2470.25,2507720,62515.16
2011-09-29,2482,2569.95,2471.25,2550.05,2551.1,2907043,73476.79
2011-09-30,2531.9,2564,2508.2,2532,2533.05,1341332,34018.09
2011-10-03,2490,2518,2467.7,2483,2475.9,1235641,30753.03
2011-10-04,2452.2,2481.75,2413.6,2440,2438.5,979810,23960.94
2011-10-05,2457.95,2499,2428.1,2455.05,2446.95,1346482,33142.42
2011-10-07,2560,2574.9,2487.65,2514,2508.7,2307216,58572.14
2011-10-10,2545,2600.9,2528.4,2592.8,2589.95,2118304,54342.69
2011-10-11,2593.4,2595,2490,2499.3,2504.55,2792406,70499.34
2011-10-12,2595,2688,2595,2681,2679.35,4329213,114722.84
2011-10-13,2719,2729,2685,2698.95,2696.7,2255192,60961.32
2011-10-14,2711.1,2756.7,2686.3,2755.15,2743.75,2450124,66599.1
2011-10-17,2761.1,2764.9,2720.2,2746,2746.55,1768187,48370.92
2011-10-18,2699.9,2725,2687.7,2702.95,2701.55,1314767,35569.15
2011-10-19,2722,2735,2701.1,2732.8,2727.75,1266915,34461.4
2011-10-20,2692,2757,2687.55,2747,2747.55,696710,18900.23
2011-10-21,2747.55,2749,2707,2723.6,2722.65,857289,23365.94
2011-10-24,2750,2774.8,2741.2,2769.9,2767.3,759449,21010.82
2011-10-25,2811,2899,2811,2882,2858.7,1959698,55710.73
2011-10-26,2861.9,2869.95,2831.4,2841.35,2838.65,228612,6495.13
2011-10-28,2921,2971.35,2845.05,2856.85,2858.65,3108598,89635.04
2011-10-31,2856,2897.75,2856,2872,2877.55,1286453,37082.77
2011-11-01,2840,2874.1,2818,2840,2836.6,988274,28099.81
2011-11-02,2820,2853.9,2817.4,2828,2834.4,664732,18878
2011-11-03,2834,2842,2767.2,2815,2802.1,1347453,37666.47
2011-11-04,2845,2850.9,2791.55,2832,2825.95,955461,26987.31
2011-11-08,2815.05,2848,2790.85,2840.5,2842.1,763417,21544.65
2011-11-09,2845,2867.25,2825,2826,2835.3,834956,23743.32
