"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",589,589,553,NA,NA,NA,NA
"1998-03-23",551,567,533,533,533,1200,6.6
"1998-03-24",569,570,545,545,545.15,6900,38.21
"1998-03-25",530,569.85,519,520,521.2,77650,410
"1998-03-26",527,556,525,541.95,540.15,18900,102.26
"1998-03-27",576,576,543.05,572.75,571.2,3050,17.1
"1998-03-30",625,625,570,570,570,2650,15.36
"1998-03-31",585,620,545,620,581.3,9950,55.51
"1998-04-01",570,600,525.05,541,540.8,21800,119.21
"1998-04-02",542,544.9,500.5,500.5,506.15,28350,148.72
"1998-04-03",511,515,473,502,503.7,38050,187.75
"1998-04-06",504,505,494,500.25,500.25,27100,135.31
"1998-04-07",500,512,498,502.5,504.2,37900,190.37
"1998-04-09",529.9,555,521.1,540,537.8,44050,237.12
"1998-04-10",541,544,535,536,538.3,19800,107.02
"1998-04-13",527,538,525,528.1,528,42950,228.3
"1998-04-15",535.2,550,535.2,541.5,540.75,22300,120.77
"1998-04-16",544,544.75,530.1,534,535,6450,34.43
"1998-04-17",527.5,532,521,528,526.75,10250,53.91
"1998-04-20",533.5,540,522,528,528.1,22500,119.16
"1998-04-21",526,532,521,524.05,530.05,41250,217.48
"1998-04-22",539,541,527.5,532.5,533.05,33250,177.28
"1998-04-23",528,533,525.25,532,531.95,16300,86.46
"1998-04-24",531,533.5,512,524.3,524.6,13150,68.89
"1998-04-27",527.95,534.75,520,527.95,527.6,11600,60.88
"1998-04-28",530,532,520.1,530.95,530,73000,386.45
"1998-04-29",530,534,526,528.5,528.25,13750,72.77
"1998-04-30",525,530,522,529,528.65,9300,48.93
"1998-05-04",528,532,523.2,530,529.7,37550,198.22
"1998-05-05",532,582.5,526,582.5,564,90500,502.07
"1998-05-06",599.9,600,570,576.65,575.15,57750,338.42
"1998-05-08",566,570,558,567,564.35,14600,82.14
"1998-05-11",565,582,563.05,581.85,580.3,30900,177.76
"1998-05-12",568,581,550,577.25,577.4,75050,426.77
"1998-05-13",557,585,557,567,569.6,33800,194.19
"1998-05-14",555.85,585,555.85,585,579.25,24300,139.04
"1998-05-15",585,585,572,582,582.35,25150,145.86
"1998-05-18",580,602.5,576,602.5,597.8,81800,485.9
"1998-05-19",600,607.9,574,604.9,604.7,202650,1217.44
"1998-05-20",623.9,634.5,608.05,631.95,629.5,115450,715.35
"1998-05-21",629.9,630,605.25,612,611.35,19050,117.15
"1998-05-22",615,615,607,614,613.05,12250,74.98
"1998-05-25",613,614,606,614,613.2,17900,109.47
"1998-05-26",614.5,615.95,588,600,604.45,53850,327.47
"1998-05-27",660,660,606,610,610.05,18600,113.41
"1998-05-28",610,613,605.2,610.2,610.95,20100,122.68
"1998-05-29",605,606,588,605,605.05,9700,58.26
"1998-06-01",609,615.5,570,594,596.95,18200,109.56
"1998-06-02",601,601,575,583.35,583,14600,85.39
"1998-06-03",592,605,580,590,588.3,17450,102.3
"1998-06-04",585,590,582,588.25,588.2,18600,109.29
"1998-06-05",582,590,575,585,580.95,51350,298.14
"1998-06-08",577.5,586.5,572.5,586,584.75,36250,209.82
"1998-06-09",580,584.5,570,570,581.2,76600,444.27
"1998-06-10",575.5,581.5,570.2,581,580.3,13950,80.71
"1998-06-11",576,578,561,573,573.6,15700,89.77
"1998-06-12",570,582.25,564.5,570,568.75,42650,245.95
"1998-06-15",560,575,512,525,525.3,32500,176.32
"1998-06-16",506.1,516,473,473,485.25,24400,119.26
"1998-06-17",500,515,499,510,507.5,6150,31.13
"1998-06-18",520.1,520.1,503,505.55,506.1,6100,31.02
"1998-06-19",490.1,493,482,492,490.25,5450,26.59
"1998-06-22",474,476,462.25,472.5,473.4,6600,31.01
"1998-06-23",469,474,461.5,468,466.45,10400,48.52
"1998-06-24",470,477,465,468.5,468.9,10450,48.97
"1998-06-25",474.95,495,474.9,483.5,485.8,9150,44.35
"1998-06-26",489,534,484.2,520,516.8,35800,183.28
"1998-06-29",518,521,503.5,515.6,518.05,13200,68.08
"1998-06-30",511.05,511.05,490,490,499.35,20000,100.01
"1998-07-01",490,503.95,486.5,499.5,501.45,5100,25.25
"1998-07-02",500,500,489.1,495,494.65,4550,22.45
"1998-07-03",490,495,484,495,490.9,8200,40.11
"1998-07-06",491,491,481.25,486,486.35,4250,20.66
"1998-07-07",483,483,460,461.5,465.2,3900,18.43
"1998-07-08",480,480,472.3,475.05,474.8,5850,27.83
"1998-07-09",470,478,470,478,475.45,4650,22.03
"1998-07-10",471,480,470,478,477.2,5350,25.38
