"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,726.1,730.5,721.45,NA,NA,NA,NA
1998-03-23,728.5,734.45,725,734,733.55,920200,6711.06
1998-03-24,735,738.7,710.25,716.9,720.5,3313500,24109.23
1998-03-25,724,729,719.3,724.5,726.5,2977700,21566.25
1998-03-26,724,727.5,711.5,713,713.4,3746500,26917.54
1998-03-27,712.9,717.95,708.3,717,716.9,3394100,24234.05
1998-03-30,716.9,718.8,695.7,697.5,698.85,4134300,29196.73
1998-03-31,699.85,718,696.3,717,711.1,5873200,41372.93
1998-04-01,719,759.95,719,758,756.4,9745900,72097.07
1998-04-02,759.8,775.95,743.15,762.2,766.25,7834200,59561.13
1998-04-03,767,784.7,764.95,783.05,781.5,5530700,42891.52
1998-04-06,781.1,786.35,772.1,782.1,781.85,4150200,32330.99
1998-04-07,779,798.2,777.65,785,789.35,5877800,46336.8
1998-04-09,797,797,770.05,775.35,775.65,6487900,50606.47
1998-04-10,773,777,763.5,767.4,766.45,5141500,39551.82
1998-04-13,760.05,765.5,748,752,754.3,5371000,40750.86
1998-04-15,769.85,784,764.5,778,779.6,3718800,28816.32
1998-04-16,775.75,780,768.5,769.5,770.55,2885800,22323.86
1998-04-17,769,792,765.25,786.5,787.15,6012900,46850.49
1998-04-20,789,790.45,768.05,769.9,773.6,3360800,26235.14
1998-04-21,774.35,795,772,777.9,783.75,4813000,37704.7
1998-04-22,790.25,797.6,776.3,777.9,778.4,3471400,27286.16
1998-04-23,776.05,782.5,765.4,768,768.65,3197900,24785.24
1998-04-24,769.5,775.8,750,772.55,772.25,4893100,37403.99
1998-04-27,773.9,775,764.1,767.5,767.45,1850200,14218.36
1998-04-28,766,769,758.05,759,760.75,3064200,23378.8
1998-04-29,770,777.9,761.1,763,763.95,2529000,19449.97
1998-04-30,762.05,793.9,762.05,791.6,791,5361100,41872.65
1998-05-04,794.9,810.9,794.9,808.75,808.2,5116300,41124.93
1998-05-05,808.95,809.3,795.1,799,799.7,3853200,30945.04
1998-05-06,805,806,785.5,790,788.35,3393200,26867.4
1998-05-08,786.05,795.4,781.75,787,788.95,3607500,28463.07
1998-05-11,786,787.9,779.1,784.5,784,1853200,14521.92
1998-05-12,782.55,782.55,740.05,774,773.35,6902400,52949.89
1998-05-13,762.25,779,752.05,757,757.05,4763600,36554.5
1998-05-14,757,798.25,755.05,798,795.75,9127200,71154.72
1998-05-15,799.9,813.05,798,800,801,6093200,49037.68
1998-05-18,803.95,808.7,800.1,803.5,802.8,2700100,21729.83
1998-05-19,802.5,805.8,795.15,805,801.7,3743600,29985.1
1998-05-20,807,828.75,806,824,825.85,4631000,37915.23
1998-05-21,826.9,830,805.1,814,816.6,4594800,37552.29
1998-05-22,816,818.95,794.55,802,806.7,7436100,60015.52
1998-05-25,792.95,798.95,782.65,791.5,796.15,3805100,30151.51
1998-05-26,790,791.15,771.1,775,776.8,3854700,30159.8
1998-05-27,770,770,706.25,713,711.85,10225100,75116.8
1998-05-28,708.25,728,696.6,714.75,714.2,7209800,51593.07
1998-05-29,707.25,707.25,672.1,688.1,688.1,8177700,56513.86
1998-06-01,692,695,662.15,667,668.4,6191900,42148.29
1998-06-02,665,668,631.7,643.05,639.1,8301800,53765.02
1998-06-03,647,664.85,635,664.25,661.25,6683900,43368.72
1998-06-04,666,667.5,655.35,656.25,657.85,4021700,26569.68
1998-06-05,658,674.7,635.1,639,641.8,6616400,43615.83
1998-06-08,645,648.8,585,639,623.2,10423300,63641.23
1998-06-09,643.7,656,622.55,646.25,644.55,5647000,36448.78
