"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1999-09-22,156.65,156.65,153,156.65,156.65,4800,7.46
1999-09-23,157,158.5,152,154.05,154.05,12100,18.86
1999-09-24,153,165,153,164.5,163.8,12000,19.08
1999-09-27,165,172.5,161.2,161.2,163.2,17300,29.12
1999-09-28,157.6,160.85,153.1,155.5,154.4,17700,27.68
1999-09-29,158,166.75,158,166.2,166.45,15700,26.01
1999-09-30,162,165,162,162.9,162.95,12200,19.91
1999-10-01,162,167.4,162,165.05,164.9,14200,23.45
1999-10-04,160,165,160,160,160.05,8100,13.05
1999-10-05,157.5,169,157.5,169,165.7,18400,29.94
1999-10-06,175,179,174.9,179,179,12100,21.63
1999-10-07,190,193.35,190,193.35,193.35,3400,6.57
1999-10-08,208.85,208.85,195.55,208.85,208.85,65700,135.04
1999-10-11,221,225.6,216.35,225.6,225.6,18400,40.96
1999-10-12,241,243.65,233,243.65,243.65,18100,43.69
1999-10-13,262.95,263.15,250,263.15,263.15,8400,21.95
1999-10-14,284.2,284.2,284.2,284.2,284.2,2800,7.96
1999-10-15,306.95,306.95,278,293.5,294.2,64700,193.12
1999-10-18,313.4,317.5,286.1,303,298.3,59500,177.52
1999-10-20,320,322.2,319.95,322.2,322.2,20300,65.33
1999-10-21,334.9,339,308.05,312,315.3,44000,141.22
1999-10-22,315,316,306.2,316,314.5,23100,71.88
1999-10-23,315.6,315.6,309.8,315,313.4,2300,7.2
1999-10-25,311.1,320,290,291.1,293.05,16900,51.03
1999-10-26,303,303,280,282,284.3,28900,82.4
1999-10-27,296.9,297,274.2,275.15,275.2,18300,52.3
1999-10-28,280.1,280.1,256.1,268.8,269.5,22100,59.27
1999-10-29,259,259,247.95,247.95,247.95,19000,47.68
1999-11-01,231,231,228.15,228.15,228.15,5300,12.12
1999-11-02,212,224.5,209.9,224.5,221.35,37200,79.15
1999-11-03,229,239,222.5,227.5,227.85,20100,46.48
1999-11-04,225.5,230.5,213.2,226.55,228.4,17400,38.62
1999-11-05,218,236,218,232,230.4,17900,40.46
1999-11-07,227.1,231,227,229.25,229.5,4300,9.87
1999-11-09,229.75,240.2,224,240.2,234.4,14200,32.76
1999-11-10,238,253.15,236.6,253.15,253.15,12900,31.34
1999-11-11,268,273.4,261,261,264.25,23400,63.26
1999-11-12,265.8,265.8,245,251.45,249.3,14000,35.25
1999-11-15,252,252,238,238,238.55,9900,23.91
1999-11-16,236.5,245,236.5,240,239.8,21100,50.89
1999-11-17,237,248,233.1,233.1,233.1,10400,25.01
1999-11-18,232,237,222,224,222.95,12000,27.59
1999-11-19,224,232,224,225,225.9,18600,42.4
1999-11-22,213,227,213,225.3,223.55,17100,38.24
1999-11-24,228.9,241.45,226,241.45,241.45,16800,40.09
1999-11-25,245,258.65,245,247.25,247.75,15000,37.57
1999-11-26,249,249,240,243.25,242.5,10100,24.59
1999-11-29,240,240.3,230.3,236.5,234.15,12800,30.14
1999-11-30,230,252.9,230,252.9,252.9,17600,43.87
1999-12-01,273.15,273.15,256.5,261.5,261,24600,64.51
