"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2001-11-12",15.5,15.5,15.5,15.5,15.5,100,0.02
"2001-11-14",15.5,15.5,15.5,15.5,15.5,50,0.01
"2001-11-20",12.15,12.15,12.15,12.15,12.15,50,0.01
"2001-12-13",12,12,12,12,12,50,0.01
"2002-01-18",12.5,12.5,12.5,12.5,12.5,35,0
"2002-01-22",13,13,13,13,13,50,0.01
"2002-01-31",13.55,13.55,13.55,13.55,13.55,35,0
"2002-02-04",14.1,14.1,14.1,14.1,14.1,35,0
"2002-02-05",14.7,14.7,14.7,14.7,14.7,50,0.01
"2002-02-06",15.3,15.3,15.3,15.3,15.3,321,0.05
"2002-02-07",15.95,15.95,15.95,15.95,15.95,300,0.05
"2002-02-08",16.6,16.6,16.6,16.6,16.6,358,0.06
"2002-02-11",16.25,16.25,16.25,16.25,16.25,75,0.01
"2002-02-18",16.4,16.75,16.4,16.75,16.75,86,0.01
"2002-02-19",16.5,17.1,16.5,17.1,17.1,379,0.06
"2002-02-20",16.6,16.6,16.55,16.55,16.6,250,0.04
"2002-02-22",16.5,16.5,16.5,16.5,16.5,50,0.01
"2002-02-25",16.75,16.75,16.75,16.75,16.75,285,0.05
"2002-02-26",17.25,17.25,17.25,17.25,17.25,170,0.03
"2002-02-27",17.25,17.5,17.25,17.5,17.5,200,0.03
"2002-02-28",17.6,17.75,17.6,17.65,17.65,759,0.13
"2002-03-04",17.55,17.8,17.55,17.8,17.8,350,0.06
"2002-03-05",17.7,18.55,17.7,18.55,18.55,500,0.09
"2002-03-06",19.3,19.3,19.3,19.3,19.3,35,0.01
"2002-03-07",20.1,20.1,20.1,20.1,20.1,2035,0.41
"2002-03-08",20.9,20.9,20.9,20.9,20.9,2314,0.48
"2002-03-11",21.75,21.75,21.75,21.75,21.75,250,0.05
"2002-03-12",22,22.65,22,22.65,22.65,700,0.16
"2002-03-13",23.6,23.6,23.6,23.6,23.6,200,0.05
"2002-03-14",24.55,24.55,24.55,24.55,24.55,50,0.01
"2002-03-15",25.55,25.55,25.55,25.55,25.55,58,0.01
"2002-03-18",26.6,26.6,26.6,26.6,26.6,364,0.1
"2002-03-19",27.7,27.7,27.7,27.7,27.7,679,0.19
"2002-03-20",28.85,28.85,26.6,27.2,26.95,11382,3.19
"2002-03-21",27.8,27.8,25.9,26.3,26.6,2767,0.74
"2002-03-22",25.75,25.75,25.55,25.55,25.55,552,0.14
"2002-03-26",24.95,25.25,24.95,25.25,25.25,500,0.13
"2002-03-27",24.25,26.25,24.25,26,25.3,3379,0.85
"2002-03-28",26.35,26.35,26.35,26.35,26.35,209534,55.21
"2002-04-01",27.4,27.4,27.4,27.4,27.4,335,0.09
"2002-04-02",28.5,28.5,28.5,28.5,28.5,7461,2.13
"2002-04-03",29.6,29.6,28.3,29.6,29.6,21899,6.42
"2002-04-04",29.85,30.2,29,30,29.95,4332,1.29
"2002-04-05",29.6,31.15,29.5,30.1,30.95,7125,2.17
"2002-04-08",31.3,32.2,31.3,32.2,32.2,671,0.22
"2002-04-09",33.45,33.5,33.45,33.5,33.5,1292,0.43
"2002-04-10",34.85,38.9,32.2,36.5,36.65,17173,6.21
"2002-04-11",35.5,39.5,34.35,39.5,38.75,13532,5.08
"2002-04-12",36.7,40.9,36,40,38.7,6398,2.49
"2002-04-15",37.7,39.5,37.5,38,38.05,3401,1.3
"2002-04-16",38,38.55,35.5,38,37.85,4118,1.53
"2002-04-17",36.65,37.15,36.1,37.15,37.15,1183,0.44
"2002-04-18",37,38,36,36.05,36.05,5565,2.05
"2002-04-19",38.5,38.5,33,34.4,34.25,7148,2.42
"2002-04-22",34,34,32.2,33.5,33.5,3355,1.11
"2002-04-23",32.15,33.5,32.1,33.35,33.35,991,0.32
"2002-04-24",33,34,32.8,34,34,2491,0.83
"2002-04-25",33.05,33.45,31,31,32.1,5159,1.69
"2002-04-26",31.05,32,31,32,32,1410,0.44
"2002-04-29",31,31.5,30.1,31.5,31.5,1988,0.62
"2002-04-30",30.05,31.4,30.05,31.4,31.35,1655,0.51
"2002-05-02",31.05,34.5,31.05,34.5,34.5,2609,0.87
"2002-05-03",37.95,37.95,37.95,37.95,37.95,376,0.14
"2002-05-06",41.5,41.75,41.1,41.75,41.75,4650,1.93
"2002-05-07",45,45.95,42,42.1,42.7,15463,6.73
"2002-05-08",41.7,42,38.5,38.85,39.1,2721,1.07
"2002-05-09",38,41.4,36.55,36.55,36.95,5667,2.21
"2002-05-10",37,40.65,37,39.95,39.85,10150,4.08
"2002-05-13",39,39.5,37.95,38.05,38.5,3095,1.19
"2002-05-14",38.75,40.55,38,38.75,38.75,950,0.37
"2002-05-15",39.1,39.1,36.9,38.7,38.25,2200,0.84
"2002-05-16",37.5,37.5,34.65,35.9,35.6,4585,1.64
"2002-05-17",34.3,35.5,33.8,35.5,35.5,1116,0.39
"2002-05-20",39.05,39.05,39.05,39.05,39.05,4704,1.84
"2002-05-21",43,43,36.1,37.1,37.45,15207,6.08
"2002-05-22",38.9,41.2,38.4,39,38.6,12993,5.21
"2002-05-23",38.55,39.65,37,38,38,1320,0.5
"2002-05-24",40,40.1,37.5,38.3,38.45,8120,3.14
"2002-05-27",39.6,39.85,38,38.4,38.05,2879,1.12
"2002-05-28",36.05,38.9,35,35,35.05,1856,0.67
"2002-05-29",34.5,36,34.5,36,36,495,0.18
"2002-05-30",37,39,37,38,38,1883,0.71
"2002-05-31",38.3,38.3,36,37.5,37.6,4076,1.52
"2002-06-03",37.7,38,36.15,36.15,36.15,1550,0.58
"2002-06-04",35.4,36,33.1,34.65,34.65,3997,1.41
"2002-06-05",34.7,37.5,34.65,36.15,36.2,3650,1.3
"2002-06-06",36.5,36.5,33.15,33.15,34.2,54547,19.08
"2002-06-07",32.6,35,32.6,33.9,33.35,1300,0.44
"2002-06-10",32.3,35.95,32.3,34.1,34.3,2589,0.9
"2002-06-11",35.05,37.75,34.8,37.65,37.65,2841,1.04
"2002-06-12",37.5,41.45,37.1,41.45,41.45,17176,6.8
"2002-06-13",41.5,45.6,41.5,45.6,45,18791,8.35
"2002-06-14",46,46.5,42,44.5,44,8071,3.52
"2002-06-17",45,45.9,44.15,45,44.8,3834,1.72
"2002-06-18",45.05,45.55,44.25,45.3,45.05,5861,2.63
"2002-06-19",44.5,45,41,41.1,41.1,4795,2.03
"2002-06-20",39,40,39,39,39.1,1621,0.64
"2002-06-21",40,42,39.55,41,41.15,2774,1.14
"2002-06-24",43,43,41,41.1,41.1,4317,1.81
"2002-06-25",41,42,41,41.5,41.8,1270,0.53
"2002-06-26",41,41.95,40.25,40.5,40.5,1554,0.63
"2002-06-27",40,42,40,42,41.65,3205,1.33
"2002-06-28",45,45.85,45,45.4,45.7,15789,7.23
"2002-07-01",47.9,50.3,44.7,50.3,47.55,12307,5.82
"2002-07-02",47.75,48,46,46,46.7,12654,5.94
"2002-07-03",47,49.25,46.55,47.5,47.5,4347,2.07
"2002-07-04",48,50.6,45.25,48,48.7,16605,8.08
"2002-07-05",53,53.6,51,53.6,53.6,33325,17.68
"2002-07-08",54,57.4,53.4,53.5,53.95,24071,13.2
"2002-07-09",52,53,50.5,51.8,51.8,2605,1.35
"2002-07-10",51.75,51.75,47,47,47.4,4870,2.34
"2002-07-11",46.1,46.6,45.25,45.25,45.9,3360,1.55
"2002-07-12",45.25,46,44.5,44.5,44.75,1863,0.84
"2002-07-15",45,47,41.5,45,45,4300,1.9
"2002-07-16",45,45,42.1,43.9,43.95,1658,0.74
"2002-07-17",47,48.35,45.4,47.25,47.15,6575,3.1
"2002-07-18",45.9,49,44.7,49,47.3,5030,2.35
"2002-07-19",49,49.45,46,46.1,46.1,6040,2.84
"2002-07-22",49,49,44,44,44.1,2300,1.03
"2002-07-23",45,45.35,43,43,43,2450,1.09
"2002-07-24",44.05,45,41.25,41.75,41.75,3675,1.58
"2002-07-25",42.25,42.25,42,42,42,450,0.19
"2002-07-26",42,42,41.25,41.25,41.25,833,0.35
"2002-07-29",41,43.45,37.65,39.2,39.15,4985,2.05
"2002-07-30",38.2,40.2,37.3,37.6,37.8,1575,0.6
"2002-07-31",37.6,37.6,34.5,37.6,37.6,842,0.31
"2002-08-01",38.25,39.1,38,39.1,38.55,1100,0.42
"2002-08-02",36,37,36,37,37,285,0.1
"2002-08-05",38,40.65,38,39,39.25,1125,0.44
"2002-08-06",40,43.2,40,43.2,43.2,46268,19.98
"2002-08-07",44,47.5,44,45.25,45.4,5531,2.56
"2002-08-08",45.1,46.25,43,43,43,4020,1.8
"2002-08-09",40.95,45,40.95,45,44.55,2343,1.02
"2002-08-12",42.7,43,42.55,42.55,42.8,1124,0.48
"2002-08-13",43,44,43,43.55,43.55,1300,0.57
"2002-08-14",44.1,44.95,41.55,42.3,42.3,2338,1.02
"2002-08-16",43.5,44.5,43.5,44,44.3,4150,1.82
"2002-08-19",42.5,42.5,40,40.05,40.05,2558,1.05
"2002-08-20",43.9,43.95,41.5,42,42,5430,2.3
"2002-08-21",44,46.2,42.5,45,45,8310,3.78
"2002-08-22",45,46,43.9,43.9,44.1,2185,0.98
"2002-08-23",42.9,42.9,42,42,42,335,0.14
"2002-08-26",42,43.45,41.4,41.45,41.65,1162,0.48
"2002-08-27",42,42,40.1,40.1,40.4,613,0.25
"2002-08-28",39,40,39,40,40,1100,0.44
"2002-08-29",40,40.25,40,40,40,1079,0.43
"2002-08-30",40,42,40,41,41.3,820,0.33
"2002-09-02",41,41.3,40,41.3,40.85,2389,0.97
"2002-09-03",38.5,38.5,38.5,38.5,38.5,35,0.01
"2002-09-04",38.2,38.2,38,38,38.05,277,0.11
"2002-09-05",38.05,38.2,38,38,38,552,0.21
"2002-09-06",36.5,36.5,36.5,36.5,36.5,50,0.02
"2002-09-09",36.9,37,35.55,35.55,35.55,270,0.1
"2002-09-11",38.85,38.85,35.3,36.45,36.45,234,0.08
"2002-09-12",36.55,36.55,36.55,36.55,36.55,35,0.01
"2002-09-13",36,37,35.25,35.25,36.3,1081,0.39
"2002-09-16",35.95,36.2,35.95,36,36.05,570,0.21
"2002-09-17",36.1,36.1,35,35.1,35.1,1434,0.51
"2002-09-18",34,34.15,34,34,34,875,0.3
"2002-09-19",31.5,35.95,31.5,32,32,4800,1.56
"2002-09-20",34.45,34.5,34.45,34.5,34.5,200,0.07
"2002-09-23",33,33,32.85,33,33,300,0.1
"2002-09-24",32.1,33.95,32.1,32.35,32.35,400,0.13
"2002-09-25",33.3,34.5,33.25,34.5,34.5,350,0.12
"2002-09-26",33,33.25,33,33,33,205,0.07
"2002-09-27",33.1,33.75,33.1,33.2,33.2,800,0.27
"2002-09-30",33,33.9,33,33,33,2100,0.69
"2002-10-01",32,32,32,32,32,200,0.06
"2002-10-03",34.95,34.95,31,31.3,31.3,5250,1.64
"2002-10-04",31,33.7,30.5,30.5,30.5,2435,0.76
"2002-10-07",31,31,31,31,31,554,0.17
"2002-10-09",31.1,31.1,31.05,31.1,31.1,282,0.09
"2002-10-10",31,31,31,31,31,270,0.08
"2002-10-11",31,31.05,31,31,31,935,0.29
"2002-10-14",30.05,30.05,30,30,30,494,0.15
"2002-10-16",30,30,29.5,29.5,29.5,319,0.09
"2002-10-17",30,32.45,30,31.6,31.55,1935,0.62
"2002-10-18",31,32,31,31,31,435,0.14
"2002-10-21",29.4,29.4,29.4,29.4,29.4,35,0.01
"2002-10-22",29.15,30,29.1,30,30,1175,0.35
