"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2004-06-14",99,116.8,98.35,111,112.65,2201698,2449.74
"2004-06-15",112.7,112.75,92.4,97.2,97.55,2131723,2102.26
"2004-06-16",99,101.45,94.7,99.3,99.15,1569619,1555.28
"2004-06-17",99.05,100.3,95.75,100.3,99.55,1115492,1088.98
"2004-06-18",99.2,99.2,94.05,94.2,94.7,397134,384.6
"2004-06-21",95.9,95.95,83.55,84.45,86.65,462745,418.56
"2004-06-22",86.7,86.7,78.25,80.55,80.55,962744,793.14
"2004-06-23",81.7,84.9,74.6,75.45,76.35,897732,727.14
"2004-06-24",76.8,79.45,73.65,78.55,78.25,1119016,850.79
"2004-06-25",79.85,90.4,78.2,89.95,89.45,1614037,1377.09
"2004-06-28",91,107.35,88.05,102.5,103.25,3466997,3454.71
"2004-06-29",104,105.35,97.15,98.2,98.75,2538024,2543.27
"2004-06-30",99.8,105.6,98.65,103.55,102.5,2169569,2234.91
"2004-07-01",104,105.7,102.1,105.5,104.65,1095527,1142.49
"2004-07-02",105,105,100.5,101.1,101.5,962673,982.5
"2004-07-05",102,104,96.4,96.95,98,582705,586.07
"2004-07-06",98,100.9,98,100.5,100.4,749358,748
"2004-07-07",100.5,102.5,98.1,98.65,98.6,638127,641.86
"2004-07-08",99.45,101.95,93.55,96,95.55,1277744,1271.7
"2004-07-09",95,99.95,90.2,98.9,99.25,383365,371.46
"2004-07-12",99.9,99.95,97.5,98.9,98.05,300495,294.76
"2004-07-13",98.75,99.75,94.75,95,95.4,172840,167.11
"2004-07-14",96,96.7,90.6,91.35,92,713025,666.23
"2004-07-15",92.1,100.8,89.6,99.3,99.1,1536218,1477.88
"2004-07-16",100.85,102.4,99.1,99.65,100.05,642238,647.81
"2004-07-19",100.8,102.65,99.05,99.7,99.65,314847,316.8
"2004-07-20",99,103,99,102.1,102.15,591450,600.05
"2004-07-21",102.35,104.4,99.95,101.8,101.15,448362,459.08
"2004-07-22",103.8,103.8,100,100.1,100.05,340710,343.63
"2004-07-23",101,103.5,100,103,102.65,479150,489.26
"2004-07-26",102.35,110.9,101,110.1,109.55,1342876,1447.63
"2004-07-27",110.9,113,102.7,103.5,103.45,707512,761.24
"2004-07-28",104.3,106.6,104.2,105.4,105.15,353795,372.62
"2004-07-29",106.2,110,104.5,108.1,108.05,534236,576.46
"2004-07-30",109,110.15,104.5,105,106.25,512247,551.84
"2004-08-02",106.7,108.8,106.4,108.05,107.9,350844,377.48
"2004-08-03",107.65,117.75,107.65,114.1,113.45,1943747,2231.04
"2004-08-04",109,114.7,109,112,112,779156,876.35
"2004-08-05",113.5,116,113,115,115.3,677862,776.93
"2004-08-06",114.95,124,114.95,119.25,118.95,2634212,3185.83
"2004-08-09",119,124.7,118.2,121.9,121.5,1649044,2015.67
"2004-08-10",122.2,124.9,122,124.5,124.3,1486258,1836.27
"2004-08-11",125.5,125.7,121.5,122.35,122,965729,1181.75
"2004-08-12",122,124.4,113.7,118.75,117.45,1371307,1620.46
"2004-08-13",118.4,125,116,123.55,123.9,1206014,1458.6
"2004-08-16",124.2,125,119.4,122.2,121.5,683155,835.71
"2004-08-17",122.8,130.85,122.55,128.95,129.25,1793732,2298.02
"2004-08-18",128.7,132.25,128.65,130,130.2,1607481,2093.72
"2004-08-19",131.4,136,130,134.25,134,1143459,1514.71
"2004-08-20",135,136.6,130.75,133.5,132.95,1248047,1676.22
"2004-08-23",135,135.75,131,135,134.35,996893,1329.44
"2004-08-24",135.7,136.6,132.6,134.75,134.65,682733,919.99
"2004-08-25",135.6,138.5,134,137.6,137.65,693514,944.87
"2004-08-26",138.5,139.5,136.15,137.1,137.65,682543,942.96
"2004-08-27",138.5,138.5,134,134.5,134.95,353483,481.69
"2004-08-30",134.65,138.1,132.5,137.5,136.6,796179,1080.2
"2004-08-31",137.7,143.9,135.4,140.8,140.6,1331549,1867.44
"2004-09-01",141,143,139.85,140.25,140.85,788223,1113.55
"2004-09-02",141.7,141.75,135.6,136.7,136.5,615186,850.17
"2004-09-03",136.5,137.5,134.25,135.05,135.5,282450,384.29
"2004-09-06",135.5,139.9,135.5,136,136.4,414325,569.03
"2004-09-07",135.85,137.5,133.35,133.85,134.65,280669,381.18
"2004-09-08",135.1,145,134.75,144.25,144.4,1456479,2063.74
"2004-09-09",145,149.55,142.95,147.65,148.2,2252476,3316.11
"2004-09-10",148,149,139.9,142.45,141.9,828196,1202.85
"2004-09-13",141.5,146.9,141.45,143.85,143.9,487805,705.95
"2004-09-14",144.95,144.95,141.2,143.5,143.65,326299,466.25
"2004-09-15",143.55,143.9,138.75,139,139.4,506563,712.53
"2004-09-16",140.25,142,139.5,139.6,140.25,271648,382.24
"2004-09-17",141,142.65,139.25,139.65,139.95,570196,803.18
"2004-09-20",142,150,142,148.2,148.3,1556286,2306.41
"2004-09-21",148.4,152,148.4,151.5,151.1,1139949,1718.25
"2004-09-22",151.5,154,148.1,148.5,148.8,770487,1166.43
"2004-09-23",148,148.8,143.1,144,144.2,373146,543.66
"2004-09-24",143.3,149,143.3,148.75,148,411516,607.49
"2004-09-27",148.75,153.95,146,151.9,152.8,670866,1017.88
"2004-09-28",153.45,153.5,146.6,146.6,147.3,233143,349.16
"2004-09-29",148.45,149.5,144.5,146,146.05,309918,454.73
"2004-09-30",147.7,152,147,151.9,151.6,339379,509.97
"2004-10-01",151,155.9,148.5,155.9,153.8,307417,467.16
"2004-10-04",155,159.8,153,159,158.15,396215,623.53
"2004-10-05",159.45,160.9,158.25,159.55,159.9,594190,949.87
"2004-10-06",161.7,161.7,155,155.5,156.2,581247,920.25
"2004-10-07",156,158,154,155,155.85,270468,422.34
"2004-10-08",157.25,158,155.1,156.95,157,271636,425.41
"2004-10-09",157.9,158.25,153.5,154.2,154.4,47191,73.33
"2004-10-11",155,157,151,151,151.9,186939,287.74
"2004-10-12",151.9,153.75,145.45,152.5,153.15,496075,739.15
"2004-10-14",154,154,145.05,148,149.05,254342,378.39
"2004-10-15",150,152.5,147.65,148.8,148.35,104381,156.39
"2004-10-18",150.2,151.85,146.5,147.15,148.1,321412,478.79
"2004-10-19",149,151,148.4,150.8,150.3,340552,510.2
"2004-10-20",151.9,152.3,145.1,145.1,145.85,195531,289.19
"2004-10-21",146.7,150,146,146.5,146.65,245366,361.16
"2004-10-25",147.25,148.25,139.5,140.5,141.05,320253,458.09
"2004-10-26",141.75,144,139.5,139.55,140,451259,638.6
"2004-10-27",139.75,144.6,138.75,143.4,142.75,411401,580.94
"2004-10-28",144.4,156,143.5,155.5,154.65,631867,957.5
"2004-10-29",155,155.85,140.05,153.1,153.7,283219,431.33
"2004-11-01",151,156.45,149,156.25,155.55,227346,349.51
"2004-11-02",155.75,158.65,154.15,158,157.85,322485,508.14
"2004-11-03",159.9,159.9,153.15,156.25,156.05,181120,281.48
"2004-11-04",158.5,158.5,153.8,154.7,155.05,178529,276.96
"2004-11-05",157,157,151,153.5,153.35,199866,306.05
"2004-11-08",155.7,161.8,154.85,158.15,159.5,537490,855.79
"2004-11-09",158.1,161.5,155.1,158.45,157.7,218649,344.69
"2004-11-10",155.25,158.75,155.1,157.75,157.85,161317,253.01
"2004-11-11",156,162,154.2,155.3,155.5,1393358,2180.27
"2004-11-12",157.4,157.9,154.35,154.65,155,55545,86.6
"2004-11-16",156.25,156.25,152,155,155.1,134787,207.76
"2004-11-17",155,157.1,153.1,156,155.9,224066,347.44
"2004-11-18",157.65,157.65,151.75,153,153.3,295646,455.03
"2004-11-19",153.85,155.4,151.5,151.5,152.8,238269,365.42
"2004-11-22",151.65,153.2,150.05,152.4,152.2,184621,280.62
"2004-11-23",152.6,157.8,152.25,154,154.15,377443,583.21
"2004-11-24",154.5,162.8,154.5,162.45,161.15,975620,1570.72
"2004-11-25",162.7,164.4,156,156.9,156.55,458184,739.63
"2004-11-29",157,158.8,152.4,154,154.15,389288,600.11
"2004-11-30",154.05,157,150,150.9,150.9,400198,612.59
"2004-12-01",150.5,152,148.5,149.5,149.65,349335,524.26
"2004-12-02",150.8,153,149.4,150.5,150.6,1055923,1594.41
"2004-12-03",151.85,159,150,154.75,155.85,1163696,1803.36
"2004-12-06",156,156.5,150.6,151.5,151.45,554579,848.03
"2004-12-07",153.8,160.4,152.1,159,158.5,1414278,2233.41
"2004-12-08",159,159.8,156.05,156.5,157,624152,989.48
"2004-12-09",157.5,162.75,157,159.2,159.2,1393452,2244.13
"2004-12-10",162.95,169.5,161.8,165.4,165.5,1858328,3094.06
"2004-12-13",168,175,166.6,174.25,173.55,1367282,2362.44
"2004-12-14",175,177,172.4,174,176,1003398,1756.79
"2004-12-15",178,180,170.25,175.85,176.75,963695,1705.24
"2004-12-16",176.8,180,174.5,176.25,176.6,542944,960.27
"2004-12-17",178,178,171,174,174.4,354576,622.52
"2004-12-20",175,178,173.05,178,177.55,306550,539.66
"2004-12-21",178,180,175,175.1,176.25,450376,801.54
"2004-12-22",176.4,176.4,171.55,172.6,172.85,315133,547.17
"2004-12-23",172,178.5,172,176.5,176.65,288811,509.75
"2004-12-24",177.8,182,175,180.95,180.5,615522,1106.15
"2004-12-27",180.5,184.5,178.9,180,181.05,401980,731.2
"2004-12-28",182.7,191.5,182.2,191,190.05,1017677,1896.82
"2004-12-29",191.5,195.5,181.5,185,185,1018980,1926.81
"2004-12-30",186.75,188.45,185,185.5,185.75,625410,1162.46
"2004-12-31",186.8,191,183.6,191,190,337471,634.08
"2005-01-03",192,192,184,190.1,190.85,769687,1457.48
"2005-01-04",190.5,193,185,189.4,189.65,749206,1414.97
"2005-01-05",190,193,176.1,181.75,182.1,1319323,2480.95
"2005-01-06",182,183.95,172.5,173.5,174.75,456205,815.44
"2005-01-07",176.25,189.5,176.1,188.25,187.3,563402,1022.97
"2005-01-10",190,190,178.6,179.5,180.95,288582,534.97
"2005-01-11",181,183.5,174.55,175,175.45,261137,468.42
"2005-01-12",177.25,182.35,172.4,173.5,173.35,439492,778.58
"2005-01-13",175,184,174.95,183.5,182.9,243219,439.81
"2005-01-14",183,186.55,177,179,178.4,177291,321.03
"2005-01-17",180.15,181.5,173.8,180.5,180.35,412965,737.92
"2005-01-18",180.5,183.5,179,180,179.95,352957,637.44
"2005-01-19",180.5,183.3,177,181.5,181.3,259572,467.76
"2005-01-20",181,181,174.1,174.5,175.8,154810,274.3
"2005-01-24",176,179.25,172.1,173,174.95,358406,627.35
"2005-01-25",175,178.9,171.25,178,177.55,166595,293.7
"2005-01-27",179,180,176.5,177.45,177.6,244503,434.43
"2005-01-28",178.6,184.4,177.3,179.15,179.9,549397,988.41
"2005-01-31",182,182.55,175.05,180,178.4,511858,923.34
"2005-02-01",182,184,175.3,179,179.65,734396,1315.14
"2005-02-02",182,183.25,179.8,183,181.65,509299,920.84
"2005-02-03",183.3,194.2,182.3,193.55,193.6,982095,1859.73
"2005-02-04",194.8,199.9,194,196.5,196.7,855965,1686.8
"2005-02-07",197,202.9,193,193.95,195.35,447309,884.9
"2005-02-08",196,197.3,191.5,192,192.1,315753,611.04
"2005-02-09",192.5,195,190,191.4,190.95,337515,652.46
"2005-02-10",193.85,194.9,190.1,191.5,191.75,266526,513.52
"2005-02-11",192.95,193.7,191.5,192,192.3,520782,999.77
"2005-02-14",194.95,195,189,190.05,189.8,232392,444.73
"2005-02-15",191.8,191.8,186.15,186.5,186.4,200599,376.67
"2005-02-16",187.8,188.3,183.9,184.5,185.05,217346,405.35
"2005-02-17",186.5,188,183,184.85,184.6,221493,411.01
"2005-02-18",186,190.5,184.65,184.75,186.25,447579,836.56
"2005-02-21",187.8,195.5,186,189.85,189.15,447541,856.16
"2005-02-22",189.9,190.25,185.1,185.25,186.45,249960,467.07
"2005-02-23",184,194.45,176.65,191.85,191.15,524946,1007.17
"2005-02-24",193.6,201.45,191.6,198.6,199.2,967820,1915.08
"2005-02-25",200,207.35,192,192.75,193.45,1501991,3029.49
"2005-02-28",195,215,194.9,212,211.75,2838720,5909.26
"2005-03-01",213,235.9,205.6,225.15,227.65,4548391,10187.67
"2005-03-02",228.35,235.9,223,224.3,224.75,2380969,5446.43
"2005-03-03",229,233.3,221.15,221.85,222.4,1824435,4136.02
"2005-03-04",223.9,237.7,223.1,229.95,229.2,1750808,4051.5
"2005-03-07",231.5,235.45,220.25,221,221.85,1165961,2657.73
"2005-03-08",222,228.95,221,226.1,225.3,844985,1902.73
"2005-03-09",227.9,228.45,216.75,220,220.7,708535,1576.59
"2005-03-10",221.9,223.4,216.5,218.85,218.7,551477,1212.95
"2005-03-11",220.95,222.5,214.5,215,215.15,667555,1457.26
"2005-03-14",216,217.5,210.75,213,211.95,410339,877.78
"2005-03-15",214.3,222.9,208.5,209.4,210,1050656,2255.52
"2005-03-16",210.95,215.1,206,207.25,207.1,911050,1923.72
"2005-03-17",208.5,208.7,200.55,201.55,201.25,701960,1427.34
"2005-03-18",202,212.5,197.55,211.8,210.65,1271542,2620.14
"2005-03-21",212.45,213.4,202.55,204.15,203.85,1034325,2129.79
"2005-03-22",205.1,205.4,193.5,194.5,194.8,694890,1386.69
"2005-03-23",193,196.6,188.5,193,192.15,955944,1841.7
"2005-03-24",192,197.9,191.1,192.95,192.6,468608,909.38
"2005-03-28",194.8,200.1,191.25,198.2,199.55,896370,1766.76
"2005-03-29",200,200,189.95,193.9,193.65,540337,1048.39
"2005-03-30",193.5,195.4,189.2,195,194.45,282746,547.67
"2005-03-31",194.5,199,194.5,196.4,196.95,365742,720.12
"2005-04-01",196.5,197.7,194.15,195,195.85,323588,633.03
"2005-04-04",199.9,208.7,196.2,199,198.35,841774,1707.4
"2005-04-05",200,209.5,199.05,206,205.3,1189491,2445.81
"2005-04-06",207.45,208.9,198.5,200.25,200.1,1027105,2089.2
"2005-04-07",202.35,205.75,198.5,198.8,200,652231,1320.63
"2005-04-08",201,201,183.95,187.5,186.1,1152832,2193.49
"2005-04-11",188,193.5,180.1,181.3,180.85,1001101,1857.93
"2005-04-12",182,185.1,176.25,181.8,181.8,1283786,2314.32
"2005-04-13",180,186,180,184.75,183.7,759848,1393.58
"2005-04-15",184,184,167.15,179.7,179,556216,994.55
"2005-04-18",177,179,170.1,177,176.5,507286,893.27
"2005-04-19",180,191,178,185,184.5,1466964,2743.51
"2005-04-20",182,187,177.1,181.4,181.15,606638,1099.52
"2005-04-21",180,187,176,186.4,186.2,749568,1379.09
"2005-04-22",187,192.5,185,188,188.8,809513,1530.53
"2005-04-25",187.95,192.95,185.25,192,191.7,422771,803.6
"2005-04-26",193.4,193.4,187.6,189.9,189.55,343380,650.65
"2005-04-27",187.5,189.75,184,185.5,186.45,363475,680.68
"2005-04-28",185.9,189.5,184.25,188,188.35,472643,887.42
"2005-04-29",186.5,187.95,179.3,182,180.55,499269,912.16
"2005-05-02",181.5,181.5,166.05,174.65,175.2,356344,616.08
"2005-05-03",176,176,169,175.5,175.25,200390,349.7
"2005-05-04",176.95,179.9,176.15,179,178.55,155616,276.76
"2005-05-05",180,182.4,179.05,180.2,181.2,184703,335.63
"2005-05-06",182.7,182.7,178,180.7,180.3,128600,231.63
"2005-05-09",181,184.5,181,181.6,182.25,144107,263.55
"2005-05-10",185,185,181,184,183.2,150974,276.58
"2005-05-11",183.2,183.25,177,177.5,177.65,186067,334.25
"2005-05-12",182.45,182.45,173.55,174.25,174.25,420129,743.06
"2005-05-13",175.1,177,173.2,175.5,175.55,249123,437.38
"2005-05-16",176,182.85,175.5,182.75,182.15,457944,819.65
"2005-05-17",184.5,191.4,183.05,183.5,184,957379,1794.23
"2005-05-18",184,185.35,180.25,184.5,184.55,348835,643.38
"2005-05-19",191.5,192,185,185.5,185.65,261336,485.58
"2005-05-20",185.5,186.95,182,183,183.05,196986,361.98
"2005-05-23",183,185,180.3,183.25,183,143718,263.15
"2005-05-24",184,186.9,182.75,185,185.15,302387,559.45
"2005-05-25",186.7,192,185.2,191.5,190.8,491243,930.87
"2005-05-26",192,195,191.1,191.1,193.05,504766,976.02
"2005-05-27",193.5,193.5,187.1,188,187.95,365832,691.79
