"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2005-09-16,300,317.45,298.2,315,314.55,906566,2802.33
2005-09-19,315,322.95,313.5,317.45,315.55,377529,1200.48
2005-09-20,315,319.5,301,310,310.3,203635,639.32
2005-09-21,311.5,313,284,299.1,300.15,450484,1339.11
2005-09-22,298,298.5,280,283,281.4,408808,1174.4
2005-09-23,282,299.4,275.15,284.95,284.45,206517,587.11
2005-09-26,285.1,294,285.1,292.5,291.6,222422,645.7
2005-09-27,295,301.5,292,296.05,295.7,198214,589
2005-09-28,297,298.95,295.15,296,295.8,126820,375.51
2005-09-29,297,302,293,296,296.05,247189,737.06
2005-09-30,297,297.8,281,289.2,290,280107,810.96
2005-10-03,290,299.4,290,294,292.85,112396,331.46
2005-10-04,294.8,298,292.55,294.95,293.95,102577,302.39
2005-10-05,295,296,290.6,291.8,291.75,76576,224.34
2005-10-06,291,291,282.1,282.6,283.4,125193,357.34
2005-10-07,285,287.7,280.35,281.85,281.3,109383,309.4
2005-10-10,281.3,284.35,275,276,276.55,61091,170.45
2005-10-11,277,284.9,272,279.65,280.65,248932,695.23
2005-10-13,276.1,281.15,265.5,267,269.8,126237,347.37
2005-10-14,268,275,256.5,258.2,257.6,217700,572.27
2005-10-17,265,265,252.4,254,254.05,109755,282.09
2005-10-18,255,260.4,250.1,250.1,251.1,98486,252.44
2005-10-19,251.1,251.1,240,241.65,240.7,141803,345.65
2005-10-20,248.8,250.35,215,220,221.55,312006,718
2005-10-21,220,225,216.35,217.9,218.1,177638,388.52
2005-10-24,218.5,221.3,210.2,211.7,212.45,119606,259.42
2005-10-25,218.6,218.6,204,205.85,205.25,209312,439.59
2005-10-26,205.6,212.9,202.1,209.5,209.95,174140,364.69
2005-10-27,210.95,210.95,199.5,201,200.45,107665,219.12
2005-10-28,202,209,200,202,201.55,186966,379.56
2005-10-31,202,211.5,201.15,209.1,209.7,106927,220.41
2005-11-01,210,214.65,210,212,212.85,33504,71.27
2005-11-02,213,214,205.5,212.3,212.35,62520,131.24
2005-11-07,214.8,219.75,209,214,215.1,163819,353.4
2005-11-08,214,217.9,213,213.6,214.25,181765,390.73
2005-11-09,214,217,208.05,209.5,210.1,194741,411.43
2005-11-10,214.25,215.5,208.1,209,209.25,192226,408.26
2005-11-11,209,215,209,214.55,214.15,107979,230.65
2005-11-14,217.7,229.4,215.05,219.1,219.55,317574,700.58
2005-11-16,221.95,222,218.15,218.5,218.6,77191,169.92
2005-11-17,220,221,217.05,218.35,217.95,105566,230.83
2005-11-18,223,223,219,221.55,221.6,200554,442.45
2005-11-21,222,222,217,217.3,217.6,81034,176.95
2005-11-22,217,218.9,211,212,211.55,128585,276.82
2005-11-23,213,215,204,205,205.4,120355,250.02
2005-11-24,208.9,208.9,201.05,201.95,202.45,104544,213.03
2005-11-25,202.45,205.6,201.6,202.45,202.2,193616,393.12
2005-11-26,202.1,204.45,201.1,202.65,202.3,62404,126.37
2005-11-28,203.5,208.55,203.1,206.7,205.9,123914,254.98
2005-11-29,205,213.3,202.7,212,211.75,200683,417.41
2005-11-30,212,214.5,206,206.1,207.05,102966,217.21
2005-12-01,205.15,208.95,204,204.65,205.2,55717,114.64
2005-12-02,206.95,210,206.9,209.4,209.2,88840,185.51
2005-12-05,210,211.8,204.05,204.1,204.7,62409,129.15
2005-12-06,207.5,207.5,203.55,204.05,204.3,44333,91.01
2005-12-07,206,213.9,205,207,207.7,127452,265.98
2005-12-08,210,213.5,205.05,212.55,212.6,185364,389.53
2005-12-09,214,214.5,210.1,214.5,213.35,177571,377.24
2005-12-12,213.7,226.95,213,226.45,225.85,485792,1068.66
2005-12-13,226,229.5,221.1,228.15,224.9,489890,1099.46
2005-12-14,228.55,239.7,224.1,226,225.6,310013,710.34
2005-12-15,222.5,230.85,222.5,229,226.9,381688,867.69
2005-12-16,222.35,232.95,222.35,232,230.35,596983,1360.09
2005-12-19,231,237.25,231,235.1,236.45,300805,706
2005-12-20,230.05,238.9,227,227,229.95,332880,766.31
2005-12-21,229.4,229.4,222.1,222.4,225.65,669860,1510.84
2005-12-22,225.6,228.95,221.2,222,222.8,537443,1212.83
2005-12-23,224.8,226,215.05,223.15,220.4,589837,1288.02
2005-12-26,220,222.8,208,209,209.9,195350,414.74
2005-12-27,210,214.2,207.35,210,209.95,83177,175.98
2005-12-28,210.05,218.35,210.05,217.6,216.15,130139,278.47
2005-12-29,216.65,224.2,216.1,223.3,223.55,217891,481.99
2005-12-30,220.05,230.65,220.05,230,229.45,442734,1006.18
2006-01-02,230,233,226.8,232,231.55,113277,261.94
2006-01-03,232,234.1,224.5,225.1,225.3,102380,232.23
2006-01-04,227,227.8,220.5,223,222.15,109504,245.38
2006-01-05,226.8,226.8,218.65,219,219.25,105056,231.73
2006-01-06,224.3,224.3,217.35,221,220.9,97903,215.7
2006-01-09,230,239.8,222.05,222.05,223.4,197747,446.14
2006-01-10,225,227.95,220.05,221.2,221.3,105056,234.97
2006-01-12,221.3,223,205.5,215.4,216.8,112398,245.8
2006-01-13,217.6,222.8,216,216,216.85,75887,165.59
2006-01-16,221.25,221.25,208.5,208.65,208.8,152125,320.69
2006-01-17,210.95,212.7,206,206,206.6,128394,267.84
2006-01-18,205,208.7,202,203.3,203.75,314912,644.84
2006-01-19,204.95,209.9,204.6,206.3,206.1,193093,397.39
2006-01-20,207,208,198.7,203.5,204.05,644096,1313.13
2006-01-23,204,205.1,196.1,202,200.65,455053,916.12
2006-01-24,202,203.7,197.8,198,198.5,240566,481.31
2006-01-25,200.5,201.5,198.05,198.15,198.85,130832,260.64
2006-01-27,198.15,210.65,197.5,210.5,208.7,490302,1009.57
2006-01-30,211,212,198,198,198.45,328044,660.08
2006-01-31,198.45,200.95,195.5,195.6,196.05,171900,339.7
2006-02-01,197.95,197.95,193.2,193.7,194.1,164214,321.38
2006-02-02,194.1,194.1,187.55,187.6,189.1,164884,314.41
2006-02-03,187.15,189.9,185.1,186,185.6,96030,179.58
2006-02-06,194.3,194.4,186.05,186.05,187.5,213393,403.46
2006-02-07,189.55,191,186,186.05,186.9,82967,156.43
2006-02-08,188.8,188.8,184.05,184.1,184.6,81217,150.93
2006-02-10,184.6,187.5,184.6,186.15,186.4,114095,212.36
2006-02-13,187,190.5,185.5,190,189.6,95664,180.64
2006-02-14,186.2,193.5,186.2,193.4,192.05,139976,269.16
2006-02-15,192.05,194.2,187,190.5,190.55,75232,143.68
2006-02-16,188,198.25,188,194,194.4,205506,400.23
2006-02-17,190.1,197.6,188,188.5,188.6,110750,213.11
2006-02-20,189,191.5,186.5,190.5,190.45,141260,267.85
2006-02-21,200,200,191,195.7,194.95,193712,377.24
2006-02-22,197,202,195,201.4,200.45,206153,410.32
2006-02-23,200.1,209.5,200.1,206.7,206.35,1035315,2110.06
2006-02-24,208.85,213,206.5,207.5,207.75,472939,996.42
2006-02-27,210.9,210.9,203.25,205,204.05,120752,248.51
2006-02-28,204.05,209,197.25,205.4,205.1,299400,611.07
2006-03-01,203,211.4,200.1,211,208.3,531739,1100.05
2006-03-02,211,227.3,211,227,225.15,1164761,2580.68
2006-03-03,225,235.3,222,233.45,232.25,775760,1775.37
2006-03-06,234,248,230,241.1,242.1,667072,1606.19
2006-03-07,242,269,242,258.55,257.2,1598727,4088.81
2006-03-08,258.05,261.8,240,242,243.25,1140138,2877.81
2006-03-09,243.1,257.3,237,255.3,256.15,857708,2130.63
2006-03-10,255.35,259.3,247.55,248,248.7,339144,863.84
2006-03-13,249,255.75,241.65,241.65,244,243244,604.05
2006-03-14,246,246,240.05,242.6,242.25,229803,556.65
2006-03-16,246.25,248.5,237.2,247,245.15,364739,884.29
2006-03-17,245.5,249,238,239,238.5,209748,506
2006-03-20,240.9,247.75,238,246.05,246.35,347621,848.19
2006-03-21,248.95,255.35,245,255.05,253.8,497114,1250.83
2006-03-22,255.05,257.45,249.3,255.5,254.95,516736,1316.74
2006-03-23,254,262,250,256,256,609949,1564.75
2006-03-24,257,267.7,255.5,267.05,264.65,678458,1776.54
2006-03-27,266.15,296,266.15,291,291.6,1135399,3194.37
2006-03-28,294.95,305,294.95,303,300.95,1425368,4291.37
2006-03-29,304,305.8,296.05,296.25,300.05,654021,1961.79
2006-03-30,350,350,271,308.75,309.05,496575,1523.45
2006-03-31,312.75,313,285.85,299.05,302.85,407614,1250.55
2006-04-03,309,319.9,306.5,318,318.1,365417,1155.69
2006-04-04,321,321.9,308.4,315.1,315.2,687209,2164.38
2006-04-05,317,320.4,311.5,319,318.3,324049,1025.65
2006-04-07,320,328.5,315.9,323.3,323.75,518811,1680.09
2006-04-10,335,370,316.3,359,359.65,1022014,3525.29
2006-04-12,365,365.95,345.25,352.9,353.1,787334,2820.63
2006-04-13,360,360,335.1,354.1,350.75,496372,1719.2
2006-04-17,357.6,371,352.15,367,367.45,469349,1710.95
2006-04-18,369.95,372,353,362.5,363.2,634762,2299.29
2006-04-19,366,370.45,340,359,353.2,1261055,4462.74
2006-04-20,355,368.45,349,364,358.4,1107655,3916.83
2006-04-21,363.95,363.95,334.55,340,341.8,805378,2787.22
2006-04-24,345.3,347.5,335,340.5,340.45,491404,1672.66
2006-04-25,343,344,334,340,336.55,283068,952.29
2006-04-26,344.9,349.75,335,349,345.55,390444,1332.39
2006-04-27,349.75,359.4,349.75,356,355.15,345000,1225.99
2006-04-28,345,350,300,345,345.15,483356,1662.66
2006-04-29,355,356.6,345,348.5,348.8,40682,142.37
2006-05-02,356,364.4,320,355,356.5,550450,1959.21
2006-05-03,363,363,345.65,357,355.7,199732,708.57
2006-05-04,360,360,345,345.95,347.55,161178,565.81
2006-05-05,351,354,345,345,347.65,219685,768.4
2006-05-08,349,350.8,339.1,339.1,342.9,260817,906.77
2006-05-09,346,346,335,335,335.8,112526,381.03
2006-05-10,339.75,342,328,330,329.55,163373,548.43
2006-05-11,337,337,308,309.05,313.15,257358,825.46
2006-05-12,313.15,322.9,302,312,313.8,263792,828.48
2006-05-15,315,315,288,297,294.45,212797,646.87
2006-05-16,305,305,278.05,298.5,298.2,363269,1053.54
2006-05-17,310,321,300,320,319.35,868996,2738.55
2006-05-18,310.3,311,260,284.9,286.35,799832,2398.47
2006-05-19,290.7,298.9,264.05,281,272.2,209192,590.69
2006-05-22,289.9,289.9,225.1,263,260,390538,1009.13
2006-05-23,274,275,245,272.15,265.95,351325,906.31
2006-05-24,275.1,281.9,260,260,261.15,139659,381.28
2006-05-25,260,260,251.5,252.55,256.65,76235,195.22
2006-05-26,257.5,290,257.5,278.8,280.35,790554,2192.95
2006-05-29,284.65,304,282.15,303,302,683501,2017.59
2006-05-30,305,309.45,297,304.25,303.35,472625,1441.79
2006-05-31,305,305,265.25,290.95,290.3,110479,317.8
2006-06-01,299,299,275.05,275.45,276.6,398165,1139.24
2006-06-02,283,292.5,261.1,283.15,285.05,148624,411.27
2006-06-05,298,298,271,272,273.75,80958,228.31
2006-06-06,261.35,268,257.1,258.95,260,78402,206.38
2006-06-07,265,265,244,245.05,246.1,145065,369.9
2006-06-08,230.4,250,205,230,230.3,199945,447.73
2006-06-09,240,265.9,225,257,255.65,166746,409.63
2006-06-12,258,260,240.1,246.05,245.7,79805,198.46
2006-06-13,233,237.05,220.3,220.3,222.1,98933,223.96
2006-06-14,224.95,238,207,214.9,210.8,154784,341.58
2006-06-15,214.7,234.95,214.7,230.55,231.2,153154,345.76
2006-06-16,234.55,244.4,225,230,228,126253,297.83
2006-06-19,231,249,230.35,248,245.85,300961,722.97
2006-06-20,240,252,232,247.95,246.35,126137,307.94
2006-06-21,246.05,260,240.05,258,256.85,208418,531.56
2006-06-22,259,265,255,255.5,259.5,126388,328.93
2006-06-23,260,272,246.1,269.55,269.85,281653,746.11
2006-06-25,274,280,270,270,274.05,40086,110.19
2006-06-26,276,283,262,271,268.5,346861,940.16
2006-06-27,275,279.5,261.2,279,276.65,239853,645.47
2006-06-28,270.1,270.9,264,268,267.45,194067,518.74
2006-06-29,270,277,266.55,271.35,269.8,188989,515.44
2006-06-30,280,290,273.05,276,275.25,372901,1029.07
2006-07-03,281,284,274.4,275.5,275.85,141813,394.44
2006-07-04,285,285,273.6,275.6,275.9,146065,403.56
2006-07-05,273.65,281.75,271.15,278,277.75,394107,1090.14
2006-07-06,276,285.4,273,284.65,284,203077,573.23
2006-07-07,289.4,289.4,269.5,277,277.4,178415,500
2006-07-10,280,280,272,277.55,277.45,68799,189.92
2006-07-11,285,285,271.2,273.05,273.75,51021,140.23
2006-07-12,230.1,277,230.1,276.15,274.25,192362,520.48
2006-07-13,280,280,266,268.7,269.6,51947,141.54
2006-07-14,266,267.85,252,262,263.2,54133,142.96
2006-07-17,265,265,254,254.1,254.65,35899,92.74
2006-07-18,256.95,258,243.5,245.5,246.05,46769,116.95
2006-07-19,249.95,260,244.05,248.95,246.45,72563,180.1
2006-07-20,254,259.8,249,249,249.8,64413,161.67
2006-07-21,260,260,243.5,244,244.65,52607,129
2006-07-24,245.9,245.9,233,238.5,238.6,23113,55.13
2006-07-25,240,244,230.1,236.5,236.25,177077,419.29
