"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2010-02-08",160,240.9,160,240.6,229.1,56963373,117155.46
"2010-02-09",230.55,250,221.6,245.9,244.2,24930556,58435.83
"2010-02-10",252,252.4,231.6,234,235,11395878,27450.2
"2010-02-11",235,240,225.1,231.5,230.95,5857957,13544.82
"2010-02-15",233.6,236.8,225.5,228.2,229.15,3190280,7359.9
"2010-02-16",229.1,234,227.15,230,230.25,1730276,3990.9
"2010-02-17",231,245.8,216.6,238.45,241.15,5064800,11805.13
"2010-02-18",240.05,240.8,227,227.3,230.9,2257937,5307.18
"2010-02-19",225,231,221.8,227,226.85,884811,2012.52
"2010-02-22",228.1,234.8,227.7,230.1,230.4,689592,1589.84
"2010-02-23",230,231.7,216.75,217.1,219.85,632799,1427.04
"2010-02-24",215.4,227,212.6,222,221.9,897190,1975.07
"2010-02-25",220.5,227.85,219,225.9,224.9,491706,1101.72
"2010-02-26",224.9,240.9,221.35,229,229.75,939799,2165.09
"2010-03-02",230.95,234.4,229.5,233.5,233.4,263072,611.63
"2010-03-03",233.4,240,229.05,229.35,230.4,343876,805.04
"2010-03-04",231,237,230.5,236.75,236.55,506618,1190.04
"2010-03-05",237.9,274.7,235.05,256,258.25,5978277,15711.72
"2010-03-08",260,279.9,259.2,274.55,276.55,3602510,9770.6
"2010-03-09",278.4,317.7,273,297.5,299.7,11026654,32927.01
"2010-03-10",300,305.4,283.55,284.05,285.9,3941483,11524.15
"2010-03-11",285.9,288.4,275.4,276.1,276.85,1301774,3665.94
"2010-03-12",250,298.8,250,284.35,286.5,6647800,19392.27
"2010-03-15",284.8,290.7,277.3,278.85,279.55,1416994,4042.77
"2010-03-16",250,294.8,250,288.65,288.85,2000501,5789.53
"2010-03-17",292.25,295.75,286.85,288.55,288.4,1763658,5150.89
"2010-03-18",288.25,306.45,288.05,295,294.65,3185070,9547.2
"2010-03-19",296,349.9,292,345.05,344.5,16153905,53073.92
"2010-03-22",337.4,362,335.3,341.95,340.95,7881406,27460.28
"2010-03-23",343.9,351.85,324,332.45,330.65,3272074,10975.35
"2010-03-25",330,351,328.15,338.75,338.55,4461242,15264.84
"2010-03-26",339,348.4,332.65,337.6,338.6,2006383,6846.89
"2010-03-29",348,348,303.85,318,316.45,1866987,6085
"2010-03-30",319.2,330.7,315.55,318.7,318.5,1787666,5746.99
"2010-03-31",323,327.95,308.25,314.95,313.6,1882065,5935.75
"2010-04-01",316,326.45,315.3,319,320.85,2591115,8329.37
"2010-04-05",321.5,369.7,320,361,361.7,7682249,26846.02
"2010-04-06",361.7,366.6,350.4,358,355.85,2656748,9494.66
"2010-04-07",316.05,424.3,316.05,420.45,416.15,15222555,61326.09
"2010-04-08",401.8,420,381.3,386.05,388.3,8393944,33020.45
"2010-04-09",389.45,391.95,351.1,360.8,357.7,5036279,18721.81
"2010-04-12",360,375.7,353.2,363.1,360.9,4133662,15001.49
"2010-04-13",365,370.9,355.05,362,362.9,3492807,12690.51
"2010-04-15",365.8,370,355,356,357.15,1964967,7134.99
"2010-04-16",357.4,359.3,334.65,346,344.3,2457165,8471.76
"2010-04-19",335.1,347.7,324,334.2,336.05,3741725,12646.92
"2010-04-20",335.1,345,335.1,339,339.5,1565887,5335.3
"2010-04-21",343,359.6,340.1,350.85,351.65,4538222,16016.57
"2010-04-22",340,364,332,357.4,357.4,3076617,11057.83
