"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2013-06-05,590,631.9,581.15,605,612.35,12483316,76333.7
2013-06-06,597,614.9,589.85,608,605.15,1982995,11977.78
2013-06-07,603.3,676.8,603,645,646.35,4217874,27273.45
2013-06-10,652.1,684.4,626.5,682,674.9,1972922,12939.07
2013-06-11,674.5,683.3,644,653.55,655.05,1365020,9089.94
2013-06-12,648,665,628.1,635,636,570462,3678.57
2013-06-13,635.85,644.6,605.15,625,628.6,500264,3142.63
2013-06-14,634,648.25,623,624.45,628.8,333721,2123.23
2013-06-17,630,639.95,625,638.95,638.4,240055,1523.83
2013-06-18,640,644.45,626,629.8,630.4,203424,1293.08
2013-06-19,631,657,630,646.3,649.25,451906,2894.98
2013-06-20,639.75,651,614.5,623,622.1,262921,1664.96
2013-06-21,618,635,617,621.9,624,202871,1269.16
2013-06-24,625,629,590.1,610.25,607.95,297338,1808.84
2013-06-25,612.9,627.95,600.55,625,622.2,141748,872.19
2013-06-26,625.5,634.8,609.1,611,612.55,100568,626.54
2013-06-27,618,636.8,618,628.3,629.25,444777,2785.74
2013-06-28,632.05,652.3,624.05,651.65,650.15,258472,1657.01
2013-07-01,636.65,648,632,634.8,637.25,156411,999.83
2013-07-02,640,640.5,630.05,639,636.55,160712,1022.61
2013-07-03,634.5,639.4,626,636.9,635.6,82629,523.53
2013-07-04,636.5,645,636.5,642,642.15,71739,459.58
2013-07-05,646.85,671.7,641,652,653.95,180177,1184.22
2013-07-08,636.5,692,636.5,679,681,426983,2854.87
2013-07-09,686.35,763.35,685,714.8,718.1,2114847,15578.22
2013-07-10,717.9,727.3,695,700.5,705.6,548167,3902.04
2013-07-11,709.9,715,671,698,685.75,464258,3208.08
2013-07-12,694.95,704.95,686,697.55,699.7,246937,1723.96
2013-07-15,694,717.7,694,704.1,705.3,185522,1316.45
2013-07-16,700,702,690,699,697.3,50145,349.47
2013-07-17,704,707,667.95,692,695.4,153411,1069.41
2013-07-18,699.9,721.8,692,696.95,698.8,206713,1455.16
2013-07-19,699.1,699.1,665.15,683.1,682.6,84571,577.8
2013-07-22,675.1,707.9,675.1,683.05,684.55,91773,637.5
2013-07-23,688,701.85,684.05,691,690.05,113799,788.15
2013-07-24,689,694.3,665,681,678.8,75880,512.54
2013-07-25,683,694,675.35,680,680.45,96283,656.23
2013-07-26,682,688.3,666.95,680.25,680.1,71524,483.4
2013-07-29,680,684.9,661,680,680.1,136506,920.97
2013-07-30,681,690,671.9,678,677.5,231338,1563.02
2013-07-31,687.95,703.8,662.2,695,697.8,215260,1482.27
2013-08-01,693,701,676,677,680.75,79059,545.51
